시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"1,777","2,210","1,717","1,904","1,834.40","1,495.65","1,488.15","65,245,308","129,702,221,638"
2024-06-18,"1,740","1,943","1,740","1,755","1,788.80","1,465.70","1,485.00","11,906,663","22,114,680,422"
2024-06-17,"1,839","1,902","1,805","1,805","1,806.60","1,444.05","1,483.13","7,285,957","13,523,358,499"
2024-06-14,"1,833","1,904","1,780","1,833","1,755.60","1,420.80","1,480.85","10,093,236","18,597,555,460"
2024-06-13,"1,645","2,060","1,635","1,875","1,679.80","1,395.40","1,478.41","62,963,048","120,063,078,644"
2024-06-12,"1,830","1,885","1,648","1,676","1,625.20","1,372.00","1,475.66","10,868,854","19,232,265,447"
2024-06-11,"1,507","1,970","1,445","1,844","1,555.00","1,357.50","1,474.73","41,445,612","75,633,691,124"
2024-06-10,"1,488","1,580","1,391","1,550","1,434.40","1,335.25","1,472.51","6,153,738","9,188,166,455"
2024-06-07,"1,570","1,662","1,443","1,454","1,374.20","1,327.75","1,472.48","6,970,102","10,849,333,313"
2024-06-05,"1,289","1,695","1,287","1,602","1,331.80","1,325.10","1,473.07","36,642,152","57,454,587,241"
2024-06-04,"1,241","1,469","1,211","1,325","1,254.80","1,314.25","1,472.49","4,611,160","6,289,553,513"
2024-06-03,"1,249","1,264","1,236","1,241","1,237.80","1,316.90","1,474.68","82,050","102,090,097"
2024-05-31,"1,242","1,254","1,233","1,249","1,233.80","1,323.85","1,477.67","154,961","192,325,227"
2024-05-30,"1,205","1,325","1,195","1,242","1,238.60","1,330.65","1,480.51","726,089","905,118,362"
2024-05-29,"1,249","1,249","1,212","1,217","1,250.60","1,337.75","1,483.46","134,297","163,777,646"
2024-05-28,"1,222","1,247","1,220","1,240","1,268.20","1,345.30","1,486.11","142,269","174,773,120"
2024-05-27,"1,274","1,274","1,211","1,221","1,281.20","1,351.40","1,488.69","431,037","532,643,388"
2024-05-24,"1,301","1,301","1,272","1,273","1,301.40","1,361.10","1,491.61","236,467","303,648,247"
2024-05-23,"1,306","1,310","1,293","1,302","1,314.80","1,368.45","1,494.28","70,722","92,002,071"
2024-05-22,"1,302","1,307","1,299","1,305","1,319.40","1,374.55","1,496.81","86,016","112,088,387"
