시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"40,400","41,150","40,000","40,900","40,060.00","38,252.50","33,483.75","2,876,893","116,946,348,850"
2024-06-18,"42,450","42,450","40,000","40,200","39,380.00","38,145.00","33,365.00","4,722,005","192,525,525,650"
2024-06-17,"40,350","43,000","38,850","42,600","38,890.00","38,052.50","33,251.25","12,857,855","533,178,329,750"
2024-06-14,"37,950","39,000","37,550","38,700","38,020.00","37,800.00","33,115.83","1,509,752","58,488,509,550"
2024-06-13,"37,500","38,550","37,450","37,900","37,860.00","37,785.00","33,010.42","1,184,959","45,205,913,650"
2024-06-12,"37,750","37,950","37,200","37,500","37,630.00","37,817.50","32,910.00","564,596","21,149,519,950"
2024-06-11,"38,700","38,700","37,450","37,750","37,570.00","37,827.50","32,821.25","704,424","26,656,373,650"
2024-06-10,"38,150","38,700","37,950","38,250","37,330.00","37,820.00","32,740.42","841,774","32,278,427,950"
2024-06-07,"36,800","38,200","36,800","37,900","36,870.00","37,782.50","32,659.58","1,212,475","45,923,245,200"
2024-06-05,"37,350","37,500","36,650","36,750","36,660.00","37,780.00","32,585.83","648,966","24,019,351,850"
2024-06-04,"36,400","37,450","35,700","37,200","36,670.00","37,847.50","32,527.50","1,220,595","44,785,395,900"
2024-06-03,"36,250","37,100","36,050","36,550","37,170.00","37,885.00","32,457.08","924,653","33,843,482,900"
2024-05-31,"37,000","37,600","35,850","35,950","37,670.00","37,970.00","32,395.00","1,277,248","46,694,294,600"
2024-05-30,"36,950","37,850","36,750","36,850","38,210.00","38,037.50","32,329.17","1,268,491","47,297,149,300"
2024-05-29,"39,700","39,800","36,700","36,800","38,410.00","38,125.00","32,243.33","2,843,827","107,265,141,350"
2024-05-28,"39,400","40,150","38,850","39,700","38,650.00","38,207.50","32,156.25","1,954,446","77,652,778,750"
2024-05-27,"39,050","39,100","38,350","39,050","38,460.00","38,280.00","32,040.42","997,939","38,735,647,950"
2024-05-24,"37,400","38,850","37,350","38,650","38,320.00","38,385.00","31,929.17","1,003,470","38,519,859,750"
2024-05-23,"37,800","38,000","37,150","37,850","38,100.00","38,497.50","31,822.08","838,872","31,519,854,750"
2024-05-22,"39,100","39,150","37,850","38,000","38,210.00","38,610.00","31,726.67","835,638","32,102,064,700"
2024-05-21,"38,350","39,600","38,250","38,750","38,320.00","38,767.50","31,625.83","1,623,835","63,496,238,700"
2024-05-20,"37,550","38,700","37,000","38,350","38,110.00","38,887.50","31,517.50","1,107,627","42,238,737,300"
2024-05-17,"38,450","39,250","37,300","37,550","37,960.00","38,970.00","31,413.75","1,496,503","57,023,933,750"
2024-05-16,"38,550","38,600","37,900","38,400","37,950.00","39,017.50","31,313.75","1,196,143","45,773,613,800"
2024-05-14,"37,750","38,650","37,500","38,550","37,840.00","39,047.50","31,209.58","1,159,702","44,439,002,200"
2024-05-13,"37,550","38,250","37,200","37,700","37,750.00","39,200.00","31,104.17","851,167","32,151,660,450"
2024-05-10,"37,650","38,150","37,450","37,600","37,800.00","39,407.50","31,005.00","749,553","28,310,851,050"
2024-05-09,"37,550","38,100","37,500","37,500","37,930.00","39,585.00","30,901.25","1,002,097","37,776,602,100"
2024-05-08,"38,150","38,200","37,200","37,850","37,890.00","39,600.00","30,799.58","793,568","29,883,086,750"
2024-05-07,"38,000","38,350","36,900","38,100","38,040.00","39,572.50","30,695.83","1,037,144","39,364,192,700"
2024-05-03,"38,600","38,850","37,700","37,950","38,110.00","39,592.50","30,592.92","1,219,854","46,595,890,500"
2024-05-02,"37,300","38,500","37,300","38,250","38,750.00","39,595.00","30,495.42","1,544,883","58,893,783,500"
2024-04-30,"38,400","39,050","37,300","37,300","39,330.00","39,630.00","30,394.17","2,538,073","96,382,276,000"
2024-04-29,"38,050","38,750","37,650","38,600","40,050.00","39,665.00","30,287.92","2,343,629","90,014,389,100"
2024-04-26,"40,650","41,250","37,950","38,450","40,350.00","39,575.00","30,167.50","5,044,191","197,948,906,400"
2024-04-25,"41,700","42,950","41,100","41,150","40,890.00","39,372.50","30,047.08","3,776,879","158,125,148,650"
2024-04-24,"40,700","41,400","40,300","41,150","40,890.00","39,030.00","29,897.92","2,075,700","85,069,734,500"
2024-04-23,"40,150","41,600","40,050","40,900","40,660.00","38,632.50","29,758.33","2,529,854","103,755,443,200"
2024-04-22,"40,950","41,400","38,900","40,100","40,180.00","38,217.50","29,615.42","2,995,768","119,193,728,100"
2024-04-19,"41,250","42,550","40,000","41,150","39,960.00","37,832.50","29,485.83","4,322,834","177,735,191,750"
2024-04-18,"40,100","41,350","39,450","41,150","40,050.00","37,340.00","29,358.33","2,918,310","118,579,895,300"
2024-04-17,"38,600","40,800","38,400","40,000","40,190.00","36,852.50","29,230.00","4,477,132","178,200,386,200"
2024-04-16,"39,050","39,650","37,450","38,500","40,420.00","36,432.50","29,115.00","3,272,012","125,593,362,350"
2024-04-15,"42,000","42,350","38,650","39,000","40,280.00","36,070.00","29,007.92","4,790,880","190,641,118,200"
2024-04-12,"41,850","43,450","40,750","41,600","39,940.00","35,640.00","28,901.25","4,432,922","186,037,067,450"
2024-04-11,"41,200","42,450","40,650","41,850","39,320.00","35,077.50","28,784.17","5,568,939","231,396,446,900"
2024-04-09,"37,900","41,850","37,800","41,150","38,550.00","34,505.00","28,665.83","14,442,307","590,782,068,900"
2024-04-08,"37,750","38,200","37,150","37,800","38,110.00","33,947.50","28,550.42","1,639,697","61,841,750,800"
2024-04-05,"38,100","38,400","36,800","37,300","38,150.00","33,620.00","28,470.00","2,186,288","81,859,977,350"
2024-04-04,"38,750","38,800","37,650","38,500","38,050.00","33,340.00","28,396.67","2,361,098","90,089,679,100"
2024-04-03,"38,800","39,600","37,350","38,000","37,230.00","32,987.50","28,312.92","3,189,368","122,304,086,750"
2024-04-02,"38,400","39,200","36,950","38,950","36,490.00","32,685.00","28,231.25","5,216,655","200,430,787,900"
2024-04-01,"36,950","38,750","36,800","38,000","35,340.00","32,307.50","28,133.75","6,253,165","237,926,725,650"
2024-03-29,"34,350","38,800","34,100","36,800","34,260.00","32,010.00","28,042.08","13,299,739","492,635,668,150"
2024-03-28,"34,350","34,650","33,500","34,400","33,380.00","31,842.50","27,957.08","2,180,209","74,456,279,700"
2024-03-27,"33,450","34,400","32,850","34,300","32,760.00","31,830.00","27,901.67","2,501,875","84,643,318,850"
2024-03-26,"32,750","33,250","32,500","33,200","32,180.00","31,757.50","27,842.92","1,450,486","47,854,700,600"
2024-03-25,"33,000","33,250","32,250","32,600","31,860.00","31,770.00","27,796.67","1,564,572","51,319,623,700"
2024-03-22,"31,450","32,900","31,450","32,400","31,590.00","31,780.00","27,760.00","2,643,797","85,556,402,000"
2024-03-21,"31,550","31,650","31,200","31,300","31,190.00","31,885.00","27,732.92","848,460","26,615,797,200"
2024-03-20,"31,800","31,800","31,100","31,400","31,000.00","31,812.50","27,719.58","940,837","29,536,384,900"
2024-03-19,"31,450","32,150","31,150","31,600","30,800.00","31,687.50","27,704.17","1,644,641","52,171,946,350"
