시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"33,400","39,300","32,500","37,750","33,510.00","31,830.00","35,372.08","3,109,537","115,523,770,050"
2024-06-18,"31,550","31,900","30,100","30,450","32,680.00","31,475.00","35,421.67","344,240","10,555,258,750"
2024-06-17,"32,950","33,300","31,900","32,000","32,670.00","31,525.00","35,535.83","150,819","4,868,684,900"
2024-06-14,"34,500","35,000","32,900","32,900","32,380.00","31,520.00","35,632.92","195,790","6,586,394,550"
2024-06-13,"33,650","36,100","33,300","34,450","31,880.00","31,465.00","35,722.50","334,418","11,616,413,750"
2024-06-12,"31,450","36,300","31,400","33,600","31,150.00","31,442.50","35,797.92","885,404","30,201,921,300"
2024-06-11,"30,250","31,050","30,150","30,400","30,640.00","31,437.50","35,886.25","138,042","4,233,683,150"
2024-06-10,"30,050","30,850","29,700","30,550","30,860.00","31,617.50","36,007.50","151,605","4,571,080,200"
2024-06-07,"30,800","30,800","30,250","30,400","31,070.00","31,800.00","36,130.83","121,266","3,694,854,550"
2024-06-05,"31,050","31,500","30,700","30,800","31,050.00","32,102.50","36,230.83","123,055","3,807,307,750"
2024-06-04,"31,200","32,150","31,050","31,050","31,090.00","32,285.00","36,336.67","121,685","3,833,878,050"
2024-06-03,"31,600","31,950","31,000","31,500","31,120.00","32,422.50","36,439.58","90,284","2,836,656,000"
2024-05-31,"30,000","31,850","30,000","31,600","31,030.00","32,512.50","36,540.00","153,149","4,793,034,900"
2024-05-30,"30,750","30,800","29,800","30,300","30,920.00","32,625.00","36,652.50","127,587","3,849,624,100"
2024-05-29,"30,850","31,500","30,250","31,000","31,300.00","32,795.00","36,797.50","131,161","4,042,138,450"
2024-05-28,"31,000","31,850","30,750","31,200","31,570.00","32,877.50","36,935.83","107,043","3,337,654,650"
2024-05-27,"30,950","31,550","30,000","31,050","31,460.00","32,927.50","37,077.08","176,405","5,381,906,200"
2024-05-24,"31,400","32,000","30,600","31,050","31,540.00","33,007.50","37,219.58","147,578","4,615,953,100"
2024-05-23,"32,000","33,050","31,700","32,200","31,710.00","33,075.00","37,369.17","124,575","4,033,989,550"
2024-05-22,"30,250","32,500","27,750","32,350","31,630.00","33,120.00","37,518.33","518,204","15,616,299,950"
2024-05-21,"31,250","31,400","30,500","30,650","31,960.00","33,162.50","37,676.25","111,740","3,435,564,650"
2024-05-20,"31,900","32,350","31,000","31,450","32,530.00","33,342.50","37,845.83","119,906","3,772,336,550"
2024-05-17,"31,800","33,950","31,800","31,900","33,040.00","33,455.00","38,007.92","225,552","7,391,867,900"
2024-05-16,"33,600","33,850","31,650","31,800","33,500.00","33,425.00","38,166.25","266,732","8,583,420,750"
2024-05-14,"33,500","34,050","33,250","34,000","34,430.00","33,335.00","38,336.25","57,804","1,949,835,050"
2024-05-13,"34,500","34,650","33,000","33,500","34,520.00","33,230.00","38,483.75","60,548","2,034,289,400"
2024-05-10,"34,800","34,800","33,550","34,000","34,580.00","33,125.00","38,622.92","73,293","2,496,976,000"
2024-05-09,"36,350","36,500","33,550","34,200","34,440.00","33,042.50","38,758.75","216,175","7,470,684,700"
2024-05-08,"34,150","36,450","34,150","36,450","34,370.00","33,020.00","38,899.58","174,148","6,190,544,650"
2024-05-07,"33,800","34,700","33,550","34,450","33,820.00","32,942.50","39,013.33","102,940","3,529,011,650"
2024-05-03,"33,700","33,800","32,850","33,800","33,460.00","32,847.50","39,147.92","90,716","3,027,455,050"
2024-05-02,"33,900","34,200","33,150","33,300","33,140.00","32,792.50","39,291.25","61,338","2,056,257,550"
2024-04-30,"33,500","33,900","33,150","33,850","33,010.00","32,677.50","39,462.92","82,803","2,772,417,750"
2024-04-29,"32,600","33,800","32,500","33,700","32,720.00","32,582.50","39,616.67","86,176","2,859,947,300"
2024-04-26,"32,200","33,650","32,150","32,650","32,600.00","32,457.50","39,765.83","74,754","2,451,088,450"
2024-04-25,"31,700","33,000","31,700","32,200","32,710.00","32,382.50","39,880.83","82,554","2,666,803,850"
2024-04-24,"32,950","33,500","32,550","32,650","33,120.00","32,332.50","40,026.25","84,899","2,792,603,250"
2024-04-23,"32,950","33,450","32,300","32,400","33,330.00","32,290.00","40,182.50","73,052","2,394,992,400"
2024-04-22,"33,100","33,500","32,400","33,100","33,110.00","32,277.50","40,336.67","94,671","3,133,402,450"
2024-04-19,"34,050","34,050","32,700","33,200","32,490.00","32,255.00","40,473.33","157,511","5,240,165,000"
2024-04-18,"33,050","34,900","33,050","34,250","32,230.00","32,247.50","40,632.50","146,600","5,012,895,900"
2024-04-17,"33,400","35,900","32,800","33,700","31,660.00","32,187.50","40,807.92","646,619","22,388,945,150"
2024-04-16,"29,800","31,550","29,700","31,300","31,390.00","32,177.50","40,985.42","178,067","5,502,689,900"
2024-04-15,"31,050","31,750","30,000","30,000","31,880.00","32,315.00","41,149.58","195,736","5,984,708,450"
