시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"84,900","84,900","78,200","78,700","84,080.00","77,455.00","82,537.50","1,323,904","106,587,014,300"
2024-06-18,"84,700","86,200","84,500","84,900","85,580.00","77,135.00","82,780.00","501,587","42,798,101,400"
2024-06-17,"87,200","87,600","82,200","84,200","84,720.00","76,575.00","82,970.83","910,262","77,363,944,400"
2024-06-14,"85,900","88,400","84,200","87,600","83,120.00","75,985.00","83,056.67","1,542,727","134,038,064,600"
2024-06-13,"86,900","88,400","84,300","85,000","80,800.00","75,265.00","83,044.17","2,209,722","190,297,264,400"
2024-06-12,"81,900","90,800","81,600","86,200","78,880.00","74,655.00","83,053.33","5,572,168","487,614,094,800"
2024-06-11,"76,200","81,300","76,000","80,600","76,480.00","73,995.00","83,085.83","1,990,618","158,664,419,700"
2024-06-10,"76,000","77,300","74,200","76,200","75,180.00","73,655.00","83,158.33","415,583","31,500,446,100"
2024-06-07,"75,900","76,800","74,300","76,000","74,420.00","73,460.00","83,234.17","352,992","26,605,099,500"
2024-06-05,"74,900","75,800","73,600","75,400","73,960.00","73,410.00","83,285.83","354,320","26,556,916,500"
2024-06-04,"74,100","75,200","73,500","74,200","73,640.00","73,450.00","83,400.00","277,652","20,690,717,600"
2024-06-03,"72,500","74,300","72,200","74,100","73,660.00","73,505.00","83,462.50","276,275","20,328,122,200"
2024-05-31,"73,900","74,300","72,200","72,400","73,600.00","73,440.00","83,510.83","235,270","17,098,002,300"
2024-05-30,"73,800","74,300","72,400","73,700","73,440.00","73,420.00","83,647.50","205,903","15,104,324,200"
2024-05-29,"74,400","75,000","73,100","73,800","73,240.00","73,385.00","83,807.50","262,283","19,396,609,300"
2024-05-28,"73,800","75,400","73,000","74,300","73,220.00","73,285.00","83,883.33","378,199","28,197,689,700"
2024-05-27,"72,100","74,400","71,900","73,800","72,820.00","73,180.00","83,945.83","317,014","23,156,428,400"
2024-05-24,"72,100","72,300","71,500","71,600","72,800.00","73,160.00","83,998.33","190,904","13,708,958,300"
2024-05-23,"73,400","73,500","72,200","72,700","72,960.00","73,170.00","84,021.67","160,158","11,622,903,600"
2024-05-22,"72,500","74,500","72,300","73,700","73,060.00","73,145.00","83,951.67","276,751","20,335,035,500"
2024-05-21,"74,200","74,200","72,300","72,300","72,880.00","72,990.00","83,867.50","209,262","15,231,143,000"
2024-05-20,"72,400","73,800","71,500","73,700","73,020.00","73,010.00","83,761.67","271,680","19,818,724,700"
2024-05-17,"73,100","73,100","72,100","72,400","73,040.00","72,880.00","83,635.00","170,703","12,348,317,500"
2024-05-16,"73,600","73,700","72,800","73,200","73,020.00","72,785.00","83,460.00","238,232","17,427,230,500"
2024-05-14,"72,700","73,100","72,000","72,800","73,380.00","72,855.00","83,275.83","205,446","14,893,150,800"
2024-05-13,"73,700","75,400","72,600","73,000","74,060.00","73,060.00","83,060.00","277,581","20,444,996,200"
2024-05-10,"73,600","75,600","73,200","73,800","74,520.00","73,075.00","82,813.33","529,203","39,293,227,100"
2024-05-09,"73,000","73,400","71,600","72,300","74,320.00","73,035.00","82,561.25","443,304","32,062,191,500"
2024-05-08,"76,400","76,600","74,500","75,000","74,260.00","73,150.00","82,349.17","278,452","20,931,234,400"
2024-05-07,"75,800","76,800","74,700","76,200","73,860.00","73,135.00","82,116.67","447,128","33,806,121,600"
2024-05-03,"73,200","76,000","72,800","75,300","72,980.00","73,345.00","81,874.17","609,888","45,705,227,300"
2024-05-02,"72,400","73,000","71,800","72,800","72,360.00","73,640.00","81,630.00","171,081","12,368,046,900"
2024-04-30,"73,100","74,400","71,800","72,000","72,480.00","74,085.00","81,414.58","385,576","28,093,790,700"
2024-04-29,"72,900","73,200","71,800","73,000","72,440.00","74,730.00","81,187.92","226,367","16,399,616,300"
2024-04-26,"73,200","73,200","71,500","71,800","72,280.00","75,490.00","80,926.67","208,337","15,025,089,400"
2024-04-25,"72,600","74,300","71,600","72,200","72,040.00","76,315.00","80,663.33","254,875","18,610,753,600"
2024-04-24,"72,900","73,500","72,200","73,400","72,140.00","77,175.00","80,372.08","265,690","19,397,988,100"
2024-04-23,"72,900","73,700","71,800","71,800","71,680.00","78,050.00","80,103.33","231,306","16,810,922,500"
2024-04-22,"71,000","72,500","71,000","72,200","71,420.00","79,005.00","79,774.17","268,274","19,297,057,500"
2024-04-19,"72,400","72,400","69,100","70,600","71,900.00","80,000.00","79,449.58","484,246","34,060,742,200"
2024-04-18,"71,100","72,800","71,100","72,700","73,160.00","81,060.00","79,153.75","232,010","16,779,005,400"
2024-04-17,"70,600","73,500","70,500","71,100","73,280.00","82,100.00","78,849.17","464,937","33,433,768,100"
2024-04-16,"73,400","73,800","70,200","70,500","73,660.00","83,235.00","78,556.67","651,824","46,484,219,100"
2024-04-15,"75,400","75,500","73,900","74,600","74,480.00","84,360.00","78,265.00","376,466","28,111,162,800"
2024-04-12,"73,800","77,500","72,800","76,900","74,500.00","84,985.00","77,962.08","757,684","57,590,536,500"
2024-04-11,"72,300","73,700","70,900","73,300","75,200.00","85,740.00","77,663.75","332,616","24,244,093,000"
2024-04-09,"74,700","75,600","72,500","73,000","76,780.00","86,570.00","77,406.25","588,823","43,453,339,300"
2024-04-08,"75,000","77,000","74,500","74,600","78,520.00","87,215.00","77,145.00","813,921","61,486,835,500"
2024-04-05,"75,600","78,000","74,300","74,700","80,580.00","87,935.00","76,904.58","2,126,072","160,859,511,800"
2024-04-04,"82,200","82,500","80,100","80,400","83,280.00","88,320.00","76,680.42","372,746","30,242,767,800"
2024-04-03,"81,000","83,300","79,600","81,200","84,860.00","88,270.00","76,401.25","550,737","44,971,377,600"
2024-04-02,"84,000","84,200","81,500","81,700","86,500.00","88,245.00","76,113.33","700,547","57,582,926,500"
2024-04-01,"88,500","88,800","84,900","84,900","88,340.00","88,070.00","75,864.17","938,867","80,689,611,100"
2024-03-29,"88,300","91,700","88,100","88,200","89,540.00","87,755.00","75,585.00","870,668","78,063,191,900"
2024-03-28,"89,700","90,000","87,500","88,300","90,320.00","87,040.00",,"584,177","51,518,962,500"
2024-03-27,"90,800","91,300","89,100","89,400","91,020.00","86,365.00",,"524,637","47,080,035,200"
2024-03-26,"92,000","93,100","89,800","90,900","91,840.00","85,710.00",,"873,997","79,399,668,900"
2024-03-25,"92,400","92,800","88,900","90,900","92,420.00","85,055.00",,"750,748","67,668,717,100"
2024-03-22,"93,000","95,800","91,300","92,100","92,840.00","84,465.00",,"1,549,792","145,647,155,500"
2024-03-21,"94,300","94,300","90,400","91,800","91,840.00","83,925.00",,"996,214","91,647,693,600"
2024-03-20,"95,000","95,600","92,200","93,500","91,880.00","83,210.00",,"842,807","79,108,254,200"
2024-03-19,"93,800","95,900","91,600","93,800","91,160.00","82,500.00",,"1,880,240","176,731,290,800"
2024-03-18,"87,800","93,400","87,800","93,000","89,580.00","81,800.00",,"1,489,518","136,603,273,900"
2024-03-15,"91,000","94,000","87,100","87,100","88,780.00","81,205.00",,"1,656,276","149,839,099,800"
2024-03-14,"90,000","94,500","89,700","92,000","87,840.00","81,035.00",,"2,734,007","253,605,953,400"
2024-03-13,"87,000","91,000","85,900","89,900","85,320.00","80,575.00",,"2,316,217","205,666,381,100"
2024-03-12,"89,000","89,100","85,200","85,900","83,480.00","79,930.00",,"1,285,963","111,090,466,300"
2024-03-11,"82,700","89,800","81,100","89,000","81,940.00","79,365.00",,"3,076,098","265,647,777,800"
2024-03-08,"80,000","82,600","78,800","82,400","79,860.00","78,590.00",,"1,350,194","109,684,373,200"
2024-03-07,"81,200","81,200","78,500","79,400","78,160.00","78,125.00",,"588,315","46,821,165,600"
2024-03-06,"77,300","80,700","77,100","80,700","77,240.00","77,725.00",,"884,488","70,710,025,200"
2024-03-05,"79,200","81,400","77,300","78,200","76,360.00","77,230.00",,"982,034","77,909,513,600"
2024-03-04,"74,400","78,900","74,200","78,600","76,280.00","76,940.00",,"983,058","76,100,378,300"
2024-02-29,"74,200","75,200","73,300","73,900","76,380.00","76,445.00",,"413,940","30,553,180,300"
2024-02-28,"76,700","77,000","74,500","74,800","77,860.00","76,350.00",,"529,010","39,884,958,600"
2024-02-27,"77,800","78,400","74,800","76,300","78,400.00","76,290.00",,"710,785","54,033,371,100"
2024-02-26,"79,200","80,100","77,700","77,800","79,000.00","76,290.00",,"446,576","35,131,723,400"
2024-02-23,"81,700","81,900","78,600","79,100","79,400.00","76,295.00",,"675,188","53,778,893,800"
2024-02-22,"78,300","81,300","77,800","81,300","79,800.00","76,390.00",,"896,428","71,682,053,500"
2024-02-21,"79,300","79,900","77,500","77,500","80,280.00","76,360.00",,"726,328","56,980,604,700"
2024-02-20,"79,200","81,700","79,000","79,300","81,340.00","76,635.00",,"681,567","54,633,645,500"
2024-02-19,"80,200","81,000","78,600","79,800","80,880.00","76,925.00",,"769,905","61,325,009,500"
2024-02-16,"84,300","84,700","80,700","81,100","79,840.00","77,290.00",,"1,083,118","88,619,019,800"
2024-02-15,"84,700","86,300","82,200","83,700","78,320.00","77,705.00",,"2,119,903","178,393,873,500"
2024-02-14,"75,800","85,000","74,800","82,800","76,200.00","78,185.00",,"5,594,159","457,371,011,200"
2024-02-13,"74,300","78,100","72,900","77,000","73,920.00","78,915.00",,"1,584,952","120,516,825,000"
2024-02-08,"76,000","77,100","73,500","74,600","72,680.00","79,935.00",,"1,754,935","131,578,547,400"
2024-02-07,"73,300","74,900","72,200","73,500","72,240.00","81,070.00",,"1,053,738","77,529,177,200"
2024-02-06,"71,500","74,000","69,500","73,100","71,280.00","82,520.00",,"1,302,094","94,044,283,900"
2024-02-05,"71,200","74,700","70,600","71,400","71,060.00","83,980.00",,"1,394,619","101,378,143,000"
2024-02-02,"72,700","73,700","70,500","70,800","71,500.00","85,575.00",,"1,199,105","85,929,201,600"
2024-02-01,"69,700","72,900","67,300","72,400","72,600.00","87,125.00",,"1,439,444","100,645,728,100"
2024-01-31,"70,500","72,000","68,700","68,700","73,700.00","88,965.00",,"1,073,342","74,995,982,700"
2024-01-30,"73,700","76,800","71,000","72,000","76,160.00","90,955.00",,"1,268,517","93,387,335,500"
2024-01-29,"76,300","77,200","71,800","73,600","77,900.00","92,995.00",,"1,219,919","90,062,977,700"
2024-01-26,"76,700","78,200","75,900","76,300","79,780.00","95,120.00",,"1,027,653","79,006,057,700"
2024-01-25,"81,700","82,400","77,000","77,900","81,540.00","96,735.00",,"1,360,325","106,491,068,800"
2024-01-24,"80,300","84,600","80,000","81,000","83,380.00","98,450.00",,"1,463,486","120,090,094,300"
2024-01-23,"82,100","83,900","80,200","80,700","85,060.00","100,015.00",,"1,156,317","94,553,914,500"
2024-01-22,"86,300","86,600","82,500","83,000","87,580.00","101,935.00",,"1,079,760","90,361,798,400"
2024-01-19,"88,200","89,500","83,600","85,100","90,460.00","103,875.00",,"1,428,580","122,796,150,000"
2024-01-18,"89,400","90,400","85,600","87,100","92,920.00","105,010.00",,"1,248,032","109,353,737,200"
2024-01-17,"92,700","94,000","87,800","89,400","94,960.00","106,045.00",,"1,783,069","159,560,388,700"
2024-01-16,"98,800","99,700","92,900","93,300","97,580.00","106,300.00",,"1,482,088","141,524,685,200"
2024-01-15,"97,300","101,200","97,100","97,400","99,380.00","105,940.00",,"1,206,700","119,428,254,700"
2024-01-12,"96,300","101,200","96,200","97,400","100,560.00","105,375.00",,"1,590,124","156,941,290,100"
2024-01-11,"102,400","103,300","97,300","97,300","101,440.00","105,010.00",,"1,709,724","170,925,686,100"
2024-01-10,"101,900","103,300","98,800","102,500","103,820.00","104,610.00",,"1,728,941","174,746,755,300"
2024-01-09,"103,500","104,300","100,500","102,300","105,020.00","103,750.00",,"1,255,666","128,288,402,100"
2024-01-08,"102,300","106,400","100,900","103,300","107,120.00","102,745.00",,"2,439,092","252,995,375,100"
2024-01-05,"100,500","105,400","98,600","101,800","109,680.00","102,035.00",,"4,850,465","495,299,119,400"
2024-01-04,"107,400","111,600","106,300","109,200","111,040.00","101,030.00",,"1,115,910","121,542,555,400"
2024-01-03,"111,000","115,600","108,200","108,500","111,640.00","99,565.00",,"1,534,903","171,142,394,800"
2024-01-02,"116,100","116,800","111,100","112,800","112,400.00","98,580.00",,"1,613,732","183,118,894,000"
2023-12-28,"109,000","118,500","108,500","116,100","113,660.00","97,585.00",,"3,134,713","359,582,258,300"
2023-12-27,"112,000","114,900","102,900","108,600","114,800.00","95,925.00",,"2,784,354","299,477,882,000"
2023-12-26,"111,300","117,200","108,000","112,200","114,640.00","94,585.00",,"2,481,625","279,826,511,500"
2023-12-22,"120,500","122,600","110,000","112,300","113,760.00","92,980.00",,"2,447,432","286,241,618,200"
2023-12-21,"117,700","124,500","117,000","119,100","110,200.00","91,085.00",,"3,570,643","429,869,589,000"
2023-12-20,"109,400","122,500","107,600","121,800","103,600.00","88,345.00",,"9,221,571","1,082,063,810,800"
2023-12-19,"108,700","118,400","103,500","107,800","96,460.00","85,435.00",,"6,280,674","693,038,078,100"
2023-12-18,"93,700","109,400","92,000","107,800","92,920.00","83,025.00",,"8,284,618","829,826,980,800"
2023-12-15,"87,500","94,900","87,400","94,500","89,220.00","80,560.00",,"5,141,163","469,763,397,600"
2023-12-14,"88,500","89,000","84,600","86,100","87,380.00","78,405.00",,"1,720,285","149,408,189,200"
2023-12-13,"88,900","90,100","85,500","86,100","86,600.00","76,655.00",,"1,771,931","155,178,038,100"
2023-12-12,"90,000","91,200","86,600","90,100","87,200.00","74,695.00",,"2,307,460","206,165,737,700"
2023-12-11,"87,500","91,700","87,100","89,300","85,520.00","72,360.00",,"3,639,528","326,264,236,700"
2023-12-08,"84,200","88,900","83,200","85,300","83,640.00","70,072.50",,"3,354,779","289,842,915,600"
2023-12-07,"87,200","90,900","82,100","82,200","84,340.00","68,150.00",,"3,144,097","270,078,605,000"
2023-12-06,"80,100","89,700","76,900","89,100","86,480.00","66,395.00",,"5,607,749","471,270,117,100"
2023-12-05,"80,900","86,000","79,000","81,700","85,240.00","64,295.00",,"4,298,999","355,035,737,200"
2023-12-04,"84,700","86,300","78,900","79,900","85,260.00","62,510.00",,"3,964,221","326,389,607,300"
