시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"279,000","297,000","278,500","290,000","275,700.00","258,725.00","233,135.83","345,409","100,188,703,000"
2024-06-18,"277,000","278,000","273,000","276,500","270,700.00","256,850.00","232,460.83","160,880","44,452,885,500"
2024-06-17,"271,000","277,500","269,000","274,500","266,500.00","255,650.00","231,894.17","152,334","41,801,457,000"
2024-06-14,"263,000","278,000","259,500","272,000","262,500.00","254,825.00","231,344.17","249,943","68,124,790,500"
2024-06-13,"266,500","271,000","264,500","265,500","259,300.00","254,150.00","230,827.50","256,241","68,613,787,000"
2024-06-12,"258,000","267,500","256,000","265,000","255,400.00","253,725.00","230,377.50","217,577","57,587,272,000"
2024-06-11,"256,000","259,000","253,000","255,500","252,300.00","253,450.00","229,902.50","61,684","15,830,065,500"
2024-06-10,"251,500","258,500","248,000","254,500","250,700.00","253,625.00","229,548.33","62,029","15,781,456,000"
2024-06-07,"248,000","257,500","248,000","256,000","249,800.00","254,075.00","229,152.50","99,217","25,216,176,000"
2024-06-05,"249,000","254,000","246,000","246,000","248,800.00","254,275.00","228,790.00","58,446","14,530,648,000"
2024-06-04,"245,000","251,000","242,500","249,500","248,400.00","254,850.00","228,506.67","58,607","14,464,639,000"
2024-06-03,"251,000","254,000","245,500","247,500","247,800.00","254,925.00","228,202.50","52,047","12,948,640,500"
2024-05-31,"255,000","257,500","243,500","250,000","250,300.00","254,700.00","227,956.67","362,249","90,313,882,000"
2024-05-30,"242,000","253,000","241,500","251,000","252,300.00","254,175.00","227,685.83","88,005","21,953,292,000"
2024-05-29,"244,000","247,000","240,500","244,000","253,300.00","253,625.00","227,369.17","127,155","30,964,589,500"
2024-05-28,"258,000","259,500","241,000","246,500","255,400.00","252,900.00","227,135.83","164,875","41,039,013,000"
2024-05-27,"262,000","264,000","258,000","260,000","256,600.00","251,850.00","226,881.67","136,567","35,697,273,000"
2024-05-24,"255,500","261,500","255,000","260,000","255,100.00","250,850.00","226,523.33","94,601","24,492,436,500"
2024-05-23,"252,000","258,500","252,000","256,000","254,700.00","249,750.00","226,069.17","78,182","20,053,098,500"
2024-05-22,"251,000","255,000","249,500","254,500","255,200.00","249,900.00","225,685.83","78,621","19,821,603,000"
2024-05-21,"250,000","254,000","247,500","252,500","255,700.00","249,875.00","225,298.33","75,619","18,989,741,500"
2024-05-20,"260,000","260,000","251,000","252,500","257,100.00","250,250.00","224,935.83","90,498","22,929,148,000"
2024-05-17,"257,500","260,000","256,000","258,000","258,400.00","250,275.00","224,523.33","74,960","19,348,575,500"
2024-05-16,"260,500","262,000","256,500","258,500","259,500.00","250,075.00","223,982.50","122,777","31,770,271,000"
2024-05-14,"260,000","265,000","255,000","257,000","259,800.00","249,500.00","223,524.17","112,229","29,108,963,000"
