시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"19,810","20,550","19,160","19,500","18,776.00","17,417.00","14,410.83","4,516,880","89,748,920,470"
2024-06-18,"17,950","21,400","17,670","19,860","18,500.00","17,200.00","14,342.58","11,790,083","237,611,368,430"
2024-06-17,"18,240","18,750","17,660","17,660","18,332.00","17,010.00","14,270.08","956,937","17,389,528,740"
2024-06-14,"18,670","18,690","17,950","18,190","18,748.00","16,890.00","14,214.08","887,535","16,191,888,540"
2024-06-13,"18,080","19,390","18,000","18,670","19,084.00","16,745.00","14,153.67","2,904,202","54,753,007,650"
2024-06-12,"18,600","19,390","18,040","18,120","20,010.00","16,584.00","14,089.58","1,620,721","29,942,984,720"
2024-06-11,"19,830","21,400","18,760","19,020","21,046.00","16,463.00","14,030.25","3,308,044","65,863,841,190"
2024-06-10,"19,480","20,250","19,100","19,740","20,832.00","16,337.50","13,964.33","2,905,602","57,221,279,800"
2024-06-07,"22,400","26,650","19,600","19,870","19,646.00","16,168.50","13,891.83","16,769,516","386,194,087,560"
2024-06-05,"23,650","28,100","21,600","23,300","18,434.00","15,994.00","13,817.08","18,062,960","435,703,215,800"
2024-06-04,"21,650","23,300","21,500","23,300","16,640.00","15,719.00","13,715.58","11,398,794","258,647,366,250"
2024-06-03,"13,890","17,950","13,850","17,950","14,802.00","15,411.50","13,613.83","7,056,561","122,108,449,660"
2024-05-31,"13,530","13,960","13,520","13,810","14,016.00","15,269.00","13,557.33","221,420","3,046,067,010"
2024-05-30,"14,490","14,610","13,800","13,810","14,096.00","15,351.00","13,535.50","532,618","7,586,153,890"
2024-05-29,"14,750","15,200","14,250","14,330","14,194.00","15,467.00","13,514.83","2,257,503","33,402,707,180"
2024-05-28,"14,090","14,320","13,980","14,110","14,242.00","15,654.00","13,488.33","301,333","4,260,919,340"
2024-05-27,"14,280","14,350","13,760","14,020","14,452.00","15,840.50","13,463.08","395,556","5,552,676,890"
2024-05-24,"14,200","14,570","14,120","14,210","14,860.00","15,987.50","13,438.58","233,213","3,317,228,220"
2024-05-23,"14,260","14,390","14,060","14,300","15,070.00","16,083.50","13,414.75","368,325","5,239,024,220"
2024-05-22,"14,900","15,000","14,570","14,570","15,268.00","16,171.00","13,388.25","467,379","6,877,674,880"
2024-05-21,"15,450","15,700","15,160","15,160","15,444.00","16,492.50","13,360.42","907,387","13,871,074,840"
2024-05-20,"15,650","16,930","15,380","16,060","15,552.00","16,596.00","13,328.25","5,256,944","85,642,268,960"
2024-05-17,"15,350","15,700","15,130","15,260","15,642.00","16,744.50","13,288.75","538,312","8,275,047,270"
2024-05-16,"15,300","15,480","15,190","15,290","15,862.00","16,991.50","13,252.33","378,057","5,780,252,350"
2024-05-14,"15,740","15,870","15,360","15,450","16,080.00","17,168.50","13,219.08","456,710","7,085,428,890"
2024-05-13,"16,030","16,350","15,600","15,700","16,550.00","17,207.50","13,187.00","820,674","13,030,573,370"
2024-05-10,"16,350","17,070","16,180","16,510","16,840.00","17,178.00","13,153.17","1,914,821","31,883,314,740"
2024-05-09,"16,640","16,950","16,100","16,360","16,558.00","17,117.50","13,113.17","1,182,019","19,561,647,910"
2024-05-08,"16,910","17,170","16,290","16,380","16,376.00","17,017.00","13,072.33","1,861,669","31,081,220,580"
2024-05-07,"16,780","18,450","16,700","17,800","16,326.00","16,921.50","13,030.50","6,919,179","122,131,465,920"
2024-05-03,"15,620","18,050","15,550","17,150","16,380.00","16,722.50","12,983.00","13,174,919","226,296,408,660"
2024-05-02,"14,950","15,430","14,610","15,100","16,518.00","16,575.00","12,947.58","983,311","14,754,695,500"
2024-04-30,"15,420","15,770","15,080","15,450","16,890.00","16,585.50","12,940.08","1,707,576","26,308,539,270"
2024-04-29,"16,810","16,930","16,120","16,130","17,026.00","16,439.00","12,939.58","2,124,280","34,833,042,170"
2024-04-26,"17,710","18,630","17,420","18,070","17,010.00","16,254.00","12,942.25","3,279,546","59,378,363,100"
2024-04-25,"16,900","18,910","16,560","17,840","17,596.00","15,971.00","12,929.75","10,556,200","189,641,523,710"
2024-04-24,"16,050","16,960","16,050","16,960","17,474.00","15,699.50","12,919.83","703,996","11,741,648,100"
2024-04-23,"15,800","16,550","15,800","16,130","17,888.00","15,487.00","12,919.08","754,883","12,235,952,550"
2024-04-22,"17,870","18,110","16,050","16,050","18,702.00","15,311.00","12,892.83","1,758,989","30,170,794,580"
2024-04-19,"17,220","22,350","16,890","21,000","19,258.00","15,131.50","12,869.33","23,990,208","492,485,973,140"
2024-04-18,"17,240","17,770","17,050","17,230","18,304.00","14,706.50","12,807.08","2,478,663","43,033,331,470"
2024-04-17,"18,600","19,920","17,900","19,030","17,880.00","14,475.50","12,777.00","6,745,165","126,228,230,810"
2024-04-16,"20,450","22,400","19,840","20,200","17,134.00","14,149.50","12,739.08","15,234,638","321,919,466,290"
2024-04-15,"17,660","20,550","17,640","18,830","15,964.00","13,760.00","12,703.58","14,698,875","283,483,536,040"
2024-04-12,"14,590","16,380","14,400","16,230","15,092.00","13,443.50","12,672.33","4,314,946","67,596,353,280"
