시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"20,050","21,400","19,820","21,150","19,946.00","19,823.50","16,746.58","22,335,804","464,194,682,970"
2024-06-18,"19,790","19,940","19,350","19,720","19,716.00","19,651.50","16,701.00","5,968,659","117,198,207,080"
2024-06-17,"19,800","19,920","19,550","19,680","19,604.00","19,555.50","16,667.92","3,791,849","74,759,894,040"
2024-06-14,"19,760","20,150","19,520","19,660","19,558.00","19,474.00","16,636.50","8,012,095","158,472,419,290"
2024-06-13,"20,050","20,200","19,520","19,520","19,460.00","19,396.00","16,604.67","8,249,591","163,611,908,270"
2024-06-12,"19,300","20,250","19,290","20,000","19,380.00","19,303.50","16,570.75","13,075,043","259,310,761,030"
2024-06-11,"19,720","19,920","19,050","19,160","19,220.00","19,188.50","16,535.75","7,737,686","150,342,008,210"
2024-06-10,"19,270","19,740","19,230","19,450","19,538.00","19,097.00","16,505.33","8,708,921","169,520,057,630"
2024-06-07,"19,320","19,840","19,060","19,170","19,808.00","19,006.50","16,474.25","9,572,160","185,950,093,600"
2024-06-05,"19,190","19,400","18,700","19,120","20,094.00","18,915.50","16,446.92","11,131,017","212,174,463,520"
2024-06-04,"20,300","20,600","19,060","19,200","20,460.00","18,813.50","16,420.50","22,201,156","432,945,884,710"
2024-06-03,"21,350","21,350","20,700","20,750","20,980.00","18,681.00","16,393.00","10,844,092","227,235,978,700"
2024-05-31,"20,550","21,750","20,400","20,800","21,090.00","18,468.50","16,350.17","23,319,880","490,832,466,250"
2024-05-30,"20,700","21,000","20,200","20,600","20,582.00","18,268.50","16,304.08","13,731,664","282,335,952,350"
2024-05-29,"21,500","22,000","20,550","20,950","20,086.00","18,078.00","16,264.08","24,131,082","512,645,367,650"
2024-05-28,"21,900","22,000","20,550","21,800","19,508.00","17,841.00","16,215.08","40,450,556","868,394,252,650"
2024-05-27,"20,050","21,750","19,700","21,300","18,690.00","17,544.00","16,160.58","69,376,008","1,432,605,208,290"
2024-05-24,"17,950","18,280","17,440","18,260","17,990.00","17,267.50","16,107.75","4,634,875","83,374,762,350"
2024-05-23,"18,380","18,400","17,970","18,120","17,948.00","17,131.50","16,080.75","4,907,488","89,182,539,440"
2024-05-22,"17,750","18,380","17,710","18,060","17,944.00","17,012.00","16,054.25","7,405,159","134,445,945,010"
2024-05-21,"17,800","17,990","17,660","17,710","17,866.00","16,843.50","16,025.50","2,644,936","47,103,156,010"
