시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"140,000","146,600","139,000","145,700","138,780.00","134,130.00","121,428.33","569,718","82,601,530,400"
2024-06-18,"138,900","140,300","136,700","138,600","136,320.00","133,405.00","121,136.67","278,955","38,851,263,300"
2024-06-17,"139,000","139,500","136,500","137,700","135,340.00","133,070.00","120,915.83","210,212","28,976,966,400"
2024-06-14,"132,200","139,300","132,200","138,900","134,740.00","132,910.00","120,715.00","428,546","59,159,761,000"
2024-06-13,"133,000","134,900","132,900","133,000","133,960.00","132,850.00","120,506.67","213,658","28,519,468,800"
2024-06-12,"133,300","134,600","131,400","133,400","133,520.00","132,995.00","120,321.67","156,537","20,871,100,100"
2024-06-11,"136,400","137,800","133,300","133,700","132,980.00","133,140.00","120,144.17","186,538","25,236,428,700"
2024-06-10,"134,900","136,000","133,500","134,700","132,800.00","132,950.00","119,928.33","136,834","18,471,705,800"
2024-06-07,"131,900","135,500","131,800","135,000","131,940.00","132,690.00","119,717.50","294,666","39,552,485,200"
2024-06-05,"130,000","132,400","129,600","130,800","131,100.00","132,480.00","119,505.00","109,970","14,375,902,700"
2024-06-04,"132,000","133,900","129,900","130,700","131,800.00","132,565.00","119,333.33","156,839","20,617,660,100"
2024-06-03,"131,200","134,800","129,600","132,800","132,740.00","132,445.00","119,193.33","184,229","24,408,434,200"
2024-05-31,"132,000","132,300","129,100","130,400","133,040.00","132,280.00","119,040.83","264,434","34,432,740,000"
2024-05-30,"133,600","134,300","129,000","130,800","134,040.00","132,335.00","118,881.67","224,061","29,340,008,900"
2024-05-29,"134,000","136,000","132,600","134,300","133,620.00","132,430.00","118,722.50","230,294","30,913,422,800"
2024-05-28,"134,600","137,500","133,400","135,400","132,420.00","132,165.00","118,499.17","190,498","25,879,165,000"
2024-05-27,"137,500","137,500","132,100","134,300","131,580.00","131,760.00","118,270.83","238,014","31,917,004,500"
2024-05-24,"127,500","136,100","127,100","135,400","131,100.00","131,515.00","118,035.00","327,931","43,679,044,200"
2024-05-23,"127,800","130,700","127,300","128,700","130,920.00","131,010.00","117,756.67","180,513","23,305,727,800"
2024-05-22,"131,200","131,800","127,400","128,300","132,720.00","130,540.00","117,539.17","285,728","36,937,753,300"
2024-05-21,"132,000","133,000","129,200","131,200","134,240.00","130,090.00","117,328.33","219,201","28,622,401,900"
2024-05-20,"134,600","134,700","131,400","131,900","135,260.00","129,500.00","117,077.50","165,918","22,064,595,700"
2024-05-17,"137,800","138,000","133,600","134,500","134,860.00","128,520.00","116,819.17","249,670","33,793,786,300"
2024-05-16,"137,800","138,000","135,100","137,700","133,860.00","127,380.00","116,516.67","296,050","40,642,812,800"
2024-05-14,"137,200","137,200","134,500","135,900","132,480.00","126,400.00","116,195.00","190,837","25,920,786,200"
2024-05-13,"131,600","137,200","130,700","136,300","131,800.00","125,485.00","115,890.83","492,508","66,611,411,900"
2024-05-10,"131,400","132,000","128,900","129,900","130,200.00","124,485.00","115,549.17","141,091","18,345,041,800"
2024-05-09,"131,000","131,800","129,000","129,500","130,120.00","123,920.00","115,264.17","191,606","24,958,454,000"
2024-05-08,"132,000","133,100","130,400","130,800","130,520.00","123,370.00","114,994.17","169,581","22,276,588,000"
2024-05-07,"127,600","132,600","127,100","132,500","130,900.00","122,810.00","114,720.83","279,702","36,646,987,900"
2024-05-03,"130,100","130,200","127,700","128,300","130,200.00","122,235.00","114,438.33","152,870","19,639,831,900"
2024-05-02,"133,000","133,000","129,200","129,500","130,000.00","121,805.00","114,215.83","205,850","26,832,871,900"
2024-04-30,"132,600","133,500","130,300","131,500","129,980.00","121,320.00","113,991.67","269,506","35,620,080,800"
2024-04-29,"130,200","132,900","129,100","132,700","128,740.00","120,730.00","113,698.33","441,479","58,107,040,700"
2024-04-26,"127,300","131,800","127,300","129,000","126,060.00","120,015.00","113,370.00","476,373","61,983,622,500"
2024-04-25,"129,800","130,700","126,300","127,300","124,120.00","119,575.00","113,061.67","348,090","44,713,994,800"
2024-04-24,"125,400","129,900","123,900","129,400","122,540.00","119,220.00","112,753.33","569,640","73,258,066,700"
2024-04-23,"119,100","128,200","118,800","125,300","119,120.00","118,995.00","112,452.50","577,236","72,278,545,400"
2024-04-22,"121,300","122,900","117,800","119,300","116,400.00","118,950.00","112,197.50","219,316","26,320,606,600"
2024-04-19,"118,300","121,000","115,600","119,300","116,160.00","119,280.00","112,010.83","269,638","31,816,727,500"
2024-04-18,"113,400","121,000","112,700","119,400","115,820.00","119,710.00","111,845.00","375,758","44,196,883,800"
2024-04-17,"112,300","114,200","111,800","112,300","115,200.00","120,120.00","111,652.50","156,746","17,712,711,100"
2024-04-16,"116,900","117,800","110,800","111,700","116,460.00","120,730.00","111,519.17","272,471","30,796,316,500"
2024-04-15,"116,900","119,300","114,700","118,100","117,820.00","121,415.00","111,395.00","143,881","16,845,603,200"
2024-04-12,"116,300","120,100","114,600","117,600","118,120.00","121,700.00","111,230.00","235,730","27,659,011,100"
2024-04-11,"116,900","118,400","114,100","116,300","118,800.00","121,745.00","111,088.33","273,342","31,718,158,200"
2024-04-09,"119,700","121,400","118,000","118,600","119,480.00","121,575.00","110,961.67","130,141","15,595,601,500"
2024-04-08,"119,100","119,200","116,700","118,500","119,720.00","121,350.00","110,811.67","162,229","19,132,185,400"
2024-04-05,"119,600","121,300","119,200","119,600","119,960.00","121,130.00","110,656.67","121,020","14,510,665,300"
2024-04-04,"121,300","121,800","118,500","121,000","119,720.00","120,760.00","110,514.17","211,694","25,395,964,700"
2024-04-03,"120,100","122,100","118,100","119,700","119,560.00","120,385.00","110,379.17","204,535","24,661,531,000"
2024-04-02,"118,700","121,500","117,300","119,800","119,660.00","120,020.00","110,226.67","162,613","19,446,070,100"
2024-04-01,"119,600","119,800","116,200","119,700","120,680.00","119,540.00","110,067.50","167,375","19,836,739,000"
2024-03-29,"120,300","121,800","117,200","118,400","121,620.00","118,945.00","109,928.33","199,548","23,657,488,800"
2024-03-28,"120,200","122,300","119,500","120,200","123,120.00","118,620.00","109,815.00","154,202","18,618,481,900"
2024-03-27,"123,000","123,300","119,100","120,200","124,660.00","118,375.00","109,738.33","333,316","40,144,692,000"
2024-03-26,"125,800","126,100","122,500","124,900","126,140.00","118,055.00","109,690.83","206,321","25,616,851,200"
2024-03-25,"125,900","126,300","123,100","124,400","126,060.00","117,385.00","109,619.17","138,608","17,227,394,900"
2024-03-22,"127,900","128,800","124,000","125,900","126,260.00","116,915.00","109,547.50","283,417","35,608,266,900"
2024-03-21,"129,000","129,000","126,100","127,900","125,840.00","116,460.00","109,481.67","208,546","26,678,885,200"
2024-03-20,"125,700","128,700","125,200","127,600","123,960.00","116,005.00","109,415.83","361,496","46,095,206,900"
2024-03-19,"125,400","125,500","122,700","124,500","121,020.00","115,445.00","109,357.50","218,550","27,144,157,700"
2024-03-18,"125,600","127,300","120,600","125,400","118,940.00","115,195.00","109,328.33","426,019","53,403,589,100"
2024-03-15,"121,000","127,800","120,900","123,800","116,680.00","114,920.00","109,303.33","851,885","106,040,327,500"
2024-03-14,"113,800","121,500","113,300","118,500","114,360.00","114,550.00","109,271.67","497,364","58,961,016,200"
2024-03-13,"114,500","115,200","112,000","112,900","113,360.00","114,340.00","109,278.33","127,504","14,465,844,900"
2024-03-12,"115,500","116,000","112,600","114,100","113,260.00","114,620.00","109,331.67","100,978","11,486,616,100"
2024-03-11,"111,000","116,200","111,000","114,100","112,480.00","114,970.00","109,387.50","132,433","15,151,280,900"
2024-03-08,"114,800","115,300","111,400","112,200","111,220.00","115,335.00","109,426.67","117,143","13,230,826,000"
2024-03-07,"112,700","115,700","111,900","113,500","111,160.00","115,745.00","109,483.33","142,547","16,237,150,300"
