시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"13,540","14,340","12,980","13,120","12,934.00","11,149.50","8,113.83","5,889,680","79,715,528,540"
2024-06-18,"11,900","13,570","11,610","13,270","12,894.00","10,892.50","8,065.33","11,413,179","147,745,154,250"
2024-06-17,"13,540","14,160","11,820","11,900","12,830.00","10,628.50","8,015.33","5,367,499","69,301,702,280"
2024-06-14,"13,170","13,520","13,060","13,400","12,920.00","10,433.50","7,977.25","1,270,516","16,906,816,860"
2024-06-13,"13,120","13,220","12,900","12,980","12,140.00","10,163.50","7,926.67","1,179,273","15,389,108,090"
2024-06-12,"12,610","12,980","12,360","12,920","11,496.00","9,910.00","7,879.17","1,544,448","19,603,527,540"
2024-06-11,"11,950","14,570","11,580","12,950","10,910.00","9,662.00","7,833.50","44,366,040","590,760,304,710"
2024-06-10,"9,620","12,350","9,550","12,350","10,450.00","9,407.00","7,787.42","17,498,592","195,856,062,520"
2024-06-07,"9,750","10,080","9,500","9,500","10,170.00","9,184.50","7,746.25","840,132","8,173,896,450"
2024-06-05,"9,970","10,120","9,620","9,760","10,454.00","9,113.00","7,729.50","1,511,320","14,906,425,420"
2024-06-04,"10,400","10,410","9,770","9,990","10,762.00","9,017.50","7,710.08","1,726,032","17,270,892,050"
2024-06-03,"11,060","11,240","10,350","10,650","11,094.00","8,900.50","7,687.67","1,385,638","14,885,858,200"
2024-05-31,"10,810","11,330","10,420","10,950","11,030.00","8,757.50","7,659.92","3,039,665","33,151,554,070"
2024-05-30,"11,300","11,440","10,560","10,920","10,538.00","8,593.00","7,628.58","2,345,801","25,666,655,140"
2024-05-29,"11,530","11,940","11,300","11,300","10,016.00","8,434.50","7,598.25","3,675,331","42,520,196,510"
2024-05-28,"10,670","12,480","10,160","11,650","9,406.00","8,257.00","7,564.58","22,992,754","267,484,907,580"
2024-05-27,"8,800","10,930","8,640","10,330","8,672.00","8,029.00","7,528.58","18,979,280","189,487,319,420"
2024-05-24,"8,230","8,520","8,120","8,490","8,204.00","7,866.00","7,503.50","426,206","3,577,049,850"
2024-05-23,"8,440","8,580","8,190","8,310","8,106.00","7,790.50","7,494.00","653,431","5,473,338,950"
2024-05-22,"7,980","8,350","7,950","8,250","8,044.00","7,728.00","7,486.08","505,879","4,160,555,100"
2024-05-21,"8,000","8,090","7,930","7,980","7,976.00","7,660.50","7,478.42","165,570","1,322,669,930"
2024-05-20,"8,000","8,090","7,900","7,990","7,972.00","7,611.00","7,473.08","235,269","1,879,469,060"
2024-05-17,"8,160","8,390","8,000","8,000","7,944.00","7,550.00","7,467.67","742,753","6,069,837,770"
2024-05-16,"7,920","8,060","7,900","8,000","7,924.00","7,490.50","7,461.83","277,570","2,212,207,260"
2024-05-14,"7,970","7,990","7,800","7,910","7,938.00","7,440.50","7,456.67","155,713","1,222,137,660"
2024-05-13,"7,930","7,980","7,720","7,960","7,926.00","7,392.50","7,451.58","301,499","2,368,060,720"
2024-05-10,"7,920","7,970","7,770","7,850","7,864.00","7,340.00","7,445.00","255,015","2,008,081,950"
2024-05-09,"8,050","8,170","7,820","7,900","7,852.00","7,306.50","7,438.33","406,842","3,245,844,850"
2024-05-08,"7,910","8,130","7,800","8,070","7,804.00","7,273.00","7,430.67","953,504","7,651,979,390"
2024-05-07,"7,680","7,920","7,660","7,850","7,740.00","7,233.50","7,423.33","478,061","3,728,731,010"
2024-05-03,"7,790","7,790","7,600","7,650","7,720.00","7,202.50","7,418.58","194,609","1,495,439,470"
2024-05-02,"7,740","7,860","7,600","7,790","7,608.00","7,179.00","7,414.83","300,389","2,321,515,230"
2024-04-30,"7,800","7,850","7,660","7,660","7,464.00","7,152.50","7,411.67","436,686","3,378,122,480"
2024-04-29,"7,570","7,910","7,560","7,750","7,328.00","7,137.50","7,408.92","1,008,178","7,821,334,020"
2024-04-26,"7,080","8,410","7,060","7,750","7,190.00","7,116.50","7,404.83","6,149,919","48,077,361,410"
2024-04-25,"7,050","7,150","7,000","7,090","7,020.00","7,101.50","7,399.67","47,599","337,131,470"
2024-04-24,"6,990","7,070","6,990","7,070","7,000.00","7,117.50","7,398.58","43,739","307,315,620"
2024-04-23,"7,030","7,080","6,970","6,980","6,940.00","7,130.00","7,398.50","42,259","296,206,120"
2024-04-22,"6,920","7,110","6,920","7,060","6,906.00","7,153.50","7,399.25","79,772","561,033,940"
2024-04-19,"6,990","7,040","6,820","6,900","6,894.00","7,175.50","7,400.75","86,934","603,023,270"
2024-04-18,"6,730","7,010","6,730","6,990","6,904.00","7,206.00","7,403.50","65,238","453,419,890"
2024-04-17,"6,810","6,900","6,770","6,770","6,888.00","7,230.00","7,405.08","55,541","379,320,510"
2024-04-16,"7,000","7,020","6,800","6,810","6,970.00","7,268.00","7,406.83","121,687","835,254,310"
2024-04-15,"6,900","7,000","6,810","7,000","7,054.00","7,309.50","7,408.92","65,627","453,114,550"
2024-04-12,"6,910","7,000","6,900","6,950","7,110.00","7,344.50","7,409.92","55,878","388,689,260"
2024-04-11,"7,130","7,140","6,850","6,910","7,166.00","7,388.00","7,413.58","198,320","1,371,879,900"
