시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"18,720","19,860","18,100","18,700","17,504.00","16,743.50","11,539.00","3,996,251","76,474,558,720"
2024-06-18,"17,170","18,440","17,140","18,160","17,252.00","16,547.00","11,457.00","3,941,821","70,664,458,530"
2024-06-17,"17,100","19,540","16,350","16,810","17,058.00","16,377.00","11,380.00","8,116,278","147,420,353,170"
2024-06-14,"17,010","17,130","16,310","16,900","17,124.00","16,246.50","11,313.25","849,587","14,202,367,120"
2024-06-13,"17,800","18,180","16,630","16,950","16,886.00","16,126.50","11,247.67","1,526,695","26,384,368,440"
2024-06-12,"17,110","17,520","16,690","17,440","16,600.00","15,926.00","11,183.50","1,003,755","17,239,729,870"
2024-06-11,"17,500","17,510","16,650","17,190","16,312.00","15,693.00","11,112.58","1,420,429","24,390,650,610"
2024-06-10,"15,870","17,230","15,850","17,140","16,104.00","15,465.00","11,039.08","2,322,011","38,798,798,810"
2024-06-07,"15,700","16,340","15,320","15,710","15,980.00","15,239.50","10,966.25","1,766,118","28,041,777,290"
2024-06-05,"16,140","16,340","15,450","15,520","16,060.00","15,119.00","10,904.92","675,590","10,649,844,470"
2024-06-04,"16,420","16,540","15,850","16,000","16,236.00","15,009.50","10,846.25","648,862","10,453,165,130"
2024-06-03,"16,360","16,740","15,200","16,150","16,488.00","14,728.50","10,782.83","1,634,595","25,935,206,960"
2024-05-31,"16,120","16,910","16,100","16,520","16,810.00","14,463.00","10,720.58","1,310,661","21,604,914,720"
2024-05-30,"16,100","16,520","15,700","16,110","16,782.00","14,173.00","10,656.92","971,809","15,579,917,790"
2024-05-29,"16,950","17,690","16,030","16,400","16,714.00","13,910.50","10,598.75","2,370,995","39,493,747,980"
2024-05-28,"18,240","18,250","17,000","17,260","16,634.00","13,620.50","10,534.67","2,019,436","35,287,547,180"
2024-05-27,"16,950","17,790","16,530","17,760","16,136.00","13,261.00","10,464.33","3,503,637","60,709,948,330"
2024-05-24,"15,450","16,650","14,510","16,380","15,536.00","12,880.50","10,390.08","3,066,669","49,035,092,260"
2024-05-23,"16,550","16,550","15,550","15,770","15,100.00","12,551.50","10,326.92","2,287,952","36,524,738,070"
2024-05-22,"15,300","16,730","14,850","16,000","14,846.00","12,271.50","10,268.42","5,679,017","89,974,973,130"
2024-05-21,"14,980","15,110","14,400","14,770","14,234.00","12,005.00","10,209.00","845,659","12,466,227,180"
2024-05-20,"14,300","15,150","14,130","14,760","13,836.00","11,846.00","10,161.17","1,824,171","26,787,905,130"
