시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"15,740","16,640","14,900","15,740","13,838.00","12,147.00","9,288.08","5,008,185","79,036,979,850"
2024-06-18,"12,100","15,740","11,790","15,740","13,330.00","11,805.00","9,230.08","10,932,374","158,768,989,440"
2024-06-17,"12,770","12,890","12,060","12,110","12,888.00","11,462.00","9,171.75","543,030","6,705,538,910"
2024-06-14,"12,930","13,050","12,100","12,500","13,336.00","11,299.50","9,144.00","811,728","10,163,000,240"
2024-06-13,"12,960","13,700","12,730","13,100","13,690.00","11,119.50","9,113.17","795,080","10,444,607,490"
2024-06-12,"14,170","14,620","13,200","13,200","13,644.00","10,907.00","9,077.00","992,695","13,699,928,600"
2024-06-11,"14,200","14,790","13,000","13,530","14,002.00","10,688.50","9,040.17","1,127,600","15,646,469,060"
2024-06-10,"13,950","15,620","13,850","14,350","13,750.00","10,462.00","9,000.67","2,664,516","39,506,544,900"
2024-06-07,"13,770","16,070","13,770","14,270","13,334.00","10,194.50","8,954.50","8,542,590","129,251,062,300"
2024-06-05,"14,310","14,510","12,410","12,870","12,752.00","9,934.00","8,909.75","2,119,397","28,715,502,630"
2024-06-04,"13,950","15,500","13,600","14,990","12,288.00","9,741.00","8,877.08","9,087,579","133,021,796,670"
2024-06-03,"12,200","13,360","12,140","12,270","11,050.00","9,443.00","8,826.83","3,260,419","41,536,490,510"
2024-05-31,"12,480","14,100","12,070","12,270","10,356.00","9,287.50","8,799.17","10,074,871","134,735,051,730"
2024-05-30,"10,470","13,240","10,220","11,360","9,664.00","9,129.00","8,771.92","14,337,828","177,693,405,560"
2024-05-29,"8,940","11,400","8,670","10,550","9,156.00","9,014.50","8,752.58","7,026,106","74,570,830,840"
2024-05-28,"8,730","8,840","8,730","8,800","8,818.00","8,940.00","8,740.08","6,378","56,011,450"
2024-05-27,"8,860","8,860","8,610","8,800","8,838.00","8,953.00","8,742.17","16,036","140,124,880"
2024-05-24,"8,780","8,880","8,770","8,810","8,854.00","8,966.50","8,744.25","3,303","29,080,390"
2024-05-23,"8,860","8,910","8,730","8,820","8,864.00","8,981.50","8,746.25","5,862","51,726,620"
2024-05-22,"8,890","8,890","8,810","8,860","8,880.00","8,993.00","8,748.42","5,633","49,797,590"
2024-05-21,"8,950","8,960","8,840","8,900","8,878.00","9,002.50","8,750.17","15,930","141,527,030"
2024-05-20,"8,930","8,930","8,750","8,880","8,864.00","9,011.50","8,752.00","6,262","55,275,130"
2024-05-17,"8,910","8,920","8,800","8,860","8,888.00","9,005.50","8,754.25","8,478","75,087,360"
2024-05-16,"8,900","8,920","8,790","8,900","8,916.00","8,992.00","8,756.42","4,087","36,298,540"
2024-05-14,"8,800","8,920","8,710","8,850","8,948.00","8,979.50","8,757.50","9,127","80,364,290"
2024-05-13,"8,950","9,040","8,820","8,830","8,980.00","8,969.00","8,759.17","8,939","79,347,430"
2024-05-10,"9,050","9,050","8,920","9,000","9,020.00","8,958.50","8,760.58","6,282","56,326,810"
2024-05-09,"9,060","9,080","8,920","9,000","9,052.00","8,938.00","8,759.75","6,397","57,536,890"
2024-05-08,"9,010","9,060","8,990","9,060","9,072.00","8,914.00","8,759.67","5,954","53,788,820"
2024-05-07,"9,030","9,070","8,910","9,010","9,074.00","8,885.00","8,759.58","16,804","150,874,120"
2024-05-03,"9,160","9,180","9,030","9,030","9,084.00","8,859.00","8,760.33","17,074","155,094,360"
2024-05-02,"9,090","9,170","9,070","9,160","9,090.00","8,827.00","8,761.08","8,575","78,261,410"
2024-04-30,"9,050","9,130","9,050","9,100","9,072.00","8,789.50","8,760.75","12,550","114,133,490"
2024-04-29,"9,060","9,100","9,000","9,070","9,074.00","8,768.50","8,759.67","11,411","103,218,780"
2024-04-26,"9,060","9,140","9,010","9,060","9,070.00","8,754.50","8,756.58","14,208","129,028,380"
2024-04-25,"9,100","9,100","9,010","9,060","9,068.00","8,740.00","8,752.58","7,720","69,841,920"
2024-04-24,"9,150","9,150","9,000","9,070","9,072.00","8,723.00","8,748.58","18,900","171,311,130"
2024-04-23,"9,100","9,140","9,000","9,110","9,010.00","8,699.50","8,744.83","24,730","224,479,920"
2024-04-22,"9,050","9,110","8,970","9,050","8,906.00","8,672.00","8,741.00","25,587","231,846,140"
2024-04-19,"9,050","9,130","8,810","9,050","8,826.00","8,639.00","8,737.83","34,363","309,253,390"
2024-04-18,"8,780","9,140","8,710","9,080","8,744.00","8,603.00","8,736.67","52,335","470,931,530"
2024-04-17,"8,590","8,790","8,550","8,760","8,652.00","8,559.50","8,734.08","23,088","201,294,870"
2024-04-16,"8,690","8,690","8,520","8,590","8,618.00","8,533.00","8,732.42","11,283","96,756,660"
2024-04-15,"8,580","8,680","8,570","8,650","8,604.00","8,522.50","8,734.08","9,992","86,111,980"
2024-04-12,"8,620","8,690","8,570","8,640","8,570.00","8,509.50","8,736.25","14,206","122,707,890"
2024-04-11,"8,580","8,630","8,410","8,620","8,540.00","8,500.50","8,739.00","9,591","82,138,000"
2024-04-09,"8,480","8,600","8,450","8,590","8,494.00","8,489.00","8,741.75","5,073","43,215,160"
2024-04-08,"8,520","8,530","8,460","8,520","8,458.00","8,476.50","8,744.08","15,271","129,515,050"
2024-04-05,"8,490","8,540","8,450","8,480","8,490.00","8,469.50","8,749.50","4,084","34,650,210"
2024-04-04,"8,590","8,590","8,400","8,490","8,552.00","8,460.00","8,755.33","7,297","61,802,620"
2024-04-03,"8,390","8,540","8,350","8,390","8,608.00","8,450.00","8,760.08","14,420","121,499,890"
2024-04-02,"8,600","8,660","8,410","8,410","8,674.00","8,453.50","8,764.50","18,693","158,362,350"
2024-04-01,"8,700","8,780","8,620","8,680","8,712.00","8,462.50","8,770.67","10,226","88,466,110"
2024-03-29,"8,760","8,840","8,650","8,790","8,688.00","8,459.00","8,771.83","11,339","99,110,870"
2024-03-28,"8,720","8,770","8,600","8,770","8,608.00","8,447.50","8,774.42","16,005","139,171,930"
2024-03-27,"8,580","8,730","8,550","8,720","8,520.00","8,438.50","8,779.67","22,861","197,662,420"
2024-03-26,"8,540","8,800","8,490","8,600","8,418.00","8,434.00","8,785.00","19,743","169,578,720"
2024-03-25,"8,440","8,590","8,390","8,560","8,344.00","8,440.50","8,793.25","12,880","109,358,020"
2024-03-22,"8,400","8,420","8,270","8,390","8,308.00","8,462.00","8,801.92","20,207","168,548,040"
2024-03-21,"8,210","8,380","8,200","8,330","8,308.00","8,496.50","8,811.92","8,649","71,673,560"
2024-03-20,"8,220","8,300","8,190","8,210","8,334.00","8,534.50","8,822.42","21,870","179,927,260"
2024-03-19,"8,350","8,380","8,210","8,230","8,370.00","8,582.50","8,834.33","16,983","140,242,670"
2024-03-18,"8,340","8,410","8,260","8,380","8,392.00","8,631.50","8,846.08","7,771","64,677,720"
2024-03-15,"8,430","8,430","8,240","8,390","8,392.00","8,667.00","8,856.83","8,861","73,825,440"
2024-03-14,"8,390","8,460","8,200","8,460","8,372.00","8,696.50","8,867.75","15,506","128,894,940"
2024-03-13,"8,340","8,390","8,250","8,390","8,338.00","8,732.50","8,877.67","9,622","79,686,010"
2024-03-12,"8,390","8,390","8,290","8,340","8,352.00","8,772.50","8,887.42","8,013","66,741,230"
2024-03-11,"8,290","8,380","8,220","8,380","8,402.00","8,818.50","8,897.58","5,831","48,373,440"
2024-03-08,"8,290","8,330","8,210","8,290","8,448.00","8,864.50","8,907.42","8,669","71,473,490"
2024-03-07,"8,460","8,460","8,240","8,290","8,502.00","8,910.00","8,918.50","10,260","85,274,290"
2024-03-06,"8,480","8,570","8,400","8,460","8,562.00","8,971.00","8,930.08","10,282","86,890,440"
2024-03-05,"8,660","8,660","8,400","8,590","8,596.00","9,006.00","8,940.67","16,975","143,597,000"
2024-03-04,"8,790","8,790","8,490","8,610","8,624.00","9,034.00","8,949.92","9,555","81,861,300"
2024-02-29,"8,590","8,670","8,540","8,560","8,700.00","9,033.50","8,959.08","7,397","63,698,260"
2024-02-28,"8,590","8,590","8,410","8,590","8,804.00","9,033.00","8,969.42","26,588","225,562,190"
2024-02-27,"8,720","8,730","8,460","8,630","8,904.00","9,020.00","8,979.42","27,853","238,711,160"
2024-02-26,"9,000","9,050","8,730","8,730","9,012.00","8,990.50","8,989.75","35,496","312,669,350"
2024-02-23,"9,080","9,130","8,930","8,990","9,108.00","8,954.00","8,998.67","15,100","135,604,590"
2024-02-22,"9,000","9,100","8,980","9,080","9,128.00","8,905.00","9,005.50","8,138","73,491,860"
2024-02-21,"9,170","9,170","8,970","9,090","9,108.00","8,856.00","9,011.00","18,564","167,480,570"
2024-02-20,"9,210","9,260","9,050","9,170","9,126.00","8,814.00","9,016.75","18,080","165,158,040"
2024-02-19,"9,180","9,230","8,800","9,210","9,130.00","8,771.00","9,023.58","26,734","243,380,180"
2024-02-16,"8,990","9,120","8,890","9,090","9,140.00","8,728.50","9,029.92","22,687","203,595,000"
2024-02-15,"9,150","9,220","8,970","8,980","9,182.00","8,696.00","9,037.50","23,028","208,782,190"
2024-02-14,"9,190","9,230","9,000","9,180","9,226.00","8,675.50","9,046.17","23,731","216,197,610"
2024-02-13,"9,340","9,350","9,120","9,190","9,292.00","8,644.00","9,053.50","27,671","254,668,690"
2024-02-08,"9,300","9,300","9,120","9,260","9,286.00","8,614.50","9,061.42","39,638","365,042,740"
2024-02-07,"9,300","9,500","9,180","9,300","9,264.00","8,582.50","9,068.67","43,266","404,401,350"
2024-02-06,"9,520","9,590","9,110","9,200","9,124.00","8,547.50","9,075.33","102,024","949,883,380"
2024-02-05,"9,150","10,650","9,060","9,510","8,994.00","8,517.00","9,083.67","699,194","6,824,959,350"
2024-02-02,"9,180","9,210","8,870","9,160","8,758.00","8,471.00","9,089.08","39,949","363,390,490"
2024-02-01,"8,600","9,150","8,550","9,150","8,534.00","8,442.50","9,097.92","60,968","543,654,000"
2024-01-31,"8,550","8,660","8,550","8,600","8,304.00","8,416.50","9,107.42","12,394","106,604,420"
2024-01-30,"8,330","8,620","8,330","8,550","8,186.00","8,421.50","9,115.42","20,424","174,541,780"
2024-01-29,"8,040","8,410","7,970","8,330","8,096.00","8,432.00","9,123.92","23,773","193,670,180"
2024-01-26,"8,000","8,160","7,990","8,040","8,080.00","8,452.50","9,135.67","12,292","99,253,420"
2024-01-25,"8,060","8,060","7,820","8,000","8,134.00","8,487.50","9,149.83","25,074","198,040,510"
2024-01-24,"8,170","8,180","8,000","8,010","8,206.00","8,523.50","9,164.75","15,491","124,790,730"
2024-01-23,"8,240","8,270","8,090","8,100","8,292.00","8,562.00","9,176.92","19,617","159,689,190"
2024-01-22,"8,310","8,310","8,120","8,250","8,386.00","8,596.50","9,185.00","10,259","84,039,990"
2024-01-19,"8,410","8,430","8,210","8,310","8,446.00","8,627.50","9,196.67","21,913","181,975,890"
2024-01-18,"8,440","8,440","8,310","8,360","8,504.00","8,651.00","9,210.00","7,919","66,146,000"
2024-01-17,"8,570","8,570","8,390","8,440","8,556.00","8,670.00","9,225.33","10,790","91,144,310"
2024-01-16,"8,550","8,580","8,400","8,570","8,588.00","8,687.00","9,240.92","17,441","148,196,410"
2024-01-15,"8,560","8,600","8,510","8,550","8,592.00","8,698.50","9,255.83","7,529","64,341,790"
2024-01-12,"8,650","8,650","8,540","8,600","8,600.00","8,709.00","9,271.17","3,969","34,108,700"
2024-01-11,"8,620","8,630","8,600","8,620","8,598.00","8,718.00","9,288.08","2,114","18,199,100"
2024-01-10,"8,550","8,620","8,550","8,600","8,600.00","8,726.50","9,304.67","4,948","42,390,510"
