시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"6,450","8,370","6,440","7,750","6,640.00","6,580.50","7,220.00","9,324,161","73,916,418,730"
2024-06-18,"6,390","6,490","6,360","6,440","6,354.00","6,536.00","7,214.50","41,202","264,724,990"
2024-06-17,"6,320","6,490","6,310","6,380","6,344.00","6,561.50","7,220.17","40,451","259,335,980"
2024-06-14,"6,300","6,330","6,220","6,310","6,320.00","6,592.50","7,226.17","53,267","334,241,750"
2024-06-13,"6,360","6,430","6,200","6,320","6,358.00","6,632.00","7,232.25","73,800","465,372,230"
2024-06-12,"6,410","6,530","6,320","6,320","6,394.00","6,672.00","7,240.25","98,630","632,869,100"
2024-06-11,"6,260","7,160","6,260","6,390","6,434.00","6,707.00","7,249.25","1,163,508","7,889,849,460"
2024-06-10,"6,500","6,510","6,200","6,260","6,474.00","6,738.00","7,259.50","115,276","728,405,450"
2024-06-07,"6,490","6,540","6,460","6,500","6,538.00","6,772.00","7,265.33","15,499","100,580,410"
2024-06-05,"6,510","6,560","6,470","6,500","6,540.00","6,800.00","7,269.08","12,622","82,059,910"
2024-06-04,"6,520","6,600","6,510","6,520","6,570.00","6,825.50","7,274.67","20,269","132,639,820"
2024-06-03,"6,580","6,650","6,540","6,590","6,608.00","6,851.50","7,276.33","18,057","118,691,420"
2024-05-31,"6,510","6,610","6,500","6,580","6,626.00","6,874.00","7,278.00","15,897","103,976,970"
2024-05-30,"6,650","6,650","6,510","6,510","6,646.00","6,888.50","7,278.83","25,700","168,358,020"
2024-05-29,"6,730","6,780","6,610","6,650","6,698.00","6,905.50","7,280.00","22,154","147,889,950"
2024-05-28,"6,650","6,910","6,650","6,710","6,718.00","6,912.00","7,278.58","33,627","227,450,620"
2024-05-27,"6,630","6,680","6,530","6,680","6,748.00","6,916.00","7,276.08","34,718","228,370,180"
2024-05-24,"6,720","6,780","6,630","6,680","6,802.00","6,925.50","7,273.75","18,289","122,076,790"
2024-05-23,"6,720","6,790","6,630","6,770","6,866.00","6,926.00","7,273.83","15,515","103,920,170"
2024-05-22,"6,800","6,830","6,720","6,750","6,932.00","6,925.00","7,273.00","36,211","245,079,260"
