시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"234,500","256,000","233,000","251,000","235,100.00","216,450.00","184,721.67","1,670,583","414,904,419,000"
2024-06-18,"239,000","239,000","230,000","232,500","227,300.00","214,275.00","183,679.17","455,800","106,450,103,000"
2024-06-17,"232,000","241,500","228,000","238,500","222,800.00","213,175.00","182,789.17","687,722","163,298,634,000"
2024-06-14,"225,500","234,500","222,000","228,500","217,900.00","211,650.00","181,850.83","708,824","162,723,992,000"
2024-06-13,"213,500","226,000","211,500","225,000","214,100.00","210,975.00","180,989.17","869,481","192,355,507,000"
2024-06-12,"210,500","213,000","209,000","212,000","210,400.00","210,575.00","180,155.83","278,649","58,842,093,500"
2024-06-11,"216,000","217,500","209,000","210,000","210,200.00","211,050.00","179,461.67","280,885","59,498,014,000"
2024-06-10,"207,500","214,500","206,500","214,000","212,800.00","211,450.00","178,784.17","292,737","61,813,151,000"
2024-06-07,"210,500","214,500","209,000","209,500","211,000.00","211,450.00","178,095.00","390,959","82,616,297,000"
2024-06-05,"210,500","212,500","206,000","206,500","209,900.00","211,900.00","177,460.83","426,878","88,670,845,000"
2024-06-04,"220,000","221,500","209,500","211,000","212,200.00","212,500.00","176,872.50","905,384","193,108,903,500"
2024-06-03,"213,000","243,500","209,500","223,000","214,600.00","212,725.00","176,240.00","3,172,835","728,570,120,500"
2024-05-31,"208,500","210,500","204,000","205,000","212,200.00","212,600.00","175,534.17","413,790","85,521,437,000"
2024-05-30,"217,500","220,500","203,500","204,000","212,000.00","212,925.00","174,959.17","456,680","95,503,180,000"
2024-05-29,"223,500","225,500","215,500","218,000","211,500.00","214,325.00","174,308.33","481,569","105,512,653,500"
2024-05-28,"215,500","225,000","211,000","223,000","208,100.00","215,175.00","173,517.50","635,646","139,885,485,500"
2024-05-27,"204,500","212,000","204,500","211,000","205,000.00","216,075.00","172,655.00","332,934","69,506,759,500"
2024-05-24,"198,300","206,000","195,500","204,000","204,900.00","217,600.00","171,883.33","321,893","64,730,964,900"
2024-05-23,"201,000","203,500","194,000","201,500","205,700.00","219,225.00","171,184.17","322,109","64,379,374,100"
2024-05-22,"207,500","209,500","201,000","201,000","208,400.00","220,150.00","170,520.83","364,716","74,340,263,000"
2024-05-21,"210,500","212,000","206,000","207,500","211,600.00","221,800.00","169,853.33","228,813","47,711,980,000"
2024-05-20,"207,500","212,000","200,500","210,500","214,400.00","222,725.00","169,124.17","381,712","79,093,494,000"
2024-05-17,"215,000","217,000","207,500","208,000","215,900.00","223,200.00","168,380.83","299,874","63,253,900,000"
2024-05-16,"219,000","221,000","214,000","215,000","217,100.00","223,350.00","167,658.33","325,066","70,492,164,500"
2024-05-14,"221,500","221,500","216,000","217,000","217,800.00","223,100.00","166,870.83","227,031","49,410,340,000"
2024-05-13,"218,000","223,000","216,000","221,500","218,100.00","223,100.00","166,133.33","240,031","52,948,446,000"
2024-05-10,"217,500","222,500","217,500","218,000","216,900.00","222,725.00","165,352.50","319,605","70,241,866,500"
2024-05-09,"219,000","219,000","213,000","214,000","217,400.00","222,275.00","164,578.33","297,223","63,732,606,000"
2024-05-08,"218,500","219,000","213,000","218,500","216,900.00","222,175.00","163,835.00","292,650","63,119,760,025"
2024-05-07,"217,000","219,000","211,500","218,500","219,600.00","221,875.00","163,050.00","355,997","77,043,632,180"
2024-05-03,"222,500","224,000","215,000","215,500","222,900.00","222,750.00","162,244.17","335,186","73,015,461,000"
2024-05-02,"212,000","225,000","210,000","220,500","228,000.00","223,375.00","161,480.83","793,182","173,971,227,000"
2024-04-30,"231,500","232,500","211,500","211,500","232,200.00","224,400.00","160,657.50","1,215,823","265,941,523,000"
2024-04-29,"235,000","236,000","228,000","232,000","237,200.00","224,275.00","159,895.00","461,211","106,934,529,500"
2024-04-26,"243,000","249,500","232,000","235,000","234,800.00","222,900.00","158,923.33","697,251","167,563,990,500"
2024-04-25,"239,500","244,500","235,000","241,000","234,600.00","221,525.00","157,910.83","598,872","144,229,549,500"
2024-04-24,"235,000","246,000","231,500","241,500","231,600.00","220,625.00","156,744.17","879,604","211,865,074,100"
2024-04-23,"224,000","236,500","223,000","236,500","227,300.00","219,350.00","155,579.17","933,249","215,734,647,500"
2024-04-22,"236,500","237,500","219,000","220,000","222,200.00","217,700.00","154,421.67","704,924","158,980,257,000"
2024-04-19,"229,500","240,500","226,000","234,000","220,200.00","216,800.00","153,418.33","1,861,363","435,734,447,000"
2024-04-18,"221,500","226,500","218,500","226,000","216,800.00","214,785.00","152,310.00","496,547","110,808,285,500"
2024-04-17,"212,500","224,500","207,500","220,000","214,400.00","213,055.00","151,258.33","817,587","178,517,728,613"
2024-04-16,"211,000","220,500","207,000","211,000","212,200.00","211,580.00","150,260.83","854,102","182,162,769,500"
2024-04-15,"221,000","222,500","210,000","210,000","212,400.00","210,190.00","149,285.83","498,153","106,492,840,000"
2024-04-12,"216,000","222,000","213,500","217,000","212,900.00","208,695.00","148,346.67","471,206","101,927,928,000"
2024-04-11,"207,000","216,500","207,000","214,000","216,700.00","206,975.00","147,370.00","526,361","112,151,616,000"
2024-04-09,"209,500","214,500","205,500","209,000","219,500.00","205,430.00","146,422.50","567,978","119,533,624,000"
2024-04-08,"212,000","221,000","210,000","212,000","225,900.00","204,245.00","145,525.83","677,490","145,240,407,000"
2024-04-05,"225,500","234,500","210,000","212,500","225,300.00","203,295.00","144,642.50","1,368,496","300,052,805,500"
2024-04-04,"225,000","238,500","220,500","236,000","223,700.00","202,670.00","143,746.67","1,095,178","251,282,534,000"
2024-04-03,"241,000","241,500","216,000","228,000","218,000.00","200,870.00","142,643.33","2,107,940","475,916,058,500"
2024-04-02,"211,500","245,000","200,500","241,000","217,000.00","199,670.00","141,585.00","3,141,771","720,110,193,688"
2024-04-01,"207,000","212,000","204,500","209,000","212,000.00","196,885.00","140,400.00","320,698","66,987,335,500"
2024-03-29,"208,500","213,500","203,500","204,500","210,900.00","195,815.00","139,480.83","455,605","94,471,803,500"
2024-03-28,"219,500","220,000","206,500","207,500","210,400.00","194,965.00","138,628.33","792,022","168,374,989,500"
2024-03-27,"223,000","225,000","214,000","223,000","207,640.00","194,315.00","137,770.83","835,381","182,894,118,500"
2024-03-26,"207,500","219,000","207,000","216,000","201,320.00","192,120.00","136,780.83","1,175,300","251,189,269,500"
2024-03-25,"207,500","214,500","201,500","203,500","196,220.00","189,630.00","135,850.83","889,909","185,717,743,000"
2024-03-22,"195,900","217,000","195,700","202,000","192,160.00","187,160.00","135,036.67","1,947,227","404,681,795,400"
2024-03-21,"192,800","194,400","190,100","193,700","187,780.00","184,960.00","134,263.33","391,654","75,368,575,400"
2024-03-20,"193,200","195,000","188,700","191,400","185,560.00","182,995.00","133,560.83","590,195","113,482,174,900"
2024-03-19,"189,200","192,900","186,800","190,500","183,900.00","181,120.00","132,876.67","1,109,665","210,861,948,100"
2024-03-18,"181,900","184,800","180,600","183,200","182,860.00","179,190.00","132,214.17","511,934","93,951,410,400"
2024-03-15,"183,600","187,000","179,900","180,100","184,820.00","177,095.00","131,616.67","499,618","90,597,311,400"
2024-03-14,"184,800","188,600","181,800","182,600","188,800.00","175,335.00","131,041.67","759,230","139,953,251,600"
2024-03-13,"185,800","188,000","179,200","183,100","192,280.00","173,520.00","130,455.00","845,400","155,458,162,100"
2024-03-12,"192,700","193,900","183,000","185,300","196,460.00","171,160.00","129,906.67","953,483","176,513,696,000"
2024-03-11,"199,000","202,000","192,300","193,000","196,460.00","168,635.00","129,377.50","640,002","124,721,611,600"
2024-03-08,"203,000","205,500","197,200","200,000","195,380.00","165,635.00","128,746.67","584,099","117,304,160,100"
2024-03-07,"207,000","210,000","195,800","200,000","192,880.00","162,235.00","128,030.00","1,018,618","205,951,240,600"
2024-03-06,"185,500","205,500","185,500","204,000","191,780.00","158,760.00","127,343.33","2,296,464","455,619,489,000"
2024-03-05,"186,100","191,900","184,000","185,300","186,800.00","155,170.00","126,599.17","668,172","125,231,800,400"
2024-03-04,"190,000","193,000","185,200","187,600","182,980.00","152,535.00","126,009.17","789,213","148,902,299,700"
2024-02-29,"196,000","203,000","186,200","187,500","176,280.00","150,060.00","125,400.83","1,612,512","308,366,635,500"
2024-02-28,"180,100","195,900","180,100","194,500","170,380.00","147,280.00","124,790.00","2,898,453","554,530,759,600"
2024-02-27,"167,100","189,300","167,000","179,100","162,360.00","144,330.00","124,129.17","4,119,382","744,890,634,900"
2024-02-26,"156,000","168,100","155,800","166,200","157,320.00","142,405.00","123,580.83","1,634,703","265,745,120,100"
2024-02-23,"158,500","158,600","150,800","154,100","154,460.00","141,120.00","123,138.33","685,080","105,262,673,800"
2024-02-22,"156,900","159,300","153,800","158,000","151,900.00","140,500.00","122,770.83","705,204","110,957,935,300"
2024-02-21,"155,200","159,000","150,600","154,400","149,280.00","139,780.00","122,376.67","588,169","90,616,073,400"
2024-02-20,"152,400","160,000","151,300","153,900","147,660.00","139,465.00","122,025.83","1,284,563","201,072,819,850"
2024-02-19,"142,100","152,500","141,900","151,900","144,060.00","139,000.00","121,650.83","821,327","122,407,330,100"
2024-02-16,"145,000","146,700","141,000","141,300","140,640.00","138,475.00","121,292.50","400,760","57,387,696,100"
2024-02-15,"146,500","147,500","144,500","144,900","138,980.00","138,160.00","121,011.67","402,279","58,640,349,900"
2024-02-14,"135,900","155,000","134,100","146,300","136,400.00","137,850.00","120,705.00","1,341,992","195,890,805,400"
2024-02-13,"137,300","138,200","135,400","135,900","133,240.00","137,575.00","120,395.83","272,854","37,222,844,100"
2024-02-08,"134,600","138,000","134,300","134,800","132,500.00","137,845.00","120,210.83","415,852","56,626,101,100"
2024-02-07,"134,000","135,400","131,700","133,000","132,060.00","138,205.00","120,058.33","278,803","37,173,913,200"
2024-02-06,"129,900","132,500","127,200","132,000","133,080.00","138,370.00","119,905.83","346,914","44,945,714,700"
2024-02-05,"132,100","133,000","130,000","130,500","133,060.00","138,230.00","119,789.17","249,674","32,793,597,400"
2024-02-02,"132,600","134,400","131,000","132,200","134,060.00","138,155.00","119,690.83","331,300","43,909,174,100"
2024-02-01,"135,600","139,300","131,500","132,600","135,740.00","138,100.00","119,596.67","444,246","59,725,915,400"
2024-01-31,"133,100","138,500","132,500","138,100","137,320.00","138,085.00","119,488.33","498,657","68,151,879,700"
2024-01-30,"135,500","137,200","130,900","131,900","138,040.00","137,845.00","119,329.17","425,534","56,669,068,100"
2024-01-29,"141,900","144,200","135,500","135,500","140,380.00","137,735.00","119,236.67","481,993","67,044,380,500"
2024-01-26,"139,600","143,300","139,300","140,600","142,900.00","137,185.00","119,120.00","275,364","39,060,386,700"
2024-01-25,"141,900","145,600","140,100","140,500","143,700.00","136,380.00","118,966.67","359,170","51,097,680,400"
2024-01-24,"141,900","145,400","140,000","141,700","143,880.00","135,500.00","118,758.33","287,621","41,084,792,400"
2024-01-23,"148,700","149,200","143,300","143,600","142,540.00","134,795.00","118,613.33","451,193","65,790,584,600"
2024-01-22,"145,900","149,000","143,100","148,100","141,560.00","133,885.00","118,473.33","541,566","79,020,190,900"
2024-01-19,"142,500","146,900","140,100","144,600","140,100.00","132,835.00","118,347.50","651,410","93,483,002,000"
2024-01-18,"135,200","142,300","135,100","141,400","139,440.00","131,900.00","118,218.33","692,621","97,177,288,200"
2024-01-17,"138,400","139,400","133,500","135,000","139,560.00","131,115.00","118,109.17","396,247","53,637,292,015"
2024-01-16,"140,300","141,300","137,900","138,700","139,820.00","130,660.00","118,050.00","274,570","38,192,004,700"
2024-01-15,"143,200","145,500","139,100","140,800","137,920.00","129,980.00","117,960.00","480,094","68,096,111,800"
2024-01-12,"142,600","149,500","140,000","141,300","135,560.00","129,190.00","117,855.83","1,001,584","144,846,738,000"
2024-01-11,"136,900","144,300","136,300","142,000","133,520.00","128,560.00","117,770.00","1,217,137","172,084,484,000"
2024-01-10,"130,500","139,400","130,200","136,300","131,580.00","127,895.00","117,718.33","1,096,572","148,732,720,700"
2024-01-09,"130,900","130,900","128,900","129,200","130,980.00","127,645.00","117,759.17","249,673","32,376,593,100"
2024-01-08,"131,100","133,600","128,300","129,000","131,080.00","127,855.00","117,825.83","273,376","35,527,113,500"
2024-01-05,"133,000","142,200","129,500","131,100","130,180.00","128,200.00","117,927.50","1,124,082","152,275,644,500"
2024-01-04,"134,100","136,200","130,100","132,300","128,860.00","128,400.00","117,933.33","420,870","55,971,539,800"
2024-01-03,"129,100","134,200","127,400","133,300","126,980.00","128,700.00","117,926.67","563,979","74,430,618,200"
2024-01-02,"124,700","129,700","124,500","129,700","125,840.00","128,835.00","117,912.50","346,263","44,156,388,200"
2023-12-28,"125,200","125,200","123,500","124,500","124,980.00","128,645.00","117,937.50","185,469","23,027,520,400"
2023-12-27,"122,900","124,500","122,800","124,500","125,500.00","128,575.00","117,997.50","170,052","21,048,525,600"
2023-12-26,"127,500","127,700","122,800","122,900","125,780.00","128,325.00","118,044.17","262,388","32,699,033,100"
2023-12-22,"125,600","129,100","124,900","127,600","126,340.00","128,100.00","118,081.67","312,122","39,829,222,700"
2023-12-21,"126,900","127,000","125,300","125,400","126,000.00","127,725.00","118,061.67","177,735","22,380,169,400"
2023-12-20,"126,500","127,200","125,000","127,100","125,940.00","127,550.00","118,080.83","278,766","35,251,996,500"
2023-12-19,"125,700","126,000","124,100","125,900","125,520.00","127,240.00","118,109.17","177,118","22,170,576,800"
2023-12-18,"126,200","127,900","124,800","125,700","126,080.00","126,945.00","118,156.67","242,511","30,527,130,300"
2023-12-15,"125,600","126,200","124,000","125,900","126,680.00","126,725.00","118,229.17","364,547","45,685,850,100"
2023-12-14,"123,000","127,800","123,000","125,100","127,760.00","126,495.00","118,327.50","473,956","59,738,781,100"
2023-12-13,"127,700","128,800","124,100","125,000","129,420.00","126,265.00","118,441.67","420,486","53,138,679,700"
2023-12-12,"125,000","129,700","123,500","128,700","131,600.00","126,440.00","118,587.50","680,237","86,397,143,700"
2023-12-11,"134,400","137,700","126,200","128,700","132,880.00","126,395.00","118,659.17","1,108,388","145,640,296,400"
2023-12-08,"130,400","134,300","127,000","131,300","134,800.00","126,215.00","118,560.00","859,020","112,461,062,800"
2023-12-07,"136,000","139,000","132,200","133,400","135,740.00","125,890.00","118,394.17","585,107","78,976,305,900"
2023-12-06,"134,000","137,300","132,100","135,900","134,240.00","125,435.00","118,205.00","693,600","93,437,015,300"
2023-12-05,"137,300","140,100","134,300","135,100","131,680.00","124,730.00","117,989.17","606,797","82,718,305,700"
2023-12-04,"136,200","140,500","134,500","138,300","128,560.00","124,170.00","117,765.00","1,153,077","159,135,479,800"
2023-12-01,"125,900","138,400","125,800","136,000","124,580.00","123,340.00","117,505.00","1,862,447","251,256,250,000"
2023-11-30,"121,800","127,300","121,800","125,900","121,400.00","122,540.00","117,273.33","939,619","118,374,550,800"
2023-11-29,"119,900","126,700","118,200","123,100","120,600.00","122,015.00","117,122.50","896,492","110,602,808,200"
2023-11-28,"118,800","119,900","117,900","119,500","120,160.00","121,535.00","117,006.67","262,562","31,231,178,700"
2023-11-27,"121,000","121,200","118,300","118,400","120,260.00","120,610.00","116,934.17","191,882","22,914,931,400"
2023-11-24,"122,000","122,300","120,000","120,100","120,840.00","119,775.00","116,847.50","156,504","18,893,678,000"
2023-11-23,"122,000","122,900","120,200","121,900","121,080.00","118,650.00","116,730.83","224,175","27,294,217,100"
2023-11-22,"119,800","121,700","119,000","120,900","120,800.00","117,535.00","116,595.00","232,575","28,092,417,600"
2023-11-21,"121,200","122,300","119,800","120,000","122,320.00","116,540.00","116,475.00","235,065","28,347,440,300"
2023-11-20,"120,900","122,000","119,100","121,300","123,880.00","115,530.00","116,375.00","238,296","28,851,323,100"
2023-11-17,"120,300","121,900","116,700","121,300","124,640.00","114,480.00","116,286.67","435,902","52,252,511,600"
2023-11-16,"127,500","127,600","119,600","120,500","125,340.00","113,115.00","116,200.00","772,786","93,825,118,200"
2023-11-15,"128,500","129,700","126,600","128,500","126,100.00","111,955.00","116,120.83","366,776","46,798,127,100"
2023-11-14,"126,000","128,500","125,500","127,800","124,760.00","110,520.00","115,940.83","312,832","39,855,656,400"
2023-11-13,"124,800","127,700","124,100","125,100","123,980.00","109,145.00","115,741.67","301,652","37,887,275,400"
2023-11-10,"123,400","125,700","122,300","124,800","123,300.00","107,960.00","115,566.67","287,270","35,764,488,600"
