시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,532,579,475,496,421.2,405.4,374.7,"139,673,600","73,538,869,877"
2024-06-18,376,481,371,481,398.8,398.05,373.48,"41,039,660","18,291,848,551"
2024-06-17,370,386,367,370,385.4,391.65,372.37,"5,379,961","2,014,749,569"
2024-06-14,380,385,366,369,399.6,390.6,372.22,"7,966,547","2,968,734,547"
2024-06-13,384,422,374,390,412.2,389.65,372.03,"28,065,428","11,247,123,790"
2024-06-12,408,424,378,384,444.2,387.7,371.65,"14,027,436","5,547,237,731"
2024-06-11,458,470,407,414,483,386.05,371.37,"21,642,704","9,310,596,577"
2024-06-10,432,480,428,441,489.2,383.1,370.85,"31,384,096","14,137,842,299"
2024-06-07,525,649,432,432,469.6,378.7,370.13,"143,399,216","78,869,158,306"
2024-06-05,542,627,490,550,451.8,374.85,369.48,"161,762,064","91,594,315,154"
2024-06-04,471,578,471,578,411,365.3,367.9,"119,356,864","66,119,142,900"
2024-06-03,345,445,341,445,364.6,354.3,366.04,"95,148,544","40,049,216,714"
2024-05-31,345,346,341,343,344.2,349.75,365.33,"715,601","245,053,884"
2024-05-30,345,348,343,343,344.6,350.5,365.48,"800,848","275,930,597"
2024-05-29,349,352,345,346,345,351.35,365.73,"1,144,327","398,732,000"
2024-05-28,343,346,343,346,345.2,352.2,366,"560,116","193,046,654"
2024-05-27,345,348,342,343,345.8,353.15,365.98,"855,638","293,803,752"
2024-05-24,342,346,342,345,347.8,354.45,366.12,"771,077","264,990,241"
2024-05-23,346,347,343,345,348.6,355.7,366.29,"856,437","295,326,093"
2024-05-22,350,351,346,347,349.6,356.9,366.51,"732,678","254,957,702"
2024-05-21,353,353,349,349,350.4,359.25,366.72,"1,116,418","390,620,983"
2024-05-20,350,359,349,353,350.8,360.5,366.96,"2,561,006","906,248,067"
2024-05-17,350,352,349,349,351.2,361.7,367.2,"881,026","308,390,466"
2024-05-16,350,352,349,350,352,363,367.46,"817,180","286,290,976"
2024-05-14,352,355,350,351,353,365.45,367.78,"926,292","325,141,539"
2024-05-13,354,354,350,351,354.6,366.35,368.09,"1,277,759","448,637,980"
2024-05-10,356,357,353,355,356,367.15,368.42,"1,073,114","380,081,115"
2024-05-09,356,357,353,353,355.8,368.05,368.77,"1,030,857","365,271,534"
2024-05-08,359,360,353,355,356.8,369.35,369.13,"1,750,117","621,220,952"
2024-05-07,359,363,355,359,357.8,370.55,369.53,"2,188,377","782,523,254"
2024-05-03,358,375,356,358,358.6,370.85,369.82,"5,662,666","2,059,539,086"
2024-05-02,354,359,353,354,360,371.5,369.93,"1,698,958","603,688,460"
2024-04-30,361,362,356,358,363,374.45,370.12,"1,833,997","657,235,452"
2024-04-29,363,363,352,360,365.4,374.5,370.39,"2,580,463","922,644,695"
2024-04-26,364,367,361,363,367.2,373.9,370.73,"2,209,595","803,054,012"
2024-04-25,369,374,364,365,373.4,373.3,371.13,"3,808,161","1,398,495,388"
2024-04-24,369,373,368,369,375.2,372.5,371.52,"3,960,823","1,464,088,405"
2024-04-23,369,387,368,370,376.8,371.65,371.92,"8,321,984","3,118,209,683"
2024-04-22,380,383,367,369,377.8,370.65,372.08,"10,717,459","3,976,689,291"
2024-04-19,373,462,368,394,383.8,369.65,372.41,"91,477,720","38,443,477,835"
2024-04-18,368,374,367,374,378.8,367.5,372.44,"3,308,339","1,221,789,463"
2024-04-17,377,386,367,377,377.4,366.35,372.54,"5,143,461","1,923,552,358"
2024-04-16,411,415,373,375,376.6,365.3,372.62,"14,553,223","5,698,567,515"
2024-04-15,414,447,381,399,377.4,364.35,372.95,"50,505,284","21,042,696,179"
2024-04-12,364,372,360,369,373.4,362.3,373.63,"3,901,432","1,421,069,222"
2024-04-11,380,392,365,367,372.6,361.8,374.89,"5,714,136","2,151,992,418"
2024-04-09,389,389,369,373,373.4,360.8,377.9,"7,272,390","2,743,166,348"
2024-04-08,393,410,375,379,381.4,359.6,381.8,"13,937,502","5,470,773,566"
2024-04-05,400,430,372,379,377.4,358.1,385.19,"35,138,020","14,084,446,016"
2024-04-04,375,390,362,365,371.2,356.8,387.08,"8,202,237","3,081,227,524"
2024-04-03,399,439,370,371,368.4,356.25,389.29,"36,895,672","14,829,897,085"
2024-04-02,365,440,356,413,364,355.4,390.25,"68,317,464","27,632,395,551"
2024-04-01,360,390,355,359,351.8,352.7,389.93,"8,130,523","2,986,071,105"
2024-03-29,352,353,347,348,350,352.85,390.06,"818,601","285,450,277"
