시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"32,000","33,300","31,700","33,100","32,230.00","30,947.50","27,085.42","2,160,894","70,440,217,650"
2024-06-18,"32,750","32,800","31,450","31,850","31,990.00","30,850.00","27,022.08","1,184,423","37,706,710,000"
2024-06-17,"33,000","33,200","31,500","32,500","31,690.00","30,820.00","26,975.83","1,838,401","59,388,605,000"
2024-06-14,"31,450","32,700","31,250","32,250","31,250.00","30,797.50","26,931.25","1,956,161","62,439,893,550"
2024-06-13,"32,000","32,600","31,450","31,450","30,900.00","30,830.00","26,877.92","2,285,687","73,051,895,400"
2024-06-12,"30,350","31,950","29,550","31,900","30,400.00","30,882.50","26,832.92","2,242,575","70,242,599,500"
2024-06-11,"31,100","31,600","30,100","30,350","30,000.00","30,947.50","26,785.83","1,050,470","32,321,808,800"
2024-06-10,"29,850","31,300","29,600","30,300","30,150.00","31,012.50","26,745.00","1,221,784","37,308,724,650"
2024-06-07,"29,300","30,900","29,200","30,500","30,030.00","31,125.00","26,707.08","1,675,996","50,539,273,750"
2024-06-05,"29,900","30,650","28,950","28,950","29,900.00","31,222.50","26,667.08","1,062,482","31,320,793,400"
2024-06-04,"30,700","31,000","29,450","29,900","30,260.00","31,385.00","26,647.08","1,093,361","32,765,446,400"
2024-06-03,"29,600","31,650","29,200","31,100","30,460.00","31,440.00","26,612.50","1,968,961","60,660,157,850"
2024-05-31,"29,900","30,150","28,800","29,700","30,400.00","31,445.00","26,577.92","2,429,660","71,640,268,050"
2024-05-30,"30,500","30,900","29,650","29,850","30,800.00","31,562.50","26,556.67","910,382","27,356,626,200"
2024-05-29,"30,650","30,950","30,150","30,750","30,990.00","31,730.00","26,535.42","912,137","27,855,463,250"
2024-05-28,"30,800","31,350","30,300","30,900","30,900.00","31,817.50","26,502.50","834,773","25,736,510,500"
2024-05-27,"32,400","32,400","30,500","30,800","30,950.00","31,902.50","26,457.92","1,293,707","39,898,227,800"
2024-05-24,"30,150","31,800","30,050","31,700","31,040.00","32,085.00","26,395.83","1,058,144","33,095,146,500"
2024-05-23,"30,300","31,100","29,800","30,800","31,110.00","32,237.50","26,320.42","855,904","26,199,925,400"
2024-05-22,"31,150","31,250","30,000","30,300","31,530.00","32,307.50","26,290.42","1,447,108","43,942,001,450"
2024-05-21,"31,300","31,700","31,000","31,150","31,970.00","32,427.50","26,267.92","706,674","22,120,871,700"
2024-05-20,"32,050","32,100","31,100","31,250","32,380.00","32,535.00","26,231.25","1,113,996","35,103,668,350"
2024-05-17,"32,500","32,550","31,450","32,050","32,460.00","32,422.50","26,199.58","1,395,513","44,608,377,950"
2024-05-16,"32,600","32,950","31,650","32,900","32,560.00","32,270.00","26,136.67","1,390,425","45,117,530,800"
2024-05-14,"33,400","33,400","31,850","32,500","32,470.00","32,107.50","26,074.17","1,397,693","45,392,887,950"
2024-05-13,"31,850","33,200","31,700","33,200","32,410.00","31,907.50","26,012.08","2,240,936","73,412,000,050"
2024-05-10,"32,950","33,250","31,150","31,650","31,970.00","31,555.00","25,928.75","1,706,846","54,297,090,100"
2024-05-09,"32,450","33,150","32,250","32,550","31,880.00","31,335.00","25,853.75","1,207,232","39,446,198,550"
2024-05-08,"32,250","33,000","31,800","32,450","31,780.00","31,047.50","25,780.00","1,310,763","42,437,605,450"
2024-05-07,"31,250","32,750","30,600","32,200","31,930.00","30,782.50","25,710.42","2,132,782","68,391,626,900"
2024-05-03,"31,650","31,650","30,750","31,000","31,990.00","30,465.00","25,646.67","987,521","30,657,646,950"
2024-05-02,"32,100","32,800","31,150","31,200","32,310.00","30,302.50","25,607.50","1,566,482","49,578,900,100"
2024-04-30,"32,850","33,050","31,850","32,050","32,960.00","30,155.00","25,570.83","1,504,191","48,668,869,000"
2024-04-29,"32,850","33,250","31,750","33,200","33,500.00","29,950.00","25,502.92","1,823,306","59,473,740,000"
2024-04-26,"32,600","33,600","32,100","32,500","33,300.00","29,670.00","25,425.42","2,787,699","91,462,452,000"
2024-04-25,"33,950","34,150","32,100","32,600","33,340.00","29,415.00","25,350.83","4,021,822","132,306,537,050"
2024-04-24,"35,050","36,400","34,100","34,450","33,480.00","29,195.00","25,275.83","5,335,817","187,870,371,200"
2024-04-23,"32,500","35,600","32,450","34,750","32,390.00","28,947.50","25,195.00","6,754,412","233,761,665,750"
2024-04-22,"33,000","33,650","31,550","32,200","31,240.00","28,710.00","25,108.75","2,387,510","77,517,599,100"
2024-04-19,"33,250","33,750","31,000","32,700","30,730.00","28,635.00","25,045.83","4,102,845","132,284,912,500"
2024-04-18,"29,400","34,100","29,400","33,300","29,890.00","28,517.50","24,985.00","7,142,175","229,174,952,900"
2024-04-17,"29,100","29,400","28,500","29,000","28,460.00","28,322.50","24,913.33","1,035,021","29,932,094,800"
2024-04-16,"29,050","29,650","28,150","29,000","28,110.00","28,282.50","24,875.00","1,389,361","40,034,381,950"
2024-04-15,"28,550","29,850","27,800","29,650","27,670.00","28,287.50","24,845.00","2,490,110","72,315,269,050"
2024-04-12,"26,450","28,600","25,850","28,500","27,170.00","28,155.00","24,813.33","2,566,981","71,282,038,150"
2024-04-11,"26,850","27,000","25,950","26,150","26,640.00","28,080.00","24,796.25","1,109,155","29,146,421,850"
2024-04-09,"27,000","28,200","26,950","27,250","26,960.00","27,985.00","24,805.42","1,011,715","27,892,177,650"
2024-04-08,"26,950","27,100","26,250","26,800","27,160.00","27,835.00","24,809.17","866,139","23,100,678,550"
2024-04-05,"25,450","27,150","25,450","27,150","27,390.00","27,717.50","24,816.67","1,973,968","52,398,613,100"
2024-04-04,"27,600","27,650","24,850","25,850","27,480.00","27,487.50","24,837.08","4,558,583","116,920,893,550"
2024-04-03,"28,350","28,350","27,300","27,750","27,790.00","27,330.00","24,868.33","1,188,839","33,060,002,450"
2024-04-02,"27,950","28,600","27,300","28,250","27,880.00","27,057.50","24,875.83","1,290,839","36,194,089,650"
2024-04-01,"27,600","28,100","26,850","27,950","28,130.00","26,770.00","24,880.42","1,418,398","39,030,363,150"
2024-03-29,"27,500","28,000","27,100","27,600","28,540.00","26,517.50","24,891.25","1,130,827","31,156,197,900"
2024-03-28,"28,150","28,750","27,200","27,400","29,160.00","26,317.50","24,907.50","1,782,687","49,535,192,050"
2024-03-27,"29,150","29,350","27,350","28,200","29,750.00","26,162.50","24,937.08","2,796,833","78,563,781,050"
2024-03-26,"30,900","30,900","29,200","29,500","29,990.00","25,960.00","24,957.08","2,105,685","62,675,614,100"
2024-03-25,"30,850","30,900","29,200","30,000","29,730.00","25,632.50","24,970.00","2,001,419","59,892,903,900"
2024-03-22,"30,350","30,900","29,550","30,700","29,550.00","25,227.50","24,971.25","1,607,646","48,908,602,600"
2024-03-21,"29,500","30,600","28,450","30,350","28,810.00","24,780.00","24,977.49","2,430,255","72,570,860,700"
2024-03-20,"28,450","29,550","28,300","29,400","28,140.00","24,370.00","24,984.07","2,141,031","62,129,198,200"
2024-03-19,"28,950","29,050","27,350","28,200","27,110.00","24,002.50","24,996.33","2,159,521","60,592,286,000"
2024-03-18,"28,050","29,200","27,200","29,100","26,320.00","23,720.00","25,022.68","4,098,347","116,884,760,450"
2024-03-15,"27,600","28,500","26,700","27,000","25,390.00","23,390.00","25,042.63","3,236,597","89,063,046,600"
2024-03-14,"24,300","27,450","24,300","27,000","24,500.00","23,172.50","25,072.30","5,879,802","155,736,584,550"
2024-03-13,"24,600","24,600","23,850","24,250","23,640.00","22,977.50","25,103.46","643,427","15,543,642,350"
2024-03-12,"24,600","24,750","23,600","24,250","23,250.00","22,940.00","25,159.38","872,378","21,020,457,050"
2024-03-11,"22,700","24,450","22,600","24,450","22,900.00","22,877.50","25,218.64","2,313,386","55,583,863,900"
2024-03-08,"22,900","22,950","22,300","22,550","22,590.00","22,797.50","25,271.05","525,214","11,837,130,850"
2024-03-07,"22,350","23,150","22,300","22,700","22,800.00","22,785.00","25,342.99","696,934","15,849,114,350"
2024-03-06,"22,500","22,800","22,250","22,300","23,120.00","22,767.50","25,417.38","637,436","14,326,323,800"
2024-03-05,"22,900","23,350","22,400","22,500","23,490.00","22,780.00","25,494.00","778,362","17,670,356,550"
2024-03-04,"23,800","23,850","22,700","22,900","23,580.00","22,757.50","25,573.76","1,054,949","24,256,704,500"
2024-02-29,"24,300","24,300","23,550","23,600","23,380.00","22,710.00","25,642.04","2,459,141","58,323,511,550"
2024-02-28,"23,550","24,650","23,100","24,300","23,010.00","22,615.00","25,729.29","1,672,759","40,358,641,450"
2024-02-27,"23,050","24,350","22,550","24,150","22,580.00","22,500.00","25,819.59","2,288,524","54,331,217,100"
2024-02-26,"22,000","22,950","21,800","22,950","22,160.00","22,390.00","25,916.33","1,106,711","24,903,248,550"
2024-02-23,"21,750","22,250","21,500","21,900","22,080.00","22,352.50","26,003.81","745,572","16,310,051,450"
2024-02-22,"22,350","22,550","21,650","21,750","22,200.00","22,352.50","26,080.43","1,000,589","22,035,515,800"
2024-02-21,"22,100","22,400","21,950","22,150","22,380.00","22,377.50","26,158.67","559,539","12,355,726,950"
2024-02-20,"22,700","23,000","22,050","22,050","22,570.00","22,382.50","26,234.68","734,552","16,352,643,900"
2024-02-19,"22,800","22,900","22,450","22,550","22,860.00","22,400.00","26,316.34","632,799","14,313,945,300"
2024-02-16,"22,850","22,950","22,400","22,500","22,950.00","22,352.50","26,407.90","533,806","12,051,874,250"
2024-02-15,"23,400","23,450","22,500","22,650","23,020.00","22,297.50","26,503.58","701,386","16,057,795,850"
2024-02-14,"23,400","23,650","22,900","23,100","22,950.00","22,270.00","26,609.48","569,341","13,164,080,750"
2024-02-13,"23,350","23,650","23,150","23,500","22,800.00","22,267.50","26,717.93","770,113","18,060,763,250"
2024-02-08,"22,950","23,300","22,700","23,000","22,610.00","22,242.50","26,842.67","706,791","16,231,218,750"
2024-02-07,"22,300","22,900","22,300","22,850","22,420.00","22,230.00","26,994.52","514,730","11,706,641,100"
2024-02-06,"22,150","22,500","22,100","22,300","22,240.00","22,262.50","27,147.99","347,137","7,726,891,950"
2024-02-05,"22,800","23,050","22,150","22,350","22,120.00","22,337.50","27,300.13","583,324","13,113,175,750"
2024-02-02,"22,050","22,700","21,800","22,550","22,050.00","22,430.00","27,458.13","498,687","11,189,608,900"
2024-02-01,"21,800","22,100","21,650","22,050","21,930.00","22,547.50","27,605.22","435,111","9,501,578,050"
2024-01-31,"21,500","22,000","21,500","21,950","21,960.00","22,700.00","27,765.73","375,133","8,177,826,200"
2024-01-30,"22,200","22,450","21,650","21,700","21,950.00","22,847.50","27,924.11","462,502","10,177,921,200"
2024-01-29,"22,050","22,600","21,650","22,000","22,060.00","23,035.00","28,094.20","548,498","12,107,384,700"
2024-01-26,"22,000","22,300","21,750","21,950","22,110.00","23,190.00","28,272.89","394,214","8,687,511,300"
2024-01-25,"21,800","22,250","21,050","22,200","22,200.00","23,340.00","28,436.08","625,319","13,589,715,050"
2024-01-24,"22,250","22,300","21,700","21,900","22,080.00","23,460.00","28,585.72","358,005","7,844,455,950"
2024-01-23,"22,350","22,650","22,050","22,250","21,980.00","23,592.50","28,715.27","603,247","13,440,215,050"
2024-01-22,"22,450","22,750","22,150","22,250","21,950.00","23,705.00","28,850.42","468,133","10,482,447,050"
2024-01-19,"21,900","22,600","21,750","22,400","22,110.00","23,867.50","29,000.74","565,316","12,590,841,900"
2024-01-18,"21,400","22,100","21,200","21,600","22,230.00","24,022.50","29,135.38","487,054","10,565,536,700"
2024-01-17,"22,100","22,250","21,100","21,400","22,460.00","24,257.50","29,281.13","915,300","19,640,219,300"
2024-01-16,"22,700","22,800","22,100","22,100","22,880.00","24,545.00","29,431.14","692,324","15,480,091,150"
2024-01-15,"22,750","23,200","22,400","23,050","23,220.00","24,732.50","29,591.23","632,459","14,419,351,400"
2024-01-12,"22,750","23,150","22,650","23,000","23,450.00","24,882.50","29,743.41","640,102","14,648,420,950"
2024-01-11,"23,600","23,750","22,550","22,750","23,830.00","25,045.00","29,900.44","1,368,625","31,352,503,950"
2024-01-10,"23,800","23,950","23,200","23,500","24,300.00","25,180.00","30,064.00","591,751","13,878,343,900"
2024-01-09,"24,350","24,450","23,750","23,800","24,580.00","25,292.50","30,226.86","704,392","16,874,310,900"
2024-01-08,"24,850","24,850","24,150","24,200","24,910.00","25,387.50","30,369.08","775,733","18,923,469,150"
2024-01-05,"25,150","25,150","24,550","24,900","25,090.00","25,505.00","30,499.83","475,167","11,789,391,750"
2024-01-04,"24,750","25,200","24,500","25,100","25,100.00","25,547.50","30,603.63","550,343","13,696,439,900"
2024-01-03,"25,300","25,300","24,750","24,900","25,000.00","25,640.00","30,698.74","618,955","15,435,402,550"
2024-01-02,"25,150","25,500","24,750","25,450","24,930.00","25,752.50","30,778.49","731,093","18,403,047,650"
