시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"37,950","40,550","37,600","39,700","36,380.00","34,192.50","32,974.17","1,772,476","69,601,242,650"
2024-06-18,"34,950","37,650","34,950","37,150","35,570.00","33,947.50","32,884.58","1,043,675","38,411,428,800"
2024-06-17,"34,250","36,100","33,900","34,750","35,160.00","33,882.50","32,819.17","293,049","10,312,672,650"
2024-06-14,"36,000","36,050","34,100","34,450","35,030.00","33,917.50","32,765.83","326,073","11,312,738,750"
2024-06-13,"36,300","37,000","35,650","35,850","34,910.00","33,977.50","32,730.42","458,201","16,620,518,950"
2024-06-12,"35,100","36,450","34,750","35,650","34,170.00","33,877.50","32,684.58","448,830","16,049,756,750"
2024-06-11,"35,700","36,050","34,650","35,100","33,390.00","33,687.50","32,641.67","665,878","23,624,995,700"
2024-06-10,"34,000","34,500","33,500","34,100","32,690.00","33,560.00","32,605.00","335,709","11,403,993,000"
2024-06-07,"32,450","34,800","32,350","33,850","32,260.00","33,527.50","32,587.08","624,964","21,275,487,150"
2024-06-05,"32,700","32,900","31,750","32,150","31,970.00","33,612.50","32,555.83","243,139","7,847,210,050"
2024-06-04,"31,600","33,100","31,450","31,750","32,240.00","33,825.00","32,536.67","333,483","10,818,079,150"
2024-06-03,"31,950","32,150","31,000","31,600","32,700.00","33,982.50","32,518.75","281,309","8,830,222,600"
2024-05-31,"32,450","32,650","31,500","31,950","33,170.00","34,190.00","32,519.17","236,743","7,555,712,650"
2024-05-30,"33,000","33,750","32,050","32,400","33,410.00","34,405.00","32,535.00","271,442","8,858,223,200"
2024-05-29,"34,250","34,400","33,500","33,500","33,850.00","34,612.50","32,546.67","230,648","7,792,533,400"
2024-05-28,"33,950","34,700","33,500","34,050","33,980.00","34,847.50","32,545.00","250,350","8,538,009,900"
2024-05-27,"33,050","34,050","33,000","33,950","34,130.00","34,980.00","32,533.33","303,851","10,197,817,550"
2024-05-24,"34,350","34,350","33,100","33,150","34,510.00","35,032.50","32,523.75","405,200","13,547,504,400"
2024-05-23,"35,100","35,300","34,000","34,600","34,970.00","35,030.00","32,517.08","399,718","13,893,300,800"
2024-05-22,"35,000","35,000","33,250","34,150","35,180.00","35,032.50","32,490.42","447,692","15,199,284,400"
2024-05-21,"36,250","36,400","34,600","34,800","35,120.00","35,222.50","32,489.58","486,236","17,147,428,500"
2024-05-20,"35,150","36,100","34,600","35,850","34,530.00","35,582.50","32,476.25","395,089","14,023,265,350"
2024-05-17,"35,700","35,850","34,350","35,450","33,870.00","35,602.50","32,455.00","519,841","18,253,758,600"
2024-05-16,"35,300","36,450","35,150","35,650","33,470.00","35,540.00","32,442.50","1,096,175","39,248,215,800"
2024-05-14,"32,050","34,100","31,800","33,850","33,450.00","35,545.00","32,452.92","581,088","19,209,262,000"
2024-05-13,"32,800","32,950","31,650","31,850","33,960.00","35,612.50","32,470.83","353,799","11,342,302,150"
2024-05-10,"33,450","33,550","32,300","32,550","34,570.00","35,687.50","32,501.67","437,611","14,312,459,650"
2024-05-09,"35,600","35,650","33,000","33,450","35,210.00","35,662.50","32,502.50","1,054,194","35,399,563,750"
2024-05-08,"36,000","36,250","35,300","35,550","35,770.00","35,655.00","32,512.08","395,975","14,108,519,150"
2024-05-07,"36,050","38,100","36,000","36,400","35,970.00","35,592.50","32,487.50","847,015","31,423,041,300"
2024-05-03,"36,350","36,500","34,900","34,900","36,330.00","35,572.50","32,477.92","360,298","12,766,576,050"
2024-05-02,"35,500","36,000","35,100","35,750","36,690.00","35,522.50","32,480.83","293,035","10,416,348,450"
2024-04-30,"36,600","37,200","35,450","36,250","36,540.00","35,470.00","32,451.67","465,794","16,967,069,650"
2024-04-29,"39,650","39,700","36,350","36,550","35,910.00","35,402.50","32,406.25","913,878","34,273,758,450"
2024-04-26,"38,150","39,150","37,000","38,200","35,530.00","35,400.00","32,357.50","1,139,415","43,436,454,950"
2024-04-25,"34,250","38,750","34,100","36,700","35,480.00","35,327.50","32,283.33","1,958,261","72,668,142,600"
2024-04-24,"34,300","35,750","34,050","35,000","36,540.00","35,325.00","32,205.83","1,108,814","38,885,460,650"
2024-04-23,"35,150","35,300","32,900","33,100","36,790.00","35,345.00","32,156.67","891,236","30,158,394,650"
2024-04-22,"36,950","37,200","33,950","34,650","37,010.00","35,407.50","32,124.17","1,559,609","54,607,126,800"
2024-04-19,"41,150","41,200","35,850","37,950","37,230.00","35,427.50","32,066.67","3,136,101","119,082,495,000"
2024-04-18,"36,100","42,600","35,650","42,000","36,680.00","35,337.50","31,993.33","4,000,134","161,030,472,100"
2024-04-17,"34,600","37,000","34,100","36,250","34,950.00","35,065.00","31,880.42","856,797","30,900,177,000"
2024-04-16,"35,350","36,050","33,800","34,200","34,110.00","34,995.00","31,800.42","456,239","15,771,553,350"
2024-04-15,"34,400","36,000","33,900","35,750","33,930.00","35,132.50","31,739.17","361,993","12,663,387,500"
2024-04-12,"33,800","36,100","33,500","35,200","33,640.00","35,145.00","31,671.67","725,977","25,510,924,050"
2024-04-11,"31,200","33,450","31,100","33,350","33,800.00","35,167.50","31,630.42","334,044","10,932,590,700"
2024-04-09,"33,000","33,700","32,050","32,050","33,910.00","35,437.50","31,610.00","349,996","11,424,690,450"
