시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"3,255","3,540","3,115","3,200","3,142.00","3,045.00","3,022.58","18,205,396","60,530,326,130"
2024-06-18,"3,110","3,230","3,110","3,140","3,113.00","3,031.75","3,022.38","698,112","2,218,737,815"
2024-06-17,"3,100","3,145","3,095","3,120","3,112.00","3,023.50","3,022.58","276,217","862,267,790"
2024-06-14,"3,150","3,150","3,095","3,100","3,128.00","3,020.50","3,022.92","258,033","803,010,405"
2024-06-13,"3,050","3,165","3,050","3,150","3,141.00","3,014.25","3,023.67","637,660","1,984,174,930"
2024-06-12,"3,120","3,140","3,055","3,055","3,196.00","3,004.00","3,024.13","610,715","1,886,275,315"
2024-06-11,"3,180","3,185","3,070","3,135","3,168.00","2,997.50","3,025.08","924,659","2,882,854,845"
2024-06-10,"3,190","3,430","3,150","3,200","3,122.00","2,986.50","3,025.54","7,432,189","24,476,372,925"
2024-06-07,"3,500","3,580","3,115","3,165","3,062.00","2,972.50","3,025.42","8,148,105","27,201,335,900"
2024-06-05,"2,920","3,715","2,900","3,425","3,006.00","2,960.00","3,025.38","32,434,796","111,199,955,495"
2024-06-04,"2,910","2,915","2,895","2,915","2,900.00","2,935.00","3,023.33","26,591","77,173,400"
2024-06-03,"2,900","2,915","2,900","2,905","2,901.00","2,935.00","3,025.21","44,919","130,558,365"
2024-05-31,"2,885","2,905","2,880","2,900","2,907.00","2,935.50","3,027.17","43,008","124,183,850"
2024-05-30,"2,895","2,915","2,885","2,885","2,917.00","2,937.50","3,029.17","43,524","126,003,810"
2024-05-29,"2,940","2,940","2,895","2,895","2,930.00","2,939.50","3,031.46","43,192","125,488,910"
2024-05-28,"2,935","2,940","2,910","2,920","2,942.00","2,939.50","3,033.75","46,975","137,161,845"
2024-05-27,"2,955","2,975","2,920","2,935","2,945.00","2,938.25","3,036.13","65,582","192,666,475"
2024-05-24,"2,950","2,970","2,935","2,950","2,953.00","2,936.25","3,038.38","38,684","114,196,040"
2024-05-23,"2,960","2,980","2,935","2,950","2,975.00","2,934.00","3,040.75","57,122","169,127,825"
2024-05-22,"2,940","2,995","2,925","2,955","2,980.00","2,931.00","3,043.13","69,506","205,461,635"
2024-05-21,"2,985","2,985","2,930","2,935","2,978.00","2,926.75","3,045.46","71,269","209,600,810"
2024-05-20,"3,055","3,055","2,970","2,975","2,976.00","2,923.00","3,048.21","136,959","409,699,850"
2024-05-17,"2,975","3,060","2,960","3,060","2,964.00","2,915.50","3,050.54","383,114","1,174,521,035"
2024-05-16,"2,950","3,000","2,940","2,975","2,936.00","2,904.25","3,052.08","88,869","263,765,025"
2024-05-14,"2,905","2,960","2,905","2,945","2,924.00","2,897.75","3,054.67","63,134","185,852,835"
2024-05-13,"2,895","2,940","2,895","2,925","2,920.00","2,894.00","3,057.54","78,411","228,453,745"
2024-05-10,"2,920","2,925","2,890","2,915","2,918.00","2,893.00","3,060.29","79,704","231,509,075"
2024-05-09,"2,900","2,930","2,900","2,920","2,918.00","2,892.75","3,062.83","22,116","64,498,825"
2024-05-08,"2,925","2,930","2,890","2,915","2,922.00","2,893.25","3,065.04","45,606","132,672,135"
2024-05-07,"2,915","2,940","2,895","2,925","2,924.00","2,895.50","3,067.50","36,467","106,194,665"
2024-05-03,"2,900","2,915","2,900","2,915","2,918.00","2,897.75","3,069.88","24,415","70,996,315"
2024-05-02,"2,905","2,930","2,905","2,915","2,914.00","2,900.50","3,072.21","24,313","70,927,520"
2024-04-30,"2,925","2,945","2,900","2,940","2,910.00","2,903.75","3,075.00","37,825","110,453,705"
2024-04-29,"2,895","2,950","2,890","2,925","2,903.00","2,906.75","3,076.96","47,441","138,229,165"
2024-04-26,"2,900","2,915","2,890","2,895","2,896.00","2,909.75","3,078.75","42,380","122,915,215"
2024-04-25,"2,885","2,930","2,885","2,895","2,891.00","2,914.50","3,080.50","68,571","199,288,760"
2024-04-24,"2,905","2,945","2,880","2,895","2,884.00","2,919.75","3,082.04","90,728","263,883,550"
2024-04-23,"2,885","2,920","2,880","2,905","2,870.00","2,925.25","3,084.13","30,311","87,988,025"
2024-04-22,"2,870","2,895","2,850","2,890","2,856.00","2,930.50","3,086.17","42,515","121,887,675"
2024-04-19,"2,900","2,900","2,815","2,870","2,847.00","2,936.50","3,088.08","45,641","129,939,195"
2024-04-18,"2,825","2,900","2,820","2,860","2,847.00","2,943.25","3,090.63","48,375","138,629,170"
2024-04-17,"2,835","2,855","2,820","2,825","2,856.00","2,950.50","3,093.21","32,908","93,234,175"
2024-04-16,"2,845","2,860","2,830","2,835","2,873.00","2,959.25","3,095.21","66,725","189,430,195"
2024-04-15,"2,870","2,880","2,840","2,845","2,892.00","2,968.50","3,097.38","64,151","183,288,835"
2024-04-12,"2,900","2,905","2,865","2,870","2,915.00","2,977.25","3,099.75","107,992","310,722,210"
2024-04-11,"2,910","2,940","2,895","2,905","2,935.00","2,984.75","3,102.50","98,862","288,260,965"
2024-04-09,"2,940","2,940","2,900","2,910","2,948.00","2,991.00","3,105.29","122,218","356,348,580"
2024-04-08,"2,960","2,965","2,905","2,930","2,962.00","2,996.00","3,108.25","82,428","240,914,680"
2024-04-05,"2,975","2,975","2,945","2,960","2,976.00","3,000.00","3,110.71","43,102","127,317,765"
2024-04-04,"2,990","2,990","2,950","2,970","2,981.00","3,004.75","3,113.42","78,223","231,634,150"
2024-04-03,"2,980","2,985","2,965","2,970","2,985.00","3,006.50","3,115.63","43,388","128,895,680"
2024-04-02,"3,000","3,000","2,980","2,980","2,991.00","3,009.25","3,117.71","80,890","241,666,020"
2024-04-01,"2,985","3,005","2,960","3,000","2,996.00","3,012.00","3,119.83","66,565","198,710,330"
2024-03-29,"2,990","3,015","2,980","2,985","2,998.00","3,014.25","3,121.58","91,008","272,635,105"
2024-03-28,"3,005","3,005","2,985","2,990","3,003.00","3,018.25","3,123.92","61,672","184,576,595"
2024-03-27,"3,020","3,020","2,995","3,000","3,006.00","3,022.25","3,126.25","49,914","149,797,790"
2024-03-26,"3,010","3,020","3,000","3,005","3,007.00","3,025.75","3,128.42","51,306","154,312,155"
2024-03-25,"3,010","3,050","3,005","3,010","3,006.00","3,030.50","3,130.83","46,825","141,237,915"
2024-03-22,"3,005","3,015","3,000","3,010","3,008.00","3,036.75","3,133.46","67,192","202,026,935"
2024-03-21,"3,005","3,035","2,995","3,005","3,010.00","3,044.00","3,136.13","65,102","196,424,825"
2024-03-20,"3,000","3,020","2,995","3,005","3,013.00","3,052.00","3,139.29","48,870","146,814,390"
2024-03-19,"3,025","3,025","2,995","3,000","3,018.00","3,059.25","3,143.17","99,930","300,180,420"
2024-03-18,"3,025","3,055","3,015","3,020","3,020.00","3,067.50","3,146.83","66,764","202,243,385"
2024-03-15,"3,010","3,030","3,005","3,020","3,018.00","3,074.50","3,150.38","53,843","162,463,415"
2024-03-14,"3,010","3,035","3,010","3,020","3,025.00","3,080.50","3,153.79","67,420","203,586,380"
2024-03-13,"3,010","3,035","3,000","3,030","3,022.00","3,087.25","3,157.08","54,850","165,143,245"
2024-03-12,"3,010","3,020","3,000","3,010","3,021.00","3,093.25","3,160.25","30,935","93,065,980"
2024-03-11,"3,055","3,070","3,005","3,010","3,026.00","3,098.25","3,163.50","89,561","270,023,610"
2024-03-08,"2,995","3,065","2,995","3,055","3,033.00","3,101.50","3,166.88","60,410","182,769,075"
2024-03-07,"3,015","3,025","3,000","3,005","3,035.00","3,104.75","3,169.25","66,323","199,476,720"
2024-03-06,"3,035","3,050","3,010","3,025","3,048.00","3,109.75","3,172.46","87,949","266,199,710"
2024-03-05,"3,050","3,055","3,010","3,035","3,057.00","3,112.50","3,175.75","53,490","162,453,850"
2024-03-04,"3,060","3,085","3,045","3,045","3,070.00","3,113.25","3,179.04","87,711","268,105,065"
2024-02-29,"3,080","3,080","3,040","3,065","3,088.00","3,112.50","3,182.00","21,583","66,017,330"
2024-02-28,"3,070","3,100","3,035","3,070","3,106.00","3,110.00","3,184.50","47,491","145,380,350"
2024-02-27,"3,110","3,110","3,050","3,070","3,125.00","3,106.50","3,187.42","107,316","329,523,725"
2024-02-26,"3,130","3,145","3,090","3,100","3,141.00","3,102.00","3,190.38","80,568","250,356,870"
2024-02-23,"3,155","3,165","3,130","3,135","3,154.00","3,095.00","3,192.79","41,690","131,237,885"
2024-02-22,"3,190","3,190","3,145","3,155","3,159.00","3,086.25","3,194.25","81,365","256,761,800"
2024-02-21,"3,185","3,205","3,155","3,165","3,156.00","3,077.25","3,195.25","117,862","374,683,850"
2024-02-20,"3,165","3,185","3,145","3,150","3,154.00","3,067.50","3,196.33","55,404","174,673,040"
2024-02-19,"3,160","3,190","3,150","3,165","3,154.00","3,059.50","3,197.25","100,329","318,300,575"
2024-02-16,"3,170","3,185","3,130","3,160","3,143.00","3,049.75","3,198.29","75,054","237,381,400"
2024-02-15,"3,160","3,180","3,140","3,140","3,126.00","3,040.50","3,199.54","90,793","286,636,775"
2024-02-14,"3,135","3,160","3,130","3,155","3,122.00","3,035.75","3,201.79","56,754","178,564,275"
2024-02-13,"3,110","3,280","3,110","3,150","3,112.00","3,031.25","3,203.96","370,137","1,176,130,465"
2024-02-08,"3,110","3,125","3,085","3,110","3,098.00","3,028.00","3,206.21","61,820","192,447,460"
2024-02-07,"3,120","3,120","3,060","3,075","3,086.00","3,027.00","3,208.71","126,271","389,258,435"
2024-02-06,"3,125","3,125","3,080","3,120","3,077.00","3,028.25","3,211.50","104,324","323,766,190"
2024-02-05,"3,095","3,125","3,085","3,105","3,056.00","3,027.00","3,213.71","77,613","241,244,645"
2024-02-02,"3,065","3,090","3,060","3,080","3,035.00","3,026.75","3,215.79","64,979","199,868,870"
2024-02-01,"3,000","3,065","3,000","3,050","3,015.00","3,028.25","3,218.00","57,418","174,872,990"
2024-01-31,"3,015","3,045","2,990","3,030","2,997.00","3,032.25","3,220.50","38,844","116,583,725"
2024-01-30,"2,985","3,090","2,985","3,015","2,983.00","3,036.75","3,223.17","64,903","196,702,615"
2024-01-29,"3,005","3,005","2,980","3,000","2,975.00","3,042.00","3,225.79","28,442","85,015,935"
2024-01-26,"2,960","3,000","2,960","2,980","2,969.00","3,048.50","3,228.58","37,701","112,548,105"
2024-01-25,"2,975","2,980","2,935","2,960","2,971.00","3,056.50","3,231.75","45,219","133,607,570"
2024-01-24,"2,960","2,975","2,940","2,960","2,973.00","3,068.75","3,234.17","41,762","123,584,090"
2024-01-23,"2,960","2,980","2,930","2,975","2,976.00","3,079.75","3,236.58","63,358","186,875,970"
2024-01-22,"2,990","3,010","2,945","2,970","2,990.00","3,090.25","3,237.88","98,223","291,076,900"
2024-01-19,"2,960","3,010","2,960","2,990","3,009.00","3,101.00","3,240.13","52,177","156,089,465"
2024-01-18,"3,020","3,025","2,965","2,970","3,028.00","3,110.25","3,242.67","66,442","197,896,515"
2024-01-17,"3,045","3,055","2,970","2,975","3,052.00","3,120.00","3,246.00","135,485","406,006,650"
2024-01-16,"3,065","3,075","3,025","3,045","3,077.00","3,129.25","3,249.88","70,671","215,134,565"
2024-01-15,"3,085","3,090","3,055","3,065","3,087.00","3,136.50","3,252.79","98,059","300,713,660"
2024-01-12,"3,090","3,105","3,075","3,085","3,094.00","3,143.50","3,255.38","69,076","212,969,785"
2024-01-11,"3,095","3,120","3,090","3,090","3,099.00","3,147.75","3,259.79","68,986","213,853,320"
