시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"103,500","108,700","103,300","108,000","101,560.00","101,245.00","96,790.00","3,410,753","364,356,579,000"
2024-06-18,"100,900","101,900","99,800","101,800","100,080.00","100,670.00","96,709.17","843,389","85,157,948,100"
2024-06-17,"99,400","100,900","98,500","100,400","99,360.00","100,455.00","96,661.67","953,639","95,423,781,900"
2024-06-14,"98,700","99,300","97,900","98,900","99,400.00","100,330.00","96,635.00","725,460","71,536,958,885"
2024-06-13,"101,100","101,100","98,700","98,700","99,760.00","100,325.00","96,617.50","1,290,744","128,507,271,600"
2024-06-12,"99,900","101,200","99,000","100,600","100,160.00","100,305.00","96,593.33","1,143,396","114,294,132,400"
2024-06-11,"101,200","101,200","98,100","98,200","100,260.00","100,155.00","96,560.83","1,238,559","122,427,364,400"
2024-06-10,"100,300","102,300","99,400","100,600","101,240.00","100,120.00","96,534.17","973,905","98,341,681,400"
2024-06-07,"101,100","101,800","99,400","100,700","102,080.00","99,755.00","96,484.17","1,269,757","127,717,776,600"
2024-06-05,"101,900","102,200","99,600","100,700","103,200.00","99,415.00","96,439.17","963,661","97,038,703,000"
2024-06-04,"103,100","103,600","100,200","101,100","105,160.00","99,070.00","96,433.33","1,245,682","126,106,506,300"
2024-06-03,"105,600","107,200","102,000","103,100","106,800.00","98,635.00","96,433.33","1,699,404","176,306,121,400"
2024-05-31,"107,500","109,900","104,800","104,800","105,460.00","98,055.00","96,420.83","2,070,778","220,754,237,200"
2024-05-30,"109,500","111,100","106,200","106,300","103,320.00","97,460.00","96,400.83","1,667,504","179,921,414,600"
2024-05-29,"112,500","113,900","109,000","110,500","101,140.00","96,785.00","96,370.83","4,855,132","539,497,597,800"
2024-05-28,"97,300","109,500","97,200","109,300","98,100.00","95,800.00","96,311.67","6,852,467","720,955,011,000"
2024-05-27,"95,500","97,400","94,700","96,400","95,540.00","94,865.00","96,271.67","463,903","44,659,237,500"
2024-05-24,"94,500","94,800","93,800","94,100","95,760.00","94,655.00","96,335.83","297,059","28,003,593,200"
2024-05-23,"96,000","97,300","95,400","95,400","96,520.00","94,590.00","96,425.83","317,313","30,465,511,700"
2024-05-22,"96,700","96,900","95,100","95,300","97,200.00","94,420.00","96,514.17","385,832","36,892,390,900"
2024-05-21,"97,000","97,800","96,000","96,500","97,800.00","94,215.00","96,616.67","343,275","33,226,142,200"
