시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"6,370","7,860","6,210","7,550","6,434.00","6,163.50","5,834.00","8,097,210","59,108,958,150"
2024-06-18,"6,100","6,510","6,020","6,330","6,170.00","6,092.00","5,813.33","791,858","5,004,197,440"
2024-06-17,"6,080","6,250","6,000","6,030","6,144.00","6,081.00","5,803.08","134,762","821,067,700"
2024-06-14,"6,160","6,230","6,020","6,080","6,162.00","6,089.50","5,795.17","145,469","883,955,320"
2024-06-13,"6,200","6,310","6,140","6,180","6,166.00","6,097.00","5,787.08","121,198","754,999,320"
2024-06-12,"6,180","6,280","6,130","6,230","6,160.00","6,099.50","5,778.17","130,986","812,975,130"
2024-06-11,"6,100","6,270","6,060","6,200","6,140.00","6,094.00","5,769.25","146,600","905,557,920"
2024-06-10,"6,120","6,150","6,030","6,120","6,130.00","6,096.00","5,760.75","67,363","409,985,130"
2024-06-07,"6,100","6,160","6,100","6,100","6,126.00","6,099.50","5,753.42","83,140","508,896,430"
2024-06-05,"6,130","6,200","6,090","6,150","6,082.00","6,107.00","5,746.75","129,932","798,625,670"
2024-06-04,"6,160","6,250","6,100","6,130","6,022.00","6,114.50","5,738.92","154,107","948,128,600"
2024-06-03,"6,100","6,200","6,020","6,150","6,000.00","6,123.50","5,731.25","104,134","635,665,840"
2024-05-31,"5,950","6,260","5,870","6,100","5,972.00","6,133.50","5,723.00","184,661","1,123,517,990"
2024-05-30,"5,850","5,940","5,820","5,880","5,958.00","6,143.50","5,715.17","52,792","309,386,460"
2024-05-29,"6,000","6,020","5,850","5,850","5,994.00","6,166.00","5,709.83","77,869","459,385,180"
2024-05-28,"5,960","6,030","5,960","6,020","6,038.00","6,180.50","5,704.33","29,264","175,447,140"
2024-05-27,"6,030","6,030","5,860","6,010","6,058.00","6,182.00","5,697.42","98,541","583,983,080"
2024-05-24,"6,010","6,160","5,940","6,030","6,078.00","6,193.00","5,690.83","70,548","425,851,400"
2024-05-23,"6,030","6,100","5,920","6,060","6,112.00","6,193.50","5,683.83","85,930","517,889,770"
2024-05-22,"6,150","6,230","6,050","6,070","6,146.00","6,192.50","5,675.67","120,811","741,961,160"
2024-05-21,"6,140","6,200","6,050","6,120","6,178.00","6,186.00","5,668.08","58,530","358,142,830"
2024-05-20,"6,230","6,230","6,070","6,110","6,178.00","6,190.00","5,660.83","116,256","713,911,850"
2024-05-17,"6,230","6,290","6,150","6,200","6,204.00","6,175.00","5,652.50","97,448","604,765,090"
2024-05-16,"6,270","6,320","6,190","6,230","6,202.00","6,161.50","5,643.17","67,739","424,095,140"
2024-05-14,"6,110","6,280","6,110","6,230","6,206.00","6,150.00","5,634.00","114,405","711,196,620"
2024-05-13,"6,250","6,260","6,100","6,120","6,220.00","6,145.00","5,624.75","141,350","872,677,560"
2024-05-10,"6,180","6,270","6,120","6,240","6,258.00","6,135.00","5,615.92","109,830","678,593,760"
2024-05-09,"6,400","6,400","6,150","6,190","6,280.00","6,125.50","5,605.08","105,825","659,277,870"
2024-05-08,"6,300","6,330","6,170","6,250","6,302.00","6,119.50","5,595.08","137,749","857,378,330"
2024-05-07,"6,280","6,370","6,200","6,300","6,318.00","6,114.50","5,585.25","121,621","764,220,110"
2024-05-03,"6,320","6,630","6,270","6,310","6,286.00","6,107.00","5,575.50","355,188","2,283,080,920"
2024-05-02,"6,250","6,430","6,250","6,350","6,234.00","6,109.50","5,565.00","252,386","1,603,927,920"
2024-04-30,"6,280","6,400","6,220","6,300","6,210.00","6,124.00","5,554.42","246,244","1,556,367,280"
2024-04-29,"6,160","6,360","6,150","6,330","6,158.00","6,175.50","5,544.08","258,249","1,612,683,510"
2024-04-26,"6,070","6,280","6,070","6,140","6,100.00","6,210.50","5,533.00","192,907","1,187,017,980"
2024-04-25,"6,160","6,230","6,030","6,050","6,060.00","6,269.00","5,522.75","180,353","1,099,855,910"
2024-04-24,"6,060","6,290","6,060","6,230","6,090.00","6,347.00","5,512.46","251,425","1,557,613,800"
2024-04-23,"6,020","6,150","6,010","6,040","6,006.00","6,458.00","5,501.33","164,096","997,862,840"
2024-04-22,"6,060","6,300","5,940","6,040","5,984.00","6,537.50","5,492.25","258,900","1,580,994,340"
2024-04-19,"6,200","6,200","5,840","5,940","5,976.00","6,529.00","5,481.96","382,075","2,297,580,380"
2024-04-18,"5,810","6,600","5,810","6,200","6,014.00","6,525.00","5,473.42","1,858,946","11,777,027,320"
2024-04-17,"5,980","6,010","5,810","5,810","5,958.00","6,506.50","5,461.46","111,275","654,861,480"
2024-04-16,"5,920","5,960","5,800","5,930","6,006.00","6,514.50","5,452.08","149,494","878,497,570"
2024-04-15,"6,080","6,120","5,930","6,000","6,034.00","6,517.00","5,441.63","149,907","900,336,020"
2024-04-12,"5,950","6,250","5,930","6,130","6,064.00","6,504.00","5,431.67","454,268","2,783,751,500"
2024-04-11,"5,980","5,990","5,760","5,920","6,068.00","6,488.50","5,422.50","329,249","1,927,194,390"
2024-04-09,"6,010","6,190","5,970","6,050","6,156.00","6,481.00","5,416.17","317,641","1,928,446,310"
2024-04-08,"6,070","6,130","5,950","6,070","6,274.00","6,468.50","5,406.58","245,597","1,476,689,860"
2024-04-05,"6,040","6,230","5,840","6,150","6,526.00","6,460.00","5,397.33","613,875","3,721,250,410"
2024-04-04,"6,390","6,460","6,060","6,150","6,702.00","6,448.00","5,387.92","1,016,249","6,298,368,010"
2024-04-03,"6,560","6,700","6,350","6,360","6,934.00","6,425.00","5,377.96","454,107","2,933,433,780"
2024-04-02,"7,270","7,300","6,550","6,640","7,184.00","6,388.50","5,365.54","1,259,651","8,520,323,230"
2024-04-01,"7,160","7,700","7,070","7,330","7,546.00","6,344.00","5,351.29","1,955,894","14,537,051,500"
2024-03-29,"7,420","7,440","7,000","7,030","7,606.00","6,260.00","5,329.79","1,255,070","9,031,608,860"
2024-03-28,"7,460","8,410","7,140","7,310","7,374.00","6,188.50","5,310.92","6,123,700","47,626,617,200"
2024-03-27,"8,530","8,660","7,550","7,610","7,084.00","6,086.50","5,291.29","3,771,538","30,279,421,920"
2024-03-26,"7,650","9,550","7,650","8,450","6,728.00","5,969.50","5,269.54","24,488,600","219,118,554,520"
2024-03-25,"6,550","7,630","6,130","7,630","6,232.00","5,813.50","5,241.29","5,579,423","40,376,830,690"
2024-03-22,"5,910","5,960","5,750","5,870","5,902.00","5,699.00","5,220.38","86,825","510,710,000"
2024-03-21,"5,880","5,900","5,740","5,860","5,876.00","5,672.50","5,213.71","30,902","180,577,300"
2024-03-20,"5,960","5,990","5,810","5,830","5,868.00","5,646.50","5,208.04","74,798","441,549,990"
2024-03-19,"5,940","5,980","5,820","5,970","5,856.00","5,621.50","5,203.29","62,647","369,482,060"
2024-03-18,"5,720","5,980","5,690","5,980","5,822.00","5,590.50","5,198.21","123,582","721,974,130"
2024-03-15,"5,830","5,830","5,620","5,740","5,806.00","5,556.50","5,192.71","34,638","197,788,350"
2024-03-14,"5,720","5,830","5,660","5,820","5,840.00","5,532.50","5,189.13","47,992","274,516,980"
2024-03-13,"5,870","5,870","5,710","5,770","5,814.00","5,507.00","5,185.04","56,505","326,451,910"
2024-03-12,"5,910","5,920","5,750","5,800","5,786.00","5,481.50","5,182.54","94,047","549,346,550"
2024-03-11,"5,950","6,040","5,820","5,900","5,776.00","5,452.00","5,180.71","193,882","1,150,384,470"
2024-03-08,"5,670","6,080","5,530","5,910","5,726.00","5,417.50","5,177.46","329,166","1,924,628,790"
2024-03-07,"5,600","5,770","5,550","5,690","5,664.00","5,383.50","5,173.71","77,665","439,439,180"
2024-03-06,"5,690","5,850","5,620","5,630","5,580.00","5,361.50","5,172.88","94,818","544,352,490"
2024-03-05,"5,650","5,820","5,570","5,750","5,508.00","5,342.50","5,172.46","194,783","1,117,098,970"
2024-03-04,"5,520","5,840","5,510","5,650","5,424.00","5,312.00","5,170.38","233,581","1,335,066,750"
2024-02-29,"6,060","6,340","5,600","5,600","5,362.00","5,287.00","5,169.13","2,045,468","12,152,819,580"
2024-02-28,"5,300","5,390","5,200","5,270","5,310.00","5,266.00","5,169.04","131,143","732,938,940"
2024-02-27,"5,270","5,310","5,250","5,270","5,324.00","5,266.00","5,172.04","25,143","132,587,000"
2024-02-26,"5,340","5,340","5,250","5,330","5,336.00","5,267.00","5,175.71","14,604","77,143,640"
2024-02-23,"5,340","5,350","5,290","5,340","5,340.00","5,264.50","5,177.54","20,426","108,582,310"
2024-02-22,"5,380","5,420","5,240","5,340","5,332.00","5,260.50","5,181.13","51,942","276,230,780"
2024-02-21,"5,320","5,400","5,280","5,340","5,316.00","5,253.50","5,184.71","21,379","114,021,340"
2024-02-20,"5,340","5,370","5,300","5,330","5,310.00","5,243.00","5,182.71","20,229","107,848,610"
2024-02-19,"5,300","5,350","5,260","5,350","5,296.00","5,235.00","5,180.46","41,006","217,914,530"
2024-02-16,"5,260","5,330","5,210","5,300","5,268.00","5,224.00","5,178.21","37,329","196,643,090"
2024-02-15,"5,310","5,320","5,210","5,260","5,250.00","5,214.50","5,176.13","28,065","147,543,730"
2024-02-14,"5,260","5,320","5,210","5,310","5,244.00","5,211.00","5,174.38","17,986","94,818,940"
2024-02-13,"5,270","5,270","5,220","5,260","5,232.00","5,208.00","5,172.54","20,077","105,192,130"
2024-02-08,"5,240","5,260","5,190","5,210","5,230.00","5,207.00","5,172.46","12,731","66,454,660"
2024-02-07,"5,230","5,260","5,120","5,210","5,216.00","5,216.00","5,173.29","43,875","226,810,280"
2024-02-06,"5,270","5,270","5,200","5,230","5,204.00","5,222.00","5,173.71","9,304","48,642,960"
2024-02-05,"5,280","5,300","5,210","5,250","5,194.00","5,228.00","5,173.63","22,971","120,577,270"
2024-02-02,"5,140","5,250","5,130","5,250","5,198.00","5,231.50","5,172.13","23,874","123,977,460"
2024-02-01,"5,150","5,180","5,100","5,140","5,206.00","5,233.50","5,171.13","25,640","131,642,650"
2024-01-31,"5,160","5,260","5,150","5,150","5,234.00","5,239.00","5,171.54","23,219","120,252,970"
2024-01-30,"5,270","5,300","5,160","5,180","5,256.00","5,248.00","5,171.54","32,295","168,282,960"
2024-01-29,"5,290","5,380","5,270","5,270","5,260.00","5,254.50","5,170.96","18,302","97,328,880"
2024-01-26,"5,280","5,330","5,260","5,290","5,232.00","5,257.00","5,170.63","11,898","62,957,930"
2024-01-25,"5,340","5,350","5,200","5,280","5,208.00","5,251.00","5,170.29","30,091","158,604,410"
2024-01-24,"5,240","5,280","5,140","5,260","5,178.00","5,246.50","5,168.29","22,767","119,256,290"
2024-01-23,"5,130","5,220","5,080","5,200","5,148.00","5,242.00","5,166.00","12,216","63,047,570"
2024-01-22,"5,170","5,180","5,040","5,130","5,146.00","5,244.00","5,165.00","38,527","197,406,140"
2024-01-19,"5,130","5,190","5,110","5,170","5,170.00","5,240.00","5,163.92","11,079","57,097,110"
2024-01-18,"5,170","5,180","5,070","5,130","5,184.00","5,235.00","5,164.08","9,335","47,898,160"
2024-01-17,"5,180","5,210","5,090","5,110","5,236.00","5,233.50","5,166.08","32,008","163,921,790"
2024-01-16,"5,250","5,300","5,180","5,190","5,280.00","5,232.00","5,167.92","11,907","61,987,120"
2024-01-15,"5,300","5,300","5,200","5,250","5,312.00","5,228.00","5,169.17","10,903","57,218,370"
2024-01-12,"5,370","5,390","5,220","5,240","5,326.00","5,221.00","5,169.33","30,812","162,807,780"
2024-01-11,"5,320","5,420","5,320","5,390","5,336.00","5,217.00","5,170.58","13,890","74,525,120"
