시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"181,600","186,300","176,400","178,400","184,280.00","184,070.00","142,443.33","324,307","58,386,352,300"
2024-06-18,"185,300","185,900","181,400","181,600","186,940.00","184,390.00","142,085.00","210,477","38,431,992,000"
2024-06-17,"188,000","189,600","181,200","185,000","186,240.00","184,295.00","141,696.67","211,170","38,834,371,400"
2024-06-14,"190,000","193,000","183,300","186,600","184,460.00","183,740.00","141,275.83","299,303","55,904,836,300"
2024-06-13,"192,200","194,000","187,700","189,800","183,200.00","183,230.00","140,860.83","349,886","66,900,964,700"
2024-06-12,"179,700","194,100","179,600","191,700","180,800.00","182,190.00","140,379.17","482,692","91,574,614,300"
2024-06-11,"177,300","184,400","176,100","178,100","178,280.00","181,045.00","139,840.00","191,562","34,508,049,600"
2024-06-10,"178,100","179,000","170,000","176,100","180,100.00","180,680.00","139,417.50","195,519","34,443,685,300"
2024-06-07,"178,800","181,700","177,100","180,300","183,720.00","180,320.00","138,995.00","262,763","47,292,634,900"
2024-06-05,"177,000","180,800","173,200","177,800","185,260.00","179,540.00","138,539.17","347,741","61,414,613,800"
2024-06-04,"185,400","187,500","177,100","179,100","186,940.00","179,005.00","138,125.00","489,512","88,527,825,300"
2024-06-03,"194,200","194,200","185,100","187,200","186,800.00","178,485.00","137,726.67","521,445","97,946,595,400"
2024-05-31,"191,300","200,500","188,000","194,200","185,720.00","177,795.00","137,226.67","900,054","176,906,932,600"
2024-05-30,"186,200","194,400","185,000","188,000","183,780.00","176,560.00","136,675.00","424,722","81,066,708,738"
2024-05-29,"178,500","187,300","177,500","186,200","183,780.00","174,955.00","136,185.83","351,606","64,571,397,800"
2024-05-28,"181,900","185,000","176,000","178,400","184,260.00","173,175.00","135,741.67","303,540","54,491,156,200"
2024-05-27,"186,000","188,700","180,100","181,800","185,540.00","171,560.00","135,365.00","282,997","52,061,520,100"
2024-05-24,"185,700","190,200","183,400","184,500","185,120.00","169,740.00","134,970.00","278,995","51,906,658,600"
2024-05-23,"187,100","193,000","186,000","188,000","183,000.00","167,625.00","134,515.83","274,677","52,213,015,600"
2024-05-22,"184,800","190,700","183,800","188,600","180,680.00","165,310.00","134,050.00","333,982","63,001,399,300"
