시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"71,600","75,000","67,600","68,600","68,360.00","62,080.00","51,896.67","806,604","57,689,405,700"
2024-06-18,"67,600","71,500","66,200","69,900","68,080.00","61,525.00","51,780.00","426,928","29,686,387,700"
2024-06-17,"69,000","69,900","65,700","66,900","66,460.00","60,740.00","51,648.33","357,676","24,012,124,000"
2024-06-14,"70,000","72,400","67,300","68,000","65,620.00","60,040.00","51,535.83","571,196","39,857,724,800"
2024-06-13,"69,000","69,800","66,700","68,400","64,660.00","59,315.00","51,421.67","587,957","40,154,708,900"
2024-06-12,"63,200","67,700","62,200","67,200","63,520.00","58,575.00","51,280.83","784,714","51,815,176,800"
2024-06-11,"62,900","65,000","60,800","61,800","62,880.00","57,965.00","51,143.33","306,952","19,156,012,100"
2024-06-10,"63,000","66,500","62,500","62,700","63,640.00","57,635.00","51,058.33","459,246","29,513,810,600"
2024-06-07,"63,200","65,000","61,500","63,200","63,960.00","57,055.00","50,960.00","245,182","15,516,927,900"
2024-06-05,"63,100","65,000","61,500","62,700","63,120.00","56,425.00","50,859.17","396,109","24,845,805,000"
2024-06-04,"66,300","68,300","63,300","64,000","61,920.00","55,820.00","50,753.33","585,878","38,238,265,000"
2024-06-03,"66,000","67,000","63,300","65,600","59,760.00","55,125.00","50,632.92","758,352","49,408,222,000"
2024-05-31,"60,000","64,800","59,600","64,300","57,380.00","54,315.00","50,487.92","1,358,061","84,802,884,700"
2024-05-30,"56,300","59,400","56,100","59,000","55,420.00","53,610.00","50,346.67","655,670","38,297,826,700"
2024-05-29,"53,200","56,900","52,400","56,700","54,720.00","53,125.00","50,250.42","538,074","29,984,067,100"
2024-05-28,"53,300","54,500","52,400","53,200","54,520.00","52,712.50","50,170.83","164,718","8,762,321,900"
2024-05-27,"55,300","55,500","53,300","53,700","55,380.00","52,467.50","50,120.83","165,683","8,996,251,100"
2024-05-24,"55,000","57,100","54,000","54,500","55,480.00","52,217.50","50,072.92","242,351","13,405,720,300"
2024-05-23,"55,700","56,400","54,600","55,500","55,160.00","51,915.00","50,022.08","218,196","12,063,271,500"
2024-05-22,"58,000","58,100","55,500","55,700","54,760.00","51,590.00","49,966.67","285,332","16,161,509,200"
2024-05-21,"54,200","57,700","53,700","57,500","54,340.00","51,275.00","49,910.83","597,804","33,776,348,300"
2024-05-20,"53,200","54,500","51,900","54,200","53,840.00","50,925.00","49,839.17","207,996","11,177,188,700"
2024-05-17,"53,800","53,900","52,500","52,900","54,040.00","50,652.50","49,777.08","115,422","6,104,421,700"
2024-05-16,"54,100","54,300","53,200","53,500","53,680.00","50,405.00","49,715.42","183,127","9,829,449,900"
2024-05-14,"55,000","56,400","52,900","53,600","53,100.00","50,172.50","49,657.92","367,271","19,906,935,100"
2024-05-13,"55,700","57,200","54,500","55,000","52,500.00","49,992.50","49,604.17","482,739","26,836,895,500"
2024-05-10,"51,700","55,200","49,400","55,200","51,520.00","49,675.00","49,540.00","1,199,974","64,247,123,350"
2024-05-09,"50,400","52,600","50,200","51,100","50,360.00","49,415.00","49,472.08","380,426","19,605,261,800"
2024-05-08,"50,500","51,500","50,200","50,600","50,180.00","49,430.00","49,457.92","126,186","6,409,461,800"
2024-05-07,"50,300","50,700","49,750","50,600","49,920.00","49,435.00","49,500.42","120,035","6,052,316,100"
2024-05-03,"49,500","50,700","48,700","50,100","49,490.00","49,445.00","49,537.92","123,741","6,123,924,100"
2024-05-02,"50,300","51,600","49,250","49,400","49,130.00","49,485.00","49,572.08","200,659","10,044,233,100"
2024-04-30,"49,300","50,600","49,100","50,200","48,990.00","49,550.00","49,590.42","251,082","12,613,989,350"
2024-04-29,"48,600","49,600","48,600","49,300","48,640.00","49,615.00","49,606.25","139,165","6,847,978,100"
2024-04-26,"48,300","48,700","47,950","48,450","48,580.00","49,480.00","49,646.25","100,344","4,837,642,950"
2024-04-25,"48,200","48,850","48,150","48,300","48,770.00","49,432.50","49,696.67","68,921","3,337,777,100"
2024-04-24,"48,850","49,000","48,400","48,700","49,210.00","49,375.00","49,740.83","74,848","3,641,321,050"
2024-04-23,"49,000","49,250","48,000","48,450","49,220.00","49,237.50","49,787.50","114,556","5,539,249,550"
2024-04-22,"50,000","50,900","48,550","49,000","49,120.00","49,107.50","49,830.42","117,395","5,784,913,000"
2024-04-19,"50,200","50,400","48,650","49,400","49,090.00","48,960.00","49,870.42","135,469","6,704,074,050"
2024-04-18,"49,900","51,000","49,900","50,500","49,210.00","48,780.00","49,915.42","124,664","6,280,302,950"
2024-04-17,"48,450","50,000","48,100","48,750","48,840.00","48,537.50","49,925.42","106,821","5,271,230,850"
2024-04-16,"48,550","49,400","47,950","47,950","49,090.00","48,320.00","49,958.33","101,843","4,930,698,700"
2024-04-15,"49,500","49,850","48,650","48,850","49,780.00","48,172.50","49,988.75","112,634","5,517,793,950"
2024-04-12,"48,700","50,700","48,350","50,000","50,150.00","47,917.50","50,015.00","167,819","8,395,305,000"
2024-04-11,"48,700","49,300","47,700","48,650","50,310.00","47,610.00","50,036.67","213,259","10,378,681,550"
2024-04-09,"51,500","51,800","49,900","50,000","50,760.00","47,352.50","50,066.25","120,465","6,106,345,850"
2024-04-08,"51,100","52,000","49,850","51,400","50,900.00","47,065.00","50,062.50","207,086","10,639,487,050"
2024-04-05,"50,400","51,400","50,100","50,700","50,920.00","46,760.00","50,045.83","113,558","5,765,976,300"
2024-04-04,"51,000","51,600","49,000","50,800","50,100.00","46,507.50","50,027.92","310,180","15,746,792,750"
2024-04-03,"50,700","51,900","50,300","50,900","49,440.00","46,262.50","50,004.17","206,983","10,584,649,900"
2024-04-02,"51,500","51,600","50,100","50,700","48,690.00","46,077.50","49,975.00","209,324","10,606,112,700"
2024-04-01,"46,600","51,900","46,400","51,500","47,740.00","45,840.00","49,952.08","729,290","36,655,776,650"
2024-03-29,"47,550","47,550","46,400","46,600","46,610.00","45,552.50","49,929.17","111,073","5,195,660,550"
2024-03-28,"47,500","48,750","47,500","47,500","46,500.00","45,595.00","49,954.58","259,736","12,492,641,650"
2024-03-27,"45,700","47,350","45,700","47,150","46,160.00","45,625.00","49,984.58","153,056","7,159,291,300"
2024-03-26,"45,700","46,100","45,650","45,950","45,860.00","45,560.00","50,014.17","73,861","3,390,560,750"
2024-03-25,"45,950","46,200","45,250","45,850","45,550.00","45,572.50","50,062.08","121,429","5,542,404,000"
2024-03-22,"45,700","46,450","45,350","46,050","45,380.00","45,660.00","50,093.33","102,675","4,734,965,700"
2024-03-21,"45,900","45,900","45,050","45,800","44,920.00","45,787.50","50,134.58","101,254","4,602,323,550"
2024-03-20,"44,800","46,250","44,450","45,650","44,530.00","45,947.50","50,190.42","208,994","9,501,359,600"
2024-03-19,"44,850","45,350","44,200","44,400","44,100.00","46,117.50","50,251.67","142,288","6,356,494,050"
2024-03-18,"43,750","45,050","43,750","45,000","44,070.00","46,332.50","50,318.33","192,683","8,602,126,500"
2024-03-15,"43,750","43,900","43,200","43,750","44,130.00","46,515.00","50,374.17","120,329","5,231,154,750"
2024-03-14,"43,550","43,850","43,150","43,850","44,510.00","46,740.00","50,441.25","138,459","6,036,931,650"
2024-03-13,"44,400","44,450","43,250","43,500","44,920.00","46,952.50","50,501.67","227,700","9,940,248,800"
2024-03-12,"45,350","45,650","44,050","44,250","45,660.00","47,192.50","50,580.83","194,987","8,629,603,650"
2024-03-11,"45,650","46,000","45,200","45,300","46,000.00","47,415.00","50,659.58","132,562","6,019,760,150"
2024-03-08,"46,250","46,450","45,500","45,650","46,090.00","47,595.00","50,727.92","129,420","5,918,434,000"
2024-03-07,"47,200","47,200","45,850","45,900","46,450.00","47,767.50","50,788.33","147,434","6,810,232,350"
2024-03-06,"45,950","47,750","45,850","47,200","46,890.00","47,892.50","50,846.67","157,386","7,434,216,150"
2024-03-05,"45,600","47,300","45,600","45,950","46,620.00","47,980.00","50,894.17","154,133","7,138,153,500"
2024-03-04,"47,450","47,650","45,700","45,750","46,670.00","48,140.00","50,953.75","164,366","7,623,427,700"
2024-02-29,"47,650","48,550","46,950","47,450","47,040.00","48,292.50","51,019.17","148,702","7,111,892,700"
2024-02-28,"46,800","48,600","46,700","48,100","47,270.00","48,420.00","51,105.42","263,912","12,616,099,600"
2024-02-27,"46,200","47,000","45,150","45,850","47,450.00","48,540.00","51,181.25","156,925","7,232,937,800"
2024-02-26,"47,600","47,600","46,200","46,200","48,090.00","48,862.50","51,276.67","149,621","6,986,398,950"
2024-02-23,"49,100","49,300","47,300","47,600","48,590.00","49,227.50","51,369.17","192,166","9,272,276,500"
2024-02-22,"49,500","49,650","48,250","48,600","48,800.00","49,537.50","51,450.00","184,152","8,972,865,950"
2024-02-21,"49,400","49,450","48,500","49,000","48,730.00","49,782.50","51,510.83","74,352","3,630,432,050"
2024-02-20,"48,750","49,300","48,450","49,050","48,550.00","49,967.50","51,570.00","80,833","3,958,461,750"
2024-02-19,"48,650","48,850","48,150","48,700","48,400.00","50,115.00","51,623.75","93,376","4,516,572,100"
2024-02-16,"48,750","48,950","48,050","48,650","48,400.00","50,285.00","51,689.58","102,407","4,976,484,650"
2024-02-15,"48,450","49,600","48,150","48,250","48,450.00","50,457.50","51,760.83","126,181","6,150,450,800"
2024-02-14,"48,050","48,250","47,500","48,100","48,620.00","50,675.00","51,827.08","107,083","5,119,805,300"
2024-02-13,"49,100","49,300","48,150","48,300","48,680.00","50,885.00","51,909.58","110,267","5,346,857,900"
2024-02-08,"49,400","49,550","48,700","48,700","48,810.00","51,185.00","51,991.25","105,835","5,174,907,250"
2024-02-07,"49,700","49,800","48,700","48,900","48,900.00","51,475.00","52,058.75","75,969","3,737,065,400"
2024-02-06,"48,400","49,600","48,200","49,100","48,880.00","51,805.00","52,107.92","72,670","3,567,925,000"
2024-02-05,"49,100","49,150","48,000","48,400","49,060.00","52,120.00","52,125.42","119,889","5,785,617,650"
2024-02-02,"49,150","50,300","48,800","48,950","49,480.00","52,385.00","52,155.42","119,339","5,882,976,050"
2024-02-01,"48,700","49,700","48,500","49,150","50,150.00","52,642.50","52,178.33","102,819","5,062,311,550"
2024-01-31,"49,400","50,100","48,600","48,800","51,020.00","52,860.00","52,175.83","93,855","4,602,619,500"
2024-01-30,"51,000","51,100","49,150","50,000","52,020.00","53,070.00","52,171.67","107,933","5,373,344,300"
2024-01-29,"52,400","52,500","50,500","50,500","52,720.00","53,245.00","52,154.58","82,473","4,202,322,400"
2024-01-26,"53,500","54,200","52,300","52,300","53,160.00","53,400.00","52,140.83","62,252","3,293,482,200"
2024-01-25,"53,800","55,000","53,100","53,500","53,100.00","53,380.00","52,107.92","57,425","3,096,001,200"
2024-01-24,"53,400","54,400","53,400","53,800","52,820.00","53,340.00","52,058.33","61,473","3,320,683,500"
2024-01-23,"52,900","54,300","52,600","53,500","52,480.00","53,295.00","52,003.75","65,099","3,487,994,300"
2024-01-22,"52,900","53,200","52,400","52,700","52,300.00","53,285.00","51,929.58","48,908","2,587,587,800"
2024-01-19,"52,400","53,400","51,900","52,000","52,220.00","53,330.00","51,878.75","47,508","2,490,881,200"
2024-01-18,"52,600","53,600","52,100","52,100","52,680.00","53,460.00","51,826.67","42,744","2,257,656,000"
2024-01-17,"53,100","54,200","51,800","52,100","53,160.00","53,560.00","51,781.67","107,254","5,637,492,800"
2024-01-16,"51,900","52,900","51,700","52,600","53,840.00","53,625.00","51,732.50","38,450","2,013,648,800"
2024-01-15,"54,300","54,500","52,200","52,300","54,400.00","53,710.00","51,673.33","82,214","4,334,790,800"
2024-01-12,"54,500","55,300","53,800","54,300","54,680.00","53,670.00","51,624.17","59,370","3,236,527,000"
2024-01-11,"55,700","55,700","54,500","54,500","54,640.00","53,490.00","51,558.33","80,823","4,449,041,200"
2024-01-10,"55,600","55,900","54,100","55,500","54,440.00","53,345.00","51,494.17","85,716","4,753,333,800"
2024-01-09,"54,700","55,600","53,700","55,400","53,940.00","53,115.00","51,418.33","95,094","5,240,594,800"
2024-01-08,"54,400","55,000","53,600","53,700","53,560.00","52,900.00","51,350.42","64,444","3,482,623,800"
2024-01-05,"54,100","55,700","53,600","54,100","53,540.00","52,715.00","51,285.00","104,402","5,691,849,800"
2024-01-04,"52,900","54,500","52,400","53,500","53,100.00","52,487.50","51,212.50","81,529","4,354,930,900"
2024-01-03,"53,000","54,100","53,000","53,000","52,940.00","52,222.50","51,155.83","71,088","3,808,096,100"
2024-01-02,"53,500","54,000","52,400","53,500","52,920.00","51,940.00","51,095.83","57,977","3,101,332,200"
2023-12-28,"52,100","54,100","51,800","53,600","52,880.00","51,637.50","51,033.33","103,115","5,518,580,100"
2023-12-27,"53,000","53,000","51,600","51,900","52,880.00","51,315.00","50,970.00","99,383","5,179,201,900"
2023-12-26,"53,400","53,500","51,900","52,700","53,420.00","51,080.00","50,893.33","63,215","3,336,729,200"
2023-12-22,"53,600","53,700","51,900","52,900","53,700.00","50,842.50","50,820.83","92,034","4,865,200,500"
2023-12-21,"53,700","55,100","52,900","53,300","53,800.00","50,617.50","50,744.58","122,229","6,572,349,200"
2023-12-20,"54,800","55,200","53,200","53,600","54,000.00","50,395.00","50,669.17","85,608","4,616,824,700"
2023-12-19,"53,900","55,500","53,700","54,600","53,580.00","50,165.00","50,587.08","110,554","6,078,043,900"
2023-12-18,"52,900","55,100","52,900","54,100","52,800.00","49,880.00","50,491.25","113,597","6,178,643,000"
2023-12-15,"54,100","54,200","53,100","53,400","52,300.00","49,512.50","50,404.58","105,121","5,638,097,900"
2023-12-14,"52,100","55,000","52,100","54,300","51,800.00","49,117.50","50,321.67","375,592","20,347,159,400"
2023-12-13,"50,700","52,000","50,300","51,500","51,160.00","48,732.50","50,238.33","98,741","5,090,345,700"
2023-12-12,"51,500","51,800","50,100","50,700","50,860.00","48,515.00","50,173.75","97,945","4,960,203,700"
2023-12-11,"51,200","52,600","50,800","51,600","50,630.00","48,345.00","50,115.42","118,849","6,158,464,400"
2023-12-08,"51,200","51,700","50,200","50,900","49,950.00","48,117.50","50,047.92","99,393","5,070,097,100"
2023-12-07,"50,000","52,500","49,250","51,100","49,240.00","48,042.50","49,977.92","233,533","12,002,363,400"
2023-12-06,"50,000","50,300","49,400","50,000","48,510.00","48,272.50","49,900.42","111,878","5,586,385,300"
2023-12-05,"47,950","50,800","47,800","49,550","47,940.00","48,527.50","49,827.50","230,765","11,493,731,400"
2023-12-04,"47,400","48,900","46,900","48,200","47,470.00","48,760.00","49,758.33","122,331","5,902,662,400"
2023-12-01,"47,550","47,800","46,900","47,350","47,420.00","48,930.00","49,703.33","50,355","2,380,039,650"
2023-11-30,"47,150","47,800","46,750","47,450","47,630.00","49,167.50","49,652.50","100,111","4,744,619,950"
2023-11-29,"47,000","47,500","46,650","47,150","47,910.00","49,500.00","49,601.67","63,547","2,988,970,150"
2023-11-28,"48,400","48,450","46,950","47,200","48,280.00","49,867.50","49,552.08","139,510","6,604,410,200"
2023-11-27,"48,250","48,450","47,900","47,950","48,620.00","50,187.50","49,482.92","63,601","3,060,185,400"
2023-11-24,"49,150","49,150","48,100","48,400","48,380.00","50,505.00","49,402.92","65,286","3,157,325,100"
2023-11-23,"48,800","49,050","47,550","48,850","47,800.00","50,765.00","49,312.92","113,417","5,498,913,500"
2023-11-22,"48,350","49,500","48,000","49,000","47,350.00","51,012.50","49,222.50","166,047","8,110,718,950"
2023-11-21,"46,950","49,100","46,900","48,900","46,980.00","51,302.50","49,135.83","259,991","12,544,739,200"
2023-11-20,"45,500","46,850","45,250","46,750","46,660.00","51,442.50","49,054.17","156,309","7,246,544,100"
2023-11-17,"46,900","46,900","45,200","45,500","46,720.00","51,740.00","48,992.08","210,441","9,613,332,150"
2023-11-16,"47,450","47,450","46,500","46,600","47,500.00","52,045.00","48,941.25","142,442","6,671,233,600"
2023-11-15,"48,000","48,450","47,100","47,150","49,320.00","52,315.00","48,871.67","252,955","12,006,809,050"
2023-11-14,"47,500","47,650","46,550","47,300","50,910.00","52,587.50","48,795.83","163,500","7,693,436,150"
2023-11-13,"50,000","50,200","46,250","47,050","52,290.00","52,832.50","48,717.08","365,853","17,402,752,850"
2023-11-10,"55,700","55,900","47,150","49,400","53,200.00","52,957.50","48,641.67","916,108","46,014,442,450"
2023-11-09,"56,100","56,700","54,600","55,700","53,740.00","52,957.50","48,546.67","114,637","6,380,276,300"
