시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"143,400","146,600","140,200","141,100","143,700.00","159,740.00","114,986.67","396,914","56,515,802,000"
2024-06-18,"148,400","149,300","141,000","141,800","144,220.00","161,650.00","114,567.50","444,622","64,030,839,100"
2024-06-17,"147,200","149,800","140,700","146,700","145,180.00","163,935.00","114,139.17","367,691","53,768,245,100"
2024-06-14,"144,100","149,700","143,800","145,700","146,260.00","164,950.00","113,668.33","647,226","95,079,644,200"
2024-06-13,"144,500","150,300","143,200","143,200","147,100.00","165,740.00","113,180.00","660,362","96,786,915,900"
2024-06-12,"146,200","147,100","141,800","143,700","148,440.00","166,120.00","112,681.67","487,582","70,095,579,900"
2024-06-11,"154,200","154,600","145,800","146,600","152,460.00","166,450.00","112,203.33","490,370","72,810,113,900"
2024-06-10,"146,900","153,300","145,400","152,100","157,100.00","166,370.00","111,690.83","542,583","81,697,989,000"
2024-06-07,"147,600","154,000","147,600","149,900","160,700.00","165,940.00","111,137.50","627,064","94,249,933,800"
2024-06-05,"161,900","161,900","148,500","149,900","166,120.00","165,670.00","110,601.67","1,153,220","174,873,148,100"
2024-06-04,"168,200","170,800","162,100","163,800","172,280.00","165,360.00","110,076.67","460,351","76,191,118,400"
2024-06-03,"170,200","172,000","163,900","169,800","176,160.00","163,650.00","109,432.50","524,575","87,806,363,900"
2024-05-31,"177,200","178,100","167,900","170,100","177,140.00","161,925.00","108,748.33","675,091","115,672,049,800"
2024-05-30,"178,000","182,500","174,200","177,000","177,320.00","160,325.00","108,030.83","392,925","70,273,203,200"
2024-05-29,"188,000","192,800","180,300","180,700","175,520.00","158,390.00","107,261.67","568,047","105,229,531,000"
2024-05-28,"176,300","186,500","175,000","183,200","174,540.00","155,745.00","106,464.17","635,788","115,243,032,700"
2024-05-27,"171,000","183,000","168,200","174,700","173,760.00","152,425.00","105,643.33","876,111","155,033,399,100"
2024-05-24,"162,300","173,500","161,300","171,000","176,320.00","149,800.00","104,891.67","878,054","147,443,059,200"
2024-05-23,"167,100","171,600","163,900","168,000","175,520.00","147,365.00","104,175.83","1,147,114","191,485,993,750"
2024-05-22,"184,000","184,700","174,400","175,800","174,220.00","145,300.00","103,485.00","810,055","145,199,018,800"
2024-05-21,"189,100","194,800","177,600","179,300","169,220.00","142,755.00","102,732.50","1,080,877","200,697,148,100"
2024-05-20,"173,800","189,300","172,100","187,500","163,420.00","140,315.00","101,930.00","1,563,113","284,822,749,800"
2024-05-17,"160,200","175,000","159,500","167,000","154,920.00","136,620.00","101,038.33","1,220,912","204,406,447,700"
2024-05-16,"156,100","161,900","150,600","161,500","150,220.00","133,920.00","100,286.67","815,968","128,512,362,100"
2024-05-14,"153,100","157,500","147,400","150,800","146,820.00","132,085.00","99,587.50","600,312","91,195,443,900"
2024-05-13,"149,800","161,500","143,500","150,300","145,400.00","130,650.00","98,986.67","1,589,800","243,020,344,800"
2024-05-10,"146,400","147,200","141,000","145,000","141,260.00","128,880.00","98,390.83","414,569","59,849,456,000"
2024-05-09,"145,600","146,200","141,800","143,500","139,320.00","127,230.00","97,820.00","379,976","54,752,700,100"
2024-05-08,"142,400","148,100","140,400","144,500","138,240.00","125,610.00","97,263.33","569,047","82,513,767,500"
2024-05-07,"134,900","144,900","133,100","143,700","137,000.00","124,085.00","96,710.00","792,423","111,670,867,600"
2024-05-03,"138,100","138,100","129,100","129,600","133,820.00","122,380.00","96,171.67","422,390","55,878,039,100"
2024-05-02,"135,200","142,100","133,300","135,300","131,260.00","121,030.00","95,756.67","394,281","53,939,294,700"
2024-04-30,"140,000","144,700","136,600","138,100","128,640.00","119,540.00","95,341.67","710,344","100,007,762,000"
2024-04-29,"130,700","142,300","127,100","138,300","125,480.00","118,145.00","94,853.33","1,390,776","190,807,008,100"
2024-04-26,"120,000","129,100","120,000","127,800","123,160.00","116,900.00","94,365.00","984,365","123,359,863,300"
2024-04-25,"120,500","120,700","116,500","116,800","122,580.00","116,220.00","93,943.33","482,903","56,976,896,100"
2024-04-24,"123,800","126,200","120,400","122,200","125,320.00","116,160.00","93,622.50","525,239","64,154,548,600"
2024-04-23,"128,500","128,600","120,000","122,300","123,600.00","115,475.00","93,296.67","601,354","74,067,638,600"
2024-04-22,"128,300","136,600","122,000","126,700","121,740.00","114,845.00","92,952.50","1,213,091","156,204,800,000"
2024-04-19,"129,100","130,400","117,200","124,900","121,360.00","114,040.00","92,578.33","1,115,586","137,799,958,000"
2024-04-18,"115,300","130,500","114,800","130,500","120,800.00","113,345.00","92,240.00","905,697","112,530,661,300"
2024-04-17,"111,700","116,600","111,700","113,600","117,680.00","112,075.00","91,863.33","430,963","49,319,392,800"
2024-04-16,"123,600","128,500","112,100","113,000","117,360.00","111,765.00","91,626.67","781,920","91,411,324,100"
2024-04-15,"125,400","132,000","121,200","124,800","116,980.00","111,645.00","91,396.67","869,780","109,868,252,700"
2024-04-12,"116,200","128,100","113,700","122,100","114,820.00","110,610.00","91,086.67","1,181,262","144,894,277,000"
2024-04-11,"109,000","115,900","105,700","114,900","112,320.00","109,570.00","90,834.17","480,873","53,484,977,500"
2024-04-09,"112,700","117,000","111,200","112,000","109,860.00","108,760.00","90,627.50","341,735","38,956,612,800"
2024-04-08,"114,300","115,300","110,500","111,100","108,560.00","108,040.00","90,436.67","302,940","34,203,006,000"
2024-04-05,"110,600","118,000","110,000","114,000","108,380.00","107,350.00","90,265.83","654,461","74,904,315,300"
2024-04-04,"104,000","110,400","104,000","109,600","108,260.00","106,460.00","90,104.17","330,909","35,771,256,700"
2024-04-03,"104,200","105,700","102,300","102,600","109,180.00","105,770.00","89,966.67","181,804","18,740,102,500"
2024-04-02,"109,200","110,000","104,800","105,500","111,780.00","105,425.00","89,880.83","317,965","33,717,369,700"
2024-04-01,"113,300","114,500","108,300","110,200","112,380.00","104,895.00","89,781.67","214,682","23,734,475,200"
2024-03-29,"115,300","119,300","112,800","113,400","112,280.00","103,825.00","89,656.67","313,915","36,399,512,400"
2024-03-28,"116,700","118,000","113,800","114,200","111,720.00","102,550.00","89,514.17","239,125","27,697,378,900"
2024-03-27,"108,500","117,300","107,500","115,600","111,080.00","101,300.00","89,409.17","476,131","54,530,585,900"
2024-03-26,"110,600","111,200","107,700","108,500","108,980.00","99,885.00","89,279.17","161,602","17,612,865,900"
2024-03-25,"111,500","115,400","109,400","109,700","108,760.00","98,950.00","89,208.33","199,441","22,233,957,500"
2024-03-22,"111,300","113,300","108,100","110,600","108,940.00","98,230.00","89,153.33","258,884","28,611,740,000"
2024-03-21,"106,600","111,800","104,600","111,000","107,640.00","97,505.00","89,085.00","339,542","36,991,087,300"
2024-03-20,"107,400","108,000","104,200","105,100","105,700.00","96,670.00","89,017.50","222,542","23,498,707,100"
2024-03-19,"112,000","113,000","106,600","107,400","104,420.00","96,170.00","88,991.67","306,784","33,457,278,000"
2024-03-18,"106,100","112,400","105,700","110,600","102,460.00","95,615.00","88,947.50","568,846","62,764,244,100"
2024-03-15,"102,000","106,800","99,900","104,100","99,800.00","94,855.00","88,845.00","446,916","46,527,103,300"
2024-03-14,"100,500","107,800","100,000","101,300","98,220.00","94,200.00","88,794.17","816,061","85,108,884,100"
2024-03-13,"97,100","101,900","97,000","98,700","97,120.00","93,655.00","88,738.33","299,611","29,960,238,200"
2024-03-12,"98,800","99,500","95,900","97,600","96,520.00","93,370.00","88,711.67","155,711","15,154,438,400"
2024-03-11,"95,200","100,300","95,200","97,300","95,980.00","93,380.00","88,702.50","295,472","29,183,784,000"
2024-03-08,"97,300","97,700","94,600","96,200","94,280.00","93,515.00","88,687.50","163,612","15,751,534,800"
2024-03-07,"96,300","98,600","94,600","95,800","92,620.00","93,605.00","88,685.83","194,340","18,853,453,500"
2024-03-06,"94,400","97,100","93,300","95,700","91,300.00","94,005.00","88,708.33","199,988","19,024,128,000"
2024-03-05,"89,700","97,500","89,300","94,900","89,620.00","94,365.00","88,748.33","507,924","47,937,890,600"
2024-03-04,"88,900","89,700","88,100","88,800","88,600.00","94,420.00","88,800.00","156,122","13,891,416,700"
2024-02-29,"89,100","90,700","87,600","87,900","89,900.00","94,535.00","88,904.17","132,430","11,723,992,200"
2024-02-28,"87,300","90,000","87,200","89,200","91,540.00","94,520.00","89,064.17","123,742","10,970,470,300"
2024-02-27,"89,500","90,300","86,800","87,300","92,560.00","94,310.00","89,207.50","173,879","15,380,273,700"
2024-02-26,"94,400","94,400","89,600","89,800","94,120.00","94,080.00","89,366.67","282,382","25,618,264,400"
2024-02-23,"96,100","97,400","94,700","95,300","95,420.00","93,750.00","89,510.83","124,404","11,956,818,800"
2024-02-22,"95,000","96,900","93,200","96,100","95,440.00","92,985.00","89,619.17","135,082","12,942,314,000"
2024-02-21,"94,700","96,100","93,100","94,300","94,420.00","92,135.00","89,729.17","121,555","11,452,828,700"
2024-02-20,"97,000","99,000","94,600","95,100","93,640.00","91,340.00","89,860.83","199,366","19,177,067,100"
2024-02-19,"95,900","98,700","94,500","96,300","93,220.00","90,575.00","89,987.50","245,732","23,750,664,800"
2024-02-16,"91,600","95,500","91,600","95,400","93,520.00","89,765.00","90,063.33","267,450","25,230,775,900"
2024-02-15,"91,800","91,900","90,400","91,000","94,440.00","88,890.00","90,165.83","187,531","17,059,626,700"
2024-02-14,"92,300","94,400","90,300","90,400","95,840.00","88,340.00","90,378.33","335,146","30,607,478,900"
