시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"10,220","10,800","10,220","10,610","10,242.00","10,169.00","11,032.33","5,286,258","56,237,682,770"
2024-06-18,"10,400","10,470","10,100","10,120","10,190.00","10,150.00","11,035.03","1,932,712","19,668,639,160"
2024-06-17,"10,040","10,500","10,040","10,380","10,182.00","10,157.00","11,045.51","2,409,791","24,913,017,090"
2024-06-14,"10,060","10,090","10,010","10,040","10,116.00","10,152.00","11,059.98","1,079,403","10,835,846,520"
2024-06-13,"10,370","10,480","10,060","10,060","10,130.00","10,183.50","11,076.29","2,367,961","24,110,710,460"
2024-06-12,"10,250","10,500","10,170","10,350","10,142.00","10,213.00","11,089.82","1,454,474","15,005,345,160"
2024-06-11,"10,080","10,220","10,030","10,080","10,096.00","10,225.00","11,100.93","868,159","8,770,303,980"
2024-06-10,"10,050","10,150","9,990","10,050","10,146.00","10,255.00","11,113.98","940,494","9,453,606,870"
2024-06-07,"10,120","10,220","10,060","10,110","10,122.00","10,284.50","11,125.97","802,404","8,125,340,840"
2024-06-05,"10,140","10,270","10,090","10,120","10,110.00","10,314.00","11,136.30","604,857","6,148,321,510"
2024-06-04,"10,240","10,370","10,120","10,120","10,112.00","10,341.00","11,147.32","927,729","9,453,056,660"
2024-06-03,"10,090","10,500","10,090","10,330","10,178.00","10,362.50","11,158.80","1,808,223","18,746,910,890"
2024-05-31,"10,150","10,330","9,930","9,930","10,128.00","10,365.00","11,168.38","2,509,704","25,159,393,390"
2024-05-30,"10,030","10,180","9,990","10,050","10,140.00","10,395.50","11,180.90","1,031,500","10,382,720,640"
2024-05-29,"10,340","10,420","10,110","10,130","10,166.00","10,423.50","11,193.58","1,075,800","11,004,385,760"
2024-05-28,"10,050","10,450","10,030","10,450","10,180.00","10,433.00","11,204.91","1,560,745","16,078,194,480"
2024-05-27,"10,010","10,100","9,980","10,080","10,136.00","10,424.50","11,215.57","856,594","8,582,769,050"
