시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"2,230","2,355","2,205","2,310","2,285.00","2,374.00","1,558.84","23,923,024","54,764,921,930"
2024-06-18,"2,235","2,265","2,175","2,210","2,295.00","2,358.50","1,550.43","11,762,741","25,985,609,880"
2024-06-17,"2,320","2,380","2,230","2,230","2,314.00","2,348.25","1,542.92","11,054,978","25,441,476,860"
2024-06-14,"2,370","2,475","2,305","2,345","2,389.00","2,334.35","1,535.23","21,716,524","51,903,345,335"
2024-06-13,"2,340","2,405","2,240","2,330","2,430.00","2,316.25","1,526.58","17,604,432","40,783,335,080"
2024-06-12,"2,355","2,395","2,260","2,360","2,464.00","2,294.90","1,518.01","15,797,698","37,065,763,170"
2024-06-11,"2,645","2,645","2,280","2,305","2,472.00","2,266.65","1,509.33","27,664,722","67,200,941,910"
2024-06-10,"2,560","2,645","2,520","2,605","2,519.00","2,225.30","1,501.12","26,977,930","69,788,206,715"
2024-06-07,"2,500","2,730","2,455","2,550","2,482.00","2,168.70","1,490.24","44,443,228","115,123,927,190"
2024-06-05,"2,410","2,530","2,290","2,500","2,432.00","2,115.65","1,479.98","36,102,600","88,414,420,330"
2024-06-04,"2,485","2,520","2,300","2,400","2,402.00","2,064.30","1,470.28","24,709,174","58,877,197,435"
2024-06-03,"2,525","2,580","2,370","2,540","2,452.00","2,016.85","1,461.43","41,416,368","103,403,858,955"
2024-05-31,"2,270","2,595","2,250","2,420","2,432.00","1,962.55","1,451.51","84,826,000","208,683,188,070"
2024-05-30,"2,305","2,430","2,225","2,300","2,411.00","1,915.30","1,442.43","29,763,708","69,330,903,075"
2024-05-29,"2,760","2,770","2,325","2,350","2,401.00","1,873.25","1,434.43","48,137,532","121,650,328,085"
2024-05-28,"2,490","2,650","2,440","2,650","2,345.00","1,826.60","1,425.97","13,541,508","34,737,832,240"
2024-05-27,"2,390","2,505","2,390","2,440","2,215.00","1,765.00","1,415.15","12,454,346","30,328,293,830"
2024-05-24,"2,220","2,315","2,200","2,315","2,128.00","1,715.10","1,405.96","8,210,496","18,564,267,385"
2024-05-23,"2,245","2,545","2,130","2,250","2,055.40","1,667.60","1,397.99","157,820,480","368,051,578,120"
2024-05-22,"1,995","2,215","1,980","2,070","2,002.00","1,624.25","1,390.64","73,047,504","154,980,908,489"
2024-05-21,"2,000","2,060","1,950","2,000","1,968.60","1,586.40","1,384.47","18,691,568","37,581,628,691"
2024-05-20,"1,970","2,075","1,961","2,005","1,927.60","1,553.65","1,378.95","25,784,026","51,933,888,893"
2024-05-17,"2,005","2,025","1,910","1,952","1,822.20","1,518.45","1,373.53","22,270,420","43,760,853,465"
2024-05-16,"1,894","2,145","1,865","1,983","1,726.40","1,486.55","1,368.46","90,122,592","182,869,736,041"
2024-05-14,"1,738","1,942","1,720","1,903","1,627.60","1,455.90","1,363.29","130,455,968","243,040,911,519"
2024-05-13,"1,493","1,812","1,488","1,795","1,541.60","1,430.55","1,358.68","98,365,904","168,339,807,708"
2024-05-10,"1,490","1,515","1,473","1,478","1,472.80","1,408.40","1,354.76","1,891,074","2,816,390,086"
2024-05-09,"1,485","1,502","1,466","1,473","1,468.00","1,405.55","1,353.17","1,312,821","1,947,339,988"
2024-05-08,"1,482","1,513","1,476","1,489","1,468.40","1,406.90","1,351.76","2,303,019","3,433,595,128"
2024-05-07,"1,460","1,478","1,450","1,473","1,462.40","1,410.60","1,350.34","1,491,697","2,187,837,555"
2024-05-03,"1,459","1,474","1,432","1,451","1,451.20","1,413.80","1,349.16","1,065,823","1,547,182,312"
2024-05-02,"1,485","1,490","1,451","1,454","1,444.60","1,413.15","1,348.18","1,275,030","1,876,508,145"
2024-04-30,"1,495","1,495","1,463","1,475","1,442.20","1,413.85","1,347.25","2,262,745","3,342,530,480"
2024-04-29,"1,424","1,490","1,417","1,459","1,420.20","1,414.20","1,345.92","2,862,550","4,205,919,088"
2024-04-26,"1,437","1,441","1,400","1,417","1,405.00","1,413.10","1,344.66","1,284,970","1,826,113,567"
2024-04-25,"1,445","1,465","1,418","1,418","1,384.20","1,413.75","1,343.59","2,453,987","3,541,327,135"
2024-04-24,"1,392","1,454","1,373","1,442","1,369.60","1,416.35","1,342.40","2,940,372","4,162,339,644"
2024-04-23,"1,383","1,388","1,354","1,365","1,341.40","1,416.55","1,341.13","1,024,873","1,402,438,639"
2024-04-22,"1,350","1,389","1,344","1,383","1,331.20","1,422.45","1,340.44","2,577,963","3,538,577,699"
2024-04-19,"1,345","1,350","1,299","1,313","1,328.60","1,426.30","1,339.68","1,269,394","1,673,946,653"
2024-04-18,"1,301","1,357","1,301","1,345","1,345.20","1,435.40","1,339.92","1,653,690","2,220,995,258"
2024-04-17,"1,314","1,331","1,300","1,301","1,346.60","1,441.80","1,339.90","1,183,356","1,553,989,716"
2024-04-16,"1,370","1,376","1,310","1,314","1,370.60","1,453.60","1,339.82","1,758,360","2,329,894,512"
2024-04-15,"1,370","1,381","1,349","1,370","1,407.80","1,463.20","1,339.78","1,368,301","1,870,487,674"
2024-04-12,"1,352","1,406","1,342","1,396","1,446.40","1,470.15","1,339.69","2,352,117","3,253,951,642"
2024-04-11,"1,370","1,386","1,324","1,352","1,474.60","1,478.80","1,339.60","4,099,328","5,509,086,279"
2024-04-09,"1,495","1,512","1,418","1,421","1,491.80","1,485.85","1,340.14","4,737,205","6,880,320,803"
2024-04-08,"1,570","1,580","1,494","1,500","1,501.20","1,488.65","1,340.05","4,358,653","6,648,635,547"
2024-04-05,"1,528","1,612","1,490","1,563","1,497.60","1,480.20","1,339.75","18,316,176","28,580,422,219"
2024-04-04,"1,451","1,578","1,451","1,537","1,472.40","1,466.95","1,339.26","15,365,250","23,395,946,570"
2024-04-03,"1,461","1,461","1,432","1,438","1,451.00","1,454.35","1,339.09","1,387,927","2,003,867,357"
