시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"147,800","148,000","141,800","143,000","145,960.00","125,330.00","91,657.50","377,943","54,640,256,900"
2024-06-18,"145,500","152,900","143,700","147,900","149,360.00","123,155.00","91,232.50","817,232","121,166,179,500"
2024-06-17,"144,000","146,500","139,200","143,600","150,940.00","120,705.00","90,768.33","495,735","71,103,322,100"
2024-06-14,"149,300","152,200","141,500","146,000","146,840.00","118,570.00","90,324.17","762,587","111,017,111,200"
2024-06-13,"157,200","159,500","147,400","149,300","142,420.00","116,265.00","89,819.17","1,157,137","174,942,187,300"
2024-06-12,"154,900","163,400","152,300","160,000","137,100.00","113,840.00","89,258.33","1,515,428","240,983,991,200"
2024-06-11,"128,400","160,000","126,600","155,800","129,180.00","110,520.00","88,620.00","4,046,282","608,817,047,800"
2024-06-10,"124,800","128,500","121,800","123,100","121,580.00","107,430.00","88,014.17","570,607","70,925,946,200"
2024-06-07,"126,300","127,800","120,300","123,900","120,260.00","106,105.00","87,687.50","438,495","54,478,233,300"
2024-06-05,"121,300","127,600","121,000","122,700","119,740.00","104,610.00","87,354.17","431,696","53,496,432,400"
2024-06-04,"116,100","125,000","115,500","120,400","116,480.00","103,090.00","87,023.33","614,849","75,005,799,200"
2024-06-03,"118,800","122,600","115,800","117,800","113,260.00","101,795.00","86,699.17","521,921","62,256,585,300"
2024-05-31,"117,600","121,300","115,100","116,500","110,440.00","100,685.00","86,430.00","617,275","72,642,896,500"
2024-05-30,"105,200","123,000","105,200","121,300","106,940.00","99,555.00","86,159.17","2,236,997","264,481,416,600"
2024-05-29,"103,800","109,400","102,700","106,400","103,000.00","98,290.00","85,870.83","488,612","51,927,520,200"
2024-05-28,"102,900","105,900","101,800","104,300","101,780.00","97,585.00","85,684.17","194,577","20,220,224,500"
2024-05-27,"100,000","103,700","97,200","103,700","100,820.00","96,980.00","85,497.50","202,056","20,380,604,400"
2024-05-24,"101,300","101,600","98,100","99,000","99,860.00","96,445.00","85,310.00","162,134","16,085,737,800"
2024-05-23,"100,000","103,900","99,500","101,600","100,240.00","95,865.00","85,169.17","199,333","20,409,688,700"
2024-05-22,"100,500","101,500","98,600","100,300","99,900.00","95,335.00","84,999.17","101,832","10,214,891,100"
2024-05-21,"98,200","101,500","98,100","99,500","100,000.00","94,775.00","84,830.00","154,535","15,476,281,000"
2024-05-20,"102,200","102,300","98,000","98,900","98,820.00","94,330.00","84,674.17","147,139","14,647,015,900"
2024-05-17,"100,800","104,000","99,800","100,900","97,840.00","93,760.00","84,515.83","238,061","24,255,868,100"
2024-05-16,"101,400","101,700","99,200","99,900","96,980.00","93,185.00","84,343.33","182,523","18,284,263,800"
2024-05-14,"94,700","104,000","94,300","100,800","95,800.00","92,700.00","84,177.50","766,085","76,900,613,000"
2024-05-13,"94,400","95,600","93,100","93,600","94,100.00","91,955.00","84,003.33","89,339","8,412,829,000"
2024-05-10,"96,700","97,600","92,900","94,000","94,280.00","91,610.00","83,881.67","180,475","17,004,666,400"
2024-05-09,"93,600","97,900","92,600","96,600","94,600.00","91,250.00","83,730.83","270,048","26,005,393,900"
2024-05-08,"92,000","94,000","91,200","94,000","94,060.00","90,860.00","83,549.17","105,922","9,779,077,700"
2024-05-07,"95,300","95,500","91,200","92,300","94,460.00","90,595.00","83,422.50","158,292","14,591,177,600"
2024-05-03,"96,100","96,400","93,600","94,500","94,460.00","90,385.00","83,322.50","89,285","8,455,935,200"
2024-05-02,"93,500","96,200","92,100","95,600","94,000.00","90,055.00","83,204.17","122,820","11,634,732,400"
2024-04-30,"97,200","98,000","93,500","93,900","93,480.00","89,795.00","83,112.50","143,094","13,586,313,600"
