시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"132,100","135,600","131,800","135,400","132,980.00","136,475.00","144,125.00","386,915","52,037,531,700"
2024-06-18,"131,300","131,600","130,100","131,400","133,000.00","137,125.00","144,065.83","252,542","33,038,332,900"
2024-06-17,"132,900","133,900","129,500","130,700","133,600.00","138,130.00","144,050.00","429,827","56,265,069,600"
2024-06-14,"133,900","136,400","132,300","133,000","134,180.00","139,185.00","144,038.33","417,255","55,602,804,944"
2024-06-13,"135,700","138,300","134,400","134,400","135,100.00","140,190.00","144,046.67","701,286","94,950,281,876"
2024-06-12,"134,000","135,900","132,500","135,500","135,240.00","140,970.00","143,999.17","250,342","33,608,392,900"
2024-06-11,"134,000","134,800","132,700","134,400","135,220.00","141,660.00","143,946.67","242,670","32,435,461,600"
2024-06-10,"134,100","135,400","133,200","133,600","136,080.00","142,440.00","143,870.83","345,378","46,280,993,350"
2024-06-07,"134,900","138,200","134,900","137,600","136,380.00","143,180.00","143,797.50","289,054","39,518,836,400"
2024-06-05,"136,500","137,200","135,100","135,100","136,120.00","143,910.00","143,658.33","202,350","27,493,172,150"
2024-06-04,"137,000","139,300","135,200","135,400","136,060.00","144,670.00","143,533.33","176,420","24,086,188,900"
2024-06-03,"136,200","139,800","135,800","138,700","136,680.00","145,200.00","143,407.50","203,466","28,160,544,200"
2024-05-31,"137,600","138,500","135,100","135,100","137,160.00","145,570.00","143,255.83","864,651","117,422,846,000"
2024-05-30,"133,200","138,500","133,200","136,300","138,020.00","146,320.00","143,118.33","284,183","38,858,676,100"
2024-05-29,"138,600","139,400","134,500","134,800","139,180.00","147,005.00","142,976.67","374,715","50,824,278,500"
2024-05-28,"139,100","141,000","138,100","138,500","141,620.00","147,820.00","142,835.00","244,031","33,940,184,600"
2024-05-27,"140,500","142,500","138,400","141,100","143,600.00","148,400.00","142,672.50","262,546","37,069,383,100"
2024-05-24,"140,000","140,500","138,400","139,400","145,680.00","148,865.00","142,471.67","342,283","47,704,344,200"
2024-05-23,"145,600","145,700","142,100","142,100","148,160.00","149,415.00","142,277.50","338,713","48,489,328,200"
2024-05-22,"147,200","147,900","145,600","147,000","150,360.00","149,680.00","142,080.00","231,359","33,993,292,200"
2024-05-21,"149,900","150,100","147,500","148,400","150,960.00","149,240.00","141,840.00","237,996","35,338,932,500"
2024-05-20,"152,100","152,500","150,500","151,500","151,140.00","148,835.00","141,592.50","136,946","20,724,274,700"
2024-05-17,"152,100","153,900","150,300","151,800","150,840.00","148,200.00","141,304.17","175,100","26,562,660,600"
2024-05-16,"152,800","154,800","150,900","153,100","150,160.00","147,835.00","141,021.67","385,798","58,975,267,200"
2024-05-14,"149,400","150,000","146,600","150,000","149,980.00","147,405.00","140,727.50","167,852","24,989,731,900"
2024-05-13,"150,900","152,700","148,300","149,300","150,040.00","146,910.00","140,463.33","199,167","29,852,929,900"
2024-05-10,"149,500","152,500","149,100","150,000","149,380.00","146,795.00","140,184.17","140,426","21,136,411,204"
2024-05-09,"152,900","153,000","147,600","148,400","148,600.00","146,760.00","139,906.67","331,775","49,428,983,600"
2024-05-08,"150,900","153,500","149,300","152,200","148,940.00","146,900.00","139,627.50","202,061","30,732,874,098"
2024-05-07,"147,500","151,000","146,000","150,300","148,500.00","146,830.00","139,327.50","251,625","37,694,376,800"
2024-05-03,"146,700","147,400","144,000","146,000","148,660.00","146,900.00","139,005.83","170,231","24,717,892,900"
2024-05-02,"149,400","151,000","144,700","146,100","149,480.00","147,115.00","138,706.67","217,014","32,010,960,600"
2024-04-30,"149,200","151,500","149,200","150,100","150,340.00","147,560.00","138,405.00","269,026","40,414,515,500"
2024-04-29,"152,600","153,300","149,800","150,000","150,400.00","147,935.00","138,048.33","253,592","38,278,939,800"
2024-04-26,"151,400","153,900","150,000","151,100","149,880.00","148,360.00","137,690.83","157,213","23,905,311,700"
2024-04-25,"150,400","151,500","149,200","150,100","147,300.00","148,810.00","137,317.50","238,866","35,896,678,450"
2024-04-24,"151,600","152,500","150,000","150,400","145,340.00","149,190.00","136,955.83","249,442","37,589,876,500"
2024-04-23,"146,100","151,300","146,000","150,400","143,020.00","149,675.00","136,586.67","430,541","64,478,878,900"
2024-04-22,"141,600","148,000","141,200","147,400","141,840.00","150,080.00","136,196.67","330,503","48,138,203,700"
2024-04-19,"137,300","139,500","136,600","138,200","141,260.00","150,710.00","135,832.50","289,202","39,875,080,600"
2024-04-18,"138,600","141,700","138,000","140,300","141,640.00","152,050.00","135,560.83","255,891","35,888,625,800"
2024-04-17,"144,900","144,900","137,300","138,800","142,980.00","152,845.00","135,263.33","361,125","50,493,649,353"
2024-04-16,"143,000","144,900","141,100","144,500","145,080.00","153,405.00","134,985.83","332,224","47,522,400,900"
2024-04-15,"139,500","145,900","139,000","144,500","146,420.00","153,790.00","134,679.17","431,582","61,763,375,800"
2024-04-12,"145,100","145,500","139,500","140,100","147,680.00","154,270.00","134,368.33","616,557","87,037,209,400"
2024-04-11,"140,100","147,000","138,200","147,000","150,000.00","155,805.00","134,100.00","735,130","105,634,746,700"
2024-04-09,"153,000","153,100","149,300","149,300","150,660.00","156,740.00","133,767.50","284,627","42,768,557,500"
2024-04-08,"149,300","153,700","149,300","151,200","151,800.00","157,425.00","133,414.17","282,687","43,002,080,800"
2024-04-05,"149,300","152,400","149,000","150,800","153,080.00","158,270.00","133,052.50","232,572","34,944,684,700"
2024-04-04,"152,000","154,200","151,000","151,700","154,620.00","159,140.00","132,695.00","252,882","38,550,840,100"
2024-04-03,"154,100","154,900","149,800","150,300","156,300.00","159,780.00","132,320.83","444,000","67,350,112,500"
2024-04-02,"157,700","158,400","154,500","155,000","157,780.00","160,450.00","131,955.00","358,960","55,707,782,600"
2024-04-01,"160,300","160,400","155,800","157,600","158,800.00","160,950.00","131,535.83","272,552","43,007,933,700"
2024-03-29,"160,100","161,100","158,200","158,500","158,980.00","161,220.00","131,095.00","243,679","38,734,156,600"
2024-03-28,"157,600","160,500","156,700","160,100","159,280.00","161,130.00","130,659.17","375,767","59,586,441,800"
2024-03-27,"158,500","159,800","156,700","157,700","160,260.00","160,910.00","130,221.67","450,645","71,147,070,100"
2024-03-26,"159,800","161,300","158,600","160,100","159,960.00","160,395.00","129,805.83","445,824","71,318,490,500"
2024-03-25,"159,700","159,800","157,700","158,500","157,940.00","160,005.00","129,379.17","412,842","65,361,642,600"
2024-03-22,"163,700","166,400","159,500","160,000","156,680.00","160,080.00","128,956.67","578,344","93,205,411,400"
2024-03-21,"159,300","165,000","158,100","165,000","155,500.00","160,285.00","128,525.00","694,595","112,188,260,500"
2024-03-20,"151,600","156,300","151,600","156,200","156,660.00","160,100.00","128,055.83","652,765","100,691,338,100"
2024-03-19,"152,200","152,800","149,800","150,000","158,560.00","160,405.00","127,661.67","458,423","69,067,510,100"
2024-03-18,"152,600","154,100","150,300","152,200","161,160.00","161,425.00","127,314.17","749,542","113,591,337,645"
2024-03-15,"168,000","169,900","153,500","154,100","164,340.00","162,005.00","126,962.50","1,870,658","295,060,424,300"
2024-03-14,"167,100","170,800","164,200","170,800","167,160.00","162,115.00","126,586.67","884,935","149,705,307,900"
2024-03-13,"163,100","167,000","161,000","165,700","165,900.00","161,195.00","126,070.83","353,576","57,822,706,000"
2024-03-12,"169,000","169,300","162,000","163,000","165,500.00","160,720.00","125,595.83","360,176","59,309,956,700"
2024-03-11,"169,000","169,600","166,000","168,100","165,900.00","160,395.00","125,140.83","300,923","50,621,992,400"
2024-03-08,"167,400","168,500","164,000","168,200","164,880.00","159,680.00","124,639.17","404,394","67,523,968,800"
2024-03-07,"165,000","168,000","161,100","164,500","162,580.00","158,645.00","124,129.17","404,411","66,426,159,853"
2024-03-06,"163,000","164,300","160,200","163,700","160,820.00","157,890.00","123,649.17","446,973","72,701,817,600"
2024-03-05,"161,400","169,400","160,700","165,000","157,560.00","157,140.00","123,174.17","589,448","97,001,046,400"
2024-03-04,"162,000","164,400","160,000","163,000","155,020.00","156,325.00","122,695.00","798,691","129,792,413,900"
2024-02-29,"158,600","161,500","154,600","156,700","154,420.00","155,075.00","122,229.17","885,773","139,126,443,800"
2024-02-28,"147,700","157,500","147,000","155,700","155,900.00","153,725.00","121,795.83","638,228","97,755,578,600"
2024-02-27,"151,000","151,700","147,100","147,400","157,020.00","152,335.00","121,383.33","609,664","90,549,242,600"
2024-02-26,"157,500","157,600","147,500","152,300","160,000.00","150,980.00","121,045.00","1,019,655","155,228,817,300"
2024-02-23,"165,000","171,500","159,400","160,000","163,620.00","149,350.00","120,663.33","797,621","131,445,147,300"
2024-02-22,"162,200","165,700","158,200","164,100","164,380.00","147,220.00","120,204.17","503,948","81,969,301,000"
2024-02-21,"161,700","166,500","159,600","161,300","162,820.00","144,895.00","119,708.33","631,480","102,339,005,900"
2024-02-20,"170,300","171,000","158,900","162,300","161,040.00","142,660.00","119,230.00","1,003,070","164,688,601,100"
2024-02-19,"166,500","171,700","165,500","170,400","159,820.00","140,430.00","118,740.83","982,685","166,801,833,700"
