시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"49,450","53,500","49,350","52,500","50,970.00","44,715.65","43,144.74","990,015","51,519,259,500"
2024-06-18,"49,300","51,200","47,950","48,050","51,370.00","43,904.80","42,889.84","373,825","18,425,815,700"
2024-06-17,"49,300","51,000","49,000","49,400","52,860.00","43,245.30","42,663.73","390,898","19,454,505,350"
2024-06-14,"53,200","53,300","49,500","50,900","53,040.00","42,404.45","42,424.78","681,408","34,749,309,700"
2024-06-13,"54,400","56,500","52,900","54,000","53,060.00","41,533.70","42,169.77","694,799","37,828,170,200"
2024-06-12,"57,600","57,900","54,400","54,500","50,810.00","40,458.15","41,889.72","640,124","35,834,199,600"
2024-06-11,"54,700","58,800","53,100","55,500","47,690.00","39,390.80","41,611.43","2,519,288","141,774,167,400"
2024-06-10,"50,400","52,400","48,500","50,300","43,969.80","38,290.05","41,327.58","1,339,346","68,045,797,550"
2024-06-07,"43,750","52,200","42,650","51,000","41,479.40","37,442.15","41,075.21","2,268,875","108,811,516,950"
2024-06-05,"39,700","47,000","39,350","42,750","38,782.60","36,573.50","40,815.81","1,732,252","76,464,751,200"
2024-06-04,"37,950","39,750","37,350","38,900","38,105.80","36,143.45","40,625.56","309,577","12,007,012,500"
2024-06-03,"37,279","38,607","35,951","36,899","38,464.60","35,974.65","40,467.39","354,903","13,149,759,900"
2024-05-31,"37,658","38,322","36,141","37,848","39,375.40","35,832.40","40,333.02","245,468","9,183,577,100"
2024-05-30,"39,413","40,694","37,516","37,516","39,185.60","36,038.70","40,189.54","284,531","10,949,584,050"
2024-05-29,"40,931","41,737","39,129","39,366","39,346.80","36,375.45","40,055.16","291,471","11,713,582,100"
2024-05-28,"41,026","44,298","40,077","40,694","38,976.80","36,475.05","39,896.27","803,930","33,970,962,950"
2024-05-27,"37,469","42,638","37,184","41,453","38,094.60","36,558.05","39,723.94","759,170","30,363,348,900"
2024-05-24,"38,228","38,749","36,805","36,899","36,776.00","36,705.05","39,545.68","231,050","8,691,606,900"
2024-05-23,"37,469","38,892","35,524","38,322","35,912.80","36,894.80","39,407.35","442,371","16,497,892,400"
2024-05-22,"37,326","39,840","35,761","37,516","34,945.40","37,117.75","39,259.13","1,202,733","45,848,458,500"
2024-05-21,"35,002","37,516","33,579","36,283","33,940.00","37,352.55","39,114.08","511,137","18,211,056,650"
2024-05-20,"32,821","35,809","32,821","34,860","33,314.00","37,592.05","38,980.49","512,728","17,732,386,400"
2024-05-17,"33,200","34,481","32,536","32,583","33,039.00","37,819.70","38,858.36","252,301","8,409,202,600"
2024-05-16,"32,489","33,532","32,014","33,485","33,190.80","38,483.75","38,748.88","234,748","7,631,301,200"
2024-05-14,"33,295","34,101","32,346","32,489","33,219.20","39,237.85","38,633.47","213,837","7,028,082,700"
2024-05-13,"33,295","33,817","32,536","33,153","33,551.20","40,312.10","38,525.56","205,679","6,787,831,250"
2024-05-10,"34,054","34,670","33,247","33,485","34,025.40","41,410.05","38,412.12","266,926","9,022,815,050"
2024-05-09,"33,247","34,196","33,058","33,342","34,139.20","42,600.50","38,286.19","224,876","7,557,890,000"
2024-05-08,"33,485","34,433","33,153","33,627","35,865.60","43,309.60","38,165.80","285,118","9,559,353,350"
2024-05-07,"35,192","35,334","34,101","34,149","37,990.40","44,113.50","38,049.60","363,686","12,523,131,900"
2024-05-03,"34,054","35,524","33,342","35,524","39,432.20","44,867.60","37,933.39","594,410","20,501,810,650"
2024-05-02,"35,050","37,326","33,627","34,054","40,798.20","45,394.05","37,811.66","1,580,962","55,720,273,150"
2024-04-30,"46,528","46,623","41,880","41,974","42,866.00","46,100.75","37,717.19","423,731","18,373,443,400"
2024-04-29,"41,548","45,484","40,931","44,251","42,610.00","46,605.90","37,536.18","524,682","22,923,500,850"
2024-04-26,"43,208","43,492","40,599","41,358","42,316.00","46,873.90","37,333.02","225,987","9,413,901,950"
2024-04-25,"44,298","45,247","42,259","42,354","42,486.80","47,319.75","37,138.56","321,360","13,964,225,850"
2024-04-24,"42,117","44,678","41,642","44,393","42,230.60","47,805.90","36,935.72","566,365","24,449,677,300"
2024-04-23,"42,259","42,686","40,125","40,694","41,234.60","48,237.50","36,729.80","278,385","11,432,737,950"
2024-04-22,"41,737","44,346","41,737","42,781","42,268.60","48,982.15","36,553.52","333,286","14,332,272,650"
2024-04-19,"40,125","44,393","39,271","42,212","43,425.80","49,669.85","36,355.50","938,758","39,616,574,450"
2024-04-18,"38,512","41,216","38,322","41,073","45,778.20","50,447.65","36,174.48","1,015,814","40,262,969,750"
2024-04-17,"45,200","45,816","39,271","39,413","48,586.00","51,510.10","36,014.80","1,271,645","53,214,292,000"
2024-04-16,"46,717","47,713","45,532","45,864","52,162.20","52,641.30","35,864.22","372,094","17,287,307,650"
2024-04-15,"50,844","51,697","48,472","48,567","52,494.20","53,483.15","35,664.62","537,404","26,607,276,200"
2024-04-12,"54,828","56,820","53,120","53,974","52,721.80","53,943.20","35,455.93","444,510","24,191,639,800"
2024-04-11,"56,156","61,752","54,259","55,112","51,773.20","54,076.00","35,216.41","1,081,613","62,314,142,900"
2024-04-09,"49,326","58,812","48,567","57,294","49,961.40","54,033.35","34,966.62","2,193,824","122,094,812,300"
2024-04-08,"49,990","50,464","46,623","47,524","48,140.20","53,995.40","34,701.02","393,933","18,873,792,800"
2024-04-05,"48,757","54,069","47,239","49,705","49,050.80","54,536.10","34,531.45","682,625","35,036,618,300"
2024-04-04,"47,239","52,646","47,002","49,231","49,032.00","54,887.10","34,350.03","838,936","42,260,905,700"
2024-04-03,"46,196","47,144","45,437","46,053","49,240.80","55,902.10","34,156.76","408,141","18,880,766,100"
2024-04-02,"52,551","52,551","47,903","48,188","50,445.60","57,602.45","33,986.02","409,329","20,208,034,600"
2024-04-01,"49,136","52,741","47,808","52,077","51,413.00","59,158.10","33,812.11","452,576","22,753,138,700"
2024-03-29,"50,275","50,275","48,093","49,611","52,115.00","59,997.60","33,602.63","425,752","20,787,068,500"
2024-03-28,"51,887","52,646","48,947","50,275","53,499.80","61,159.60","33,417.65","511,006","25,691,227,600"
2024-03-27,"52,931","55,492","51,318","52,077","54,998.40","62,193.55","33,241.37","366,970","19,357,931,900"
2024-03-26,"56,251","56,251","51,413","53,025","57,047.40","63,066.25","33,047.30","572,996","30,566,426,200"
2024-03-25,"55,681","56,346","52,077","55,587","58,849.80","63,815.65","32,844.94","652,257","35,168,794,600"
2024-03-22,"58,053","58,338","54,828","56,535","60,272.60","64,233.00","32,625.58","386,486","21,794,873,400"
2024-03-21,"63,555","63,650","56,251","57,768","60,519.20","65,058.30","32,409.78","607,240","35,914,804,800"
2024-03-20,"62,701","63,555","59,002","62,322","60,291.60","65,774.50","32,190.42","286,926","17,537,897,700"
2024-03-19,"61,752","64,503","60,330","62,037","58,679.00","66,063.80","31,931.93","329,028","20,496,470,200"
2024-03-18,"58,338","62,796","55,587","62,701","57,578.60","66,215.60","31,671.86","620,142","37,045,912,800"
2024-03-15,"56,915","59,476","55,207","57,768","56,706.00","65,916.80","31,403.49","436,626","25,035,408,800"
2024-03-14,"54,259","58,812","52,836","56,630","56,497.40","65,864.65","31,176.23","604,089","33,857,496,200"
2024-03-13,"55,966","56,156","50,844","54,259","59,077.60","65,217.25","30,958.46","1,140,362","60,576,939,900"
2024-03-12,"59,760","59,855","55,681","56,535","64,237.80","64,358.75","30,778.23","651,960","37,038,927,200"
2024-03-11,"56,725","64,598","55,112","58,338","68,791.00","63,358.00","30,588.12","1,428,004","85,351,629,100"
2024-03-08,"66,401","67,823","54,638","56,725","70,896.80","62,195.95","30,390.88","2,879,177","170,287,247,300"
2024-03-07,"77,878","78,353","67,634","69,531","74,122.00","61,159.60","30,200.77","831,728","60,774,282,700"
2024-03-06,"77,784","82,052","73,799","80,060","74,406.60","59,335.95","29,905.92","595,281","46,627,714,600"
2024-03-05,"66,685","85,277","66,401","79,301","72,300.80","56,912.30","29,504.35","2,096,636","165,314,299,200"
2024-03-04,"72,092","75,602","64,978","68,867","70,043.20","54,306.05","29,101.99","707,914","49,456,978,900"
