시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"74,200","86,800","73,300","84,000","74,980.00","79,355.00","64,942.08","615,123","51,281,539,700"
2024-06-18,"71,000","73,800","70,900","72,800","73,260.00","79,505.00","64,478.33","63,029","4,571,241,300"
2024-06-17,"72,400","73,400","71,100","71,100","73,520.00","80,020.00","64,107.50","47,774","3,436,397,200"
2024-06-14,"74,300","74,300","71,700","73,200","74,140.00","80,720.00","63,742.92","69,401","5,035,917,700"
2024-06-13,"76,500","76,900","73,800","73,800","74,560.00","81,470.00","63,380.83","57,997","4,342,220,500"
2024-06-12,"75,000","76,400","72,600","75,400","75,100.00","82,290.00","62,978.33","80,068","5,961,537,200"
2024-06-11,"74,200","74,200","72,300","74,100","75,560.00","83,060.00","62,563.75","63,700","4,667,678,600"
2024-06-10,"75,300","75,300","72,500","74,200","77,080.00","83,610.00","62,154.58","82,679","6,087,903,600"
2024-06-07,"76,600","78,400","74,800","75,300","78,740.00","84,355.00","61,741.67","71,175","5,430,875,000"
2024-06-05,"78,000","79,400","76,100","76,500","81,240.00","85,190.00","61,309.17","75,155","5,805,164,000"
2024-06-04,"81,700","82,500","77,400","77,700","83,700.00","85,990.00","60,875.83","128,117","10,126,139,600"
2024-06-03,"81,500","83,500","81,300","81,700","85,560.00","86,635.00","60,434.58","54,444","4,480,935,000"
2024-05-31,"87,900","87,900","81,900","82,500","86,020.00","87,305.00","59,970.83","107,424","9,008,487,700"
2024-05-30,"90,000","93,000","87,800","87,800","85,700.00","88,280.00","59,511.25","156,005","14,071,072,400"
2024-05-29,"88,300","91,500","86,800","88,800","84,620.00","89,195.00","59,002.92","225,455","20,101,710,200"
2024-05-28,"84,500","88,000","83,100","87,000","83,640.00","90,025.00","58,487.08","77,171","6,650,658,400"
2024-05-27,"80,900","85,000","79,600","84,000","83,640.00","91,000.00","57,982.50","108,097","8,945,005,800"
2024-05-24,"81,100","81,800","79,500","80,900","83,460.00","92,300.00","57,499.17","92,447","7,430,266,900"
2024-05-23,"85,200","85,700","82,000","82,400","84,300.00","93,850.00","57,031.25","76,820","6,403,271,600"
2024-05-22,"88,000","88,900","83,000","83,900","85,460.00","95,530.00","56,551.25","103,762","8,860,743,700"
2024-05-21,"83,600","89,000","82,000","87,000","86,720.00","96,885.00","56,057.50","143,950","12,322,121,200"
2024-05-20,"85,100","85,200","82,000","83,100","87,480.00","98,010.00","55,539.58","79,849","6,626,660,000"
2024-05-17,"88,200","88,500","85,100","85,100","87,880.00","99,085.00","55,056.67","97,683","8,383,146,100"
2024-05-16,"93,100","94,500","88,100","88,200","88,680.00","99,865.00","54,546.25","184,701","16,946,351,100"
2024-05-14,"91,500","92,800","88,300","90,200","89,440.00","100,880.00","54,013.33","151,433","13,718,046,200"
2024-05-13,"87,600","92,500","85,800","90,800","89,900.00","102,010.00","53,464.58","305,392","27,217,290,400"
2024-05-10,"88,200","89,500","84,900","85,100","89,860.00","103,350.00","52,902.50","165,902","14,295,508,300"
2024-05-09,"93,100","93,700","86,400","89,100","91,860.00","104,720.00","52,386.67","208,345","18,700,982,000"
2024-05-08,"92,000","93,700","90,000","92,000","94,440.00","105,115.00","51,837.92","116,914","10,710,214,200"
2024-05-07,"92,500","93,500","90,100","92,500","97,260.00","105,485.00","51,275.00","180,515","16,633,455,900"
2024-05-03,"96,500","96,500","88,300","90,600","99,840.00","105,810.00","50,710.42","352,078","32,095,231,100"
2024-05-02,"99,400","101,000","94,400","95,100","103,020.00","105,850.00","50,167.08","252,300","24,421,205,600"
2024-04-30,"105,900","106,600","101,400","102,000","106,000.00","105,320.00","49,590.83","128,398","13,277,671,200"
2024-04-29,"106,700","107,800","100,500","106,100","107,980.00","105,240.00","48,956.67","199,680","20,742,194,800"
2024-04-26,"109,300","111,100","104,500","105,400","109,960.00","103,800.00","48,283.33","144,247","15,505,704,200"
2024-04-25,"109,700","111,800","103,700","106,500","111,080.00","102,505.00","47,602.92","245,920","26,372,134,700"
2024-04-24,"111,600","116,200","108,500","110,000","111,680.00","100,870.00","46,910.42","259,007","29,030,142,500"
2024-04-23,"116,300","118,700","111,500","111,900","110,600.00","98,840.00","46,196.25","265,606","30,375,542,200"
2024-04-22,"110,900","117,000","107,600","116,000","108,360.00","96,900.00","45,456.25","422,191","47,670,420,300"
2024-04-19,"119,700","131,000","108,500","111,000","106,860.00","94,660.00","44,687.50","1,923,074","232,448,017,200"
2024-04-18,"106,000","111,000","103,000","109,500","107,220.00","92,705.00","43,972.08","268,115","28,743,170,800"
2024-04-17,"102,400","111,900","102,100","104,600","108,840.00","90,605.00","43,277.50","463,010","49,716,076,800"
2024-04-16,"106,000","109,000","99,100","100,700","110,420.00","88,795.00","42,611.25","390,595","40,019,158,800"
2024-04-15,"110,000","115,600","107,000","108,500","109,680.00","87,550.00","41,990.42","350,987","38,862,009,200"
2024-04-12,"120,300","120,600","111,900","112,800","107,860.00","85,820.00","41,315.00","517,688","60,116,648,600"
2024-04-11,"109,900","118,800","108,000","117,600","105,100.00","83,945.00","40,618.33","1,124,993","128,753,177,000"
2024-04-09,"95,000","115,800","91,600","112,500","99,860.00","82,200.00","39,886.25","3,358,652","367,514,287,800"
2024-04-08,"101,500","102,000","94,500","97,000","94,260.00","80,605.00","39,198.33","459,622","45,266,155,100"
2024-04-05,"95,000","103,000","94,200","99,400","94,940.00","78,855.00","38,650.83","700,430","69,491,561,200"
2024-04-04,"94,600","106,800","94,000","99,000","90,520.00","76,270.00","38,090.83","1,591,119","158,845,459,000"
2024-04-03,"82,000","98,100","81,400","91,400","86,620.00","73,835.00","37,530.83","2,111,108","192,040,342,800"
2024-04-02,"98,300","108,100","83,000","84,500","83,100.00","71,720.00","37,020.42","2,301,713","221,158,073,600"
2024-04-01,"79,000","100,400","77,300","100,400","80,080.00","69,517.50","36,592.08","2,875,479","271,492,623,500"
2024-03-29,"78,000","81,500","75,900","77,300","74,620.00","66,565.00","36,022.08","456,802","35,735,141,600"
2024-03-28,"73,700","80,600","70,000","79,500","73,400.00","64,750.00","35,627.92","781,066","59,626,313,400"
2024-03-27,"69,600","74,400","67,200","73,800","71,880.00","62,937.50","35,225.83","301,711","21,710,697,500"
