시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"1,400","1,550","1,363","1,545","1,265.20","1,116.75","1,193.16","21,481,500","31,308,895,632"
2024-06-18,"1,178","1,368","1,167","1,320","1,186.40","1,091.80","1,190.83","21,315,900","27,849,459,464"
2024-06-17,"1,155","1,172","1,136","1,166","1,154.20","1,078.65","1,189.59","2,215,027","2,552,876,093"
2024-06-14,"1,148","1,153","1,111","1,148","1,152.20","1,072.50","1,189.61","2,225,823","2,520,125,913"
2024-06-13,"1,146","1,173","1,123","1,147","1,134.60","1,069.80","1,189.88","2,861,308","3,273,460,530"
2024-06-12,"1,157","1,157","1,137","1,151","1,123.00","1,069.75","1,190.17","1,813,905","2,077,776,372"
2024-06-11,"1,155","1,177","1,121","1,159","1,106.40","1,070.25","1,190.33","3,162,804","3,645,940,201"
2024-06-10,"1,079","1,178","1,068","1,156","1,072.80","1,069.90","1,189.90","7,554,059","8,607,740,186"
2024-06-07,"1,087","1,099","1,050","1,060","1,044.20","1,069.65","1,189.53","3,824,804","4,091,393,636"
2024-06-05,"1,174","1,189","1,080","1,089","1,048.00","1,076.15","1,189.68","11,096,826","12,639,198,132"
2024-06-04,991,"1,090",960,"1,068","1,040.00","1,078.95","1,189.84","7,228,183","7,559,838,697"
2024-06-03,"1,013","1,013",980,991,"1,039.20","1,082.90","1,190.10","1,985,412","1,970,335,200"
2024-05-31,"1,080","1,080",990,"1,013","1,057.20","1,091.20","1,191.22","4,202,551","4,338,857,668"
2024-05-30,"1,049","1,089","1,020","1,079","1,055.60","1,101.15","1,192.33","2,569,053","2,723,315,613"
2024-05-29,"1,014","1,092","1,010","1,049","1,045.80","1,108.50","1,193.06","4,831,011","5,050,340,984"
2024-05-28,"1,080","1,080","1,045","1,064","1,038.80","1,115.05","1,194.08","748,779","794,109,454"
2024-05-27,"1,017","1,081","1,005","1,081","1,035.20","1,122.10","1,195.06","1,227,314","1,276,228,534"
2024-05-24,"1,030","1,030","1,003","1,005","1,030.40","1,129.65","1,195.78","732,232","738,739,752"
2024-05-23,"1,040","1,116","1,007","1,030","1,038.00","1,140.50","1,196.79","3,067,017","3,220,584,713"
