시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"45,100","45,850","44,250","45,000","43,450.00","38,257.50","33,747.50","285,563","12,855,236,800"
2024-06-18,"44,700","46,350","43,750","45,000","42,770.00","37,720.00","33,656.25","710,756","32,246,051,000"
2024-06-17,"43,350","47,650","42,800","44,200","41,570.00","37,187.50","33,563.33","1,147,358","51,293,188,850"
2024-06-14,"40,750","43,850","40,600","41,900","40,470.00","36,752.50","33,468.75","490,304","20,755,938,950"
2024-06-13,"41,600","42,350","41,050","41,150","39,600.00","36,295.00","33,375.42","376,879","15,708,382,200"
2024-06-12,"39,650","44,450","39,550","41,600","38,730.00","35,877.50","33,289.17","1,358,012","57,543,193,800"
2024-06-11,"39,400","39,900","38,650","39,000","37,550.00","35,447.50","33,203.33","240,273","9,429,681,750"
2024-06-10,"37,050","39,450","36,350","38,700","36,950.00","35,140.00","33,136.67","334,038","12,816,154,050"
2024-06-07,"37,300","37,900","37,050","37,550","36,520.00","34,825.00","33,072.08","193,932","7,277,288,750"
2024-06-05,"35,800","37,550","35,500","36,800","36,260.00","34,620.00","33,013.33","238,525","8,780,465,000"
2024-06-04,"35,500","36,300","35,450","35,700","36,060.00","34,440.00","32,960.83","99,665","3,572,271,450"
2024-06-03,"36,400","37,150","35,800","36,000","35,840.00","34,310.00","32,918.33","142,274","5,174,298,050"
2024-05-31,"36,450","36,700","35,900","36,550","35,680.00","34,187.50","32,875.42","181,405","6,604,556,750"
2024-05-30,"35,250","36,450","35,050","36,250","35,130.00","34,042.50","32,825.83","225,562","8,150,553,850"
2024-05-29,"35,700","36,350","35,150","35,800","34,910.00","33,937.50","32,795.00","258,709","9,233,216,300"
2024-05-28,"34,700","35,000","34,350","34,600","34,790.00","33,740.00","32,769.58","100,096","3,477,410,850"
2024-05-27,"33,900","35,400","33,450","35,200","34,720.00","33,602.50","32,754.58","202,156","7,036,821,300"
2024-05-24,"34,650","34,700","33,750","33,800","34,550.00","33,415.00","32,739.17","157,405","5,374,568,150"
2024-05-23,"35,500","35,500","34,300","35,150","34,890.00","33,270.00","32,734.58","164,579","5,710,470,000"
2024-05-22,"34,300","35,450","33,700","35,200","34,410.00","33,062.50","32,713.33","244,853","8,538,711,700"
2024-05-21,"34,100","34,700","33,700","34,250","33,930.00","32,792.50","32,691.25","119,054","4,065,329,050"
2024-05-20,"35,400","35,500","34,350","34,350","33,680.00","32,597.50","32,684.17","229,927","7,975,200,600"
2024-05-17,"34,700","35,900","34,150","35,500","33,380.00","32,380.00","32,669.58","788,876","27,710,529,050"
2024-05-16,"33,100","33,550","32,700","32,750","32,760.00","32,120.00","32,651.25","131,056","4,367,570,550"
2024-05-14,"32,950","33,150","32,700","32,800","32,900.00","32,052.50","32,656.67","46,343","1,524,683,000"
2024-05-13,"32,850","33,050","32,400","33,000","32,980.00","31,985.00","32,651.25","41,377","1,357,956,250"
2024-05-10,"32,850","32,900","32,350","32,850","33,000.00","31,930.00","32,626.67","42,047","1,374,284,350"
2024-05-09,"33,500","33,500","32,350","32,400","33,140.00","31,865.00","32,596.25","104,820","3,423,996,300"
2024-05-08,"33,200","33,650","33,100","33,450","33,390.00","31,812.50","32,570.00","42,152","1,406,161,300"
2024-05-07,"33,500","33,700","33,050","33,200","33,530.00","31,695.00","32,541.67","45,336","1,506,654,000"
2024-05-03,"33,600","33,700","32,850","33,100","33,260.00","31,600.00","32,513.33","75,568","2,504,770,600"
2024-05-02,"33,500","34,150","33,500","33,550","33,010.00","31,505.00","32,487.92","59,860","2,019,733,700"
2024-04-30,"33,850","34,150","33,600","33,650","32,590.00","31,410.00","32,469.58","105,330","3,566,744,200"
2024-04-29,"32,050","34,300","31,800","34,150","32,040.00","31,327.50","32,436.67","340,532","11,379,281,300"
2024-04-26,"32,100","32,100","31,450","31,850","31,410.00","31,180.00","32,402.50","45,559","1,445,521,900"
2024-04-25,"31,150","32,250","30,950","31,850","31,000.00","31,177.50","32,381.25","99,951","3,170,910,450"
2024-04-24,"31,200","31,650","30,900","31,450","30,700.00","31,217.50","32,363.33","67,184","2,101,341,200"
2024-04-23,"30,750","31,200","30,600","30,900","30,410.00","31,260.00","32,345.00","92,389","2,844,083,500"
2024-04-22,"30,150","31,250","30,150","31,000","30,290.00","31,317.50","32,338.75","91,739","2,827,943,900"
2024-04-19,"30,150","30,200","29,450","29,800","30,370.00","31,397.50","32,320.00","105,796","3,150,207,350"
2024-04-18,"30,250","30,450","30,050","30,350","30,700.00","31,570.00","32,314.17","65,200","1,967,208,000"
2024-04-17,"30,450","30,600","30,000","30,000","31,010.00","31,692.50","32,311.67","68,697","2,072,757,100"
2024-04-16,"31,000","31,200","30,300","30,300","31,320.00","31,800.00","32,312.92","80,454","2,461,528,000"
2024-04-15,"31,300","31,500","30,650","31,400","31,530.00","31,912.50","32,302.50","62,792","1,949,380,850"
2024-04-12,"31,900","31,950","31,450","31,450","31,470.00","31,977.50","32,290.00","48,693","1,540,272,850"
2024-04-11,"31,250","32,150","31,100","31,900","31,440.00","32,040.00","32,281.67","65,877","2,088,957,200"
2024-04-09,"31,250","32,200","31,250","31,550","31,300.00","32,040.00","32,265.00","57,431","1,819,984,350"
2024-04-08,"31,150","31,850","31,100","31,350","31,320.00","32,060.00","32,252.50","54,955","1,733,607,200"
2024-04-05,"31,300","31,650","30,850","31,100","31,450.00","32,097.50","32,245.00","84,242","2,627,097,700"
2024-04-04,"31,550","31,600","31,250","31,300","31,470.00","32,162.50","32,250.83","46,336","1,453,271,500"
2024-04-03,"31,450","31,750","31,200","31,200","31,570.00","32,220.00","32,250.83","72,364","2,265,006,850"
2024-04-02,"31,600","32,300","31,550","31,650","31,860.00","32,300.00","32,246.67","68,462","2,179,950,950"
2024-04-01,"31,550","32,150","31,500","32,000","31,990.00","32,355.00","32,243.75","66,031","2,106,263,650"
2024-03-29,"31,900","31,900","31,200","31,200","32,000.00","32,450.00","32,237.50","94,174","2,961,013,200"
2024-03-28,"32,750","32,750","31,650","31,800","32,280.00","32,577.50","32,235.83","137,842","4,404,080,550"
2024-03-27,"32,050","33,000","32,000","32,650","32,570.00","32,672.50","32,242.50","78,180","2,542,089,100"
2024-03-26,"32,150","32,650","32,100","32,300","32,600.00","32,702.50","32,240.83","55,166","1,787,621,350"
2024-03-25,"32,600","32,900","32,000","32,050","32,570.00","32,787.50","32,246.67","69,048","2,229,234,700"
2024-03-22,"33,300","33,350","32,350","32,600","32,670.00","32,865.00","32,251.25","117,342","3,838,602,000"
2024-03-21,"33,200","33,500","32,850","33,250","32,690.00","32,945.00","32,251.25","151,930","5,030,950,500"
2024-03-20,"32,400","32,900","32,300","32,800","32,580.00","32,965.00","32,256.25","75,600","2,470,582,900"
2024-03-19,"32,550","32,950","32,050","32,150","32,400.00","33,012.50","32,256.25","81,706","2,642,589,000"
2024-03-18,"33,000","33,000","32,450","32,550","32,360.00","33,132.50","32,269.58","65,413","2,139,273,400"
2024-03-15,"32,700","33,200","32,450","32,700","32,270.00","33,207.50","32,293.33","76,321","2,505,031,250"
2024-03-14,"32,150","33,100","32,000","32,700","32,210.00","33,260.00","32,308.33","136,001","4,445,459,050"
2024-03-13,"31,950","32,250","31,500","31,900","32,160.00","33,362.50","32,317.92","124,541","3,955,813,700"
2024-03-12,"32,300","32,300","31,600","31,950","32,340.00","33,482.50","32,332.50","95,319","3,044,000,500"
2024-03-11,"32,400","32,950","32,000","32,100","32,500.00","33,587.50","32,351.67","109,409","3,548,755,100"
2024-03-08,"32,750","32,750","32,050","32,400","32,860.00","33,707.50","32,371.67","130,924","4,230,981,300"
2024-03-07,"32,900","32,950","32,150","32,450","33,130.00","33,777.50","32,397.50","116,194","3,775,013,100"
2024-03-06,"32,600","33,150","32,450","32,800","33,380.00","33,955.00","32,431.67","90,804","2,978,851,900"
2024-03-05,"33,650","33,700","32,550","32,750","33,470.00","34,105.00","32,453.75","140,194","4,635,632,800"
2024-03-04,"34,100","34,200","33,600","33,900","33,720.00","34,155.00","32,472.92","103,901","3,520,505,700"
2024-02-29,"33,600","34,000","33,350","33,750","33,660.00","34,065.00","32,475.42","116,312","3,915,298,750"
2024-02-28,"33,250","34,000","33,100","33,700","33,750.00","33,945.00","32,492.50","87,974","2,946,478,250"
2024-02-27,"34,100","34,400","33,250","33,250","33,740.00","33,857.50","32,502.50","104,840","3,537,912,350"
2024-02-26,"33,850","34,800","33,400","34,000","33,840.00","33,767.50","32,517.08","146,718","4,992,832,400"
2024-02-23,"34,300","34,400","33,600","33,600","33,950.00","33,677.50","32,513.33","106,601","3,604,218,700"
2024-02-22,"33,800","34,500","33,300","34,200","34,040.00","33,555.00","32,510.00","151,300","5,131,238,450"
2024-02-21,"33,900","34,450","33,600","33,650","33,950.00","33,407.50","32,506.67","108,235","3,665,356,650"
2024-02-20,"34,250","34,700","33,600","33,750","34,170.00","33,265.00","32,515.83","126,696","4,303,812,350"
2024-02-19,"35,000","35,950","34,350","34,550","34,280.00","33,135.00","32,523.75","272,213","9,535,262,300"
2024-02-16,"34,100","34,300","33,650","34,050","34,180.00","32,957.50","32,520.00","178,518","6,067,749,500"
2024-02-15,"35,200","35,200","33,750","33,750","34,270.00","32,845.00","32,524.17","119,513","4,081,990,900"
2024-02-14,"33,800","35,100","33,500","34,750","34,280.00","32,792.50","32,515.00","122,232","4,220,486,100"
2024-02-13,"34,500","35,350","34,200","34,300","34,530.00","32,715.00","32,516.25","200,451","6,986,542,850"
2024-02-08,"34,500","34,850","33,800","34,050","34,830.00","32,645.00","32,518.33","155,104","5,298,098,450"
2024-02-07,"34,500","35,300","33,800","34,500","34,770.00","32,585.00","32,527.50","248,065","8,595,598,450"
2024-02-06,"35,500","36,750","33,650","33,800","34,290.00","32,500.00","32,525.00","417,318","14,501,112,500"
2024-02-05,"37,400","37,450","34,450","36,000","33,800.00","32,425.00","32,530.42","523,472","18,878,637,050"
2024-02-02,"34,450","36,450","33,750","35,800","32,990.00","32,265.00","32,513.75","560,405","19,600,380,100"
2024-02-01,"32,200","34,550","31,900","33,750","32,120.00","32,135.00","32,500.42","335,669","11,348,855,600"
2024-01-31,"31,550","32,800","31,350","32,100","31,810.00","32,120.00","32,515.83","161,554","5,200,579,750"
2024-01-30,"32,250","32,800","31,250","31,350","31,620.00","32,225.00","32,550.00","82,397","2,634,735,950"
2024-01-29,"31,400","32,250","31,250","31,950","31,600.00","32,440.00","32,590.42","75,176","2,400,095,850"
2024-01-26,"32,500","32,650","31,450","31,450","31,370.00","32,627.50","32,635.83","91,764","2,919,743,600"
2024-01-25,"31,200","32,200","30,900","32,200","31,310.00","32,787.50","32,686.67","113,388","3,615,486,150"
2024-01-24,"31,450","31,450","30,750","31,150","31,070.00","32,950.00","32,730.42","58,577","1,820,748,050"
2024-01-23,"30,800","31,250","30,550","31,250","31,200.00","33,167.50","32,780.42","98,650","3,050,020,900"
2024-01-22,"31,300","31,300","30,550","30,800","31,490.00","33,395.00","32,831.25","82,358","2,545,148,200"
2024-01-19,"31,350","31,700","31,000","31,150","31,970.00","33,635.00","32,899.58","68,801","2,156,863,550"
2024-01-18,"31,700","31,800","30,800","31,000","32,320.00","33,780.00","32,953.33","101,446","3,169,539,650"
2024-01-17,"32,750","32,900","31,700","31,800","32,690.00","33,922.50","33,018.33","55,113","1,761,348,250"
2024-01-16,"33,000","33,300","32,500","32,700","32,890.00","33,975.00","33,069.58","37,831","1,240,133,850"
2024-01-15,"32,600","33,750","32,600","33,200","32,810.00","33,875.00","33,118.75","50,862","1,695,025,400"
2024-01-12,"32,850","33,100","32,300","32,900","32,730.00","33,755.00","33,166.67","62,196","2,039,286,450"
2024-01-11,"33,000","33,650","32,850","32,850","32,790.00","33,675.00","33,215.42","90,946","3,019,777,450"
2024-01-10,"32,200","32,900","32,150","32,800","32,910.00","33,582.50","33,280.83","81,398","2,660,867,350"
2024-01-09,"33,400","33,450","32,100","32,300","33,190.00","33,490.00","33,343.33","132,500","4,296,066,500"
2024-01-08,"33,350","33,900","32,750","32,800","33,860.00","33,400.00","33,414.58","110,298","3,654,261,150"
2024-01-05,"33,500","34,050","33,100","33,200","34,440.00","33,285.00","33,482.50","82,296","2,758,483,950"
2024-01-04,"34,000","34,300","33,250","33,450","34,730.00","33,155.00","33,535.00","139,039","4,662,682,850"
2024-01-03,"35,350","35,500","34,100","34,200","35,130.00","33,025.00","33,594.58","106,840","3,710,255,750"
2024-01-02,"35,700","36,100","34,900","35,650","35,390.00","32,845.00","33,642.92","124,165","4,407,836,900"
2023-12-28,"34,950","36,500","34,750","35,700","35,420.00","32,690.00","33,660.42","172,717","6,205,348,250"
2023-12-27,"35,450","35,750","34,100","34,650","35,400.00","32,542.50","33,679.17","140,086","4,846,537,550"
2023-12-26,"35,400","36,000","34,600","35,450","35,280.00","32,450.00","33,696.25","136,556","4,812,185,850"
2023-12-22,"36,000","36,250","35,400","35,500","34,960.00","32,345.00","33,706.67","76,005","2,713,784,350"
2023-12-21,"35,400","37,200","35,200","35,800","34,430.00","32,232.50","33,712.92","300,482","10,911,307,150"
2023-12-20,"34,400","36,550","33,550","35,600","33,410.00","32,072.50","33,719.17","419,349","14,796,266,100"
2023-12-19,"34,050","34,350","33,500","34,050","32,450.00","31,920.00","33,726.67","180,064","6,140,111,000"
2023-12-18,"32,800","34,000","32,700","33,850","31,900.00","31,887.50","33,738.33","210,475","7,064,970,900"
2023-12-15,"30,950","34,200","30,850","32,850","31,330.00","31,825.00","33,742.50","618,877","20,411,915,050"
2023-12-14,"31,300","31,350","30,450","30,700","30,950.00","31,847.50","33,760.83","143,256","4,406,132,800"
2023-12-13,"31,300","31,400","30,800","30,800","30,910.00","31,982.50","33,800.42","46,482","1,440,984,350"
2023-12-12,"31,200","31,650","31,000","31,300","30,850.00","32,050.00","33,826.25","78,289","2,460,756,000"
2023-12-11,"30,950","31,200","30,650","31,000","30,710.00","31,987.50","33,848.33","33,421","1,034,499,850"
2023-12-08,"30,500","31,050","30,500","30,950","30,680.00","31,897.50","33,873.75","37,356","1,153,190,200"
2023-12-07,"30,550","30,700","30,200","30,500","30,610.00","31,812.50","33,898.75","37,328","1,136,613,000"
2023-12-06,"30,800","30,950","30,450","30,500","31,020.00","31,790.00","33,928.75","55,202","1,691,899,800"
2023-12-05,"30,600","31,100","30,400","30,600","31,470.00","31,755.00","33,963.75","78,077","2,407,922,050"
2023-12-04,"30,800","31,300","30,750","30,850","31,910.00","31,727.50",,"79,687","2,470,183,650"
2023-12-01,"32,500","32,500","30,500","30,600","32,410.00","31,752.50",,"267,840","8,317,924,300"
2023-11-30,"32,900","33,000","32,150","32,550","32,940.00","31,707.50",,"97,095","3,162,627,450"
2023-11-29,"33,000","33,000","32,350","32,750","32,950.00","31,582.50",,"75,765","2,477,673,250"
2023-11-28,"33,600","33,600","32,650","32,800","32,910.00","31,410.00",,"85,598","2,821,782,750"
2023-11-27,"33,250","33,450","32,600","33,350","33,030.00","31,255.00",,"90,307","2,985,086,350"
2023-11-24,"32,750","33,400","32,550","33,250","32,880.00","31,050.00",,"99,688","3,299,768,500"
2023-11-23,"32,650","32,700","32,150","32,600","32,890.00","30,895.00",,"90,806","2,946,340,550"
2023-11-22,"33,100","33,400","32,500","32,550","33,050.00","30,702.50",,"115,852","3,785,956,650"
2023-11-21,"32,950","33,600","32,600","33,400","32,970.00","30,530.00",,"89,221","2,966,159,700"
2023-11-20,"33,100","33,150","32,400","32,600","32,300.00","30,362.50",,"103,743","3,390,592,050"
2023-11-17,"33,300","33,400","32,800","33,300","31,620.00","30,240.00",,"99,893","3,309,981,100"
2023-11-16,"32,250","33,900","32,250","33,400","30,810.00","30,027.50",,"342,829","11,437,678,650"
2023-11-15,"31,500","32,600","30,800","32,150","30,140.00","29,852.50",,"402,813","12,798,318,850"
2023-11-14,"29,500","30,100","29,300","30,050","29,670.00","29,767.50",,"61,292","1,829,678,800"
2023-11-13,"29,450","29,650","28,850","29,200","29,670.00","29,760.00",,"64,732","1,881,822,500"
2023-11-10,"29,800","29,800","29,000","29,250","30,100.00","29,802.50",,"93,810","2,747,780,450"
2023-11-09,"29,800","30,250","29,800","30,050","30,190.00","29,862.50",,"56,985","1,711,129,800"
2023-11-08,"30,350","30,650","29,800","29,800","30,190.00","29,950.00",,"73,655","2,212,388,450"
2023-11-07,"31,600","31,600","29,900","30,050","30,090.00","30,025.00",,"162,765","4,937,449,800"
2023-11-06,"30,200","31,350","30,100","31,350","30,020.00","30,057.50",,"130,776","4,013,665,000"
2023-11-03,"30,300","30,300","29,000","29,700","29,600.00","30,055.00",,"119,407","3,532,122,950"
2023-11-02,"29,900","30,150","29,700","30,050","29,690.00","30,132.50",,"85,595","2,564,414,350"
2023-11-01,"30,000","30,050","29,250","29,300","29,430.00","30,180.00",,"81,851","2,409,590,200"
2023-10-31,"29,850","30,500","29,200","29,700","29,390.00","30,345.00",,"122,029","3,637,608,700"
2023-10-30,"30,000","30,300","29,050","29,250","29,460.00","30,482.50",,"103,086","3,033,292,400"
2023-10-27,"28,800","30,800","28,800","30,150","29,640.00","30,670.00",,"183,290","5,521,157,950"
2023-10-26,"28,700","29,250","28,550","28,750","29,420.00","30,792.50",,"120,386","3,478,272,300"
2023-10-25,"30,050","30,300","29,100","29,100","29,650.00","30,985.00",,"137,826","4,044,681,700"
2023-10-24,"30,450","30,450","29,200","30,050","29,920.00","31,222.50",,"97,905","2,916,841,500"
2023-10-23,"29,300","30,300","29,250","30,150","29,890.00","31,360.00",,"146,471","4,376,074,250"
2023-10-20,"29,600","29,750","28,500","29,050","29,870.00","31,540.00",,"174,105","5,059,431,100"
2023-10-19,"30,450","30,500","29,650","29,900","30,150.00","31,857.50",,"106,858","3,194,926,550"
2023-10-18,"30,150","30,700","30,000","30,450","30,530.00","32,087.50",,"152,349","4,627,807,550"
2023-10-17,"30,200","30,800","29,900","29,900","30,700.00","32,257.50",,"106,764","3,219,870,100"
2023-10-16,"30,300","30,650","29,750","30,050","30,860.00","32,445.00",,"166,843","5,008,360,350"
2023-10-13,"31,500","31,900","30,400","30,450","31,110.00","32,655.00",,"208,541","6,390,063,550"
2023-10-12,"31,600","31,850","31,250","31,800","31,270.00","32,857.50",,"77,330","2,440,406,300"
2023-10-11,"31,150","31,800","31,050","31,300","31,110.00","33,042.50",,"102,349","3,204,994,400"
2023-10-10,"31,650","31,800","30,200","30,700","31,370.00","33,305.00",,"99,576","3,085,598,200"
2023-10-06,"31,050","31,700","30,700","31,300","31,720.00","33,542.50",,"190,722","5,913,162,150"
2023-10-05,"31,550","31,700","31,000","31,250","32,060.00","33,730.00",,"70,873","2,225,479,900"
2023-10-04,"32,050","32,050","30,600","31,000","32,330.00","33,877.50",,"194,223","6,067,320,850"
2023-09-27,"32,100","32,800","32,100","32,600","32,650.00","34,117.50",,"42,915","1,395,064,500"
2023-09-26,"33,000","33,250","32,350","32,450","32,900.00","34,232.50",,"64,769","2,124,162,500"
2023-09-25,"32,350","33,300","32,200","33,000","32,970.00","34,360.00",,"87,478","2,876,777,300"
2023-09-22,"32,200","33,000","32,150","32,600","33,120.00","34,387.50",,"59,130","1,926,685,450"
2023-09-21,"33,900","34,100","32,450","32,600","33,680.00","34,417.50",,"169,103","5,560,328,650"
2023-09-20,"32,950","34,000","32,950","33,850","34,060.00","34,477.50",,"146,907","4,953,302,600"
2023-09-19,"33,850","33,900","32,450","32,800","34,060.00","34,522.50",,"206,657","6,822,962,600"
2023-09-18,"35,100","35,200","33,650","33,750","34,230.00","34,617.50",,"149,625","5,090,573,350"
2023-09-15,"34,950","35,700","34,550","35,400","34,330.00","34,635.00",,"226,891","7,983,886,350"
2023-09-14,"34,000","34,950","34,000","34,500","34,150.00","34,592.50",,"168,150","5,806,919,650"
2023-09-13,"33,800","34,300","33,300","33,850","34,350.00","34,500.00",,"169,993","5,732,606,750"
2023-09-12,"34,600","35,150","33,550","33,650","34,890.00","34,552.50",,"116,091","3,952,737,000"
2023-09-11,"34,500","35,200","33,900","34,250","35,250.00","34,597.50",,"91,324","3,129,699,750"
2023-09-08,"35,500","35,600","34,500","34,500","35,410.00","34,642.50",,"113,975","3,957,455,500"
2023-09-07,"36,200","36,550","35,250","35,500","35,350.00","34,627.50",,"148,696","5,312,990,750"
2023-09-06,"35,600","37,200","35,400","36,550","35,410.00","34,575.00",,"376,528","13,816,361,050"
2023-09-05,"35,050","35,850","35,050","35,450","35,080.00","34,447.50",,"139,301","4,939,311,050"
2023-09-04,"34,150","35,600","34,000","35,050","34,990.00","34,385.00",,"193,513","6,761,808,900"
2023-09-01,"35,600","35,850","33,050","34,200","34,690.00","34,412.50",,"207,455","7,152,847,050"
2023-08-31,"35,150","35,800","34,850","35,800","34,490.00","34,512.50",,"202,251","7,164,088,750"
2023-08-30,"35,300","35,350","34,550","34,900","34,090.00","34,532.50",,"170,938","5,964,489,200"
2023-08-29,"33,800","35,250","33,500","35,000","34,060.00","34,657.50",,"248,401","8,604,103,350"
2023-08-28,"33,500","33,900","32,600","33,550","34,000.00","34,785.00",,"261,958","8,687,185,150"
2023-08-25,"33,400","33,750","33,000","33,200","34,110.00","34,980.00",,"152,279","5,064,982,150"
2023-08-24,"34,800","35,000","33,300","33,800","34,380.00","35,177.50",,"231,074","7,820,350,750"
2023-08-23,"34,450","34,950","34,400","34,750","34,150.00","35,355.00",,"68,566","2,380,455,200"
2023-08-22,"34,250","35,100","34,200","34,700","34,180.00","35,567.50",,"142,796","4,951,114,650"
2023-08-21,"34,550","34,850","33,850","34,100","34,150.00","35,712.50",,"151,087","5,182,746,050"
2023-08-18,"32,200","35,300","32,050","34,550","34,360.00","35,947.50",,"499,644","17,100,903,050"
2023-08-17,"34,600","34,600","32,300","32,650","34,290.00","36,117.50",,"472,873","15,663,186,550"
2023-08-16,"35,600","35,900","33,200","34,900","34,650.00","36,415.00",,"733,604","25,495,475,650"
2023-08-14,"35,650","35,750","34,350","34,550","34,470.00","36,617.50",,"290,085","10,191,717,400"
2023-08-11,"34,250","35,550","34,200","35,150","34,400.00","36,827.50",,"229,745","8,027,477,050"
2023-08-10,"34,150","34,450","33,550","34,200","34,490.00","37,105.00",,"97,244","3,314,235,300"
2023-08-09,"33,950","34,750","33,850","34,450","34,890.00","37,410.00",,"121,593","4,181,113,400"
2023-08-08,"34,250","35,000","33,850","34,000","35,240.00","37,730.00",,"130,451","4,490,713,000"
2023-08-07,"35,000","35,200","33,050","34,200","35,920.00","38,077.50",,"520,229","17,632,164,000"
2023-08-04,"35,850","36,050","35,050","35,600","36,590.00","38,342.50",,"145,494","5,171,211,400"
2023-08-03,"36,400","38,250","35,700","36,200","36,960.00","38,592.50",,"353,667","12,974,110,550"
2023-08-02,"37,750","38,850","36,150","36,200","37,150.00","38,782.50",,"486,944","18,015,474,800"
2023-08-01,"37,300","37,550","36,000","37,400","37,380.00","38,860.00",,"142,698","5,274,752,850"
2023-07-31,"37,800","37,900","36,950","37,550","37,700.00","38,887.50",,"128,813","4,808,072,100"
2023-07-28,"36,800","38,250","36,750","37,450","37,710.00","38,845.00",,"189,591","7,120,091,250"
2023-07-27,"38,150","38,550","36,800","37,150","37,980.00","38,807.50",,"154,540","5,755,791,050"
2023-07-26,"39,050","39,050","36,600","37,350","38,140.00","38,762.50",,"298,035","11,123,383,200"
2023-07-25,"37,850","39,350","37,750","39,000","38,390.00","38,722.50",,"209,541","8,146,582,950"
2023-07-24,"38,850","38,850","37,600","37,600","38,380.00","38,597.50",,"172,748","6,541,303,900"
2023-07-21,"37,650","39,100","37,000","38,800","38,610.00","38,490.00",,"260,392","10,030,994,200"
2023-07-20,"38,450","38,450","37,500","37,950","38,990.00","38,267.50",,"167,720","6,368,620,800"
2023-07-19,"39,000","39,550","38,200","38,600","39,460.00","38,122.50",,"200,818","7,758,569,850"
2023-07-18,"38,900","39,850","38,600","38,950","39,910.00","37,965.00",,"252,561","9,841,389,150"
2023-07-17,"41,000","42,400","38,450","38,750","40,310.00","37,712.50",,"429,129","17,034,709,950"
2023-07-14,"40,300","41,100","39,700","40,700","40,460.00","37,472.50",,"221,792","8,954,697,150"
2023-07-13,"41,100","41,150","39,750","40,300","40,440.00","37,140.00",,"282,771","11,418,521,600"
2023-07-12,"41,100","41,850","40,600","40,850","40,380.00","36,822.50",,"336,860","13,833,943,250"
2023-07-11,"39,450","41,550","39,450","40,950","39,760.00","36,485.00",,"416,049","17,004,833,600"
2023-07-10,"40,450","40,450","38,400","39,500","39,160.00","36,172.50",,"468,586","18,477,559,200"
2023-07-07,"40,050","40,800","38,500","40,600","38,600.00",,,"601,870","24,172,028,000"
2023-07-06,"38,250","41,900","38,200","40,000","37,820.00",,,"1,677,017","68,116,886,100"
2023-07-05,"38,300","38,450","37,300","37,750","37,070.00",,,"173,737","6,575,947,200"
2023-07-04,"37,000","38,350","36,700","37,950","36,830.00",,,"394,057","14,904,991,300"
2023-07-03,"37,000","37,150","36,250","36,700","36,540.00",,,"174,882","6,406,480,700"
2023-06-30,"36,550","37,600","36,500","36,700","36,290.00",,,"283,624","10,502,621,150"
2023-06-29,"36,600","36,900","36,050","36,250","35,820.00",,,"119,674","4,354,325,000"
2023-06-28,"36,850","37,450","36,450","36,550","35,580.00",,,"239,765","8,842,339,450"
2023-06-27,"35,550","36,650","35,250","36,500","35,360.00",,,"275,728","9,997,468,100"
2023-06-26,"34,050","36,050","34,000","35,450","34,840.00",,,"226,151","8,033,016,700"
2023-06-23,"35,050","35,250","34,350","34,350","34,540.00",,,"97,034","3,368,810,300"
2023-06-22,"35,600","35,750","34,800","35,050","34,480.00",,,"153,655","5,406,495,650"
2023-06-21,"34,300","35,650","33,850","35,450","34,260.00",,,"419,166","14,684,150,850"
