시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"179,500","189,100","175,000","184,500","186,720.00","153,540.00","108,565.83","474,390","86,955,748,100"
2024-06-18,"189,100","200,000","172,900","182,000","183,740.00","149,495.00","107,786.67","1,381,511","260,576,363,300"
2024-06-17,"189,500","196,700","188,000","188,100","180,600.00","145,605.00","107,045.00","686,495","131,281,268,800"
2024-06-14,"181,600","199,900","174,900","195,300","176,920.00","141,265.00","106,235.83","1,869,446","355,054,599,300"
2024-06-13,"169,500","184,000","167,000","183,700","167,700.00","137,035.00","105,362.50","1,252,505","223,139,476,300"
2024-06-12,"166,000","171,500","162,800","169,600","160,560.00","133,310.00","104,573.33","603,048","101,283,000,200"
2024-06-11,"169,600","172,800","162,700","166,300","156,540.00","130,360.00","103,919.17","901,260","151,311,246,700"
2024-06-10,"150,100","176,300","150,000","169,700","152,420.00","127,640.00","103,300.00","2,951,605","494,328,674,200"
2024-06-07,"149,900","156,300","146,200","149,200","146,320.00","125,005.00","102,655.00","734,425","110,598,601,100"
2024-06-05,"151,000","152,600","146,200","148,000","144,180.00","123,505.00","102,164.17","509,448","75,824,239,300"
2024-06-04,"143,700","149,500","141,100","149,500","142,780.00","121,870.00","101,694.17","503,997","73,424,179,500"
2024-06-03,"145,900","151,300","142,500","145,700","140,820.00","120,090.00","101,226.67","970,297","143,049,408,100"
2024-05-31,"135,500","144,300","132,200","139,200","138,800.00","118,500.00","100,802.50","754,585","105,938,327,600"
2024-05-30,"140,900","142,300","131,700","138,500","134,380.00","117,060.00","100,435.83","1,060,019","144,201,954,600"
2024-05-29,"145,200","153,000","140,000","141,000","130,080.00","115,670.00","100,090.00","1,897,725","280,230,037,000"
2024-05-28,"133,700","143,800","132,800","139,700","124,100.00","113,900.00","99,711.67","1,144,147","159,526,348,800"
2024-05-27,"119,100","138,800","118,900","135,600","116,880.00","112,335.00","99,360.00","2,434,548","320,048,917,900"
2024-05-24,"125,000","125,500","117,000","117,100","110,600.00","111,210.00","99,038.33","1,149,003","138,141,624,600"
2024-05-23,"109,200","117,700","108,100","117,000","107,440.00","110,745.00","98,870.83","453,210","51,798,360,100"
2024-05-22,"106,400","112,900","106,300","111,100","106,180.00","110,390.00","98,710.83","468,521","51,422,141,000"
2024-05-21,"103,900","104,700","101,800","103,600","105,800.00","110,300.00","98,634.17","169,679","17,536,214,100"
2024-05-20,"102,500","105,000","102,500","104,200","107,200.00","110,805.00","98,627.50","254,096","26,446,413,400"
2024-05-17,"110,100","110,100","101,300","101,300","108,740.00","111,210.00","98,571.67","630,583","65,148,220,900"
2024-05-16,"110,100","112,900","110,100","110,700","111,880.00","111,890.00","98,547.50","194,738","21,659,335,700"
2024-05-14,"110,600","111,100","108,300","109,200","113,580.00","112,415.00","98,412.50","190,751","20,908,264,100"
2024-05-13,"110,900","111,700","109,000","110,600","114,800.00","113,340.00","98,287.50","202,752","22,337,665,400"
2024-05-10,"116,400","117,100","111,200","111,900","115,460.00","114,550.00","98,121.67","261,719","29,725,259,200"
2024-05-09,"119,600","119,900","115,000","117,000","115,860.00","115,730.00","97,906.67","332,090","38,707,036,700"
2024-05-08,"115,800","119,400","115,000","119,200","114,540.00","117,145.00","97,634.17","312,097","36,766,004,900"
2024-05-07,"115,100","117,200","111,400","115,300","112,840.00","118,090.00","97,360.00","291,125","33,526,909,200"
2024-05-03,"114,700","117,400","111,100","113,900","110,900.00","118,855.00","97,125.83","345,575","39,617,455,100"
2024-05-02,"111,600","115,700","111,500","113,900","109,800.00","118,785.00","96,928.33","378,248","43,121,322,200"
2024-04-30,"112,200","114,100","110,300","110,400","109,640.00","118,840.00","96,772.50","290,071","32,374,173,100"
2024-04-29,"106,800","111,900","106,600","110,700","109,120.00","119,215.00","96,551.67","366,785","40,221,369,300"
2024-04-26,"108,500","109,800","105,200","105,600","108,960.00","119,240.00","96,323.33","325,170","34,774,903,800"
2024-04-25,"111,500","112,800","108,100","108,400","109,700.00","119,940.00","96,075.83","286,331","31,475,258,900"
2024-04-24,"107,300","114,900","107,300","113,100","110,760.00","120,355.00","95,828.33","568,260","63,822,854,800"
2024-04-23,"111,000","112,000","107,500","107,800","110,600.00","120,575.00","95,510.00","349,831","38,213,227,200"
2024-04-22,"110,400","111,400","106,500","109,900","112,020.00","121,070.00","95,220.00","427,933","46,710,210,700"
