시간,시가,고가,저가,종가,거래량,거래대금
"06/18,13:14","42,450","42,500","42,450","42,450",469,"19,910,750"
"06/18,13:13","42,450","42,500","42,450","42,450","1,349","57,265,750"
"06/18,13:12","42,500","42,500","42,400","42,450","1,665","70,692,300"
"06/18,13:11","42,550","42,600","42,450","42,500","1,910","81,222,700"
"06/18,13:10","42,550","42,600","42,500","42,550",983,"41,819,500"
"06/18,13:09","42,550","42,550","42,500","42,550",562,"23,902,800"
"06/18,13:08","42,500","42,550","42,500","42,550",822,"34,946,750"
"06/18,13:07","42,650","42,650","42,500","42,500",842,"35,856,650"
"06/18,13:06","42,550","42,650","42,500","42,600",569,"24,228,750"
"06/18,13:05","42,550","42,600","42,550","42,600","1,061","45,180,750"
"06/18,13:04","42,550","42,600","42,550","42,550",912,"38,826,050"
"06/18,13:03","42,500","42,600","42,450","42,550","1,317","56,017,500"
"06/18,13:02","42,500","42,550","42,450","42,500",767,"32,592,150"
"06/18,13:01","42,500","42,550","42,400","42,500",748,"31,765,050"
"06/18,13:00","42,350","42,500","42,300","42,500","1,553","65,800,200"
"06/18,12:59","42,500","42,500","42,300","42,350","5,952","252,130,550"
"06/18,12:58","42,550","42,600","42,400","42,500","4,866","206,690,100"
"06/18,12:57","42,600","42,600","42,500","42,550","2,840","120,780,700"
"06/18,12:56","42,750","42,750","42,550","42,600","2,581","110,026,650"
"06/18,12:55","42,800","42,800","42,750","42,800",806,"34,468,400"
"06/18,12:54","42,700","42,800","42,700","42,800",531,"22,695,700"
"06/18,12:53","42,850","42,850","42,700","42,750",813,"34,788,900"
"06/18,12:52","42,900","42,950","42,850","42,850","1,403","60,199,850"
"06/18,12:51","42,950","42,950","42,800","42,900",696,"29,855,050"
"06/18,12:50","43,000","43,000","42,800","42,950","2,379","102,077,550"
"06/18,12:49","42,750","43,050","42,750","43,000","4,664","200,234,450"
"06/18,12:48","42,750","42,750","42,700","42,750",261,"11,146,950"
"06/18,12:47","42,650","42,750","42,650","42,750",544,"23,225,150"
