시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"181,200","184,300","179,400","179,600","181,620.00","163,100.00","107,550.00","596,090","108,423,399,400"
2024-06-18,"182,200","183,800","178,100","179,500","180,480.00","161,130.00","106,544.17","980,995","177,512,998,000"
2024-06-17,"179,200","184,300","176,900","180,100","176,440.00","159,220.00","105,534.17","1,233,384","223,159,823,400"
2024-06-14,"190,200","196,200","179,900","179,900","172,420.00","157,210.00","104,519.17","3,293,200","613,516,683,100"
2024-06-13,"175,900","189,000","173,900","189,000","167,800.00","155,420.00","103,513.33","5,653,152","1,037,039,426,200"
2024-06-12,"159,300","175,500","157,400","173,900","161,160.00","153,060.00","102,426.67","4,537,953","773,142,690,000"
2024-06-11,"161,900","162,000","158,500","159,300","156,100.00","151,350.00","101,468.33","880,159","140,538,569,700"
2024-06-10,"159,700","161,100","156,800","160,000","153,580.00","150,340.00","100,631.67","1,233,444","196,583,378,300"
2024-06-07,"155,800","163,000","153,500","156,800","153,920.00","149,420.00","99,800.83","2,757,638","440,914,985,300"
2024-06-05,"151,900","162,300","150,100","155,800","155,620.00","148,620.00","98,985.00","3,468,162","539,239,957,500"
2024-06-04,"147,200","151,200","145,900","148,600","158,300.00","147,655.00","98,169.17","2,469,486","367,002,881,100"
2024-06-03,"158,100","158,500","138,100","146,700","161,180.00","146,725.00","97,412.50","7,240,625","1,052,037,778,400"
2024-05-31,"163,600","164,900","161,000","161,700","162,280.00","146,040.00","96,688.33","1,464,046","237,800,742,300"
2024-05-30,"166,900","174,100","164,500","165,300","159,480.00","144,705.00","95,857.50","1,970,098","332,347,687,000"
2024-05-29,"166,400","173,400","165,400","169,200","155,700.00","143,295.00","95,010.00","3,383,266","574,342,385,400"
2024-05-28,"157,100","164,500","155,000","163,000","151,320.00","141,695.00","94,109.17","3,692,182","591,759,217,100"
2024-05-27,"151,000","164,500","149,700","152,200","146,760.00","140,370.00","93,264.17","5,397,584","852,552,316,100"
2024-05-24,"146,600","151,500","142,800","147,700","144,580.00","139,890.00","92,493.33","2,704,815","397,106,185,200"
2024-05-23,"152,000","152,700","143,700","146,400","143,020.00","139,075.00","91,769.17","3,177,627","470,927,584,000"
2024-05-22,"139,600","149,700","139,000","147,300","142,560.00","138,110.00","91,046.67","2,728,796","397,534,844,600"
2024-05-21,"142,700","143,300","139,500","140,200","141,460.00","137,565.00","90,333.33","784,326","110,488,413,500"
2024-05-20,"140,000","141,400","138,400","141,300","141,360.00","137,685.00","89,677.50","744,233","104,297,678,900"
2024-05-17,"144,200","144,200","139,500","139,900","140,920.00","137,435.00","89,016.67","927,191","130,682,846,100"
2024-05-16,"147,900","150,000","142,900","144,100","141,260.00","137,455.00","88,374.17","2,755,885","404,851,545,000"
2024-05-14,"140,100","144,000","136,800","141,800","140,600.00","137,565.00","87,693.33","1,199,710","168,732,771,100"
2024-05-13,"140,200","142,500","138,400","139,700","139,540.00","137,750.00","87,030.83","854,513","119,748,767,400"
2024-05-10,"141,600","141,900","137,400","139,100","137,600.00","137,850.00","86,362.50","1,049,541","145,805,549,900"
2024-05-09,"140,100","144,600","139,600","141,600","136,380.00","137,540.00","85,685.00","1,199,839","170,320,799,700"
2024-05-08,"136,000","141,700","134,300","140,800","135,060.00","137,085.00","85,057.50","1,384,326","192,825,012,100"
2024-05-07,"134,500","138,800","133,800","136,500","134,320.00","136,830.00","84,396.67","1,876,204","256,595,546,400"
2024-05-03,"135,500","136,300","130,000","130,000","134,460.00","136,870.00","83,765.83","974,269","128,984,463,500"
2024-05-02,"132,100","134,200","130,200","133,000","135,760.00","137,615.00","83,204.17","968,400","127,991,719,400"
2024-04-30,"136,800","139,800","134,800","135,000","137,680.00","138,240.00","82,583.33","1,093,207","150,002,543,300"
2024-04-29,"139,800","140,300","133,900","137,100","136,960.00","138,605.00","81,929.17","1,324,167","180,939,233,200"
2024-04-26,"141,900","141,900","137,000","137,200","134,960.00","138,435.00","81,265.00","1,488,079","207,153,608,100"
2024-04-25,"139,000","142,600","136,100","136,500","134,800.00","138,275.00","80,560.83","1,820,131","252,258,298,300"
2024-04-24,"137,100","146,300","136,000","142,600","136,020.00","137,170.00","79,860.83","4,089,531","580,694,795,600"
2024-04-23,"132,000","135,000","130,300","131,400","134,760.00","135,665.00","79,147.50","2,024,768","267,631,769,500"
2024-04-22,"132,100","132,900","125,200","127,100","136,540.00","133,965.00","78,529.17","2,699,949","346,804,202,600"
2024-04-19,"139,200","141,200","131,800","136,400","140,380.00","132,300.00","77,954.17","2,405,988","328,939,476,100"
2024-04-18,"135,500","143,000","133,300","142,600","142,200.00","130,170.00","77,313.33","2,204,862","307,255,585,000"
2024-04-17,"142,500","144,700","135,700","136,300","142,020.00","127,695.00","76,613.33","1,959,901","275,121,935,000"
2024-04-16,"143,000","146,300","138,500","140,300","141,340.00","125,550.00","75,939.17","2,168,419","307,766,327,900"
2024-04-15,"144,900","148,500","142,500","146,300","139,780.00","123,450.00","75,257.50","2,189,099","318,849,168,200"
2024-04-12,"149,700","153,200","145,300","145,500","137,660.00","120,945.00","74,527.50","4,339,460","647,446,641,200"
2024-04-11,"134,900","147,400","131,400","141,700","136,020.00","118,615.00","73,802.50","4,690,540","664,249,198,800"
2024-04-09,"132,000","137,600","130,100","132,900","136,660.00","116,535.00","73,112.50","1,618,483","217,821,679,900"
2024-04-08,"137,900","139,700","130,800","132,500","139,180.00","114,795.00","72,491.67","1,758,457","237,712,533,600"
2024-04-05,"131,400","138,500","129,300","135,700","141,140.00","113,040.00","71,865.00","3,082,059","411,268,950,200"
2024-04-04,"148,600","151,400","135,300","137,300","140,740.00","111,260.00","71,198.33","3,851,647","541,494,678,800"
2024-04-03,"141,300","146,800","138,100","144,900","140,080.00","109,330.00","70,483.33","2,830,113","405,938,135,600"
2024-04-02,"145,000","152,800","140,300","145,500","133,980.00","107,155.00","69,690.42","4,892,203","719,637,045,400"
2024-04-01,"134,100","146,300","134,100","142,300","127,380.00","104,620.00","68,920.42","4,896,898","695,552,559,300"
2024-03-29,"134,400","139,100","128,700","133,700","118,400.00","102,275.00","68,177.08","4,188,468","562,948,611,100"
2024-03-28,"115,400","139,100","115,400","134,000","110,420.00","99,830.00","67,514.58","10,019,335","1,311,194,175,300"
2024-03-27,"110,300","119,000","109,100","114,400","102,380.00","97,635.00","66,837.08","4,328,075","496,550,392,900"
2024-03-26,"99,000","117,300","98,500","112,500","98,120.00","96,050.00","66,303.75","7,331,386","797,067,754,600"
2024-03-25,"95,700","101,900","95,400","97,400","94,300.00","94,310.00","65,781.25","3,839,354","380,344,150,800"
2024-03-22,"94,700","98,300","93,500","93,800","94,480.00","93,130.00","65,384.58","1,751,216","167,128,135,300"
2024-03-21,"95,100","95,800","92,800","93,800","94,960.00","92,260.00","65,006.67","1,186,190","111,151,001,500"
2024-03-20,"94,200","95,000","92,000","93,100","95,980.00","91,150.00","64,639.17","869,893","81,257,821,900"
2024-03-19,"96,500","97,500","93,100","93,400","97,380.00","90,220.00","64,276.25","1,271,874","120,406,345,800"
2024-03-18,"97,000","98,500","96,200","98,300","98,320.00","89,275.00","63,917.08","759,938","74,124,658,700"
2024-03-15,"97,000","98,500","95,700","96,200","98,140.00","88,130.00","63,548.75","1,693,924","163,579,019,800"
2024-03-14,"99,000","100,800","98,200","98,900","98,920.00","87,095.00","63,195.42","876,614","86,820,550,300"
2024-03-13,"102,000","102,500","98,000","100,100","98,880.00","86,100.00","62,813.75","1,974,063","197,590,116,600"
2024-03-12,"97,700","100,100","96,400","98,100","99,140.00","85,145.00","62,419.58","1,233,354","120,753,813,100"
2024-03-11,"94,700","99,900","93,700","97,400","98,480.00","84,165.00","62,046.25","2,329,995","225,240,131,200"
2024-03-08,"102,600","105,000","98,100","100,100","98,080.00","82,315.00","61,686.25","3,084,238","312,942,846,700"
2024-03-07,"101,400","107,800","96,500","98,700","95,020.00","80,360.00","61,329.58","3,422,841","347,190,305,000"
2024-03-06,"94,300","101,500","92,100","101,400","93,300.00","78,365.00","60,986.25","3,566,477","348,560,264,700"
2024-03-05,"96,000","97,600","93,500","94,800","89,560.00","76,265.00","60,631.25","2,547,467","243,932,882,500"
2024-03-04,"87,900","101,500","87,500","95,400","86,140.00","74,395.00","60,326.25","9,385,190","900,095,785,500"
2024-02-29,"87,700","88,700","84,500","84,800","81,820.00","72,560.00","60,018.75","2,639,987","227,880,670,700"
2024-02-28,"82,100","91,300","80,100","90,100","80,140.00","71,295.00","59,810.42","5,765,035","496,149,002,800"
2024-02-27,"76,700","84,300","76,600","82,700","76,440.00","69,780.00","59,535.42","5,274,478","429,549,565,600"
2024-02-26,"74,000","85,200","73,800","77,700","74,800.00","68,580.00","59,307.08","7,478,453","599,518,575,100"
2024-02-23,"79,100","79,300","72,800","73,800","74,160.00","67,580.00","59,117.92","2,230,652","169,451,841,500"
2024-02-22,"75,700","76,700","73,500","76,400","74,480.00","66,850.00","58,956.25","2,925,823","220,847,905,200"
2024-02-21,"72,700","74,400","70,700","71,600","74,300.00","65,915.00","58,782.08","1,474,118","106,728,483,200"
2024-02-20,"75,600","77,900","73,600","74,500","75,780.00","65,220.00","58,660.42","1,612,602","121,967,147,300"
2024-02-19,"74,800","77,000","73,500","74,500","77,080.00","64,380.00","58,504.58","1,447,091","109,100,597,600"
2024-02-16,"75,500","78,100","74,500","75,400","77,880.00","63,465.00","58,381.25","2,283,900","173,825,419,200"
2024-02-15,"80,100","80,300","74,400","75,500","74,880.00","62,315.00","58,234.58","2,849,519","216,436,611,500"
2024-02-14,"79,400","80,300","76,500","79,000","71,980.00","61,175.00","58,011.67","3,161,333","247,093,666,900"
2024-02-13,"82,200","84,000","77,700","81,000","67,940.00","60,035.00","57,754.58","8,229,650","662,765,117,500"
2024-02-08,"61,200","78,500","60,400","78,500","63,620.00","58,840.00","57,459.58","12,397,289","892,026,015,000"
2024-02-07,"60,500","60,700","59,600","60,400","59,400.00","57,865.00","57,204.17","698,224","41,960,288,700"
2024-02-06,"59,500","61,500","58,400","61,000","59,060.00","57,765.00","57,090.83","1,099,905","66,211,891,600"
2024-02-05,"59,800","60,400","58,800","58,800","58,760.00","57,650.00","56,972.08","533,151","31,725,315,700"
2024-02-02,"58,200","61,200","58,100","59,400","58,960.00","57,615.00","56,879.58","1,377,716","82,369,684,000"
2024-02-01,"58,200","60,600","56,000","57,400","58,820.00","57,585.00","56,777.92","1,021,369","59,472,751,900"
2024-01-31,"58,800","60,000","58,400","58,700","58,880.00","57,665.00","56,690.83","554,234","32,688,380,700"
2024-01-30,"60,200","60,300","58,800","59,500","58,980.00","57,705.00","56,612.50","533,216","31,697,609,800"
2024-01-29,"58,600","62,000","57,900","59,800","58,620.00","57,770.00","56,527.08","1,888,189","113,814,464,200"
2024-01-26,"57,600","59,100","57,300","58,700","58,200.00","57,865.00","56,473.75","833,854","48,815,899,300"
2024-01-25,"59,900","60,300","57,500","57,700","58,000.00","58,005.00","56,388.75","1,016,644","59,925,044,800"
2024-01-24,"58,500","59,500","57,800","59,200","57,700.00","58,000.00","56,300.83","1,325,890","77,901,219,500"
2024-01-23,"57,700","60,100","56,500","57,700","56,340.00","57,970.00","56,190.00","1,182,327","68,954,243,000"
2024-01-22,"59,000","59,200","56,700","57,700","55,340.00","58,045.00","56,074.17","1,271,136","73,415,935,700"
2024-01-19,"58,100","58,400","56,300","57,700","55,040.00","58,095.00","55,979.17","1,278,997","73,451,057,400"
2024-01-18,"52,400","56,500","51,800","56,200","54,920.00","58,155.00","55,891.67","1,364,180","74,162,786,100"
2024-01-17,"53,300","53,800","52,100","52,400","55,480.00","58,260.00","55,798.33","756,016","39,991,318,000"
2024-01-16,"55,900","56,200","51,100","52,700","56,680.00","58,555.00","55,744.58","2,130,287","112,218,398,900"
2024-01-15,"57,200","57,700","55,000","56,200","57,880.00","58,880.00","55,667.92","542,398","30,484,299,400"
2024-01-12,"58,800","58,900","57,100","57,100","58,260.00","59,000.00","55,612.50","530,923","30,585,701,900"
2024-01-11,"58,600","59,000","58,100","59,000","58,600.00","59,090.00","55,549.17","387,304","22,724,739,200"
2024-01-10,"58,700","58,800","57,200","58,400","58,600.00","59,085.00","55,447.50","542,206","31,298,973,900"
2024-01-09,"59,900","60,500","58,000","58,700","58,820.00","59,180.00","55,304.17","909,403","54,160,787,100"
2024-01-08,"58,400","59,300","58,000","58,100","59,240.00","59,190.00","55,079.17","385,856","22,525,311,000"
2024-01-05,"58,900","59,400","57,900","58,800","59,960.00","59,180.00","54,849.17","573,749","33,531,736,600"
2024-01-04,"59,300","60,000","58,200","59,000","60,500.00","59,130.00","54,600.00","657,612","38,797,276,600"
2024-01-03,"59,500","60,600","59,100","59,500","60,220.00","59,170.00","54,352.92","723,327","43,157,352,400"
2024-01-02,"61,700","63,700","60,100","60,800","60,040.00","59,295.00","54,100.83","1,340,893","83,048,353,000"
2023-12-28,"61,700","64,500","59,600","61,700","59,720.00","59,435.00","53,850.42","1,681,160","103,412,028,200"
2023-12-27,"58,400","62,300","58,300","61,500","59,120.00","59,405.00","53,598.75","2,246,859","136,161,959,600"
2023-12-26,"58,500","59,000","54,000","57,600","58,600.00","59,410.00","53,346.25","822,925","46,831,717,000"
2023-12-22,"60,100","60,400","58,600","58,600","58,740.00","59,515.00","53,117.50","597,400","35,353,062,700"
2023-12-21,"58,300","59,200","58,000","59,200","58,680.00","59,625.00","52,880.83","530,702","31,118,052,300"
2023-12-20,"59,100","59,300","58,200","58,700","58,680.00","59,650.00","52,635.83","618,915","36,228,334,800"
2023-12-19,"58,800","59,500","58,300","58,900","58,660.00","59,800.00","52,397.50","591,248","34,769,068,900"
2023-12-18,"58,800","59,500","58,300","58,300","58,660.00","59,930.00",,"709,418","41,727,159,600"
