시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"19,510","20,550","19,500","20,000","20,120.00","17,629.00","9,567.71","5,087,663","102,333,337,350"
2024-06-18,"19,600","20,050","19,100","19,280","19,844.00","17,433.50","9,438.25","5,367,212","104,988,363,730"
2024-06-17,"19,890","20,500","19,220","19,270","19,712.00","17,218.00","9,314.17","5,013,348","98,827,075,350"
2024-06-14,"21,300","21,800","20,050","20,150","19,698.00","17,038.50","9,189.54","7,861,823","162,678,381,370"
2024-06-13,"19,110","22,950","18,660","21,900","19,138.00","16,858.00","9,058.96","39,802,040","823,273,330,760"
2024-06-12,"18,870","18,900","17,950","18,620","18,118.00","16,582.00","8,909.79","5,642,594","103,615,048,250"
2024-06-11,"19,290","19,470","18,140","18,620","17,836.00","16,365.00","8,786.08","7,313,927","137,104,798,190"
2024-06-10,"17,350","20,150","16,780","19,200","17,582.00","16,199.00","8,660.96","24,973,000","475,603,187,710"
2024-06-07,"16,850","17,990","16,700","17,350","17,324.00","15,994.00","8,531.21","11,202,283","195,624,147,080"
2024-06-05,"18,670","19,490","16,660","16,800","16,610.00","15,856.50","8,415.67","20,664,764","372,586,919,800"
2024-06-04,"17,800","18,010","16,940","17,210","16,208.00","15,808.50","8,304.92","12,656,145","222,759,868,880"
2024-06-03,"17,930","18,760","17,350","17,350","15,786.00","15,638.00","8,190.42","23,761,128","430,667,916,340"
2024-05-31,"13,930","17,910","13,800","17,910","15,494.00","15,465.50","8,076.13","40,157,520","667,135,370,070"
2024-05-30,"14,580","14,900","13,770","13,780","14,950.00","15,262.00","7,957.63","4,332,475","61,448,823,960"
2024-05-29,"15,310","15,490","14,720","14,790","15,670.00","15,270.50","7,873.88","3,493,502","52,735,780,980"
2024-05-28,"15,440","16,040","15,090","15,100","16,070.00","15,235.50","7,781.21","5,692,912","88,783,799,500"
2024-05-27,"15,050","15,940","14,750","15,890","16,268.00","15,083.50","7,686.63","8,565,433","131,311,969,050"
2024-05-24,"16,520","16,730","15,190","15,190","16,084.00","14,824.00","7,585.58","7,348,779","117,236,741,590"
2024-05-23,"16,950","17,430","15,460","17,380","16,182.00","14,556.00","7,490.04","14,367,630","239,027,711,720"
2024-05-22,"15,800","17,830","15,520","16,790","16,014.00","14,194.00","7,374.96","29,210,004","498,373,286,780"
2024-05-21,"15,100","16,250","14,580","16,090","15,932.00","13,845.50","7,265.21","12,635,792","197,128,147,210"
2024-05-20,"15,470","15,620","14,430","14,970","15,570.00","13,514.00","7,161.42","6,883,036","102,860,570,020"
