시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"12,580","12,850","12,400","12,670","11,476.00","9,315.00","8,179.92","878,964","11,131,855,830"
2024-06-18,"11,880","12,920","11,730","12,710","10,676.00","9,089.50","8,133.58","6,499,562","80,764,181,520"
2024-06-17,"10,220","12,120","10,180","11,790","9,840.00","8,861.50","8,085.58","10,341,402","119,188,024,170"
2024-06-14,"10,520","10,520","10,010","10,080","9,142.00","8,671.00","8,045.83","2,618,477","26,714,831,190"
2024-06-13,"8,790","10,420","8,630","10,130","8,800.00","8,579.00","8,020.17","10,425,081","103,777,350,290"
2024-06-12,"8,610","8,800","8,500","8,670","8,484.00","8,474.50","7,993.08","143,669","1,245,498,690"
2024-06-11,"8,260","8,600","8,260","8,530","8,480.00","8,440.00","7,978.83","99,046","839,867,260"
2024-06-10,"8,260","8,450","8,110","8,300","8,520.00","8,414.00","7,965.83","100,316","825,531,960"
2024-06-07,"8,570","8,590","8,370","8,370","8,646.00","8,392.50","7,954.92","51,651","437,038,180"
2024-06-05,"8,560","9,000","8,160","8,550","8,736.00","8,357.00","7,943.50","245,034","2,117,429,420"
2024-06-04,"8,680","9,070","8,360","8,650","8,782.00","8,316.00","7,931.00","273,426","2,369,937,730"
2024-06-03,"9,040","9,070","8,620","8,730","8,824.00","8,269.50","7,915.75","235,713","2,082,834,270"
2024-05-31,"8,810","9,060","8,720","8,930","8,852.00","8,229.50","7,900.50","319,861","2,863,626,950"
2024-05-30,"8,700","9,120","8,530","8,820","8,764.00","8,176.50","7,884.17","351,603","3,128,020,430"
2024-05-29,"8,770","9,100","8,400","8,780","8,642.00","8,122.50","7,867.50","389,044","3,427,424,430"
2024-05-28,"8,760","9,140","8,740","8,860","8,518.00","8,068.50","7,851.33","544,483","4,834,309,680"
2024-05-27,"8,600","9,160","8,490","8,870","8,378.00","8,007.00","7,835.08","995,016","8,799,282,370"
2024-05-24,"8,310","8,600","8,240","8,490","8,234.00","7,955.00","7,819.33","403,582","3,407,582,800"
2024-05-23,"8,110","8,220","8,000","8,210","8,132.00","7,922.50","7,807.83","83,531","681,276,910"
2024-05-22,"8,440","8,690","8,100","8,160","8,138.00","7,904.00","7,798.25","381,257","3,201,453,440"
2024-05-21,"8,070","8,380","8,070","8,160","8,114.00","7,883.50","7,789.17","275,350","2,267,405,380"
2024-05-20,"7,980","8,720","7,860","8,150","8,078.00","7,861.00","7,781.00","624,890","5,213,011,780"
2024-05-17,"8,240","8,240","7,910","7,980","8,050.00","7,834.50","7,773.33","120,286","962,949,230"
2024-05-16,"8,130","8,330","8,070","8,240","8,028.00","7,816.00","7,765.67","302,410","2,478,429,670"
2024-05-14,"7,940","8,060","7,890","8,040","7,912.00","7,793.00","7,759.25","69,350","553,068,320"
2024-05-13,"8,070","8,170","7,890","7,980","7,850.00","7,779.50","7,754.25","128,098","1,027,801,520"
2024-05-10,"7,860","8,420","7,810","8,010","7,798.00","7,765.50","7,750.17","693,000","5,623,857,270"
2024-05-09,"7,700","8,140","7,660","7,870","7,782.00","7,750.50","7,740.33","190,943","1,508,226,840"
2024-05-08,"7,730","7,800","7,650","7,660","7,782.00","7,743.50","7,735.58","48,930","376,581,220"
2024-05-07,"7,740","7,960","7,700","7,730","7,798.00","7,753.50","7,737.42","62,186","481,248,640"
2024-05-03,"7,940","8,040","7,690","7,720","7,792.00","7,769.50","7,738.17","108,273","842,445,110"
2024-05-02,"7,860","8,100","7,860","7,930","7,774.00","7,789.00","7,739.58","167,907","1,339,969,500"
2024-04-30,"7,750","8,510","7,740","7,870","7,754.00","7,806.00","7,740.83","1,014,973","8,230,250,060"
2024-04-29,"7,780","7,780","7,700","7,740","7,748.00","7,833.50","7,741.25","15,700","121,204,620"
2024-04-26,"7,650","7,750","7,600","7,700","7,768.00","7,854.00","7,741.67","35,912","274,992,230"
2024-04-25,"7,790","7,810","7,630","7,630","7,778.00","7,874.00","7,742.50","31,797","245,328,980"
2024-04-24,"7,820","7,880","7,790","7,830","7,794.00","7,906.50","7,738.33","49,170","385,374,910"
2024-04-23,"7,770","7,910","7,760","7,840","7,752.00","7,938.50","7,728.58","52,346","409,776,580"
2024-04-22,"7,750","7,960","7,700","7,840","7,706.00","7,940.50","7,717.92","48,107","377,053,970"
2024-04-19,"7,710","7,950","7,610","7,750","7,694.00","7,941.00","7,707.00","75,541","587,674,560"
2024-04-18,"7,610","7,910","7,610","7,710","7,698.00","7,945.50","7,702.50","85,820","667,768,230"
2024-04-17,"7,600","9,000","7,600","7,620","7,696.00","7,954.00","7,694.08","972,059","8,004,506,590"
2024-04-16,"7,780","7,780","7,540","7,610","7,714.00","7,969.00","7,682.67","33,604","256,056,110"
2024-04-15,"7,690","7,820","7,610","7,780","7,738.00","7,985.00","7,671.25","33,149","255,234,850"
