시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"9,300","9,660","9,200","9,330","8,598.00","7,531.50","5,675.17","2,704,151","25,608,336,720"
2024-06-18,"8,480","9,410","8,330","9,340","8,156.00","7,425.00","5,636.54","9,741,188","88,296,807,110"
2024-06-17,"8,370","8,570","8,120","8,370","7,748.00","7,320.00","5,597.33","3,925,437","32,878,200,760"
2024-06-14,"7,530","9,080","7,450","8,480","7,552.00","7,258.00","5,566.08","20,368,084","173,444,610,760"
2024-06-13,"7,210","7,540","7,200","7,470","7,256.00","7,190.00","5,532.96","3,047,394","22,542,913,860"
2024-06-12,"7,360","7,360","7,030","7,120","7,180.00","7,161.50","5,508.50","1,416,247","10,093,381,460"
2024-06-11,"7,430","7,500","7,270","7,300","7,236.00","7,135.00","5,485.42","1,745,635","12,868,483,730"
2024-06-10,"7,020","7,540","7,020","7,390","7,236.00","7,105.00","5,458.83","3,225,211","23,726,668,990"
2024-06-07,"7,160","7,200","7,000","7,000","7,154.00","7,088.00","5,430.21","1,154,047","8,147,942,000"
2024-06-05,"7,540","7,570","6,950","7,090","7,152.00","7,089.00","5,404.00","2,708,420","19,611,561,830"
2024-06-04,"7,300","7,540","7,130","7,400","7,130.00","7,113.00","5,378.17","2,343,484","17,274,011,060"
2024-06-03,"7,040","7,380","7,030","7,300","7,092.00","7,068.00","5,350.38","2,523,830","18,296,071,950"
2024-05-31,"6,920","7,050","6,690","6,980","7,040.00","7,036.50","5,325.79","1,949,418","13,333,986,040"
2024-05-30,"6,860","7,100","6,800","6,990","6,980.00","7,006.00","5,305.25","1,587,353","11,021,153,720"
2024-05-29,"7,200","7,250","6,840","6,980","7,108.00","6,960.50","5,284.46","2,343,359","16,378,637,650"
2024-05-28,"7,110","7,430","7,070","7,210","7,218.00","6,911.50","5,263.50","2,314,608","16,852,780,240"
2024-05-27,"6,880","7,170","6,760","7,040","7,216.00","6,842.00","5,240.29","3,153,753","21,869,730,620"
2024-05-24,"7,620","7,700","6,510","6,680","7,256.00","6,775.50","5,218.46","6,503,864","45,758,681,820"
2024-05-23,"7,440","7,940","7,330","7,630","7,346.00","6,724.00","5,198.04","4,756,116","36,574,711,690"
2024-05-22,"7,290","7,650","7,190","7,530","7,244.00","6,618.00","5,171.42","4,552,902","33,952,004,860"
2024-05-21,"7,250","7,310","7,050","7,200","7,118.00","6,522.00","5,145.96","1,774,312","12,769,328,820"
2024-05-20,"7,160","7,430","7,120","7,240","6,996.00","6,451.00","5,123.21","2,529,327","18,327,303,480"
2024-05-17,"7,100","7,160","6,900","7,130","6,888.00","6,359.00","5,099.29","2,151,569","15,112,108,960"
2024-05-16,"7,130","7,300","7,060","7,120","6,872.00","6,267.50","5,076.21","4,312,168","30,929,623,030"
2024-05-14,"6,730","7,180","6,660","6,900","6,852.00","6,184.50","5,054.17","5,810,571","40,322,923,040"
2024-05-13,"6,720","6,850","6,450","6,590","6,986.00","6,102.50","5,033.96","3,121,436","20,713,097,350"
