시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"5,650","6,650","5,540","6,480","5,706.00","5,011.00","5,122.88","9,809,389","60,782,771,570"
2024-06-18,"6,300","6,740","5,670","5,760","5,395.00","4,931.25","5,125.54","9,330,688","57,028,562,500"
2024-06-17,"5,080","6,520","5,050","6,100","5,191.00","4,892.25","5,129.46","14,375,380","86,225,861,480"
2024-06-14,"5,170","5,200","5,000","5,030","4,935.00","4,836.25","5,131.04","783,644","3,976,145,000"
2024-06-13,"4,930","5,340","4,910","5,160","4,862.00","4,834.25","5,138.88","1,782,897","9,153,830,260"
2024-06-12,"4,860","5,400","4,800","4,925","4,770.00","4,822.75","5,147.63","3,655,392","18,556,550,150"
2024-06-11,"4,835","5,290","4,735","4,740","4,735.00","4,818.75","5,160.50","1,571,403","7,818,547,150"
2024-06-10,"4,645","4,835","4,645","4,820","4,746.00","4,830.50","5,176.58","173,357","823,791,390"
2024-06-07,"4,700","4,725","4,665","4,665","4,731.00","4,837.50","5,197.58","72,064","337,600,510"
2024-06-05,"4,750","4,790","4,690","4,700","4,740.00","4,853.50","5,217.88","99,371","467,238,835"
2024-06-04,"4,750","4,805","4,720","4,750","4,758.00","4,865.75","5,235.79","130,018","618,559,980"
2024-06-03,"4,765","4,850","4,700","4,795","4,767.00","4,875.25","5,256.21","110,541","530,794,800"
2024-05-31,"4,690","4,765","4,685","4,745","4,761.00","4,885.25","5,274.75","71,488","337,717,050"
2024-05-30,"4,785","4,800","4,695","4,710","4,779.00","4,898.00","5,284.46","108,588","514,133,055"
2024-05-29,"4,770","4,840","4,745","4,790","4,806.00","4,911.50","5,291.71","78,425","375,788,140"
2024-05-28,"4,795","4,820","4,760","4,795","4,810.00","4,919.00","5,300.13","61,058","291,796,895"
2024-05-27,"4,835","4,840","4,740","4,765","4,828.00","4,929.00","5,309.75","178,696","853,923,420"
2024-05-24,"4,840","4,855","4,790","4,835","4,871.00","4,944.25","5,319.63","69,166","333,572,275"
2024-05-23,"4,825","4,865","4,770","4,845","4,900.00","4,952.25","5,318.58","87,189","419,700,625"
2024-05-22,"4,865","4,880","4,800","4,810","4,929.00","4,961.50","5,319.21","182,226","880,021,135"
2024-05-21,"4,975","4,995","4,840","4,885","4,953.00","4,965.25","5,317.92","204,344","996,465,405"
2024-05-20,"4,990","5,040","4,960","4,980","4,945.00","4,970.75","5,317.71","122,302","610,011,065"
2024-05-17,"4,985","4,995","4,855","4,980","4,944.00","4,966.75","5,316.83","149,607","738,067,470"
2024-05-16,"4,930","5,020","4,925","4,990","4,940.00","4,961.00","5,317.33","208,916","1,039,574,120"
2024-05-14,"4,845","4,935","4,800","4,930","4,939.00","4,966.50","5,320.75","124,661","609,114,925"
2024-05-13,"4,995","5,020","4,845","4,845","4,942.00","4,978.00","5,323.42","172,799","847,782,350"
2024-05-10,"4,960","5,030","4,955","4,975","4,961.00","4,989.75","5,325.79","112,095","558,405,285"
2024-05-09,"4,985","5,030","4,950","4,960","4,965.00","4,998.50","5,326.25","143,793","716,267,080"
2024-05-08,"4,945","5,050","4,945","4,985","4,973.00","5,010.50","5,330.67","146,547","733,113,820"
2024-05-07,"4,945","5,020","4,930","4,945","4,972.00","5,029.25","5,336.63","126,282","626,783,590"
2024-05-03,"5,020","5,030","4,940","4,940","4,971.00","5,056.50","5,339.92","122,877","611,084,925"
2024-05-02,"5,040","5,040","4,955","4,995","4,982.00","5,081.50","5,341.83","82,116","409,135,315"
2024-04-30,"4,980","5,060","4,975","5,000","4,997.00","5,115.25","5,339.46","149,096","747,533,090"
2024-04-29,"4,935","5,000","4,920","4,980","4,996.00","5,168.75","5,336.38","144,809","719,724,785"
2024-04-26,"5,020","5,030","4,890","4,940","5,006.00","5,215.25","5,336.88","172,289","849,429,005"
2024-04-25,"5,090","5,090","4,985","4,995","4,995.00","5,258.25","5,337.54","136,358","682,756,585"
2024-04-24,"5,020","5,090","5,000","5,070","4,995.00","5,302.50","5,338.17","154,985","782,423,670"
2024-04-23,"5,060","5,120","4,990","4,995","4,961.00","5,366.50","5,340.42","195,013","984,561,235"
2024-04-22,"4,880","5,110","4,880","5,030","4,935.00","5,459.25","5,344.88","332,292","1,671,823,560"
2024-04-19,"5,000","5,000","4,795","4,885","4,949.00","5,564.25","5,347.63","240,633","1,176,753,795"
2024-04-18,"4,860","5,060","4,860","4,995","5,004.00","5,649.50","5,348.00","225,922","1,128,526,105"
2024-04-17,"4,865","4,995","4,850","4,900","5,021.00","5,698.25","5,338.00","190,439","933,829,555"
2024-04-16,"5,030","5,070","4,800","4,865","5,071.00","5,683.00","5,328.96","428,548","2,106,645,090"
2024-04-15,"5,160","5,210","4,990","5,100","5,138.00","5,669.25","5,317.88","305,800","1,555,872,545"
2024-04-12,"5,080","5,200","5,000","5,160","5,190.00","5,650.25","5,305.88","363,408","1,859,571,430"
2024-04-11,"5,150","5,180","4,965","5,080","5,256.00","5,616.00","5,294.04","345,820","1,750,527,755"
2024-04-09,"5,200","5,280","5,110","5,150","5,328.00","5,589.25","5,283.04","329,881","1,706,775,940"
2024-04-08,"5,290","5,360","5,200","5,200","5,432.00","5,557.25","5,271.13","312,057","1,641,506,410"
2024-04-05,"5,380","5,510","5,200","5,360","5,606.00","5,524.50","5,258.92","610,328","3,273,794,070"
2024-04-04,"5,480","5,590","5,320","5,490","5,716.00","5,485.75","5,246.17","938,427","5,139,015,570"
2024-04-03,"5,660","5,660","5,370","5,440","5,778.00","5,434.25","5,232.08","718,960","3,934,838,650"
2024-04-02,"6,110","6,410","5,570","5,670","5,866.00","5,392.50","5,217.50","3,417,212","20,660,668,480"
2024-04-01,"5,840","6,150","5,780","6,070","6,002.00","5,340.25","5,201.33","1,564,665","9,469,357,490"
2024-03-29,"5,760","6,160","5,620","5,910","6,158.00","5,268.00","5,181.25","2,160,945","12,771,026,840"
2024-03-28,"5,800","6,170","5,720","5,800","6,402.00","5,204.75","5,163.17","2,961,448","17,635,530,160"
2024-03-27,"6,310","6,400","5,810","5,880","6,560.00","5,146.50","5,147.00","3,295,110","19,989,817,070"
2024-03-26,"6,710","6,720","6,240","6,350","6,578.00","5,082.75","5,129.67","3,521,869","22,643,830,260"
2024-03-25,"6,820","7,280","6,570","6,850","6,227.00","5,000.00","5,108.50","6,986,984","48,147,425,180"
2024-03-22,"6,580","8,120","6,520","7,130","5,775.00","4,892.25","5,083.46","36,165,608","269,285,721,300"
2024-03-21,"6,000","7,260","6,000","6,590","5,293.00","4,773.50","5,056.29","26,456,602","179,097,264,540"
2024-03-20,"4,880","5,970","4,840","5,970","4,870.00","4,690.50","5,034.08","9,064,996","51,135,649,025"
2024-03-19,"4,575","4,680","4,530","4,595","4,585.00","4,638.50","5,017.50","112,837","519,869,590"
2024-03-18,"4,650","4,750","4,550","4,590","4,568.00","4,657.25","5,012.92","164,063","758,643,880"
2024-03-15,"4,450","4,760","4,365","4,720","4,559.00","4,670.00","5,008.50","621,408","2,866,487,550"
2024-03-14,"4,535","4,585","4,405","4,475","4,532.00","4,676.25","5,002.67","161,834","720,844,125"
2024-03-13,"4,575","4,625","4,505","4,545","4,529.00","4,694.50","4,999.04","140,184","637,953,610"
2024-03-12,"4,520","4,590","4,475","4,510","4,541.00","4,710.00","4,995.21","102,365","461,227,305"
2024-03-11,"4,545","4,630","4,545","4,545","4,564.00","4,723.25","4,992.08","67,630","309,551,065"
2024-03-08,"4,460","4,585","4,420","4,585","4,580.00","4,735.25","4,987.79","103,764","465,607,320"
2024-03-07,"4,610","4,650","4,410","4,460","4,592.00","4,745.75","4,982.88","197,784","887,750,315"
2024-03-06,"4,600","4,695","4,600","4,605","4,627.00","4,763.25","4,979.63","107,892","501,293,825"
2024-03-05,"4,590","4,705","4,590","4,625","4,627.00","4,775.00","4,974.83","84,079","389,904,295"
2024-03-04,"4,645","4,690","4,610","4,625","4,641.00","4,781.00","4,969.88","108,063","502,405,880"
