시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"85,100","89,500","85,100","87,100","83,920.00","68,425.00","46,660.42","310,390","27,213,962,600"
2024-06-18,"84,300","88,200","82,400","84,800","82,680.00","66,232.50","46,362.08","770,637","65,997,143,800"
2024-06-17,"77,700","84,600","77,700","84,200","81,500.00","64,212.50","46,083.75","756,466","62,618,924,300"
2024-06-14,"81,800","82,000","75,600","80,000","80,000.00","62,250.00","45,807.08","878,346","69,532,846,300"
2024-06-13,"83,000","85,000","79,900","83,500","79,600.00","60,480.00","45,566.25","879,425","72,668,594,200"
2024-06-12,"80,500","83,800","79,200","80,900","77,860.00","58,517.50","45,282.08","990,009","80,723,349,600"
2024-06-11,"75,500","83,000","75,500","78,900","75,560.00","56,722.50","45,027.92","1,579,169","126,411,107,300"
2024-06-10,"79,400","79,500","75,500","76,700","73,080.00","54,950.00","44,779.58","678,588","52,637,914,400"
2024-06-07,"77,000","82,200","75,600","78,000","70,960.00","53,180.00","44,549.17","1,525,667","120,692,697,500"
2024-06-05,"72,000","78,500","70,600","74,800","67,280.00","51,402.50","44,310.00","2,451,096","183,718,230,600"
2024-06-04,"66,000","71,400","65,600","69,400","64,380.00","49,757.50","44,093.33","1,145,358","79,519,670,500"
2024-06-03,"67,400","68,700","64,600","66,500","60,300.00","48,337.50","43,917.08","1,110,062","74,145,693,700"
2024-05-31,"59,000","67,400","58,900","66,100","56,900.00","47,037.50","43,774.17","2,866,350","184,190,574,900"
2024-05-30,"63,000","64,000","57,500","59,600","52,910.00","45,745.00","43,650.00","2,346,381","142,259,960,900"
2024-05-29,"53,600","62,500","53,000","60,300","50,230.00","44,787.50","43,590.83","5,484,629","325,084,117,200"
2024-05-28,"50,200","50,300","48,500","49,000","47,540.00","43,720.00","43,507.50","364,512","17,970,447,800"
2024-05-27,"47,500","50,000","46,950","49,500","46,390.00","43,235.00","43,512.92","878,799","43,033,579,350"
2024-05-24,"46,150","47,050","45,450","46,150","45,370.00","42,780.00","43,514.58","231,979","10,714,058,250"
2024-05-23,"46,850","47,600","45,500","46,200","45,130.00","42,412.50","43,553.33","348,640","16,226,057,900"
2024-05-22,"44,250","47,100","44,200","46,850","44,810.00","42,045.00","43,590.83","726,703","33,592,005,000"
2024-05-21,"44,400","44,400","43,250","43,250","44,290.00","41,627.50","43,617.92","183,434","8,005,624,250"
