시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"72,500","72,800","63,400","64,700","63,880.00","49,112.50","37,999.58","412,679","27,094,203,400"
2024-06-18,"76,700","78,000","70,000","72,900","59,910.00","48,182.50","37,737.92","840,928","61,753,749,800"
2024-06-17,"70,000","80,000","65,000","72,800","54,130.00","46,865.00","37,402.92","4,234,406","309,320,409,400"
2024-06-14,"47,450","61,600","46,750","61,600","48,210.00","45,465.00","37,067.92","984,182","55,960,562,550"
2024-06-13,"45,000","47,950","44,750","47,400","44,360.00","44,585.00","36,834.58","87,440","4,105,033,500"
2024-06-12,"44,000","45,600","42,750","44,850","43,350.00","44,245.00","36,725.00","42,649","1,896,850,400"
2024-06-11,"43,550","45,150","43,300","44,000","43,000.00","44,082.50","36,617.08","51,785","2,296,822,050"
2024-06-10,"42,350","43,300","41,400","43,200","42,980.00","43,922.50","36,516.25","36,559","1,554,677,550"
2024-06-07,"42,950","42,950","41,500","42,350","43,040.00","43,802.50","36,428.75","34,328","1,443,935,800"
2024-06-05,"43,100","43,350","42,200","42,350","43,250.00","43,705.00","36,347.08","17,440","741,481,150"
2024-06-04,"44,400","44,400","42,700","43,100","43,660.00","43,500.00","36,267.08","20,653","889,855,400"
2024-06-03,"43,800","44,250","43,200","43,900","44,020.00","43,235.00","36,188.33","18,985","829,263,000"
2024-05-31,"43,750","44,250","43,350","43,500","44,480.00","42,905.00","36,090.83","21,893","956,170,050"
2024-05-30,"44,400","44,600","43,250","43,400","44,980.00","42,635.00","35,990.83","22,699","990,044,750"
2024-05-29,"44,900","45,200","43,800","44,400","45,190.00","42,345.00","35,898.33","22,220","983,527,950"
2024-05-28,"46,250","46,450","44,750","44,900","45,560.00","42,020.00","35,798.33","22,667","1,027,417,300"
2024-05-27,"46,500","47,000","45,300","46,200","45,800.00","41,637.50","35,692.92","36,083","1,659,536,050"
2024-05-24,"44,200","46,650","43,950","46,000","45,870.00","41,162.50","35,574.58","54,296","2,478,010,100"
2024-05-23,"46,250","46,250","44,350","44,450","45,630.00","40,720.00","35,472.92","35,130","1,574,084,650"
2024-05-22,"46,000","46,550","45,450","46,250","45,540.00","40,370.00","35,375.42","25,133","1,156,689,950"
2024-05-21,"46,850","46,850","45,500","46,100","44,410.00","39,807.50","35,253.75","43,126","1,980,177,300"
2024-05-20,"44,400","46,750","43,600","46,550","43,510.00","39,287.50","35,131.25","83,734","3,821,167,500"
2024-05-17,"43,850","47,800","43,450","44,800","42,360.00","38,670.00","34,989.17","188,049","8,630,451,600"
2024-05-16,"42,450","45,200","41,800","44,000","41,560.00","38,142.50","34,861.67","137,202","6,016,431,900"
2024-05-14,"41,600","42,000","40,050","40,600","40,840.00","37,700.00","34,740.83","28,464","1,161,999,400"
2024-05-13,"41,300","42,350","40,900","41,600","40,370.00","37,415.00","34,647.08","28,579","1,191,529,300"
2024-05-10,"41,200","41,300","40,500","40,800","39,610.00","37,087.50","34,546.25","20,859","853,050,200"
2024-05-09,"40,650","43,000","40,400","40,800","38,910.00","36,815.00","34,440.42","79,194","3,314,456,000"
2024-05-08,"38,250","40,400","38,000","40,400","38,370.00","36,487.50","34,349.58","77,926","3,101,172,050"
2024-05-07,"37,850","38,300","37,100","38,250","37,810.00","36,137.50","34,261.25","15,566","587,570,300"
2024-05-03,"37,300","37,950","37,000","37,800","37,740.00","35,920.00","34,185.42","9,179","344,903,600"
2024-05-02,"38,100","38,100","37,150","37,300","37,630.00","35,762.50","34,105.42","8,724","326,175,050"
2024-04-30,"37,600","38,400","37,300","38,100","37,510.00","35,647.50","34,032.92","18,855","715,919,200"
2024-04-29,"37,950","38,150","37,400","37,600","37,320.00","35,520.00","33,952.08","10,958","412,944,500"
2024-04-26,"37,250","37,900","36,300","37,900","37,290.00","35,422.50","33,873.75","16,730","622,648,500"
2024-04-25,"37,250","38,300","36,800","37,250","36,710.00","35,267.50","33,792.50","23,115","869,977,000"
2024-04-24,"37,150","37,600","36,650","36,700","36,400.00","35,182.50","33,714.58","15,512","572,910,750"
2024-04-23,"37,550","38,400","36,700","37,150","35,900.00","35,165.00","33,640.42","22,947","859,196,600"
2024-04-22,"35,400","37,450","35,100","37,450","35,320.00","35,082.50","33,561.67","47,361","1,741,562,800"
2024-04-19,"35,700","36,700","34,650","35,000","34,860.00","35,002.50","33,477.50","31,032","1,104,712,350"
2024-04-18,"34,300","35,850","34,200","35,700","34,840.00","35,052.50","33,415.00","13,853","488,781,350"
2024-04-17,"34,450","34,600","34,050","34,200","34,710.00","35,057.50","33,344.17","4,578","156,650,000"
2024-04-16,"35,150","35,150","33,850","34,250","34,940.00","35,145.00","33,281.25","14,763","505,993,250"
2024-04-15,"34,900","35,400","33,950","35,150","34,940.00","35,187.50","33,217.08","16,246","559,886,550"
2024-04-12,"35,050","35,650","34,750","34,900","34,590.00","35,197.50","33,152.50","15,369","538,485,350"
2024-04-11,"35,350","35,400","34,000","35,050","34,390.00","35,262.50","33,097.50","17,643","611,170,200"
