시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"235,000","246,500","234,000","244,000","234,800.00","224,325.00","232,738.33","231,743","55,940,949,500"
2024-06-18,"237,000","240,500","233,500","235,500","230,200.00","223,300.00","232,567.50","323,533","76,734,846,000"
2024-06-17,"238,000","242,500","232,500","235,000","226,900.00","222,900.00","232,471.67","393,848","92,986,693,500"
2024-06-14,"220,500","253,500","220,000","238,000","224,200.00","222,500.00","232,384.17","1,763,305","424,849,704,500"
2024-06-13,"222,500","225,000","221,000","221,500","221,200.00","221,950.00","232,242.50","374,303","83,264,829,277"
2024-06-12,"219,000","221,000","218,500","221,000","221,300.00","222,100.00","232,288.33","105,623","23,203,360,500"
2024-06-11,"221,000","223,000","218,000","219,000","221,100.00","222,400.00","232,342.50","233,642","51,216,594,000"
2024-06-10,"221,000","224,500","219,000","221,500","221,300.00","222,800.00","232,409.17","182,446","40,479,880,600"
2024-06-07,"224,000","227,000","222,000","223,000","219,900.00","223,025.00","232,450.83","206,377","46,129,274,260"
2024-06-05,"220,500","224,000","219,000","222,000","218,300.00","223,475.00","232,463.33","246,551","54,666,725,250"
2024-06-04,"220,000","222,000","218,500","220,000","217,400.00","223,800.00","232,475.83","202,441","44,520,888,500"
2024-06-03,"216,000","222,000","216,000","220,000","217,200.00","224,100.00","232,517.50","224,992","49,504,655,460"
2024-05-31,"217,500","218,000","213,500","214,500","217,400.00","224,400.00","232,563.33","291,527","62,696,841,000"
2024-05-30,"214,500","216,000","212,000","215,000","218,800.00","225,100.00","232,667.50","202,252","43,365,156,500"
2024-05-29,"217,500","219,000","213,500","217,500","221,300.00","225,825.00","232,784.17","266,959","57,555,016,791"
2024-05-28,"220,500","221,500","218,000","219,000","223,800.00","226,975.00","232,892.50","176,418","38,674,496,000"
2024-05-27,"221,500","223,500","220,000","221,000","224,700.00","228,225.00","233,013.33","167,702","37,096,219,500"
2024-05-24,"224,500","225,500","221,000","221,500","226,000.00","229,350.00","233,105.00","182,786","40,680,801,753"
2024-05-23,"227,500","230,500","227,000","227,500","227,100.00","230,200.00","233,196.67","161,706","36,954,576,000"
2024-05-22,"222,500","231,500","221,500","230,000","227,000.00","230,775.00","233,242.50","203,632","46,265,961,000"
2024-05-21,"225,500","226,500","223,000","223,500","225,900.00","231,000.00","233,238.33","166,506","37,319,247,420"
2024-05-20,"226,500","230,000","226,000","227,500","226,600.00","231,575.00","233,305.00","144,822","32,971,814,500"
2024-05-17,"228,000","228,500","226,500","227,000","226,500.00","231,925.00","233,288.33","100,694","22,888,783,000"
2024-05-16,"227,000","229,000","226,000","227,000","226,300.00","232,475.00","233,309.17","168,980","38,423,100,000"
2024-05-14,"226,000","227,000","224,000","224,500","227,300.00","233,250.00","233,338.33","167,796","37,775,734,500"
2024-05-13,"227,000","230,000","225,500","227,000","228,100.00","234,050.00","233,367.50","141,987","32,220,926,000"
2024-05-10,"228,000","228,000","226,000","227,000","227,900.00","235,250.00","233,330.00","111,031","25,211,518,000"
2024-05-09,"232,000","232,000","225,000","226,000","227,700.00","236,050.00","233,284.17","235,106","53,312,875,000"
2024-05-08,"228,500","232,500","228,500","232,000","228,200.00","236,900.00","233,259.17","168,185","38,847,388,500"
2024-05-07,"228,500","229,500","227,500","228,500","227,700.00","237,425.00","233,192.50","178,015","40,632,726,000"
2024-05-03,"227,500","229,000","226,000","226,000","230,100.00","238,200.00","233,142.50","147,544","33,503,013,500"
2024-05-02,"226,000","228,000","225,000","226,000","233,700.00","238,925.00","233,125.83","207,204","46,888,905,500"
2024-04-30,"230,500","232,500","228,000","228,500","237,200.00","240,000.00","233,142.50","260,074","59,623,141,500"
2024-04-29,"239,500","242,500","229,000","229,500","239,200.00","241,125.00","233,055.00","455,640","105,447,949,000"
2024-04-26,"245,500","247,000","239,500","240,500","241,100.00","242,400.00","232,963.33","147,522","35,655,000,500"
2024-04-25,"241,500","248,500","241,000","244,000","239,900.00","243,450.00","232,730.00","158,635","38,926,538,500"
2024-04-24,"240,000","244,500","237,500","243,500","238,100.00","244,475.00","232,434.17","131,348","31,845,412,500"
2024-04-23,"238,000","243,000","236,500","238,500","236,300.00","245,525.00","232,167.50","134,543","32,176,956,400"
2024-04-22,"239,000","239,500","235,000","239,000","236,200.00","246,500.00","232,013.33","155,158","36,869,746,000"
2024-04-19,"231,000","235,000","229,000","234,500","236,900.00","247,650.00","231,821.67","181,634","42,115,692,000"
2024-04-18,"239,000","240,000","233,000","235,000","238,100.00","249,225.00","231,709.17","175,371","41,209,927,000"
2024-04-17,"239,000","239,000","233,000","234,500","241,300.00","250,125.00","231,563.33","132,408","31,225,276,500"
