시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"6,940","6,970","6,310","6,320","6,124.00","4,897.25","3,805.63","1,151,036","7,593,095,330"
2024-06-18,"6,580","7,800","6,580","6,940","5,804.00","4,809.75","3,783.96","7,551,844","54,075,070,300"
2024-06-17,"6,300","7,590","5,860","6,580","5,330.00","4,689.25","3,757.04","22,071,522","148,220,876,520"
2024-06-14,"4,780","6,090","4,610","6,090","4,936.00","4,581.25","3,733.21","10,217,009","58,353,633,215"
2024-06-13,"4,720","4,755","4,420","4,690","4,638.00","4,473.50","3,713.38","274,615","1,282,134,620"
2024-06-12,"4,570","4,745","4,455","4,720","4,542.00","4,416.00","3,705.13","531,299","2,448,126,005"
2024-06-11,"4,670","4,850","4,520","4,570","4,458.00","4,356.50","3,696.42","437,234","2,030,105,235"
2024-06-10,"4,495","4,910","4,310","4,610","4,447.00","4,303.75","3,688.92","1,380,249","6,494,350,785"
2024-06-07,"4,210","5,030","4,060","4,600","4,392.00","4,247.50","3,680.92","3,796,279","18,095,078,075"
2024-06-05,"4,340","4,340","3,990","4,210","4,333.00","4,189.75","3,672.58","175,060","733,523,645"
2024-06-04,"4,495","4,505","4,200","4,300","4,375.00","4,150.25","3,667.25","249,827","1,073,655,665"
2024-06-03,"4,425","5,080","4,425","4,515","4,441.00","4,105.75","3,660.92","1,557,500","7,424,064,540"
2024-05-31,"4,265","4,520","4,260","4,335","4,472.00","4,050.75","3,652.88","254,057","1,119,285,355"
2024-05-30,"4,420","4,420","4,280","4,305","4,551.00","4,007.75","3,646.79","179,740","777,539,010"
2024-05-29,"4,670","4,705","4,355","4,420","4,536.00","3,965.75","3,641.25","348,844","1,568,913,000"
2024-05-28,"4,820","4,855","4,620","4,630","4,548.00","3,918.00","3,634.75","530,915","2,512,450,300"
2024-05-27,"4,750","5,050","4,645","4,670","4,536.00","3,858.25","3,626.79","1,408,346","6,819,954,705"
2024-05-24,"4,265","5,280","4,225","4,730","4,508.00","3,796.00","3,618.63","7,450,782","36,641,586,630"
2024-05-23,"4,410","4,480","4,195","4,230","4,446.00","3,731.25","3,610.21","429,567","1,831,999,250"
2024-05-22,"4,570","4,580","4,425","4,480","4,387.00","3,688.75","3,605.71","353,779","1,585,900,215"
2024-05-21,"4,535","4,745","4,380","4,570","4,199.00","3,632.25","3,599.21","996,497","4,535,392,980"
2024-05-20,"4,660","5,170","4,465","4,530","3,991.00","3,571.50","3,591.96","3,900,906","18,993,521,930"
2024-05-17,"4,150","5,050","3,995","4,420","3,788.00","3,512.25","3,584.54","12,412,401","58,997,470,945"
2024-05-16,"3,545","4,420","3,545","3,935","3,601.00","3,457.00","3,577.58","5,102,357","20,852,022,475"
2024-05-14,"3,480","3,580","3,480","3,540","3,503.00","3,426.25","3,575.13","25,666","90,802,365"
2024-05-13,"3,570","3,570","3,495","3,530","3,479.00","3,417.50","3,575.96","12,583","44,383,055"
2024-05-10,"3,495","3,530","3,440","3,515","3,455.00","3,410.00","3,576.46","29,611","103,391,335"
2024-05-09,"3,420","3,495","3,420","3,485","3,435.00","3,404.25","3,576.58","15,492","53,417,385"
2024-05-08,"3,430","3,465","3,400","3,445","3,433.00","3,401.50","3,577.63","21,842","75,143,955"
2024-05-07,"3,390","3,430","3,390","3,420","3,437.00","3,401.25","3,579.42","26,801","91,278,395"
2024-05-03,"3,400","3,445","3,385","3,410","3,446.00","3,403.25","3,581.75","6,893","23,434,505"
2024-05-02,"3,445","3,465","3,410","3,415","3,451.00","3,406.75","3,584.17","15,777","54,016,740"
2024-04-30,"3,480","3,480","3,440","3,475","3,453.00","3,411.25","3,586.96","22,553","77,919,035"
2024-04-29,"3,465","3,480","3,435","3,465","3,445.00","3,413.25","3,588.92","8,094","28,066,485"
2024-04-26,"3,440","3,475","3,440","3,465","3,428.00","3,415.50","3,590.21","11,154","38,621,640"
2024-04-25,"3,425","3,470","3,425","3,435","3,405.00","3,419.75","3,591.00","6,734","23,206,645"
2024-04-24,"3,440","3,455","3,400","3,425","3,389.00","3,425.00","3,592.21","12,987","44,344,640"
2024-04-23,"3,355","3,435","3,355","3,435","3,373.00","3,431.75","3,593.88","4,319","14,668,340"
2024-04-22,"3,355","3,465","3,330","3,380","3,349.00","3,437.00","3,594.67","12,939","43,831,165"
2024-04-19,"3,315","3,385","3,315","3,350","3,337.00","3,444.75","3,596.29","22,853","76,429,760"
2024-04-18,"3,345","3,375","3,320","3,355","3,340.00","3,453.00","3,598.71","9,292","31,121,765"
2024-04-17,"3,335","3,365","3,285","3,345","3,345.00","3,460.50","3,600.67","9,621","32,024,900"
2024-04-16,"3,300","3,345","3,290","3,315","3,356.00","3,469.25","3,602.08","14,332","47,540,285"
2024-04-15,"3,370","3,370","3,300","3,320","3,379.00","3,481.00","3,603.71","15,846","52,557,550"
2024-04-12,"3,400","3,445","3,320","3,365","3,403.00","3,492.25","3,605.58","34,395","115,557,915"
2024-04-11,"3,400","3,420","3,340","3,380","3,422.00","3,498.75","3,608.13","15,742","52,723,535"
2024-04-09,"3,380","3,490","3,375","3,400","3,442.00","3,506.25","3,610.67","14,138","48,219,970"
2024-04-08,"3,450","3,450","3,330","3,430","3,463.00","3,509.75","3,612.92","53,173","178,930,570"
2024-04-05,"3,415","3,530","3,405","3,440","3,480.00","3,512.75","3,615.58","15,275","52,646,725"
2024-04-04,"3,450","3,500","3,450","3,460","3,494.00","3,515.25","3,618.38","14,987","52,036,940"
2024-04-03,"3,555","3,555","3,475","3,480","3,512.00","3,517.00","3,620.38","7,995","27,931,205"
2024-04-02,"3,520","3,530","3,500","3,505","3,524.00","3,517.50","3,621.67","15,345","53,777,180"
2024-04-01,"3,505","3,550","3,480","3,515","3,535.00","3,517.50","3,622.96","13,632","47,788,835"
2024-03-29,"3,570","3,570","3,490","3,510","3,540.00","3,518.00","3,623.67","9,979","34,975,195"
2024-03-28,"3,560","3,560","3,500","3,550","3,545.00","3,519.75","3,624.83","24,186","85,237,275"
2024-03-27,"3,575","3,580","3,530","3,540","3,538.00","3,520.25","3,626.92","7,183","25,510,290"
2024-03-26,"3,535","3,565","3,525","3,560","3,531.00","3,520.75","3,628.58","9,613","34,116,875"
2024-03-25,"3,545","3,555","3,515","3,540","3,523.00","3,521.50","3,631.50","8,052","28,467,335"
2024-03-22,"3,505","3,540","3,505","3,535","3,525.00","3,526.75","3,634.67","10,797","38,000,345"
2024-03-21,"3,520","3,525","3,500","3,515","3,527.00","3,532.50","3,638.00","6,490","22,802,495"
2024-03-20,"3,520","3,555","3,495","3,505","3,523.00","3,540.50","3,642.29","16,974","59,558,125"
2024-03-19,"3,520","3,575","3,520","3,520","3,528.00","3,552.00","3,646.63","15,075","53,316,095"
2024-03-18,"3,505","3,575","3,505","3,550","3,518.00","3,561.75","3,651.00","9,542","33,678,925"
2024-03-15,"3,515","3,550","3,485","3,545","3,506.00","3,567.75","3,655.33","8,973","31,381,155"
2024-03-14,"3,480","3,550","3,480","3,495","3,495.00","3,574.00","3,659.33","9,416","32,941,790"
2024-03-13,"3,480","3,570","3,470","3,530","3,495.00","3,583.00","3,663.42","18,053","62,970,610"
2024-03-12,"3,490","3,505","3,465","3,470","3,487.00","3,592.50","3,667.29","17,273","60,077,830"
2024-03-11,"3,495","3,525","3,460","3,490","3,494.00","3,606.50","3,673.08","23,678","82,543,535"
2024-03-08,"3,500","3,560","3,490","3,490","3,501.00","3,621.75","3,680.17","9,165","32,101,245"
2024-03-07,"3,490","3,510","3,470","3,495","3,512.00","3,637.75","3,686.63","21,502","75,106,845"
2024-03-06,"3,500","3,540","3,470","3,490","3,525.00","3,652.50","3,693.21","15,598","54,602,565"
2024-03-05,"3,525","3,580","3,495","3,505","3,537.00","3,666.25","3,699.92","28,685","101,206,020"
2024-03-04,"3,540","3,585","3,520","3,525","3,551.00","3,669.50","3,706.63","34,733","122,881,185"
2024-02-29,"3,570","3,625","3,535","3,545","3,575.00","3,669.00","3,713.79","23,610","84,024,960"
2024-02-28,"3,535","3,570","3,535","3,560","3,596.00","3,669.25","3,721.96","12,735","45,223,980"
2024-02-27,"3,540","3,595","3,540","3,550","3,619.00","3,668.75","3,730.29","16,829","59,838,220"
2024-02-26,"3,665","3,665","3,565","3,575","3,656.00","3,671.00","3,740.63","25,133","90,283,090"
2024-02-23,"3,670","3,745","3,635","3,645","3,684.00","3,666.75","3,748.21","7,821","28,530,845"
2024-02-22,"3,665","3,685","3,630","3,650","3,689.00","3,659.00","3,755.92","6,957","25,457,595"
2024-02-21,"3,700","3,750","3,620","3,675","3,693.00","3,650.75","3,765.42","12,702","46,706,310"
2024-02-20,"3,735","3,780","3,695","3,735","3,693.00","3,641.75","3,775.88","25,997","97,428,415"
2024-02-19,"3,640","3,730","3,640","3,715","3,690.00","3,630.50","3,783.50","30,694","113,386,605"
2024-02-16,"3,685","3,685","3,640","3,670","3,697.00","3,619.75","3,787.42","26,773","97,705,620"
2024-02-15,"3,675","3,695","3,645","3,670","3,722.00","3,610.75","3,790.83","26,576","97,606,405"
2024-02-14,"3,655","3,725","3,645","3,675","3,750.00","3,608.50","3,793.79","14,527","53,323,050"
2024-02-13,"3,730","3,770","3,700","3,720","3,773.00","3,607.75","3,797.13","32,342","120,171,865"
2024-02-08,"3,795","3,795","3,730","3,750","3,782.00","3,607.50","3,801.04","25,794","96,755,760"
2024-02-07,"3,790","3,835","3,725","3,795","3,746.00","3,606.25","3,805.75","31,728","120,204,650"
2024-02-06,"3,760","3,835","3,695","3,810","3,690.00","3,601.50","3,810.00","62,299","236,401,325"
2024-02-05,"3,780","3,875","3,710","3,790","3,638.00","3,595.25","3,814.08","78,263","297,526,410"
2024-02-02,"3,560","3,765","3,560","3,765","3,590.00","3,589.25","3,818.13","90,197","334,413,460"
2024-02-01,"3,515","3,620","3,515","3,570","3,556.00","3,585.00","3,822.50","35,311","125,917,355"
2024-01-31,"3,510","3,555","3,510","3,515","3,540.00","3,591.00","3,828.13","12,700","44,663,760"
2024-01-30,"3,620","3,620","3,485","3,550","3,535.00","3,599.75","3,833.92","18,949","66,879,855"
2024-01-29,"3,630","3,630","3,535","3,550","3,522.00","3,609.75","3,840.08","13,795","49,067,670"
2024-01-26,"3,505","3,640","3,460","3,595","3,511.00","3,617.50","3,846.58","40,101","143,981,370"
2024-01-25,"3,530","3,530","3,450","3,490","3,494.00","3,622.75","3,852.54","15,965","55,419,730"
2024-01-24,"3,505","3,525","3,480","3,490","3,496.00","3,634.50","3,859.04","13,649","47,740,980"
2024-01-23,"3,465","3,525","3,460","3,485","3,496.00","3,648.00","3,864.21","13,816","48,209,415"
2024-01-22,"3,530","3,545","3,440","3,495","3,524.00","3,659.75","3,868.63","15,510","53,856,510"
2024-01-19,"3,490","3,540","3,470","3,510","3,557.00","3,669.00","3,874.42","58,149","204,029,975"
2024-01-18,"3,505","3,560","3,450","3,500","3,598.00","3,679.50","3,881.42","18,013","63,016,300"
2024-01-17,"3,630","3,665","3,380","3,490","3,643.00","3,690.00","3,890.92","87,349","305,006,700"
2024-01-16,"3,650","3,720","3,620","3,625","3,685.00","3,701.50","3,900.79","29,659","108,426,620"
2024-01-15,"3,685","3,725","3,650","3,660","3,697.00","3,705.75","3,909.79","13,664","50,300,160"
2024-01-12,"3,720","3,735","3,675","3,715","3,699.00","3,707.75","3,918.54","17,450","64,599,445"
2024-01-11,"3,700","3,745","3,700","3,725","3,692.00","3,705.75","3,926.54","15,497","57,695,610"
2024-01-10,"3,705","3,735","3,660","3,700","3,685.00","3,703.00","3,934.58","21,439","79,558,890"
