시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"264,500","270,000","264,000","266,500","260,100.00","246,400.00","214,726.67","103,159","27,566,515,500"
2024-06-18,"265,000","270,000","259,500","263,500","257,000.00","244,875.00","214,480.83","271,868","72,161,174,500"
2024-06-17,"261,500","266,000","257,000","261,500","250,200.00","243,475.00","214,314.17","207,474","54,274,441,000"
2024-06-14,"245,500","264,500","239,500","264,000","246,500.00","242,325.00","214,193.33","487,478","123,907,870,500"
2024-06-13,"257,500","257,500","243,500","245,000","241,900.00","241,300.00","214,076.67","442,866","109,986,186,500"
2024-06-12,"255,500","272,000","251,000","251,000","241,700.00","241,175.00","214,089.17","1,644,960","428,921,929,500"
2024-06-11,"236,500","237,000","220,000","229,500","240,100.00","240,300.00","214,047.50","487,174","110,464,514,500"
2024-06-10,"243,000","248,500","240,000","243,000","244,000.00","240,525.00","214,185.00","161,372","39,240,054,000"
2024-06-07,"244,500","246,000","239,000","241,000","245,000.00","240,000.00","214,130.83","144,701","34,893,650,500"
2024-06-05,"243,500","249,000","239,500","244,000","246,000.00","239,625.00","214,093.33","129,367","31,666,472,500"
2024-06-04,"250,500","254,000","242,500","243,000","246,700.00","239,400.00","214,047.50","143,638","35,280,586,500"
2024-06-03,"253,000","253,500","246,000","249,000","246,000.00","238,975.00","213,997.50","143,571","35,803,291,500"
2024-05-31,"250,500","258,000","248,000","248,000","243,800.00","237,700.00","213,889.17","345,454","87,630,284,500"
2024-05-30,"248,500","252,500","242,000","246,000","241,500.00","236,400.00","213,772.50","192,486","47,707,860,000"
2024-05-29,"244,500","256,000","239,500","247,500","239,700.00","234,850.00","213,705.83","425,967","106,040,289,500"
2024-05-28,"235,500","240,000","233,000","239,500","237,100.00","233,150.00","213,614.17","136,128","32,255,791,980"
2024-05-27,"238,000","238,500","234,000","238,000","236,400.00","231,800.00","213,597.50","104,874","24,781,724,500"
2024-05-24,"233,000","238,500","230,000","236,500","235,900.00","230,350.00","213,568.33","119,220","27,965,023,726"
2024-05-23,"234,000","243,500","232,500","237,000","236,300.00","227,885.00","213,626.67","196,854","47,131,067,003"
2024-05-22,"236,000","237,000","233,000","234,500","237,600.00","225,260.00","213,676.67","117,162","27,439,554,570"
2024-05-21,"237,000","238,000","233,500","236,000","239,200.00","222,600.00","213,851.67","120,278","28,343,472,500"
2024-05-20,"241,000","241,500","233,000","235,500","238,700.00","220,130.00","214,010.00","137,778","32,421,466,035"
2024-05-17,"244,000","245,000","237,000","238,500","238,400.00","217,560.00","214,135.00","118,417","28,346,877,000"
2024-05-16,"247,000","249,000","242,500","243,500","237,200.00","215,070.00","214,222.50","164,013","40,161,613,500"
2024-05-14,"235,000","245,000","233,000","242,500","235,200.00","212,730.00","214,301.67","262,737","63,532,846,000"
2024-05-13,"235,000","236,500","232,000","233,500","234,600.00","210,705.00","214,347.50","90,232","21,103,728,000"
2024-05-10,"237,500","238,000","231,500","234,000","234,800.00","208,810.00","214,439.17","115,582","27,050,115,000"
2024-05-09,"234,000","236,500","230,500","232,500","232,700.00","207,015.00","214,485.00","191,259","44,538,417,500"
2024-05-08,"235,500","237,000","232,000","233,500","230,600.00","205,640.00","214,560.00","143,518","33,570,404,500"
2024-05-07,"237,500","240,000","234,500","239,500","226,900.00","203,835.00","214,610.00","284,279","67,721,629,500"
2024-05-03,"229,500","237,500","229,500","234,500","221,700.00","201,785.00","214,543.33","508,130","119,058,750,500"
2024-05-02,"222,500","226,000","221,500","223,500","217,300.00","199,975.00","214,543.33","140,927","31,596,481,500"
2024-04-30,"218,000","225,000","217,000","222,000","214,400.00","199,025.00","214,697.50","408,070","90,853,180,496"
2024-04-29,"215,000","216,500","211,500","215,000","207,440.00","198,225.00","214,735.00","107,652","23,059,843,500"
2024-04-26,"213,000","215,000","210,500","213,500","201,340.00","197,310.00","214,847.50","145,052","30,892,493,000"
2024-04-25,"207,000","215,500","205,000","212,500","194,900.00","196,510.00","214,889.17","413,615","87,858,943,500"
2024-04-24,"188,900","210,000","188,900","209,000","189,720.00","195,625.00","214,976.67","515,047","104,197,184,400"
2024-04-23,"184,700","189,100","184,500","187,200","184,740.00","194,755.00","215,122.50","80,194","14,987,779,100"
2024-04-22,"182,500","185,000","182,300","184,500","185,040.00","194,960.00","215,441.67","69,115","12,683,973,800"
2024-04-19,"184,700","186,400","179,500","181,300","187,480.00","195,355.00","215,737.50","134,717","24,565,629,800"
2024-04-18,"184,000","187,700","184,000","186,600","191,620.00","195,985.00","216,122.50","112,356","20,939,463,700"
2024-04-17,"188,700","190,500","184,100","184,100","193,420.00","196,270.00","216,450.83","133,239","24,896,213,300"
2024-04-16,"193,000","194,000","188,300","188,700","196,220.00","196,550.00","216,737.50","171,290","32,514,573,800"
2024-04-15,"200,000","201,500","196,300","196,700","199,480.00","196,630.00","216,990.00","110,441","21,854,383,600"
2024-04-12,"199,400","204,000","196,100","202,000","199,620.00","196,210.00","217,167.50","192,191","38,541,820,300"
2024-04-11,"194,200","197,700","191,000","195,600","198,920.00","195,705.00","217,392.50","144,876","28,223,746,700"
2024-04-09,"205,000","207,000","197,600","198,100","199,460.00","195,670.00","217,737.50","149,097","29,801,086,800"
2024-04-08,"199,700","206,500","195,900","205,000","200,740.00","195,590.00","218,053.33","182,774","36,963,593,000"
2024-04-05,"195,700","199,500","192,700","197,400","200,940.00","195,085.00","218,332.50","112,745","22,136,966,000"
2024-04-04,"201,000","202,500","196,200","198,500","200,800.00","194,655.00","218,683.33","127,761","25,338,381,894"
2024-04-03,"202,500","202,500","198,200","198,300","200,600.00","194,185.00","219,004.17","119,435","23,845,596,000"
2024-04-02,"205,000","207,500","203,000","204,500","199,900.00","193,595.00","219,305.83","115,148","23,605,848,500"
2024-04-01,"198,800","207,500","198,700","206,000","197,320.00","193,595.00","219,518.33","244,842","50,134,886,300"
2024-03-29,"197,900","198,300","194,200","196,700","194,380.00","193,545.00","219,776.67","87,558","17,195,081,500"
2024-03-28,"196,000","198,800","194,900","197,500","193,520.00","193,810.00","220,112.50","147,529","29,085,434,400"
2024-03-27,"191,000","194,800","190,700","194,800","192,800.00","194,185.00","220,504.17","91,831","17,732,027,100"
2024-03-26,"192,200","195,300","191,500","191,600","192,300.00","194,620.00","220,897.50","131,638","25,430,522,400"
2024-03-25,"192,700","195,500","190,800","191,300","191,920.00","195,365.00","221,367.50","116,268","22,396,703,700"
2024-03-22,"190,800","193,500","189,900","192,400","191,720.00","196,175.00","221,798.33","136,236","26,184,117,500"
2024-03-21,"193,800","194,300","191,400","193,900","190,900.00","196,955.00","222,220.00","142,744","27,583,063,300"
2024-03-20,"191,200","193,100","189,800","192,300","190,500.00","197,360.00","222,658.33","139,146","26,668,975,500"
2024-03-19,"190,900","191,400","188,400","189,700","191,020.00","197,610.00","223,143.33","120,051","22,803,723,100"
2024-03-18,"189,800","190,500","188,300","190,300","192,380.00","197,895.00","223,650.00","70,661","13,391,597,800"
2024-03-15,"192,400","193,600","188,300","188,300","193,300.00","198,140.00","224,143.33","158,352","30,000,418,300"
2024-03-14,"194,500","194,600","191,500","191,900","193,400.00","198,420.00","224,611.67","152,179","29,238,962,400"
2024-03-13,"197,500","198,300","194,900","194,900","192,840.00","198,700.00","225,016.67","89,346","17,502,979,600"
2024-03-12,"195,100","196,900","191,000","196,500","191,160.00","199,005.00","225,438.33","129,448","25,210,309,000"
2024-03-11,"188,200","196,000","188,200","194,900","192,760.00","199,175.00","225,871.67","197,549","38,078,841,200"
2024-03-08,"189,200","190,300","188,100","188,800","194,780.00","199,455.00","226,285.00","181,259","34,290,283,100"
2024-03-07,"187,600","189,300","186,700","189,100","197,420.00","199,910.00","226,815.83","175,005","32,906,684,600"
2024-03-06,"201,500","202,500","186,500","186,500","200,600.00","200,305.00","227,481.67","659,730","124,983,651,900"
2024-03-05,"202,500","209,000","202,500","204,500","204,000.00","200,955.00","228,194.17","80,937","16,658,228,000"
