시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"163,400","163,500","159,100","161,300","156,880.00","151,525.00","157,713.33","126,134","20,362,734,600"
2024-06-18,"157,500","163,000","156,600","161,700","154,080.00","151,020.00","157,840.00","388,097","62,102,220,400"
2024-06-17,"155,300","159,100","151,300","153,500","151,140.00","150,455.00","157,955.00","152,029","23,474,785,500"
2024-06-14,"153,900","159,700","151,200","155,200","150,060.00","150,190.00","158,109.17","394,309","61,890,298,700"
2024-06-13,"148,500","153,700","148,000","152,700","148,380.00","149,950.00","158,240.83","189,125","28,702,680,700"
2024-06-12,"147,000","147,500","146,400","147,300","147,320.00","149,840.00","158,337.50","36,625","5,379,391,100"
2024-06-11,"148,000","148,500","146,400","147,000","147,620.00","149,890.00","158,511.67","41,452","6,095,548,300"
2024-06-10,"145,900","148,700","145,500","148,100","148,240.00","149,830.00","158,716.67","48,816","7,215,691,300"
2024-06-07,"147,800","148,200","146,400","146,800","148,220.00","149,850.00","158,936.67","45,475","6,680,074,200"
2024-06-05,"149,700","149,700","146,700","147,400","148,440.00","150,145.00","159,140.83","83,033","12,234,260,100"
2024-06-04,"148,800","150,500","148,800","148,800","148,780.00","150,505.00","159,371.67","34,032","5,080,453,000"
2024-06-03,"149,000","152,300","148,700","150,100","149,440.00","150,660.00","159,566.67","54,072","8,159,875,600"
2024-05-31,"148,300","149,200","147,500","148,000","149,920.00","150,735.00","159,762.50","38,752","5,742,604,800"
2024-05-30,"148,600","150,000","147,900","147,900","150,940.00","151,035.00","160,006.67","48,145","7,154,094,500"
2024-05-29,"152,700","152,700","149,100","149,100","151,940.00","151,710.00","160,315.83","68,326","10,265,152,200"
2024-05-28,"155,800","157,800","152,100","152,100","153,120.00","151,940.00","160,666.67","112,840","17,391,332,000"
2024-05-27,"153,700","153,800","150,300","152,500","152,940.00","151,910.00","160,932.50","69,154","10,484,252,000"
2024-05-24,"151,100","153,800","150,500","153,100","152,520.00","151,995.00","161,176.67","56,028","8,552,354,200"
2024-05-23,"155,500","155,500","152,500","152,900","151,540.00","151,350.00","161,340.00","74,249","11,402,459,500"
2024-05-22,"152,400","155,000","149,800","155,000","151,040.00","150,770.00","161,478.33","124,584","19,037,033,000"
2024-05-21,"150,100","152,000","148,300","151,200","150,140.00","149,820.00","161,615.83","64,409","9,681,162,800"
2024-05-20,"148,200","150,700","146,700","150,400","149,560.00","149,175.00","161,725.00","59,561","8,889,788,300"
2024-05-17,"149,400","150,200","148,100","148,200","148,640.00","148,470.00","161,835.00","52,472","7,802,510,000"
2024-05-16,"150,600","151,600","148,900","150,400","148,700.00","148,160.00","161,960.83","60,470","9,069,464,900"
2024-05-14,"148,800","151,900","147,000","150,500","149,160.00","148,025.00","162,038.33","80,122","11,999,284,000"
2024-05-13,"145,800","148,300","145,100","148,300","149,980.00","147,970.00","162,039.17","69,340","10,200,699,400"
2024-05-10,"148,500","149,500","145,700","145,800","150,700.00","148,085.00","162,000.00","127,750","18,751,787,500"
2024-05-09,"151,300","152,500","148,300","148,500","151,860.00","148,310.00","161,907.50","152,826","22,814,464,600"
2024-05-08,"153,200","156,100","152,000","152,700","152,960.00","148,585.00","161,802.50","77,473","11,872,383,200"
2024-05-07,"152,300","156,600","152,300","154,600","154,700.00","148,200.00","161,695.00","120,228","18,606,460,500"
2024-05-03,"151,200","154,300","151,000","151,900","154,520.00","147,825.00","161,545.00","148,094","22,581,109,700"
2024-05-02,"155,000","160,800","150,600","151,600","154,440.00","147,515.00","161,447.50","343,019","53,225,709,600"
2024-04-30,"170,000","173,500","154,000","154,000","154,960.00","147,370.00","161,405.83","1,092,422","180,095,160,500"
2024-04-29,"157,100","162,500","153,200","161,400","152,200.00","146,990.00","161,290.00","436,688","69,609,092,500"
2024-04-26,"154,200","154,500","150,000","153,700","148,180.00","146,120.00","161,055.83","102,742","15,688,330,900"
2024-04-25,"152,900","153,600","150,200","151,500","144,640.00","145,805.00","160,862.50","114,046","17,328,362,400"
