시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"5,020","5,060","4,830","5,000","4,505.00","3,995.25","4,079.92","1,016,263","5,040,620,400"
2024-06-18,"5,380","5,420","4,905","5,100","4,265.00","3,943.00","4,071.42","8,483,660","43,384,393,775"
2024-06-17,"3,775","4,900","3,770","4,900","3,987.00","3,887.25","4,062.25","10,848,646","50,885,533,025"
2024-06-14,"3,760","3,800","3,725","3,770","3,749.00","3,842.75","4,055.29","10,468","39,364,195"
2024-06-13,"3,805","3,830","3,750","3,755","3,754.00","3,855.25","4,057.25","13,470","50,874,895"
2024-06-12,"3,720","3,830","3,670","3,800","3,764.00","3,863.50","4,059.96","56,179","212,760,020"
2024-06-11,"3,735","3,790","3,680","3,710","3,765.00","3,869.00","4,061.63","28,157","105,108,605"
2024-06-10,"3,800","3,800","3,665","3,710","3,786.00","3,883.50","4,064.83","35,870","133,943,395"
2024-06-07,"3,785","3,800","3,750","3,795","3,801.00","3,896.75","4,067.79","15,044","56,834,005"
2024-06-05,"3,805","3,835","3,725","3,805","3,790.00","3,904.50","4,070.04","11,922","45,043,860"
2024-06-04,"3,835","3,835","3,770","3,805","3,789.00","3,911.75","4,072.71","17,037","64,645,910"
2024-06-03,"3,790","3,960","3,790","3,815","3,810.00","3,918.75","4,074.63","12,477","47,871,275"
2024-05-31,"3,740","3,825","3,730","3,785","3,829.00","3,924.75","4,077.54","17,572","66,356,080"
2024-05-30,"3,725","3,795","3,680","3,740","3,853.00","3,929.75","4,080.71","85,346","316,378,840"
2024-05-29,"3,900","3,930","3,780","3,800","3,893.00","3,938.00","4,083.63","25,671","98,639,285"
2024-05-28,"3,950","3,975","3,895","3,910","3,923.00","3,939.50","4,086.25","26,727","105,157,955"
2024-05-27,"3,905","3,910","3,850","3,910","3,932.00","3,939.00","4,087.54","29,759","115,446,320"
2024-05-24,"3,940","3,940","3,865","3,905","3,947.00","3,938.75","4,089.50","23,689","92,175,160"
2024-05-23,"3,960","3,975","3,885","3,940","3,968.00","3,939.75","4,091.67","27,251","106,896,605"
2024-05-22,"3,920","3,970","3,920","3,950","3,984.00","3,938.25","4,093.75","34,553","135,967,120"
2024-05-21,"3,985","3,985","3,940","3,955","3,978.00","3,931.75","4,095.83","12,572","49,738,395"
2024-05-20,"4,010","4,020","3,940","3,985","3,969.00","3,928.25","4,096.83","20,298","80,799,040"
