시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"13,120","14,610","13,000","13,910","13,982.00","10,588.00","5,119.13","4,071,687","56,814,080,970"
2024-06-18,"14,030","14,190","12,920","13,550","13,414.00","10,131.00","5,022.46","4,002,534","53,441,009,240"
2024-06-17,"14,570","14,750","13,890","14,200","13,016.00","9,683.75","4,928.25","1,742,830","24,712,349,240"
2024-06-14,"13,830","14,500","13,490","14,450","12,376.00","9,216.00","4,826.75","3,424,253","48,151,057,930"
2024-06-13,"12,600","14,390","12,590","13,800","11,626.00","8,715.75","4,722.98","9,368,460","128,057,203,430"
2024-06-12,"11,840","12,480","11,010","11,070","10,728.00","8,248.75","4,624.57","2,914,277","33,900,416,240"
2024-06-11,"11,000","11,800","10,720","11,560","10,494.00","7,909.75","4,549.52","2,607,374","29,716,037,260"
2024-06-10,"10,600","11,650","10,260","11,000","10,144.00","7,559.25","4,470.36","3,793,867","41,495,093,770"
2024-06-07,"9,700","10,950","9,400","10,700","9,848.00","7,244.75","4,396.44","5,569,177","57,196,518,420"
2024-06-05,"10,100","10,110","9,260","9,310","9,490.00","6,953.50","4,324.98","2,439,820","23,275,570,620"
2024-06-04,"9,800","10,200","9,410","9,900","9,506.00","6,736.50","4,265.15","2,171,421","21,334,159,000"
2024-06-03,"9,520","10,290","9,130","9,810","9,656.00","6,492.00","4,199.13","3,612,235","35,905,493,850"
2024-05-31,"9,180","10,190","8,600","9,520","9,472.00","6,243.00","4,134.71","5,840,596","55,861,137,750"
2024-05-30,"8,830","9,450","7,730","8,910","9,128.00","6,007.50","4,071.63","12,272,620","104,345,438,880"
2024-05-29,"10,150","10,300","9,140","9,390","8,812.00","5,798.50","4,013.20","7,288,122","70,353,503,570"
2024-05-28,"9,050","10,740","8,890","10,650","8,136.00","5,563.00","3,951.23","8,858,129","87,333,941,010"
2024-05-27,"7,930","9,390","7,660","8,890","6,960.00","5,272.50","3,879.23","9,822,845","85,002,388,360"
2024-05-24,"6,600","8,250","6,590","7,800","6,103.00","5,076.75","3,822.48","18,371,252","134,631,282,670"
2024-05-23,"5,940","7,490","5,760","7,330","5,512.00","4,937.75","3,775.53","18,840,140","127,767,658,290"
2024-05-22,"5,850","6,150","5,270","6,010","4,935.00","4,828.75","3,732.57","23,970,912","137,286,267,810"
2024-05-21,"4,680","5,040","4,495","4,770","4,625.00","4,784.25","3,701.36","3,600,889","17,257,656,735"
2024-05-20,"4,845","5,080","4,510","4,605","4,529.00","4,802.25","3,677.46","2,714,415","13,023,552,845"
2024-05-17,"4,400","4,900","4,275","4,845","4,518.00","4,823.50","3,654.23","2,496,353","11,668,059,755"
2024-05-16,"4,465","4,600","4,405","4,445","4,491.00","4,842.75","3,628.33","735,975","3,309,392,800"
2024-05-14,"4,330","4,545","4,190","4,460","4,577.00","4,879.50","3,605.92","1,410,033","6,137,875,845"
2024-05-13,"4,545","4,600","4,215","4,290","4,679.00","4,935.50","3,583.28","1,572,486","6,820,426,150"
2024-05-10,"4,710","4,745","4,380","4,550","4,823.00","5,005.50","3,561.99","1,358,264","6,221,230,465"
2024-05-09,"4,870","4,945","4,710","4,710","4,879.00","5,052.50","3,538.58","1,410,258","6,843,667,325"
2024-05-08,"4,960","4,960","4,810","4,875","4,899.00","5,069.00","3,514.03","695,563","3,396,869,690"
2024-05-07,"5,090","5,120","4,785","4,970","4,870.00","5,077.75","3,488.41","2,089,280","10,250,690,560"
2024-05-03,"4,920","5,110","4,805","5,010","4,812.00","5,086.25","3,460.44","1,572,447","7,760,310,350"
2024-05-02,"4,815","4,990","4,685","4,830","4,778.00","5,095.75","3,433.05","1,598,693","7,732,028,865"
2024-04-30,"4,730","4,950","4,480","4,810","4,807.00","5,109.75","3,407.56","2,038,212","9,628,662,160"
2024-04-29,"4,685","4,910","4,610","4,730","4,849.00","5,125.25","3,381.09","1,357,748","6,475,376,620"
2024-04-26,"4,840","4,845","4,400","4,680","4,933.00","5,138.50","3,354.32","3,357,418","15,317,844,200"
2024-04-25,"5,010","5,040","4,695","4,840","5,021.00","5,169.00","3,327.67","1,988,685","9,669,043,400"
2024-04-24,"5,100","5,120","4,930","4,975","5,079.00","5,185.50","3,300.12","1,234,750","6,160,217,095"
2024-04-23,"5,170","5,210","5,000","5,020","5,090.00","5,210.75","3,271.76","1,788,824","9,077,397,780"
2024-04-22,"5,180","5,560","5,090","5,150","5,132.00","5,244.75","3,243.81","4,740,500","25,137,585,920"
2024-04-19,"5,210","5,420","5,050","5,120","5,138.00","5,217.25","3,215.23","2,265,452","11,783,989,940"
2024-04-18,"5,040","5,260","5,010","5,130","5,230.00","5,172.25","3,186.85","1,698,074","8,757,908,340"
2024-04-17,"5,230","5,310","5,000","5,030","5,342.00","5,124.50","3,159.27","1,259,430","6,457,009,200"
2024-04-16,"5,180","5,380","4,945","5,230","5,434.00","5,078.00","3,130.13","2,357,085","12,123,731,965"
2024-04-15,"5,380","5,440","5,040","5,180","5,396.00","5,025.25","3,098.46","2,722,670","14,180,006,250"
2024-04-12,"5,690","5,850","5,500","5,580","5,370.00","4,976.50","3,067.76","2,257,505","12,720,451,270"
2024-04-11,"5,400","5,870","5,260","5,690","5,282.00","4,919.00","3,034.26","3,310,169","18,599,951,890"
2024-04-09,"4,980","5,670","4,975","5,490","5,184.00","4,841.75","2,999.46","5,518,058","29,816,336,715"
2024-04-08,"5,050","5,350","4,860","5,040","5,108.00","4,770.75","2,965.75","2,619,081","13,330,437,525"
2024-04-05,"5,000","5,100","4,805","5,050","5,124.00","4,726.25","2,936.31","2,209,809","10,852,233,800"
2024-04-04,"5,130","5,290","4,985","5,140","5,113.00","4,679.00","2,907.39","1,585,952","8,155,549,505"
2024-04-03,"4,940","5,540","4,935","5,200","5,143.00","4,633.75","2,877.15","5,105,899","26,931,569,195"
2024-04-02,"5,120","5,330","4,955","5,110","5,137.00","4,604.50","2,845.33","1,788,385","9,175,199,795"
2024-04-01,"4,995","5,120","4,815","5,120","5,211.00","4,578.50","2,814.93","1,834,583","9,124,387,230"
2024-03-29,"5,220","5,220","4,810","4,995","5,327.00","4,541.25","2,783.88","2,493,905","12,398,806,390"
2024-03-28,"5,150","5,470","4,980","5,290","5,248.00","4,470.75","2,753.57","2,589,182","13,461,552,965"
2024-03-27,"5,480","5,710","5,010","5,170","5,034.00","4,388.25","2,722.30","3,920,680","20,711,839,440"
2024-03-26,"5,880","6,240","5,390","5,480","4,835.00","4,324.00","2,690.68","9,024,665","52,460,294,310"
2024-03-25,"4,700","5,980","4,680","5,700","4,559.00","4,251.75","2,656.94","14,255,439","80,521,664,630"
2024-03-22,"4,575","5,230","4,285","4,600","4,254.00","4,163.25","2,621.98","10,082,923","48,218,238,515"
2024-03-21,"4,170","4,325","4,095","4,220","4,175.00","4,131.75","2,596.73","1,482,705","6,307,862,850"
2024-03-20,"4,005","4,280","4,000","4,175","4,217.00","4,134.50","2,574.73","802,266","3,329,845,170"
2024-03-19,"4,190","4,200","4,050","4,100","4,211.00","4,138.50","2,553.85","744,979","3,062,156,000"
2024-03-18,"4,135","4,250","4,085","4,175","4,205.00","4,153.50","2,534.52","1,047,200","4,344,308,540"
2024-03-15,"4,450","4,665","4,100","4,205","4,200.00","4,137.00","2,515.89","1,462,228","6,298,784,225"
2024-03-14,"4,140","4,525","4,050","4,430","4,180.00","4,130.50","2,498.10","1,858,978","8,106,051,225"
2024-03-13,"4,050","4,280","3,980","4,145","4,141.00","4,112.50","2,478.85","1,194,899","4,928,402,165"
2024-03-12,"4,250","4,250","3,995","4,070","4,235.00","4,096.00","2,461.56","945,840","3,842,612,565"
2024-03-11,"3,950","4,470","3,935","4,150","4,339.00","4,075.25","2,446.39","2,200,167","9,331,243,825"
2024-03-08,"4,275","4,350","3,955","4,105","4,384.00","4,025.00","2,431.27","2,283,835","9,324,200,180"
2024-03-07,"4,670","4,670","4,195","4,235","4,280.00","3,966.75","2,415.31","2,164,520","9,464,308,570"
2024-03-06,"4,550","5,000","4,445","4,615","4,161.00","3,894.50","2,400.23","2,895,001","13,833,739,350"
2024-03-05,"4,375","4,645","4,100","4,590","4,015.00","3,804.25","2,381.14","3,605,236","15,962,080,415"
2024-03-04,"3,795","4,465","3,785","4,375","3,904.00","3,721.75","2,362.56","7,604,046","32,189,352,440"
2024-02-29,"3,655","3,730","3,380","3,585","3,815.00","3,654.00","2,345.77","2,136,083","7,495,993,440"
2024-02-28,"3,810","3,870","3,590","3,640","3,892.00","3,627.50","2,336.43","2,030,520","7,530,764,500"
2024-02-27,"4,020","4,100","3,835","3,885","4,019.00","3,605.75","2,326.52","1,403,239","5,518,187,275"
2024-02-26,"3,895","4,200","3,800","4,035","4,093.00","3,555.25","2,315.10","1,937,276","7,890,191,840"
2024-02-23,"3,885","4,090","3,730","3,930","4,166.00","3,487.25","2,303.68","1,975,544","7,724,965,825"
2024-02-22,"4,115","4,175","3,800","3,970","4,149.00","3,434.00","2,293.89","3,311,126","13,227,330,735"
2024-02-21,"4,410","4,655","4,120","4,275","4,170.00","3,389.50","2,281.02","4,111,361","18,099,158,930"
2024-02-20,"4,660","4,760","4,200","4,255","4,129.00","3,329.75","2,265.48","4,827,083","21,292,777,965"
2024-02-19,"3,930","4,550","3,880","4,400","4,041.00","3,264.00","2,251.81","6,508,759","27,859,156,400"
2024-02-16,"4,100","4,100","3,730","3,845","3,892.00","3,242.75","2,236.77","2,545,512","9,912,924,345"
2024-02-15,"4,090","4,280","3,840","4,075","3,752.00","3,250.00","2,227.23","3,123,244","12,635,544,700"
2024-02-14,"3,750","4,485","3,745","4,070","3,525.00","3,217.50","2,216.52","7,615,617","31,576,825,030"
2024-02-13,"3,730","3,870","3,580","3,815","3,269.00","3,170.25","2,205.10","3,608,076","13,537,923,055"
2024-02-08,"3,170","3,840","3,125","3,655","3,068.00","3,121.50","2,197.73","7,874,160","28,391,807,705"
2024-02-07,"2,940","3,230","2,770","3,145","2,925.00","3,081.75","2,190.81","1,926,613","5,695,627,575"
2024-02-06,"2,765","3,110","2,745","2,940","2,900.00","3,065.50","2,188.31","2,274,568","6,711,783,860"
2024-02-05,"2,800","2,825","2,635","2,790","2,923.00","3,059.50","2,188.89","1,758,420","4,768,156,355"
2024-02-02,"3,035","3,035","2,755","2,810","3,006.00","3,060.25","2,189.23","1,865,514","5,366,099,325"
2024-02-01,"2,990","3,045","2,870","2,940","3,019.00","3,048.00","2,190.23","937,042","2,766,761,855"
2024-01-31,"3,090","3,300","2,950","3,020","2,966.00","3,019.75","2,189.56","1,997,996","6,214,712,145"
2024-01-30,"3,090","3,210","3,010","3,055","2,935.00","2,987.75","2,189.35","1,635,759","5,060,819,590"
2024-01-29,"2,975","3,410","2,855","3,205","2,940.00","2,946.25","2,188.93","3,785,807","12,023,361,015"
2024-01-26,"2,590","2,930","2,400","2,875","2,915.00","2,889.00","2,188.06","2,445,834","6,654,649,560"
2024-01-25,"2,865","2,965","2,630","2,675","2,928.00","2,850.50","2,190.31","1,794,216","4,967,444,150"
2024-01-24,"3,245","3,455","2,750","2,865","3,188.00","2,820.00","2,194.06","3,234,819","9,746,549,675"
2024-01-23,"3,020","3,200","2,875","3,080","3,413.00","2,787.50","2,195.89","1,931,564","5,946,673,335"
