시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"353,000","356,500","350,500","352,000","357,300.00","370,475.00","424,016.67","97,387","34,335,185,500"
2024-06-18,"358,000","359,000","351,000","351,500","361,200.00","372,100.00","425,266.67","208,142","73,615,707,000"
2024-06-17,"357,000","358,000","353,000","355,000","365,900.00","374,100.00","426,487.50","322,322","114,291,410,000"
2024-06-14,"365,000","367,000","356,000","361,000","369,000.00","376,250.00","427,637.50","448,269","161,338,273,000"
2024-06-13,"377,500","377,500","367,000","367,000","373,200.00","378,400.00","428,495.83","393,893","145,596,677,500"
2024-06-12,"371,500","376,000","368,000","371,500","374,700.00","380,175.00","429,270.83","234,425","87,073,064,030"
2024-06-11,"371,000","379,500","366,000","375,000","372,600.00","381,150.00","430,108.33","298,873","111,902,799,000"
2024-06-10,"377,500","377,500","370,000","370,500","369,100.00","382,250.00","430,945.83","270,879","100,904,393,500"
2024-06-07,"384,500","388,000","377,000","382,000","365,300.00","383,550.00","431,845.83","247,532","94,399,154,000"
2024-06-05,"362,000","381,000","361,000","374,500","359,000.00","384,550.00","432,566.67","395,879","148,617,383,000"
2024-06-04,"352,500","366,500","351,500","361,000","358,200.00","385,925.00","433,370.83","184,831","66,586,779,000"
2024-06-03,"355,000","365,500","354,000","357,500","364,200.00","388,050.00","434,287.50","275,342","99,073,972,500"
2024-05-31,"353,000","361,500","351,500","351,500","372,000.00","390,425.00","435,250.00","502,915","178,502,827,197"
2024-05-30,"365,000","368,000","350,000","350,500","380,500.00","392,975.00","436,375.00","634,361","225,640,556,090"
2024-05-29,"386,000","386,500","367,000","370,500","389,200.00","395,225.00","437,629.17","581,535","217,323,782,500"
2024-05-28,"396,500","399,500","388,500","391,000","391,700.00","395,375.00","438,741.67","211,698","83,170,205,000"
2024-05-27,"395,000","399,500","385,000","396,500","390,400.00","394,475.00","439,683.33","289,057","113,201,121,226"
2024-05-24,"386,500","403,500","383,500","394,000","389,400.00","393,725.00","440,595.83","317,431","125,351,365,500"
2024-05-23,"381,000","406,500","380,000","394,000","390,200.00","392,625.00","441,595.83","343,337","135,600,355,500"
2024-05-22,"388,000","388,000","382,000","383,000","392,200.00","391,825.00","442,637.50","153,439","58,926,742,000"
2024-05-21,"387,000","388,000","379,000","384,500","396,100.00","391,200.00","443,645.83","284,865","109,082,444,296"
2024-05-20,"398,000","399,500","390,500","391,500","397,400.00","390,900.00","444,616.67","321,170","126,276,843,000"
2024-05-17,"400,000","404,000","397,000","398,000","398,500.00","390,100.00","445,466.67","204,095","81,420,608,710"
2024-05-16,"408,500","411,000","403,000","404,000","398,200.00","389,300.00","446,183.33","293,066","118,911,334,261"
2024-05-14,"393,000","407,000","392,500","402,500","397,800.00","388,825.00","446,816.67","293,777","118,283,485,000"
2024-05-13,"396,000","396,000","386,500","391,000","397,700.00","388,350.00","447,462.50","277,871","108,241,858,000"
2024-05-10,"401,000","404,500","395,500","397,000","400,200.00","388,150.00","448,079.17","116,254","46,466,839,500"
2024-05-09,"401,500","403,500","396,500","396,500","401,800.00","388,050.00","448,550.00","231,065","92,005,185,000"
2024-05-08,"401,500","403,500","397,000","402,000","403,000.00","387,925.00","449,058.33","150,249","60,262,427,000"
2024-05-07,"406,000","407,500","396,000","402,000","401,700.00","387,825.00","449,604.17","252,320","101,051,807,558"
2024-05-03,"406,000","408,000","399,500","403,500","396,000.00","387,850.00","450,237.50","146,460","59,188,409,500"
2024-05-02,"406,000","412,000","397,500","405,000","389,900.00","387,825.00","450,975.00","276,804","111,791,357,788"
2024-04-30,"397,500","412,000","390,500","402,500","385,200.00","388,775.00","451,941.67","525,542","212,034,217,000"
2024-04-29,"377,500","400,500","377,000","395,500","379,100.00","390,175.00","452,512.50","607,744","239,219,843,411"
2024-04-26,"373,500","376,000","368,500","373,500","375,600.00","392,350.00","453,012.50","224,588","83,327,908,000"
2024-04-25,"377,000","380,000","371,500","373,000","375,000.00","395,675.00","453,491.67","258,272","96,592,485,949"
2024-04-24,"382,500","389,500","379,000","381,500","376,100.00","399,225.00","454,050.00","293,307","112,357,431,500"
2024-04-23,"374,000","376,500","368,500","372,000","374,900.00","402,600.00","454,579.17","244,370","90,696,037,500"
2024-04-22,"376,000","381,000","372,500","378,000","376,900.00","407,025.00","455,133.33","301,294","113,744,805,500"
2024-04-19,"374,500","374,500","366,000","370,500","380,200.00","410,600.00","455,533.33","348,850","128,602,043,000"
2024-04-18,"377,500","382,500","376,500","378,500","384,700.00","414,025.00","456,262.50","264,859","100,375,993,500"
2024-04-17,"385,000","391,000","375,500","375,500","386,400.00","417,025.00","457,208.33","301,786","115,173,087,000"
2024-04-16,"388,000","390,000","380,000","382,000","390,300.00","420,075.00","458,087.50","304,367","116,494,858,000"
2024-04-15,"389,500","400,500","387,000","394,500","392,700.00","422,975.00","458,895.83","242,936","96,075,361,500"
2024-04-12,"391,500","402,500","387,000","393,000","393,800.00","424,800.00","459,725.00","260,610","103,051,894,000"
2024-04-11,"387,000","394,500","386,500","387,000","395,700.00","427,150.00","460,666.67","490,848","190,856,403,000"
2024-04-09,"397,000","398,500","391,000","395,000","398,900.00","430,300.00","461,741.67","255,430","100,765,636,500"
2024-04-08,"395,500","399,000","384,000","394,000","404,700.00","433,075.00","462,725.00","464,147","181,375,207,500"
2024-04-05,"397,000","404,500","395,000","400,000","412,000.00","435,175.00","463,841.67","340,599","135,877,566,500"
2024-04-04,"406,500","408,500","399,000","402,500","419,800.00","437,325.00","464,916.67","274,989","110,902,133,500"
2024-04-03,"416,000","418,500","400,500","403,000","427,300.00","439,350.00","465,879.17","479,871","194,455,220,500"
2024-04-02,"426,500","429,500","420,500","424,000","435,500.00","441,275.00","466,666.67","250,523","106,036,579,000"
2024-04-01,"440,000","442,000","429,000","430,500","440,500.00","442,700.00","467,295.83","239,956","103,687,303,000"
2024-03-29,"440,500","442,500","436,000","439,000","446,500.00","444,275.00","467,891.67","158,560","69,554,387,000"
2024-03-28,"443,000","447,000","437,000","440,000","448,600.00","444,975.00","468,283.33","210,043","92,560,552,500"
2024-03-27,"445,500","453,000","441,000","444,000","448,400.00","446,200.00","468,754.17","236,697","105,404,418,500"
2024-03-26,"458,500","466,000","449,000","449,000","447,300.00","447,300.00","469,262.50","303,727","137,948,158,500"
2024-03-25,"450,500","465,500","450,500","460,500","444,800.00","448,475.00","469,762.50","275,423","125,909,092,500"
2024-03-22,"439,000","453,500","436,000","449,500","440,700.00","449,050.00","470,233.33","263,558","118,322,378,500"
2024-03-21,"442,000","446,000","438,000","439,000","437,000.00","450,625.00","470,862.50","214,431","94,759,187,000"
2024-03-20,"440,500","444,000","435,500","438,500","437,200.00","453,675.00","471,795.83","165,255","72,512,776,500"
2024-03-19,"440,500","440,500","431,000","436,500","439,500.00","457,050.00","472,741.67","229,435","99,755,170,500"
2024-03-18,"434,000","443,000","431,500","440,000","442,300.00","460,625.00","473,879.17","237,874","104,154,873,680"
2024-03-15,"437,000","438,000","430,000","431,000","441,500.00","463,825.00","474,987.50","310,713","134,314,432,000"
2024-03-14,"450,000","454,000","438,500","440,000","443,900.00","466,450.00","476,004.17","410,324","181,675,083,294"
2024-03-13,"452,000","471,000","449,000","450,000","444,500.00","467,500.00","476,837.50","382,300","175,218,189,000"
2024-03-12,"441,000","454,500","441,000","450,500","442,800.00","468,550.00","477,745.83","364,050","163,872,858,500"
2024-03-11,"440,000","441,000","435,000","436,000","443,200.00","469,550.00","478,666.67","181,317","79,214,104,000"
2024-03-08,"448,000","456,500","440,500","443,000","448,400.00","470,925.00","479,733.33","288,423","129,165,353,500"
2024-03-07,"443,000","446,000","434,000","443,000","450,400.00","471,900.00","480,850.00","311,412","137,253,858,500"
2024-03-06,"448,000","456,500","441,000","441,500","454,700.00","473,100.00","482,033.33","290,385","129,166,151,000"
2024-03-05,"454,500","457,000","445,000","452,500","459,600.00","474,075.00","483,287.50","242,147","109,496,480,500"
2024-03-04,"452,500","471,500","452,500","462,000","463,600.00","472,950.00","484,400.00","290,424","134,948,215,500"
2024-02-29,"459,500","465,000","453,000","453,000","465,600.00","471,575.00","485,300.00","448,418","204,300,797,000"
2024-02-28,"469,000","472,500","463,500","464,500","471,200.00","470,250.00","486,383.33","186,537","87,118,793,500"
2024-02-27,"488,500","494,000","465,000","466,000","478,300.00","468,275.00","487,312.50","359,912","170,971,911,500"
2024-02-26,"470,500","475,000","459,000","472,500","486,300.00","465,800.00","488,095.83","376,704","176,372,318,870"
2024-02-23,"478,500","482,000","467,000","472,000","493,400.00","462,400.00","488,850.00","512,499","242,561,469,000"
2024-02-22,"495,000","502,000","481,000","481,000","499,800.00","458,825.00","489,583.33","451,942","220,416,034,000"
2024-02-21,"503,000","504,000","491,000","500,000","500,300.00","454,325.00","490,266.67","293,801","146,035,680,000"
2024-02-20,"507,000","513,000","491,500","506,000","492,500.00","448,675.00","490,783.33","295,676","148,541,275,000"
2024-02-19,"508,000","520,000","504,000","508,000","485,500.00","443,600.00","491,341.67","358,152","183,685,798,148"
2024-02-16,"489,000","515,000","488,000","504,000","478,000.00","438,800.00","491,841.67","587,439","296,430,643,000"
2024-02-15,"468,000","488,500","468,000","483,500","469,900.00","434,025.00","492,383.33","423,918","203,731,088,500"
2024-02-14,"460,500","463,500","449,000","461,000","465,700.00","431,450.00","493,195.83","323,305","147,647,118,000"
2024-02-13,"473,000","475,000","469,500","471,000","466,900.00","430,325.00","494,220.83","379,733","179,071,633,073"
2024-02-08,"489,000","489,000","470,500","470,500","464,900.00","429,225.00","495,270.83","768,536","367,356,712,500"
2024-02-07,"464,500","474,500","456,000","463,500","456,800.00","428,675.00","496,533.33","363,161","171,015,416,500"
2024-02-06,"454,000","470,000","453,000","462,500","451,000.00","428,725.00","497,954.17","311,282","143,928,075,500"
2024-02-05,"465,500","477,500","456,500","467,000","443,800.00","429,175.00","499,350.00","487,996","228,524,587,000"
2024-02-02,"451,000","468,500","433,000","461,000","435,400.00","429,775.00","500,583.33","679,677","309,922,167,500"
2024-02-01,"426,500","433,000","417,000","430,000","426,500.00","430,850.00","501,866.67","312,842","133,027,513,500"
2024-01-31,"425,500","441,500","423,500","434,500","421,400.00","433,400.00","503,583.33","245,248","107,022,051,000"
2024-01-30,"425,500","445,000","425,500","426,500","414,600.00","435,700.00","505,320.83","287,657","124,812,884,500"
2024-01-29,"421,500","430,500","419,500","425,000","407,500.00","439,050.00","507,116.67","245,972","105,016,229,500"
2024-01-26,"402,500","424,000","401,500","416,500","399,900.00","442,750.00","509,033.33","312,594","130,929,685,000"
2024-01-25,"398,500","407,500","393,000","404,500","397,500.00","446,225.00","510,962.50","197,843","79,243,444,500"
2024-01-24,"390,000","409,500","389,000","400,500","399,000.00","450,525.00","513,008.33","288,449","115,696,913,520"
2024-01-23,"383,500","393,500","383,500","391,000","400,600.00","455,000.00","515,154.17","285,986","111,408,235,000"
2024-01-22,"404,000","408,000","384,500","387,000","408,800.00","460,200.00","517,962.50","474,355","185,887,032,500"
2024-01-19,"415,500","417,000","400,500","404,500","419,100.00","466,050.00","520,779.17","287,727","116,801,529,500"
2024-01-18,"403,500","416,000","403,000","412,000","428,000.00","470,925.00","523,350.00","308,307","126,868,622,248"
2024-01-17,"427,500","431,000","408,000","408,500","437,500.00","475,225.00","525,700.00","627,074","259,793,031,500"
2024-01-16,"433,500","438,000","430,500","432,000","448,700.00","479,450.00","528,004.17","241,396","104,762,457,132"
2024-01-15,"445,000","447,500","435,000","438,500","456,600.00","481,050.00","530,129.17","264,758","116,207,565,000"
2024-01-12,"461,000","462,000","445,000","449,000","464,700.00","482,125.00","532,133.33","357,185","160,842,383,500"
2024-01-11,"458,500","466,000","458,500","459,500","471,400.00","483,275.00","533,975.00","243,938","112,711,868,500"
2024-01-10,"472,000","473,500","463,000","464,500","475,700.00","484,075.00","535,812.50","146,052","67,963,862,500"
2024-01-09,"486,000","486,500","471,500","471,500","478,900.00","484,775.00","537,525.00","146,249","69,644,288,000"
2024-01-08,"490,500","490,500","478,000","479,000","483,300.00","484,625.00","539,037.50","122,976","59,342,417,500"
2024-01-05,"482,000","491,500","479,000","482,500","487,300.00","484,225.00","540,495.83","131,560","63,826,063,800"
2024-01-04,"476,000","486,000","475,000","481,000","488,000.00","483,650.00","541,925.00","147,635","71,072,575,500"
2024-01-03,"490,500","490,500","480,500","480,500","489,900.00","483,250.00","543,383.33","168,770","81,625,947,500"
2024-01-02,"494,000","496,000","488,000","493,500","491,800.00","483,550.00","544,912.50","160,698","79,027,203,500"
2023-12-28,"488,000","499,000","483,500","499,000","492,100.00","483,925.00","546,433.33","199,695","98,317,177,000"
2023-12-27,"490,500","493,000","483,000","486,000","493,100.00","484,175.00","547,941.67","202,496","98,653,559,000"
2023-12-26,"494,500","499,500","485,500","490,500","496,300.00","485,075.00","549,650.00","160,900","79,036,495,000"
2023-12-22,"498,000","499,000","490,000","490,000","497,800.00","485,850.00","551,120.83","140,767","69,327,166,000"
2023-12-21,"501,000","504,000","493,500","495,000","498,400.00","487,050.00","552,537.50","206,883","102,751,887,000"
2023-12-20,"502,000","507,000","501,000","504,000","492,200.00","488,250.00","553,929.17","197,344","99,497,339,000"
2023-12-19,"497,000","502,000","489,000","502,000","483,400.00","488,250.00","555,587.50","204,428","101,803,319,500"
2023-12-18,"495,000","498,500","489,000","498,000","477,400.00","488,200.00","557,262.50","289,001","142,971,496,000"
2023-12-15,"469,500","496,500","469,000","493,000","472,900.00","487,975.00","559,020.83","615,510","300,807,997,500"
2023-12-14,"469,000","471,000","459,500","464,000","470,000.00","487,525.00","560,920.83","375,683","174,291,085,500"
2023-12-13,"467,500","469,000","458,500","460,000","470,900.00","488,325.00","563,079.17","207,659","95,931,583,000"
2023-12-12,"476,500","481,500","470,000","472,000","473,100.00","489,325.00","565,404.17","188,152","89,013,369,500"
2023-12-11,"477,500","480,000","471,000","475,500","472,900.00","488,975.00","567,737.50","194,422","92,337,322,500"
2023-12-08,"475,000","483,000","473,000","478,500","472,400.00","487,875.00","569,966.67","153,815","73,632,583,500"
2023-12-07,"471,000","477,000","466,000","468,500","474,000.00","486,825.00","571,995.83","173,904","81,719,144,000"
2023-12-06,"471,500","477,500","467,000","471,000","480,500.00","486,775.00","574,083.33","206,370","97,528,542,000"
2023-12-05,"469,000","476,500","465,500","471,000","487,100.00","487,125.00","576,291.67","218,525","102,982,443,500"
2023-12-04,"485,000","491,000","471,000","473,000","493,700.00","488,175.00",,"338,110","161,108,952,000"
2023-12-01,"499,500","501,000","485,500","486,500","500,300.00","490,575.00",,"299,762","146,734,513,500"
2023-11-30,"499,000","506,000","498,000","501,000","505,800.00","489,800.00",,"287,538","144,000,447,500"
2023-11-29,"507,000","511,000","495,500","504,000","509,400.00","487,525.00",,"326,444","164,036,368,500"
