시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"12,100","12,520","11,520","11,790","12,036.00","10,105.50","9,562.50","335,583","4,038,577,190"
2024-06-18,"11,370","13,390","11,010","12,110","12,206.00","9,929.00","9,562.75","3,054,024","37,918,133,380"
2024-06-17,"12,020","12,450","11,120","11,280","11,730.00","9,735.50","9,562.67","735,893","8,579,011,680"
2024-06-14,"13,100","13,900","12,000","12,200","11,450.00","9,590.50","9,571.33","2,127,455","27,528,888,250"
2024-06-13,"13,870","15,240","12,690","12,800","10,950.00","9,400.00","9,571.83","8,289,926","117,739,699,830"
2024-06-12,"9,730","12,640","9,650","12,640","10,448.00","9,176.50","9,566.08","5,525,274","65,528,486,050"
2024-06-11,"9,950","9,970","9,590","9,730","10,060.00","8,961.50","9,563.50","86,937","851,583,920"
2024-06-10,"9,730","9,930","9,500","9,880","9,978.00","8,891.50","9,588.42","108,690","1,058,534,280"
2024-06-07,"10,190","10,360","9,670","9,700","9,786.00","8,817.50","9,612.33","313,044","3,103,307,650"
2024-06-05,"10,500","10,730","9,830","10,290","9,570.00","8,752.00","9,637.75","459,358","4,720,464,700"
2024-06-04,"9,270","12,100","9,030","10,700","9,320.00","8,655.00","9,658.92","2,464,149","26,763,592,240"
2024-06-03,"8,920","9,700","8,750","9,320","9,102.00","8,540.00","9,676.00","367,057","3,411,352,560"
2024-05-31,"8,530","9,800","8,500","8,920","8,926.00","8,491.50","9,708.92","511,854","4,746,199,560"
2024-05-30,"8,900","8,900","8,620","8,620","8,796.00","8,467.50","9,755.25","109,856","960,179,530"
2024-05-29,"9,400","9,400","8,910","9,040","8,758.00","8,456.50","9,782.25","278,178","2,526,668,170"
2024-05-28,"8,510","10,860","8,440","9,610","8,618.00","8,418.00","9,806.50","2,823,746","28,367,987,440"
2024-05-27,"8,370","8,490","8,250","8,440","8,348.00","8,354.00","9,829.67","21,380","178,487,160"
2024-05-24,"8,420","8,420","8,250","8,270","8,308.00","8,348.50","9,863.42","12,207","101,231,580"
2024-05-23,"8,340","8,450","8,340","8,430","8,330.00","8,353.50","9,896.75","6,757","56,783,250"
2024-05-22,"8,260","8,590","8,210","8,340","8,322.00","8,358.50","9,927.92","13,007","108,893,170"
2024-05-21,"8,210","8,310","8,200","8,260","8,320.00","8,359.50","9,961.58","7,276","60,079,230"
2024-05-20,"8,390","8,430","8,210","8,240","8,336.00","8,362.00","9,994.33","23,679","197,039,680"
2024-05-17,"8,390","8,420","8,330","8,380","8,354.00","8,363.50","10,027.67","5,986","50,022,610"
2024-05-16,"8,400","8,440","8,350","8,390","8,358.00","8,362.50","10,055.67","6,272","52,669,660"
2024-05-14,"8,350","8,390","8,300","8,330","8,358.00","8,366.50","10,087.25","6,123","51,152,700"
2024-05-13,"8,330","8,380","8,250","8,340","8,362.00","8,380.00","10,119.75","7,157","59,430,060"
2024-05-10,"8,400","8,410","8,330","8,330","8,374.00","8,391.00","10,149.83","16,154","135,038,340"
2024-05-09,"8,470","8,470","8,370","8,400","8,378.00","8,405.00","10,178.00","11,058","93,010,770"
2024-05-08,"8,270","8,430","8,270","8,390","8,386.00","8,418.50","10,209.08","14,165","118,643,920"
2024-05-07,"8,400","8,450","8,260","8,350","8,388.00","8,445.00","10,245.33","23,656","196,615,290"
2024-05-03,"8,280","8,430","8,260","8,400","8,372.00","8,477.00","10,284.50","7,829","65,173,760"
2024-05-02,"8,390","8,500","8,210","8,350","8,358.00","8,508.50","10,327.50","15,737","132,011,510"
2024-04-30,"8,400","8,500","8,400","8,440","8,354.00","8,541.50","10,371.42","15,693","132,617,980"
2024-04-29,"8,180","8,420","8,180","8,400","8,340.00","8,572.50","10,410.17","18,823","157,066,120"
2024-04-26,"8,280","8,360","8,200","8,270","8,366.00","8,599.50","10,448.75","16,067","132,487,070"
2024-04-25,"8,300","8,460","8,300","8,330","8,384.00","8,634.00","10,488.17","7,467","62,233,580"
2024-04-24,"8,350","8,520","8,330","8,330","8,380.00","8,665.50","10,524.67","7,383","61,917,050"
2024-04-23,"8,430","8,530","8,360","8,370","8,368.00","8,699.50","10,564.33","11,001","92,420,650"
2024-04-22,"8,320","8,550","8,320","8,530","8,366.00","8,733.50","10,606.00","8,975","76,019,110"
2024-04-19,"8,210","8,400","8,170","8,360","8,354.00","8,766.00","10,651.25","17,385","143,107,350"
2024-04-18,"8,180","8,460","8,180","8,310","8,402.00","8,808.00","10,708.75","9,531","79,433,820"
2024-04-17,"8,320","8,460","8,260","8,270","8,452.00","8,843.50","10,779.00","11,739","97,756,760"
2024-04-16,"8,470","8,660","8,340","8,360","8,520.00","8,883.00","10,834.92","15,312","128,820,070"
2024-04-15,"8,590","8,590","8,470","8,470","8,582.00","8,929.00","10,861.33","10,017","85,194,160"
2024-04-12,"8,770","8,940","8,480","8,600","8,672.00","8,979.00","10,884.08","15,531","133,706,610"
2024-04-11,"8,770","8,770","8,520","8,560","8,750.00","9,016.50","10,904.33","21,020","180,444,790"
2024-04-09,"8,760","8,760","8,600","8,610","8,844.00","9,053.50","10,928.83","27,291","235,409,780"
2024-04-08,"8,920","8,930","8,660","8,670","8,924.00","9,073.50","10,950.58","37,995","332,846,530"
2024-04-05,"8,990","9,050","8,900","8,920","9,002.00","9,092.00","10,974.00","12,980","116,000,950"
2024-04-04,"8,950","9,120","8,950","8,990","9,006.00","9,103.00","10,997.17","10,403","93,951,620"
2024-04-03,"8,930","9,110","8,920","9,030","9,000.00","9,112.50","11,018.92","15,110","136,187,290"
2024-04-02,"8,980","9,080","8,970","9,010","8,986.00","9,120.50","11,037.58","16,470","148,202,730"
2024-04-01,"8,990","9,110","8,900","9,060","8,986.00","9,133.00","11,061.67","17,045","152,998,950"
2024-03-29,"8,910","9,050","8,910","8,940","8,984.00","9,145.00","11,084.42","17,818","159,655,340"
2024-03-28,"9,010","9,090","8,960","8,960","9,032.00","9,179.50","11,105.83","22,127","199,044,270"
2024-03-27,"8,960","9,110","8,890","8,960","9,080.00","9,222.50","11,127.25","25,656","229,713,140"
2024-03-26,"8,970","9,150","8,960","9,010","9,092.00","9,262.50","11,148.75","18,670","168,323,290"
2024-03-25,"9,180","9,180","8,990","9,050","9,102.00","9,299.50","11,171.92","28,289","255,648,200"
2024-03-22,"9,120","9,250","9,120","9,180","9,148.00","9,342.50","11,199.92","12,562","115,312,260"
2024-03-21,"9,100","9,490","9,020","9,200","9,206.00","9,384.00","11,226.00","54,288","500,350,110"
2024-03-20,"9,090","9,290","9,020","9,020","9,236.00","9,430.00","11,257.92","27,160","247,606,280"
2024-03-19,"9,130","9,280","9,060","9,060","9,292.00","9,479.00","11,293.17","18,113","165,742,760"
2024-03-18,"9,470","9,470","9,200","9,280","9,282.00","9,532.00","11,323.50","15,718","145,702,610"
2024-03-15,"9,300","9,650","9,230","9,470","9,234.00","9,573.50","11,354.17","33,579","316,785,170"
2024-03-14,"9,280","9,490","9,080","9,350","9,168.00","9,601.50","11,378.17","38,983","363,173,660"
2024-03-13,"8,970","9,450","8,970","9,300","9,134.00","9,632.50","11,403.83","33,617","309,073,070"
2024-03-12,"8,930","9,150","8,930","9,010","9,112.00","9,669.00","11,427.17","25,925","234,456,930"
2024-03-11,"9,140","9,280","9,040","9,040","9,162.00","9,700.50","11,455.17","18,478","168,128,200"
2024-03-08,"9,100","9,170","8,800","9,140","9,214.00","9,735.00","11,481.50","22,576","205,120,690"
2024-03-07,"9,170","9,360","9,090","9,180","9,312.00","9,762.00","11,506.42","16,587","151,674,250"
2024-03-06,"9,260","9,380","9,180","9,190","9,440.00","9,794.50","11,534.92","25,715","237,780,590"
2024-03-05,"9,210","9,400","9,140","9,260","9,554.00","9,830.00","11,563.58","39,854","369,357,370"
2024-03-04,"9,430","9,550","9,300","9,300","9,652.00","9,854.50","11,593.00","46,900","441,113,590"
2024-02-29,"9,810","9,810","9,610","9,630","9,774.00","9,863.50","11,620.17","14,970","144,092,970"
2024-02-28,"9,750","9,850","9,620","9,820","9,850.00","9,867.50","11,634.75","22,531","218,777,790"
2024-02-27,"9,750","9,900","9,600","9,760","9,910.00","9,850.00","11,648.58","22,211","215,768,080"
2024-02-26,"9,910","9,980","9,740","9,750","9,958.00","9,831.50","11,663.00","30,855","302,897,830"
2024-02-23,"10,090","10,160","9,910","9,910","10,032.00","9,800.50","11,676.00","28,300","281,931,630"
2024-02-22,"10,130","10,140","9,990","10,010","10,072.00","9,756.50","11,685.83","17,771","178,151,090"
2024-02-21,"10,010","10,150","9,990","10,120","10,076.00","9,718.00","11,695.58","25,690","258,803,250"
2024-02-20,"10,120","10,150","9,980","10,000","10,046.00","9,679.00","11,705.00","20,309","203,158,880"
2024-02-19,"10,110","10,240","10,090","10,120","10,052.00","9,685.00","11,715.58","18,065","183,414,230"
2024-02-16,"10,030","10,140","9,970","10,110","9,956.00","9,685.00","11,725.08","27,896","281,003,110"
2024-02-15,"10,040","10,190","9,970","10,030","9,880.00","9,685.50","11,733.33","27,478","276,932,930"
2024-02-14,"9,900","10,020","9,760","9,970","9,810.00","9,705.50","11,743.92","17,792","176,608,960"
2024-02-13,"9,720","10,080","9,660","10,030","9,782.00","9,735.50","11,756.50","45,446","451,803,010"
2024-02-08,"9,690","9,800","9,630","9,640","9,756.00","9,772.50","11,772.17","16,156","156,623,220"
2024-02-07,"9,690","9,800","9,610","9,730","9,778.00","9,835.00","11,793.75","18,942","183,768,660"
2024-02-06,"9,830","9,830","9,560","9,680","9,728.00","9,887.00","11,814.50","22,603","217,840,100"
2024-02-05,"9,900","9,960","9,640","9,830","9,734.00","9,950.50","11,834.17","29,153","283,922,200"
2024-02-02,"9,800","9,990","9,760","9,900","9,662.00","10,005.00","11,852.50","41,708","410,506,720"
2024-02-01,"9,370","9,760","9,370","9,750","9,560.00","10,046.00","11,871.25","22,603","217,665,700"
2024-01-31,"9,730","9,880","9,470","9,480","9,436.00","10,102.50","11,892.08","39,243","376,370,550"
2024-01-30,"9,450","10,700","9,420","9,710","9,346.00","10,181.00","11,914.75","337,271","3,434,082,190"
2024-01-29,"9,390","9,520","9,350","9,470","9,252.00","10,253.00","11,936.83","21,251","200,255,080"
