시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"152,000","152,500","149,500","149,500","150,300.00","153,900.00","147,419.17","201,323","30,306,955,200"
2024-06-18,"151,600","153,400","150,700","151,600","150,640.00","154,345.00","147,421.67","372,889","56,605,156,400"
2024-06-17,"151,200","152,900","149,800","150,700","150,260.00","154,495.00","147,428.33","254,056","38,397,868,800"
2024-06-14,"148,200","152,000","147,500","151,700","150,300.00","154,545.00","147,450.83","489,662","73,745,651,900"
2024-06-13,"153,000","153,100","147,500","148,000","150,160.00","154,670.00","147,470.00","662,012","98,942,995,700"
2024-06-12,"151,300","152,200","149,800","151,200","150,900.00","154,850.00","147,489.17","296,538","44,819,874,900"
2024-06-11,"150,200","150,600","147,900","149,700","151,300.00","154,885.00","147,479.17","298,638","44,542,038,700"
2024-06-10,"150,800","151,900","149,200","150,900","153,180.00","155,080.00","147,485.83","245,178","36,940,327,800"
2024-06-07,"151,700","152,500","150,700","151,000","154,000.00","155,265.00","147,485.83","287,365","43,506,044,000"
2024-06-05,"154,900","155,000","150,600","151,700","155,120.00","155,545.00","147,458.33","478,461","72,606,884,350"
2024-06-04,"157,900","158,400","152,500","153,200","156,400.00","155,860.00","147,439.17","509,986","78,828,473,300"
2024-06-03,"156,600","161,000","155,600","159,100","157,680.00","155,755.00","147,373.33","366,091","58,146,323,200"
2024-05-31,"157,800","162,500","155,000","155,000","157,760.00","155,455.00","147,256.67","1,190,470","188,493,338,000"
2024-05-30,"156,600","159,000","156,300","156,600","158,060.00","155,500.00","147,187.50","272,252","42,814,161,300"
2024-05-29,"161,600","161,600","156,300","158,100","158,380.00","155,235.00","147,096.67","437,758","69,271,720,700"
2024-05-28,"159,000","162,900","157,700","159,600","158,000.00","154,640.00","146,996.67","492,574","79,025,075,100"
2024-05-27,"157,200","160,300","155,500","159,500","157,760.00","153,885.00","146,866.67","333,806","52,843,891,400"
2024-05-24,"156,500","158,500","154,700","156,500","156,780.00","153,310.00","146,690.00","291,245","45,643,468,000"
2024-05-23,"156,400","160,900","156,000","158,200","155,820.00","152,645.00","146,527.50","369,293","58,710,703,400"
2024-05-22,"160,000","160,800","155,800","156,200","155,020.00","151,980.00","146,360.83","503,171","79,820,205,800"
2024-05-21,"156,800","161,400","155,200","158,400","154,100.00","151,315.00","146,209.17","881,199","140,153,870,200"
2024-05-20,"153,200","155,800","152,700","154,600","152,800.00","150,730.00","146,036.67","243,677","37,652,584,000"
2024-05-17,"153,600","154,300","151,000","151,700","152,600.00","150,380.00","145,899.17","187,152","28,450,047,000"
2024-05-16,"154,000","154,400","153,100","154,200","153,180.00","150,220.00","145,796.67","248,908","38,298,843,000"
2024-05-14,"152,000","152,400","150,600","151,600","153,660.00","150,110.00","145,658.33","192,906","29,230,579,800"
2024-05-13,"153,800","154,500","151,000","151,900","154,940.00","150,415.00","145,542.50","268,113","40,722,919,500"
2024-05-10,"155,500","156,700","153,100","153,600","154,780.00","150,645.00","145,396.67","226,013","34,894,479,300"
