시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"3,505","3,590","3,475","3,490","3,311.00","3,194.75","2,816.00","4,586,807","16,210,978,230"
2024-06-18,"3,470","3,570","3,415","3,535","3,233.00","3,194.75","2,806.42","13,185,898","46,141,928,590"
2024-06-17,"3,155","3,470","3,120","3,395","3,140.00","3,197.50","2,796.46","20,306,680","68,371,283,595"
2024-06-14,"3,030","3,205","2,960","3,115","3,067.00","3,212.75","2,787.75","8,578,444","26,748,210,280"
2024-06-13,"3,110","3,120","3,020","3,020","3,021.00","3,250.25","2,780.92","2,666,832","8,172,976,280"
2024-06-12,"3,075","3,145","3,030","3,100","2,998.00","3,273.25","2,775.04","2,961,828","9,130,795,555"
2024-06-11,"3,080","3,135","3,010","3,070","2,979.00","3,295.50","2,767.83","4,320,481","13,295,291,955"
2024-06-10,"2,905","3,045","2,880","3,030","2,982.00","3,322.50","2,760.46","5,069,646","15,060,327,900"
2024-06-07,"2,935","2,945","2,885","2,885","3,004.00","3,361.50","2,753.17","2,347,262","6,818,069,410"
2024-06-05,"3,045","3,065","2,885","2,905","3,063.00","3,412.25","2,746.71","4,277,841","12,568,386,615"
2024-06-04,"3,090","3,105","2,995","3,005","3,116.00","3,452.75","2,740.33","3,088,092","9,333,191,880"
2024-06-03,"3,165","3,190","3,070","3,085","3,178.00","3,468.50","2,733.17","3,075,545","9,539,487,935"
2024-05-31,"3,155","3,210","3,080","3,140","3,231.00","3,490.75","2,725.83","3,388,008","10,641,868,435"
2024-05-30,"3,350","3,520","3,180","3,180","3,259.00","3,509.50","2,718.42","12,486,796","41,505,033,995"
2024-05-29,"3,355","3,380","3,155","3,170","3,306.00","3,534.00","2,710.83","5,474,522","17,796,618,450"
2024-05-28,"3,325","3,450","3,315","3,315","3,354.00","3,544.25","2,703.58","3,815,848","12,845,902,445"
2024-05-27,"3,285","3,450","3,250","3,350","3,389.00","3,551.25","2,695.21","6,710,943","22,524,405,175"
2024-05-24,"3,625","3,655","3,275","3,280","3,437.00","3,562.25","2,686.54","14,408,605","49,762,698,530"
2024-05-23,"3,440","3,465","3,345","3,415","3,521.00","3,580.75","2,678.46","4,110,395","13,989,602,625"
2024-05-22,"3,505","3,530","3,400","3,410","3,611.00","3,597.00","2,669.50","4,695,671","16,284,251,630"
2024-05-21,"3,620","3,645","3,465","3,490","3,625.00","3,610.25","2,661.17","5,782,951","20,345,640,855"
2024-05-20,"3,720","3,765","3,590","3,590","3,636.00","3,631.00","2,652.21","5,416,166","19,761,811,960"
2024-05-17,"3,870","3,875","3,675","3,700","3,640.00","3,646.50","2,642.33","8,380,654","31,415,044,670"
2024-05-16,"3,550","4,050","3,535","3,865","3,662.00","3,641.50","2,631.46","46,683,700","181,589,977,720"
2024-05-14,"3,540","3,580","3,455","3,480","3,669.00","3,637.00","2,620.25","4,701,152","16,472,480,825"
2024-05-13,"3,650","3,675","3,475","3,545","3,716.00","3,652.00","2,612.00","5,538,555","19,800,792,325"
2024-05-10,"3,800","3,805","3,595","3,610","3,671.00","3,659.25","2,602.92","7,310,895","26,837,360,520"
2024-05-09,"3,825","4,065","3,740","3,810","3,655.00","3,650.50","2,592.79","17,281,926","66,600,769,400"
2024-05-08,"3,740","3,970","3,550","3,900","3,596.00","3,646.75","2,581.58","35,410,952","135,049,793,760"
2024-05-07,"3,365","3,750","3,350","3,715","3,550.00","3,638.50","2,570.29","33,005,836","120,898,163,745"
2024-05-03,"3,555","3,630","3,320","3,320","3,482.00","3,613.75","2,560.67","8,161,007","28,212,176,000"
2024-05-02,"3,560","3,650","3,500","3,530","3,509.00","3,591.75","2,554.92","8,085,936","28,814,048,130"
2024-04-30,"3,610","3,725","3,515","3,515","3,517.00","3,549.25","2,547.50","10,370,366","37,297,455,160"
2024-04-29,"3,560","3,885","3,540","3,670","3,544.00","3,506.75","2,539.88","48,467,944","178,858,406,390"
2024-04-26,"3,485","3,525","3,255","3,375","3,558.00","3,456.75","2,530.46","13,068,914","44,370,368,065"
2024-04-25,"3,565","3,615","3,440","3,455","3,618.00","3,429.25","2,522.17","7,581,243","26,638,138,875"
2024-04-24,"3,600","3,755","3,560","3,570","3,708.00","3,390.25","2,513.29","13,510,380","49,461,959,095"
2024-04-23,"3,720","3,765","3,570","3,650","3,774.00","3,345.25","2,504.42","10,295,130","37,666,920,970"
2024-04-22,"3,585","3,740","3,455","3,740","3,764.00","3,288.75","2,494.58","13,874,579","50,471,430,875"
2024-04-19,"3,990","4,045","3,600","3,675","3,771.00","3,230.00","2,484.25","29,434,744","112,935,681,120"
2024-04-18,"3,800","3,960","3,685","3,905","3,792.00","3,164.50","2,475.29","27,254,658","105,819,843,950"
2024-04-17,"3,650","3,945","3,460","3,900","3,749.00","3,087.25","2,464.54","34,972,748","131,637,440,110"
2024-04-16,"3,865","3,970","3,515","3,600","3,656.00","3,012.25","2,452.88","22,981,354","85,822,286,705"
2024-04-15,"3,670","3,850","3,570","3,775","3,683.00","2,954.00","2,443.96","20,626,180","76,765,727,025"
2024-04-12,"3,690","3,780","3,510","3,780","3,675.00","2,884.75","2,434.46","30,756,732","112,736,431,670"
2024-04-11,"3,595","3,735","3,435","3,690","3,563.00","2,817.25","2,426.33","44,312,300","159,617,648,730"
2024-04-09,"3,955","4,270","3,390","3,435","3,401.00","2,755.00","2,419.88","100,489,640","389,860,186,885"
2024-04-08,"3,865","4,010","3,655","3,735","3,250.00","2,690.50","2,414.25","45,340,600","173,821,053,740"
2024-04-05,"3,280","4,185","3,230","3,735","3,036.00","2,612.00","2,406.21","181,321,632","685,638,238,520"
2024-04-04,"3,340","3,555","3,115","3,220","2,823.00","2,534.75","2,398.38","84,164,960","279,684,094,615"
2024-04-03,"2,620","3,110","2,580","2,880","2,744.00","2,483.50","2,394.08","43,255,684","127,285,928,630"
2024-04-02,"2,700","2,810","2,645","2,680","2,703.00","2,451.25","2,391.79","6,251,933","17,091,266,300"
2024-04-01,"2,750","2,775","2,625","2,665","2,701.00","2,428.50","2,391.92","4,187,753","11,266,139,280"
2024-03-29,"2,725","2,755","2,655","2,670","2,672.00","2,408.00","2,391.00","5,082,065","13,730,168,430"
2024-03-28,"2,695","2,840","2,585","2,825","2,651.00","2,384.25","2,391.25","9,126,662","24,783,074,985"
2024-03-27,"2,615","2,705","2,575","2,675","2,559.00","2,353.25","2,391.96","5,183,493","13,714,659,150"
2024-03-26,"2,520","2,710","2,485","2,670","2,496.00","2,330.25","2,393.54","10,693,720","28,345,323,470"
2024-03-25,"2,575","2,605","2,505","2,520","2,442.00","2,309.75","2,395.71","4,472,341","11,430,562,755"
2024-03-22,"2,440","2,780","2,430","2,565","2,425.00","2,295.75","2,399.92","32,961,474","86,747,528,645"
2024-03-21,"2,395","2,425","2,345","2,365","2,390.00","2,282.25","2,404.00","3,139,625","7,565,879,605"
2024-03-20,"2,380","2,440","2,355","2,360","2,403.00","2,281.25","2,411.46","2,595,592","6,207,761,395"
2024-03-19,"2,375","2,415","2,335","2,400","2,420.00","2,279.25","2,419.42","2,503,816","5,931,160,210"
2024-03-18,"2,620","2,625","2,435","2,435","2,369.00","2,277.25","2,427.88","8,451,025","21,255,438,660"
2024-03-15,"2,395","2,430","2,310","2,390","2,315.00","2,265.25","2,435.92","4,187,885","10,280,488,205"
2024-03-14,"2,465","2,495","2,380","2,430","2,275.00","2,256.50","2,444.17","5,366,850","13,055,095,950"
2024-03-13,"2,280","2,525","2,250","2,445","2,228.00","2,247.75","2,450.75","20,288,884","49,352,559,455"
2024-03-12,"2,165","2,175","2,120","2,145","2,186.00","2,237.00","2,458.29","762,609","1,634,538,750"
2024-03-11,"2,160","2,170","2,145","2,165","2,202.00","2,238.00","2,468.54","747,905","1,612,276,665"
2024-03-08,"2,200","2,230","2,160","2,190","2,220.00","2,235.00","2,478.00","1,011,053","2,208,094,785"
2024-03-07,"2,245","2,260","2,170","2,195","2,221.00","2,230.50","2,491.25","1,152,908","2,535,456,370"
2024-03-06,"2,235","2,255","2,210","2,235","2,223.00","2,227.75","2,497.21","697,497","1,559,588,885"
2024-03-05,"2,265","2,270","2,210","2,225","2,219.00","2,224.50","2,502.42","710,564","1,587,591,665"
2024-03-04,"2,195","2,285","2,195","2,255","2,226.00","2,219.50","2,507.67","1,548,835","3,469,119,680"
2024-02-29,"2,205","2,205","2,170","2,195","2,223.00","2,212.25","2,513.29","492,794","1,077,048,670"
2024-02-28,"2,215","2,230","2,190","2,205","2,243.00","2,212.25","2,519.96","611,302","1,347,657,710"
2024-02-27,"2,240","2,280","2,200","2,215","2,271.00","2,213.75","2,527.29","795,861","1,772,204,070"
2024-02-26,"2,240","2,265","2,215","2,260","2,292.00","2,226.00","2,534.17","868,666","1,938,957,435"
2024-02-23,"2,330","2,340","2,240","2,240","2,312.00","2,239.25","2,539.46","1,133,897","2,573,890,490"
2024-02-22,"2,355","2,375","2,285","2,295","2,303.00","2,255.75","2,544.88","1,343,404","3,098,108,085"
2024-02-21,"2,320","2,390","2,290","2,345","2,287.00","2,269.75","2,549.29","1,746,258","4,081,323,275"
2024-02-20,"2,360","2,365","2,290","2,320","2,269.00","2,273.50","2,553.00","1,694,017","3,928,088,960"
2024-02-19,"2,515","2,530","2,335","2,360","2,251.00","2,275.25","2,556.54","8,362,828","20,151,663,770"
2024-02-16,"2,250","2,250","2,175","2,195","2,212.00","2,272.75","2,559.88","1,644,837","3,775,401,225"
2024-02-15,"2,280","2,285","2,200","2,215","2,194.00","2,276.00","2,563.96","770,778","1,715,327,480"
2024-02-14,"2,205","2,265","2,190","2,255","2,171.00","2,283.00","2,568.38","839,402","1,877,773,310"
2024-02-13,"2,175","2,250","2,170","2,230","2,148.00","2,289.75","2,571.71","1,159,359","2,575,558,910"
