시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"59,800","60,000","58,700","59,900","58,120.00","56,800.00","58,379.17","95,633","5,681,604,000"
2024-06-18,"57,700","61,700","57,300","59,400","57,580.00","56,590.00","58,392.50","650,343","39,038,033,400"
2024-06-17,"57,800","58,800","57,100","57,100","57,140.00","56,455.00","58,413.33","146,911","8,491,455,400"
2024-06-14,"56,300","58,200","55,700","57,700","57,060.00","56,430.00","58,461.67","335,069","19,186,342,900"
2024-06-13,"57,400","58,200","56,500","56,500","56,920.00","56,395.00","58,485.83","193,645","11,054,494,600"
2024-06-12,"57,200","57,600","56,600","57,200","57,200.00","56,410.00","58,518.33","56,698","3,235,189,800"
2024-06-11,"56,800","57,500","56,800","57,200","56,780.00","56,390.00","58,546.67","64,398","3,681,185,800"
2024-06-10,"56,400","57,100","56,100","56,700","56,560.00","56,405.00","58,576.67","53,674","3,041,677,200"
2024-06-07,"57,500","57,900","56,700","57,000","56,340.00","56,450.00","58,603.33","79,836","4,565,656,600"
2024-06-05,"55,700","58,200","55,500","57,900","55,980.00","56,505.00","58,625.83","239,599","13,754,391,400"
2024-06-04,"55,600","56,200","55,100","55,100","55,580.00","56,505.00","58,641.67","58,408","3,238,172,200"
2024-06-03,"56,000","56,900","55,800","56,100","55,860.00","56,610.00","58,678.33","60,671","3,422,327,200"
2024-05-31,"55,600","56,000","55,200","55,600","55,940.00","56,750.00","58,713.33","78,662","4,368,395,300"
2024-05-30,"55,500","55,600","55,000","55,200","55,940.00","56,875.00","58,744.17","59,753","3,300,774,300"
2024-05-29,"56,100","56,200","55,400","55,900","56,120.00","57,045.00","58,780.83","80,830","4,503,665,800"
2024-05-28,"56,300","56,900","56,300","56,500","56,300.00","57,110.00","58,818.33","60,127","3,400,760,900"
2024-05-27,"55,600","56,900","55,100","56,500","56,140.00","57,190.00","58,839.17","94,598","5,321,621,900"
2024-05-24,"55,600","56,100","55,400","55,600","56,180.00","57,240.00","58,858.33","61,045","3,395,837,500"
2024-05-23,"56,700","56,700","55,800","56,100","56,380.00","57,300.00","58,881.67","59,503","3,341,084,300"
2024-05-22,"55,600","57,000","55,500","56,800","56,560.00","57,360.00","58,887.50","83,573","4,710,637,400"
2024-05-21,"56,500","56,500","55,500","55,700","56,560.00","57,280.00","58,880.00","111,855","6,239,869,800"
2024-05-20,"56,900","57,300","56,400","56,700","56,780.00","57,330.00","58,885.83","49,148","2,793,178,100"
2024-05-17,"56,800","57,200","56,300","56,600","56,940.00","57,275.00","58,885.83","51,410","2,911,423,000"
2024-05-16,"57,200","57,300","56,800","57,000","57,140.00","57,290.00","58,890.00","49,578","2,827,020,800"
2024-05-14,"57,000","57,400","56,500","56,800","57,360.00","57,335.00","58,878.33","55,169","3,129,151,600"
2024-05-13,"57,700","57,800","56,600","56,800","57,580.00","57,395.00","58,860.83","65,000","3,703,500,000"
2024-05-10,"57,900","58,100","57,200","57,500","57,660.00","57,435.00","58,833.33","71,446","4,116,248,600"
2024-05-09,"58,000","58,400","57,400","57,600","57,940.00","57,395.00","58,791.67","98,007","5,665,681,700"
2024-05-08,"57,900","58,200","57,100","58,100","58,040.00","57,325.00","58,752.50","61,887","3,571,775,300"
2024-05-07,"57,500","58,100","57,400","57,900","58,140.00","57,225.00","58,712.50","86,678","5,005,629,000"
2024-05-03,"58,900","58,900","56,900","57,200","58,000.00","57,145.00","58,677.50","120,862","6,948,372,800"
2024-05-02,"58,400","59,200","58,000","58,900","58,180.00","57,120.00","58,648.33","89,019","5,218,363,100"
2024-04-30,"58,500","59,000","57,600","58,100","57,900.00","57,035.00","58,618.33","132,503","7,728,219,300"
2024-04-29,"57,200","58,900","56,900","58,600","57,640.00","57,040.00","58,568.33","126,223","7,343,759,300"
2024-04-26,"58,200","58,500","56,900","57,200","57,380.00","56,945.00","58,515.83","80,371","4,615,199,600"
2024-04-25,"57,000","58,600","56,900","58,100","56,980.00","56,930.00","58,474.17","108,120","6,277,275,500"
2024-04-24,"57,400","57,700","55,400","57,500","56,700.00","56,895.00","58,456.67","87,378","4,990,659,500"
2024-04-23,"57,300","57,500","56,400","56,800","56,320.00","56,905.00","58,450.00","53,072","3,020,241,800"
2024-04-22,"55,700","57,500","55,700","57,300","56,340.00","56,955.00","58,483.33","83,639","4,755,620,200"
2024-04-19,"56,100","56,300","54,500","55,200","56,460.00","57,085.00","58,507.50","109,122","6,021,930,200"
2024-04-18,"55,700","56,700","55,500","56,700","57,020.00","57,325.00","58,558.33","77,736","4,364,049,900"
2024-04-17,"56,900","57,400","55,600","55,600","57,200.00","57,390.00","58,591.67","97,244","5,460,243,100"
2024-04-16,"57,400","57,700","56,200","56,900","57,420.00","57,515.00","58,643.33","75,789","4,312,778,000"
2024-04-15,"57,300","58,300","56,600","57,900","57,280.00","57,550.00","58,670.83","70,400","4,048,522,000"
2024-04-12,"58,000","58,300","57,200","58,000","56,920.00","57,510.00","58,694.17","96,125","5,565,519,700"
2024-04-11,"56,100","57,900","55,600","57,600","56,580.00","57,495.00","58,728.33","122,019","6,965,029,400"
2024-04-09,"56,700","57,400","56,300","56,700","56,400.00","57,450.00","58,756.67","76,516","4,355,283,500"
2024-04-08,"56,100","57,200","55,900","56,200","56,500.00","57,480.00","58,802.50","95,204","5,381,835,700"
2024-04-05,"55,800","56,800","55,600","56,100","56,900.00","57,525.00","58,854.17","84,507","4,749,375,300"
2024-04-04,"57,000","57,000","55,800","56,300","57,020.00","57,615.00","58,912.50","115,920","6,511,636,900"
2024-04-03,"56,600","57,100","56,400","56,700","57,140.00","57,665.00","58,961.67","130,779","7,409,121,400"
2024-04-02,"58,500","58,600","56,900","57,200","57,280.00","57,725.00","59,005.83","191,925","11,044,914,200"
2024-04-01,"57,500","58,400","57,200","58,200","57,380.00","57,770.00","59,051.67","99,498","5,764,659,100"
2024-03-29,"57,000","57,200","56,500","56,700","57,300.00","57,830.00","59,086.67","73,429","4,173,846,100"
2024-03-28,"57,600","57,600","56,500","56,900","57,940.00","58,000.00","59,141.67","114,400","6,515,556,600"
2024-03-27,"57,500","58,000","57,100","57,400","58,560.00","58,175.00","59,198.33","135,481","7,774,523,200"
2024-03-26,"58,200","58,800","57,600","57,700","58,680.00","58,265.00","59,241.67","104,473","6,069,542,700"
2024-03-25,"59,900","59,900","57,600","57,800","58,760.00","58,355.00","59,282.50","145,380","8,481,560,200"
2024-03-22,"60,800","60,900","59,500","59,900","58,720.00","58,525.00","59,299.17","110,617","6,627,791,900"
2024-03-21,"58,600","60,700","58,300","60,000","58,160.00","58,585.00","59,288.33","178,563","10,656,875,800"
2024-03-20,"58,600","59,100","57,800","58,000","57,700.00","58,580.00","59,284.17","121,213","7,076,762,700"
2024-03-19,"57,500","58,800","57,300","58,100","57,440.00","58,720.00","59,290.00","115,298","6,709,448,400"
2024-03-18,"57,600","58,200","57,000","57,600","57,280.00","58,880.00","59,285.00","58,285","3,366,502,400"
2024-03-15,"57,700","58,400","57,100","57,100","57,180.00","59,045.00","59,288.33","102,060","5,884,771,500"
2024-03-14,"56,900","58,300","56,600","57,700","57,340.00","59,190.00","59,286.67","117,313","6,762,342,900"
2024-03-13,"57,400","57,700","56,500","56,700","57,260.00","59,375.00","59,280.00","125,850","7,148,412,200"
2024-03-12,"57,600","57,900","56,800","57,300","57,500.00","59,640.00","59,279.17","90,457","5,182,510,300"
2024-03-11,"57,900","58,500","57,000","57,100","57,660.00","59,860.00","59,265.00","88,441","5,101,990,700"
2024-03-08,"57,700","58,400","57,400","57,900","58,120.00","60,115.00","59,250.00","68,581","3,967,717,700"
2024-03-07,"58,200","58,600","56,700","57,300","58,560.00","60,265.00","59,224.17","114,364","6,549,119,900"
2024-03-06,"58,100","58,600","57,100","57,900","59,180.00","60,570.00","59,213.33","101,521","5,857,253,300"
2024-03-05,"59,000","59,500","58,000","58,100","59,440.00","60,900.00","59,204.17","121,276","7,081,679,800"
2024-03-04,"60,800","60,900","59,400","59,400","59,720.00","61,015.00","59,195.83","121,908","7,316,853,300"
2024-02-29,"60,400","61,000","59,500","60,100","60,080.00","60,960.00","59,174.17","111,313","6,708,332,800"
2024-02-28,"59,200","60,700","59,100","60,400","60,280.00","60,820.00","59,153.33","67,532","4,044,476,000"
2024-02-27,"59,800","60,600","59,000","59,200","60,180.00","60,700.00","59,126.67","72,798","4,349,946,500"
2024-02-26,"60,900","61,000","58,600","59,500","60,500.00","60,580.00","59,107.50","155,801","9,257,991,000"
2024-02-23,"61,000","62,200","60,800","61,200","60,860.00","60,505.00","59,079.17","80,221","4,930,515,000"
2024-02-22,"60,000","61,600","59,700","61,100","60,800.00","60,220.00","59,033.33","96,322","5,853,986,900"
2024-02-21,"60,700","61,400","59,700","59,900","60,580.00","59,960.00","58,992.50","111,159","6,678,837,900"
2024-02-20,"61,500","62,200","60,500","60,800","60,880.00","59,725.00","58,965.00","99,006","6,060,190,500"
2024-02-19,"61,200","61,900","60,500","61,300","61,120.00","59,445.00","58,932.50","93,698","5,731,424,000"
2024-02-16,"60,400","60,900","59,800","60,900","61,200.00","59,130.00","58,894.17","113,977","6,875,344,400"
2024-02-15,"62,400","62,400","59,800","60,000","61,460.00","58,860.00","58,862.50","117,654","7,103,207,700"
2024-02-14,"61,300","62,200","60,700","61,400","61,640.00","58,740.00","58,841.67","75,997","4,680,357,300"
2024-02-13,"62,200","64,500","61,800","62,000","62,040.00","58,620.00","58,805.83","139,683","8,806,080,100"
2024-02-08,"62,200","63,000","61,100","61,700","62,540.00","58,450.00","58,782.50","115,545","7,160,871,600"
2024-02-07,"61,000","62,600","61,000","62,200","62,280.00","58,330.00","58,768.33","135,906","8,439,066,200"
2024-02-06,"63,200","63,200","60,500","60,900","61,500.00","58,220.00","58,740.00","154,766","9,496,368,900"
2024-02-05,"65,900","67,000","61,500","63,400","60,780.00","58,185.00","58,723.33","320,101","20,414,535,800"
2024-02-02,"61,500","65,500","61,000","64,500","59,700.00","58,035.00","58,683.33","510,224","32,382,177,300"
2024-02-01,"57,300","61,100","57,000","60,400","58,160.00","57,825.00","58,638.33","218,811","13,133,981,800"
2024-01-31,"57,300","58,300","57,100","58,300","57,680.00","57,855.00","58,639.17","94,862","5,489,756,100"
2024-01-30,"58,700","59,200","57,300","57,300","57,120.00","58,050.00","58,658.33","52,727","3,050,510,500"
2024-01-29,"56,800","58,900","56,500","58,000","56,840.00","58,385.00","58,684.17","78,904","4,582,429,000"
2024-01-26,"58,200","58,300","56,800","56,800","56,280.00","58,740.00","58,730.00","65,448","3,748,899,500"
2024-01-25,"55,100","58,400","55,000","58,000","55,960.00","59,085.00","58,782.50","124,474","7,131,033,400"
2024-01-24,"56,200","56,200","55,200","55,500","55,360.00","59,345.00","58,816.67","40,941","2,273,066,900"
2024-01-23,"55,700","56,300","54,700","55,900","55,360.00","59,760.00","58,884.17","41,872","2,330,710,000"
2024-01-22,"55,600","55,700","54,500","55,200","55,700.00","60,155.00","58,952.50","45,737","2,522,712,800"
2024-01-19,"55,500","56,000","55,100","55,200","56,460.00","60,565.00","59,045.00","49,426","2,745,491,400"
2024-01-18,"55,100","55,900","54,800","55,000","57,140.00","60,880.00","59,119.17","59,475","3,286,390,600"
2024-01-17,"57,300","58,000","55,300","55,500","58,000.00","61,225.00","59,211.67","91,281","5,118,834,100"
2024-01-16,"59,100","59,500","57,500","57,600","58,900.00","61,595.00","59,303.33","63,233","3,677,202,400"
2024-01-15,"58,700","59,400","58,100","59,000","59,420.00","61,745.00","59,374.17","50,336","2,963,510,100"
2024-01-12,"59,300","59,500","58,300","58,600","59,700.00","61,815.00","59,421.67","80,450","4,717,114,300"
2024-01-11,"60,500","60,600","59,300","59,300","60,040.00","61,915.00","59,482.50","54,319","3,248,128,500"
2024-01-10,"60,200","60,500","59,300","60,000","60,380.00","61,990.00","59,555.00","51,338","3,085,986,700"
2024-01-09,"61,000","61,600","60,100","60,200","60,820.00","61,985.00","59,601.67","69,745","4,233,658,400"
2024-01-08,"60,600","60,900","60,100","60,400","61,580.00","61,960.00","59,653.33","49,792","3,012,708,500"
2024-01-05,"60,900","61,400","60,000","60,300","62,520.00","61,930.00","59,712.50","77,693","4,691,013,100"
2024-01-04,"61,700","62,100","60,400","61,000","63,200.00","61,890.00","59,770.83","77,494","4,723,812,000"
2024-01-03,"63,300","63,400","62,000","62,200","63,640.00","61,855.00","59,828.33","87,227","5,440,788,600"
2024-01-02,"65,100","65,200","63,600","64,000","63,960.00","61,710.00","59,875.00","56,562","3,623,453,100"
