시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"27,500","28,350","26,800","26,800","27,640.00","24,832.50","22,039.50","955,171","26,407,265,050"
2024-06-18,"27,050","28,150","25,900","27,800","27,090.00","24,665.00","21,989.08","2,350,397","63,917,858,900"
2024-06-17,"28,100","28,350","26,400","26,550","26,030.00","24,405.00","21,928.67","1,421,293","38,442,679,150"
2024-06-14,"29,500","30,050","28,050","28,100","25,240.00","24,227.50","21,877.42","4,125,475","120,263,408,200"
2024-06-13,"24,700","30,850","23,750","28,950","24,120.00","23,992.50","21,814.08","13,186,819","377,791,320,150"
2024-06-12,"22,600","24,150","22,600","24,050","22,990.00","23,690.00","21,742.42","1,194,137","28,128,255,450"
2024-06-11,"22,850","23,400","22,300","22,500","22,770.00","23,582.50","21,713.67","423,910","9,660,937,050"
2024-06-10,"22,250","23,050","22,000","22,600","23,270.00","23,595.00","21,697.83","409,180","9,253,376,000"
2024-06-07,"22,950","23,100","22,400","22,500","23,950.00","23,577.50","21,676.17","524,516","11,902,060,500"
2024-06-05,"23,050","23,550","22,100","23,300","24,570.00","23,585.00","21,671.58","874,085","19,970,253,650"
2024-06-04,"24,650","24,800","22,900","22,950","25,010.00","23,602.50","21,664.08","1,428,900","33,918,086,700"
2024-06-03,"27,000","27,050","24,150","25,000","25,420.00","23,637.50","21,656.17","1,724,379","43,921,622,000"
2024-05-31,"25,950","27,700","25,800","26,000","25,240.00","23,590.00","21,632.42","3,854,246","102,629,414,650"
2024-05-30,"25,150","27,050","24,850","25,600","24,700.00","23,457.50","21,612.42","2,345,871","61,153,375,300"
2024-05-29,"25,450","27,400","24,450","25,500","24,240.00","23,161.00","21,599.50","6,307,833","164,139,203,400"
2024-05-28,"24,400","25,350","24,100","25,000","23,690.00","22,854.00","21,584.92","2,483,561","61,514,686,300"
2024-05-27,"23,900","24,950","23,700","24,100","23,380.00","22,576.50","21,572.00","2,555,262","62,360,278,850"
2024-05-24,"23,850","25,100","23,150","23,300","23,080.00","22,349.00","21,568.67","3,279,064","79,332,018,100"
2024-05-23,"22,950","23,450","22,150","23,300","23,020.00","22,154.00","21,572.42","705,647","16,299,968,500"
2024-05-22,"24,050","24,650","22,750","22,750","23,040.00","21,963.00","21,577.83","2,217,767","52,998,428,700"
2024-05-21,"22,450","23,650","22,350","23,450","23,070.00","21,786.00","21,587.00","1,270,644","29,546,316,700"
2024-05-20,"23,050","23,400","22,200","22,600","22,760.00","21,566.50","21,594.08","728,782","16,573,507,300"
2024-05-17,"23,500","24,050","22,800","23,000","22,790.00","21,361.00","21,611.58","935,307","21,812,878,200"
2024-05-16,"23,850","24,500","23,150","23,400","22,640.00","21,118.50","21,626.17","2,607,079","61,904,274,300"
2024-05-14,"22,000","23,200","22,000","22,900","22,490.00","20,882.00","21,647.00","1,783,538","40,707,381,850"
2024-05-13,"22,650","24,250","21,900","21,900","22,640.00","20,702.00","21,671.17","2,528,714","58,105,211,500"
2024-05-10,"22,450","23,900","22,050","22,750","22,990.00","20,527.00","21,701.58","2,721,758","62,728,527,900"
2024-05-09,"22,350","23,550","21,850","22,250","23,250.00","20,330.50","21,719.92","2,684,383","61,408,067,950"
2024-05-08,"23,150","23,500","22,150","22,650","23,470.00","20,159.00","21,751.58","2,121,785","46,936,878,850"
2024-05-07,"24,550","24,600","23,350","23,650","22,874.00","19,971.00","21,793.25","1,685,679","40,272,791,850"
2024-05-03,"23,550","23,900","23,050","23,650","22,016.00","19,740.00","21,834.08","1,575,866","37,181,170,550"
2024-05-02,"23,850","26,000","23,550","24,050","21,176.00","19,553.00","21,884.92","7,113,372","175,403,649,950"
2024-04-30,"19,680","24,100","19,680","23,350","20,276.00","19,363.00","21,925.33","13,123,913","297,349,841,150"
2024-04-29,"19,360","19,940","19,330","19,670","19,486.00","19,203.00","21,968.67","280,978","5,525,094,140"
2024-04-26,"19,460","19,800","19,320","19,360","19,448.00","19,211.50","22,042.25","255,954","4,991,474,480"
2024-04-25,"19,370","20,100","19,340","19,450","19,418.00","19,240.50","22,114.25","382,623","7,565,496,350"
2024-04-24,"19,900","20,350","19,520","19,550","19,340.00","19,266.00","22,182.58","644,307","12,814,169,990"
2024-04-23,"19,480","19,800","19,320","19,400","19,128.00","19,298.50","22,231.75","203,160","3,971,775,390"
2024-04-22,"19,330","19,900","19,230","19,480","18,878.00","19,353.50","22,283.42","285,084","5,579,260,940"
2024-04-19,"19,410","19,920","18,800","19,210","18,716.00","19,378.00","22,336.92","569,657","11,077,523,410"
2024-04-18,"18,450","19,290","18,450","19,060","18,734.00","19,416.50","22,409.75","214,057","4,079,072,280"
2024-04-17,"18,310","18,980","18,310","18,490","18,602.00","19,462.50","22,430.08","213,518","3,975,797,540"
2024-04-16,"18,350","18,600","18,150","18,150","18,668.00","19,536.00","22,447.67","187,365","3,429,481,730"
2024-04-15,"18,720","19,210","18,480","18,670","18,802.00","19,633.50","22,468.50","213,998","3,985,326,070"
2024-04-12,"19,000","20,200","19,000","19,300","18,846.00","19,720.00","22,490.83","1,389,424","27,408,917,020"
2024-04-11,"18,650","18,850","18,360","18,400","18,792.00","19,780.00","22,520.00","118,357","2,189,527,040"
2024-04-09,"18,860","19,020","18,800","18,820","19,094.00","19,877.50","22,560.00","100,927","1,902,543,570"
2024-04-08,"19,000","19,190","18,800","18,820","19,380.00","19,954.00","22,593.17","163,353","3,089,741,870"
2024-04-05,"18,810","19,160","18,810","18,890","19,646.00","20,030.50","22,630.92","163,317","3,090,093,710"
2024-04-04,"20,100","20,150","18,850","19,030","19,836.00","20,093.50","22,675.58","560,323","10,779,054,130"
2024-04-03,"20,300","20,300","19,880","19,910","20,018.00","20,139.50","22,714.08","180,093","3,593,297,300"
2024-04-02,"20,600","20,600","19,940","20,250","20,028.00","20,164.00","22,742.75","353,988","7,188,842,490"
2024-04-01,"19,860","21,100","19,860","20,150","20,018.00","20,194.00","22,782.75","963,725","19,764,502,350"
2024-03-29,"20,100","20,150","19,810","19,840","20,088.00","20,244.00","22,822.75","112,718","2,243,949,060"
2024-03-28,"20,050","20,450","19,840","19,940","20,114.00","20,312.00","22,875.75","195,305","3,934,956,960"
2024-03-27,"20,350","20,350","19,850","19,960","20,122.00","20,372.50","22,946.67","155,484","3,105,931,120"
2024-03-26,"20,600","20,700","20,100","20,200","20,126.00","20,429.50","23,015.75","139,093","2,819,640,600"
2024-03-25,"20,250","21,150","20,200","20,500","20,078.00","20,524.50","23,097.42","414,553","8,519,190,920"
2024-03-22,"20,000","20,050","19,900","19,970","19,998.00","20,609.50","23,159.92","585,989","11,056,600,890"
2024-03-21,"20,050","20,150","19,950","19,980","20,084.00","20,718.50","23,226.00","79,350","1,586,567,570"
2024-03-20,"20,200","20,200","19,960","19,980","20,188.00","20,842.00","23,304.08","75,925","1,518,706,190"
2024-03-19,"20,050","20,250","19,940","19,960","20,262.00","20,948.00","23,388.42","125,855","2,519,525,020"
2024-03-18,"20,350","20,550","20,000","20,100","20,340.00","21,092.50","23,483.75","95,829","1,927,876,650"
2024-03-15,"20,500","20,850","20,200","20,400","20,390.00","21,220.00","23,576.67","94,207","1,929,063,750"
2024-03-14,"20,350","20,900","20,350","20,500","20,340.00","21,342.50","23,660.42","94,050","1,938,704,850"
2024-03-13,"20,300","20,650","20,250","20,350","20,230.00","21,440.00","23,738.75","85,624","1,747,692,050"
2024-03-12,"20,350","20,500","20,250","20,350","20,240.00","21,542.50","23,826.25","79,430","1,617,685,900"
2024-03-11,"20,150","20,450","19,850","20,350","20,340.00","21,660.00","23,936.25","89,482","1,811,394,030"
2024-03-08,"20,000","20,600","20,000","20,150","20,500.00","21,787.50","24,010.42","97,671","1,975,744,250"
2024-03-07,"20,600","20,650","19,600","19,950","20,710.00","21,940.00","24,102.50","195,997","3,918,037,620"
2024-03-06,"20,750","21,150","20,400","20,400","20,950.00","22,090.00","24,207.50","172,065","3,552,443,850"
2024-03-05,"21,300","21,350","20,850","20,850","21,090.00","22,205.00","24,307.08","128,933","2,706,389,300"
2024-03-04,"21,450","21,700","21,000","21,150","21,340.00","22,265.00","24,405.00","141,594","3,009,200,500"
2024-02-29,"20,850","22,800","20,850","21,200","21,550.00","22,325.00","24,517.50","327,328","7,118,607,050"
2024-02-28,"21,150","21,550","21,100","21,150","21,740.00","22,420.00","24,642.92","76,412","1,628,138,550"
2024-02-27,"22,000","22,100","21,050","21,100","22,000.00","22,482.50","24,773.33","225,730","4,840,817,500"
2024-02-26,"21,950","22,200","21,900","22,100","22,200.00","22,532.50","24,908.33","76,206","1,682,495,750"
2024-02-23,"22,200","22,300","21,800","22,200","22,350.00","22,527.50","25,040.00","123,009","2,708,125,250"
2024-02-22,"22,400","22,500","22,000","22,150","22,440.00","22,527.50","25,162.50","160,413","3,553,053,850"
2024-02-21,"22,100","22,800","22,000","22,450","22,580.00","22,530.00","25,289.17","327,388","7,330,641,250"
2024-02-20,"22,650","22,650","22,100","22,100","22,580.00","22,510.00","25,405.83","148,481","3,313,234,350"
2024-02-19,"22,550","23,000","21,700","22,850","22,640.00","22,542.50","25,513.33","337,462","7,515,596,450"
2024-02-16,"23,050","23,050","22,650","22,650","22,610.00","22,515.00","25,593.75","251,253","5,734,622,250"
2024-02-15,"22,750","24,000","22,600","22,850","22,660.00","22,430.00","25,682.50","663,028","15,400,425,800"
2024-02-14,"21,900","22,800","21,800","22,450","22,730.00","22,397.50","25,757.92","703,346","15,032,994,050"
2024-02-13,"22,550","23,200","22,350","22,400","22,830.00","22,420.00","25,881.25","249,351","5,643,904,850"
2024-02-08,"23,000","23,150","22,500","22,700","22,890.00","22,532.50","26,005.00","157,009","3,566,323,700"
2024-02-07,"23,500","23,600","22,750","22,900","22,760.00","22,650.00","26,123.33","236,397","5,465,034,500"
2024-02-06,"22,950","23,450","22,350","23,200","22,650.00","22,695.00","26,229.58","264,646","6,094,662,300"
2024-02-05,"23,000","23,200","22,600","22,950","22,630.00","22,715.00","26,265.00","203,462","4,656,021,900"
2024-02-02,"22,100","22,850","22,100","22,700","22,520.00","22,740.00","26,309.17","142,571","3,224,627,700"
2024-02-01,"22,150","22,250","21,750","22,050","22,400.00","22,735.00","26,364.17","146,438","3,219,416,800"
2024-01-31,"23,000","23,000","22,350","22,350","22,390.00","22,787.50","26,395.83","145,172","3,289,756,450"
2024-01-30,"22,500","23,250","22,250","23,100","22,360.00","22,805.00","26,401.25","246,745","5,632,181,800"
2024-01-29,"22,200","22,650","21,900","22,400","22,180.00","22,780.00","26,403.33","178,984","4,002,188,950"
2024-01-26,"22,000","22,800","21,750","22,100","22,110.00","22,785.00","26,423.33","182,087","4,076,486,800"
2024-01-25,"22,200","22,300","21,350","22,000","22,240.00","22,737.50","26,438.33","155,811","3,383,599,400"
2024-01-24,"22,450","22,450","21,700","22,200","22,300.00","22,757.50","26,450.83","110,821","2,448,201,350"
2024-01-23,"21,850","22,700","21,850","22,200","22,050.00","22,772.50","26,462.08","142,631","3,186,427,800"
2024-01-22,"23,150","23,150","21,550","22,050","22,050.00","22,802.50","26,463.75","335,451","7,508,509,450"
2024-01-19,"22,600","23,200","22,350","22,750","22,220.00","22,850.00","26,492.50","264,503","6,017,382,400"
2024-01-18,"20,800","22,450","20,750","22,300","22,600.00","22,750.00","26,513.33","347,037","7,573,006,550"
2024-01-17,"22,200","22,300","20,850","20,950","23,150.00","22,662.50","26,552.92","297,224","6,327,511,950"
2024-01-16,"22,700","23,200","22,100","22,200","23,720.00","22,635.00","26,618.33","235,522","5,307,688,550"
2024-01-15,"24,450","24,550","22,600","22,900","24,000.00","22,550.00","26,666.67","486,345","11,278,888,700"
2024-01-12,"25,300","25,400","24,200","24,650","24,110.00","22,422.50","26,717.50","392,535","9,705,246,677"
2024-01-11,"24,000","25,800","23,600","25,050","23,700.00","22,220.00","26,760.42","1,229,360","30,514,802,150"
2024-01-10,"24,100","24,300","23,550","23,800","23,310.00","21,997.50","26,803.75","391,464","9,330,345,300"
2024-01-09,"23,550","23,750","22,950","23,600","23,090.00","21,807.50","26,866.67","726,032","16,421,003,900"
2024-01-08,"22,900","23,750","22,750","23,450","22,890.00","21,725.00","26,930.42","445,389","10,439,545,300"
2024-01-05,"23,200","23,300","22,500","22,600","22,700.00","21,672.50","26,996.25","206,055","4,711,811,550"
2024-01-04,"22,700","23,250","22,450","23,100","22,410.00","21,642.50","27,070.83","264,270","6,050,855,100"
2024-01-03,"22,450","23,500","22,000","22,700","22,270.00","21,595.00","27,174.17","357,757","8,093,767,600"
2024-01-02,"22,350","22,900","21,850","22,600","22,230.00","21,640.00","27,275.83","227,874","5,098,949,600"
2023-12-28,"21,300","23,150","20,800","22,500","22,270.00","21,712.50","27,400.83","714,196","15,710,776,250"
2023-12-27,"22,550","23,000","20,950","21,150","22,370.00","21,775.00","27,535.42","475,000","10,315,408,850"
2023-12-26,"22,400","23,200","22,300","22,400","22,290.00","21,890.00","27,682.50","264,467","6,018,110,250"
2023-12-22,"22,600","23,500","22,450","22,500","21,920.00","21,955.00","27,821.25","467,431","10,723,198,200"
2023-12-21,"22,700","23,200","22,300","22,800","21,500.00","22,017.50","27,961.25","450,931","10,262,754,300"
2023-12-20,"20,750","24,500","20,750","23,000","21,040.00","22,075.00","28,110.83","3,341,119","77,199,976,250"
2023-12-19,"20,450","21,050","20,450","20,750","20,510.00","22,117.50","28,256.25","206,321","4,290,172,950"
2023-12-18,"20,400","20,700","20,300","20,550","20,480.00","22,295.00","28,418.75","177,376","3,641,709,950"
2023-12-15,"20,550","20,800","20,300","20,400","20,490.00","22,502.50","28,582.50","175,086","3,587,722,100"
2023-12-14,"20,550","20,950","20,300","20,500","20,410.00","22,720.00","28,735.00","197,021","4,051,164,850"
2023-12-13,"20,550","20,850","20,300","20,350","20,700.00","22,990.00","28,897.50","182,139","3,740,995,250"
2023-12-12,"20,850","21,050","20,200","20,600","21,110.00","23,262.50","29,070.00","264,158","5,458,786,100"
2023-12-11,"20,150","21,400","20,050","20,600","21,390.00","23,510.00","29,208.33","575,704","11,891,972,450"
2023-12-08,"20,600","20,900","19,990","20,000","21,700.00","23,727.50","29,366.67","875,503","17,622,406,620"
2023-12-07,"22,250","22,400","21,950","21,950","22,420.00","24,030.00","29,551.67","47,002","1,037,057,850"
2023-12-06,"22,000","22,650","22,000","22,400","22,840.00","24,315.00","29,715.00","40,384","902,131,550"
2023-12-05,"22,150","22,750","21,650","22,000","23,110.00","24,622.50","29,902.50","80,379","1,786,582,150"
2023-12-04,"23,600","23,650","21,900","22,150","23,400.00","25,010.00",,"150,168","3,366,209,450"
2023-12-01,"24,000","24,350","23,400","23,600","23,710.00","25,347.50",,"88,217","2,095,100,500"
2023-11-30,"23,800","24,500","23,750","24,050","23,740.00","25,595.00",,"98,534","2,378,114,300"
2023-11-29,"23,500","24,450","23,450","23,750","23,720.00","25,817.50",,"111,430","2,671,895,600"
2023-11-28,"23,450","24,150","23,350","23,450","23,740.00","26,030.00",,"94,085","2,228,522,300"
2023-11-27,"23,850","24,500","23,700","23,700","23,910.00","26,240.00",,"84,840","2,035,997,900"
2023-11-24,"23,800","24,600","23,700","23,750","24,110.00","26,327.50",,"91,418","2,193,536,000"
2023-11-23,"23,850","24,400","23,600","23,950","24,310.00","26,420.00",,"72,123","1,735,824,500"
2023-11-22,"24,350","24,350","23,250","23,850","24,700.00","26,517.50",,"98,649","2,340,156,600"
2023-11-21,"25,100","25,100","24,300","24,300","25,090.00","26,722.50",,"89,833","2,210,365,800"
2023-11-20,"24,400","24,950","24,050","24,700","25,340.00","26,582.50",,"80,423","1,978,951,250"
2023-11-17,"26,050","27,300","24,600","24,750","25,390.00","26,377.50",,"280,167","7,159,518,250"
2023-11-16,"26,100","26,500","25,600","25,900","25,650.00","26,172.50",,"97,213","2,542,708,350"
2023-11-15,"26,600","26,600","25,700","25,800","26,000.00","25,945.00",,"105,580","2,747,772,700"
2023-11-14,"25,300","25,900","25,000","25,550","26,550.00","25,795.00",,"89,420","2,285,849,200"
2023-11-13,"26,200","26,550","24,950","24,950","27,390.00","25,677.50",,"154,530","3,970,667,550"
2023-11-10,"27,150","27,200","25,850","26,050","28,180.00","25,570.00",,"188,243","4,952,358,500"
2023-11-09,"28,550","28,850","27,050","27,650","28,680.00","25,435.00",,"179,048","4,958,553,550"
2023-11-08,"29,550","29,800","28,550","28,550","28,850.00","25,265.00",,"255,002","7,404,976,050"
2023-11-07,"29,400","30,550","28,100","29,750","28,740.00","25,020.00",,"707,166","20,855,133,800"
2023-11-06,"28,800","28,900","27,050","28,900","28,320.00","24,700.00",,"354,165","10,014,068,250"
2023-11-03,"29,250","29,250","27,800","28,550","27,630.00","24,507.50",,"350,022","9,966,390,050"
2023-11-02,"28,150","28,700","27,050","28,500","27,040.00","24,327.50",,"395,314","11,124,014,350"
2023-11-01,"27,400","29,500","26,950","28,000","26,520.00","24,212.50",,"718,418","20,297,961,050"
2023-10-31,"25,500","31,400","25,400","27,650","26,510.00","24,235.00",,"3,792,008","111,322,836,400"
2023-10-30,"25,800","26,050","23,800","25,450","25,280.00","24,265.00",,"294,132","7,339,625,100"
2023-10-27,"26,250","26,300","24,500","25,600","24,310.00","24,492.50",,"342,820","8,662,899,050"
2023-10-26,"25,800","27,200","24,500","25,900","23,320.00","24,612.50",,"895,479","23,235,289,200"
2023-10-25,"21,650","27,950","21,550","27,950","22,410.00","24,712.50",,"2,757,180","72,618,574,950"
2023-10-24,"21,000","21,550","20,050","21,500","21,380.00","24,782.50",,"75,226","1,573,546,150"
2023-10-23,"20,200","21,300","20,200","20,600","21,720.00","25,212.50",,"57,328","1,191,267,100"
2023-10-20,"21,050","21,450","20,550","20,650","22,160.00","25,752.50",,"110,387","2,308,268,200"
2023-10-19,"22,300","22,650","21,350","21,350","22,700.00","26,282.50",,"81,421","1,773,152,300"
2023-10-18,"22,950","23,600","22,750","22,800","23,280.00","26,737.50",,"49,757","1,148,349,000"
2023-10-17,"23,150","24,350","23,100","23,200","23,450.00","27,092.50",,"131,947","3,124,215,100"
2023-10-16,"23,050","23,100","22,300","22,800","23,480.00","27,475.00",,"56,953","1,289,349,950"
2023-10-13,"24,150","24,150","23,150","23,350","23,930.00","28,012.50",,"73,266","1,723,957,450"
2023-10-12,"23,700","24,750","23,700","24,250","24,250.00","28,307.50",,"99,900","2,417,819,850"
2023-10-11,"23,600","24,450","23,600","23,650","24,640.00","28,655.00",,"154,288","3,703,438,800"
2023-10-10,"24,900","25,000","23,050","23,350","25,600.00","29,100.00",,"109,505","2,620,520,400"
2023-10-06,"24,550","25,500","24,550","25,050","26,580.00","29,550.00",,"72,629","1,820,092,850"
2023-10-05,"26,650","26,750","24,700","24,950","27,570.00","29,927.50",,"101,906","2,580,592,550"
2023-10-04,"27,850","27,900","26,100","26,200","28,180.00","30,412.50",,"123,159","3,282,945,350"
