시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"3,970","4,135","3,895","4,030","3,799.00","3,591.25","4,030.92","864,960","3,483,774,845"
2024-06-18,"3,875","4,280","3,860","3,945","3,717.00","3,571.25","4,036.08","7,310,878","30,096,162,565"
2024-06-17,"3,780","3,790","3,640","3,650","3,639.00","3,558.75","4,042.38","668,738","2,480,127,470"
2024-06-14,"4,005","4,500","3,705","3,720","3,619.00","3,567.50","4,049.46","8,285,329","34,329,256,380"
2024-06-13,"3,625","3,660","3,550","3,650","3,582.00","3,578.00","4,055.96","199,345","727,166,315"
2024-06-12,"3,595","3,670","3,545","3,620","3,574.00","3,583.25","4,063.00","99,309","358,786,680"
2024-06-11,"3,590","3,635","3,540","3,555","3,578.00","3,589.25","4,072.08","123,712","443,621,105"
2024-06-10,"3,540","3,635","3,480","3,550","3,594.00","3,602.25","4,081.50","156,638","557,417,705"
2024-06-07,"3,595","3,665","3,475","3,535","3,564.00","3,616.25","4,090.96","152,240","540,532,355"
2024-06-05,"3,770","3,770","3,605","3,610","3,542.00","3,637.00","4,101.29","179,626","654,073,405"
2024-06-04,"3,635","3,735","3,540","3,640","3,480.00","3,650.50","4,112.13","264,924","961,167,730"
2024-06-03,"3,430","3,770","3,420","3,635","3,431.00","3,660.75","4,119.54","884,687","3,235,529,010"
2024-05-31,"3,345","3,515","3,335","3,400","3,393.00","3,672.00","4,129.92","477,452","1,625,981,010"
2024-05-30,"3,300","4,030","3,240","3,425","3,423.00","3,696.00","4,143.75","5,985,580","22,295,509,900"
2024-05-29,"3,395","3,400","3,285","3,300","3,444.00","3,716.75","4,157.96","253,758","839,140,620"
2024-05-28,"3,410","3,440","3,360","3,395","3,512.00","3,739.75","4,174.21","218,086","739,440,070"
2024-05-27,"3,520","3,540","3,335","3,445","3,559.00","3,761.50","4,188.17","396,738","1,358,172,295"
2024-05-24,"3,530","3,650","3,390","3,550","3,609.00","3,785.00","4,201.54","345,367","1,215,764,820"
2024-05-23,"3,640","3,660","3,500","3,530","3,664.00","3,798.25","4,214.79","320,939","1,141,890,365"
2024-05-22,"3,650","3,660","3,605","3,640","3,744.00","3,812.75","4,227.96","124,394","451,717,930"
2024-05-21,"3,750","3,755","3,615","3,630","3,767.00","3,823.75","4,241.63","337,601","1,235,211,810"
2024-05-20,"3,875","3,875","3,690","3,695","3,789.00","3,840.25","4,255.88","281,432","1,054,177,065"
2024-05-17,"3,895","3,920","3,800","3,825","3,813.00","3,849.00","4,270.42","154,204","589,947,000"
2024-05-16,"3,890","3,955","3,840","3,930","3,814.00","3,852.00","4,282.04","296,293","1,159,127,775"
2024-05-14,"3,740","3,785","3,695","3,755","3,818.00","3,852.75","4,293.21","79,484","296,809,405"
2024-05-13,"3,815","3,845","3,710","3,740","3,843.00","3,866.00","4,305.83","177,879","667,578,980"
2024-05-10,"3,870","3,870","3,800","3,815","3,864.00","3,875.50","4,316.92","102,868","393,167,310"
2024-05-09,"3,925","3,970","3,805","3,830","3,873.00","3,883.50","4,327.04","176,651","683,984,995"
2024-05-08,"3,860","4,005","3,805","3,950","3,883.00","3,890.75","4,337.38","254,221","993,327,395"
2024-05-07,"3,850","3,930","3,845","3,880","3,861.00","3,898.50","4,348.21","120,574","467,517,590"
2024-05-03,"3,830","3,910","3,705","3,845","3,837.00","3,911.75","4,361.21","86,272","331,997,825"
2024-05-02,"3,835","3,875","3,795","3,860","3,834.00","3,928.50","4,373.83","58,844","225,674,780"
2024-04-30,"3,840","3,910","3,835","3,880","3,845.00","3,942.25","4,388.83","57,910","224,557,430"
2024-04-29,"3,800","3,855","3,765","3,840","3,832.00","3,960.25","4,402.75","96,794","369,508,695"
2024-04-26,"3,855","3,855","3,740","3,760","3,828.00","3,968.50","4,413.00","162,534","613,248,885"
2024-04-25,"3,920","3,920","3,825","3,830","3,848.00","3,990.00","4,422.67","84,068","324,146,980"
2024-04-24,"3,865","3,950","3,830","3,915","3,874.00","4,013.00","4,432.25","69,172","269,972,440"
2024-04-23,"3,820","3,860","3,785","3,815","3,865.00","4,032.00","4,441.46","85,648","326,192,100"
2024-04-22,"3,890","3,890","3,800","3,820","3,879.00","4,045.00","4,452.17","96,466","369,622,715"
2024-04-19,"3,960","4,000","3,790","3,860","3,904.00","4,051.00","4,463.25","96,112","369,521,090"
2024-04-18,"3,900","3,965","3,860","3,960","3,936.00","4,055.00","4,474.33","89,950","351,691,250"
2024-04-17,"3,885","3,915","3,835","3,870","3,930.00","4,057.00","4,483.92","59,622","230,543,800"
2024-04-16,"3,935","3,935","3,820","3,885","3,951.00","4,063.75","4,493.67","243,573","941,333,840"
2024-04-15,"3,950","3,970","3,875","3,945","3,969.00","4,071.75","4,504.21","112,829","442,410,445"
2024-04-12,"3,965","4,100","3,910","4,020","4,001.00","4,076.50","4,513.08","164,300","659,403,665"
2024-04-11,"3,945","4,000","3,890","3,930","4,026.00","4,080.00","4,522.17","74,162","291,737,395"
2024-04-09,"3,980","4,080","3,960","3,975","4,076.00","4,090.75","4,531.75","76,588","305,304,320"
2024-04-08,"4,105","4,150","3,970","3,975","4,108.00","4,101.00","4,538.21","164,259","657,985,730"
2024-04-05,"4,145","4,145","4,035","4,105","4,161.00","4,108.00","4,545.96","99,806","406,496,230"
2024-04-04,"4,180","4,225","4,130","4,145","4,141.00","4,110.50","4,554.33","104,507","435,601,255"
2024-04-03,"4,105","4,190","4,010","4,180","4,150.00","4,109.00","4,561.21","125,165","517,443,835"
2024-04-02,"4,230","4,315","4,115","4,135","4,172.00","4,111.00","4,567.83","137,666","574,236,370"
2024-04-01,"4,055","4,270","3,995","4,240","4,204.00","4,118.75","4,576.63","263,814","1,093,770,045"
2024-03-29,"4,190","4,200","3,870","4,005","4,171.00","4,123.75","4,584.21","607,187","2,434,484,715"
