시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"1,097","1,142","1,058","1,125","1,102.20","1,016.95",775.75,"11,595,440","12,836,760,275"
2024-06-18,"1,106","1,177","1,061","1,090","1,133.60",998.2,772.87,"28,071,924","31,647,298,418"
2024-06-17,"1,079","1,177","1,045","1,111","1,196.40",980.35,770.3,"37,209,168","41,741,231,063"
2024-06-14,"1,087","1,099","1,030","1,052","1,262.20",961.3,767.6,"22,322,656","23,632,511,122"
2024-06-13,"1,053","1,165","1,001","1,133","1,334.00",945.4,765.43,"82,990,144","89,589,386,401"
2024-06-12,"1,373","1,413","1,251","1,282","1,412.80",924.45,762.49,"19,311,764","25,602,982,037"
2024-06-11,"1,385","1,423","1,304","1,404","1,391.40",895.7,758.31,"28,994,006","39,691,404,648"
2024-06-10,"1,400","1,482","1,346","1,440","1,291.40",860.7,753.13,"41,795,992","59,132,046,340"
2024-06-07,"1,610","1,678","1,285","1,411","1,142.60",824.4,747.59,"142,968,208","211,189,736,927"
2024-06-05,"1,414","1,527","1,351","1,527",999,789.15,742.27,"146,881,328","214,380,321,675"
2024-06-04,"1,175","1,175","1,175","1,175",832.4,748.1,735.99,"7,102,951","8,345,967,154"
2024-06-03,697,904,697,904,739.8,724.6,732.6,"8,309,103","7,280,138,824"
2024-05-31,693,700,691,696,700.6,714.65,731.53,"69,199","47,999,656"
2024-05-30,694,700,689,693,704.2,715.15,732.28,"169,093","117,118,775"
2024-05-29,707,715,690,694,710.8,715.6,733.11,"260,560","182,938,637"
2024-05-28,707,716,705,712,720.4,715.65,733.84,"159,665","113,545,116"
2024-05-27,714,720,702,708,728,714.65,734.51,"254,860","180,301,186"
2024-05-24,722,722,710,714,733,714.5,735.15,"177,161","126,376,400"
2024-05-23,742,742,720,726,736.2,713.85,735.82,"186,867","135,933,190"
2024-05-22,750,754,726,742,737.8,712.5,736.39,"483,093","355,899,967"
2024-05-21,753,756,738,750,732.2,710.85,736.75,"728,725","544,009,298"
2024-05-20,730,742,720,733,723.6,708.9,737.04,"222,841","164,019,333"
2024-05-17,735,740,720,730,717.8,706.4,737.38,"272,170","199,314,870"
2024-05-16,718,741,712,734,714.6,704.15,737.68,"394,121","286,083,843"
2024-05-14,710,725,710,714,709,702,738.05,"370,015","265,320,841"
2024-05-13,706,709,700,707,707.4,701.6,738.54,"125,042","88,225,628"
2024-05-10,712,718,701,704,707,701.5,739.04,"221,969","156,529,605"
2024-05-09,702,735,702,714,707.2,700.75,739.43,"527,089","378,167,659"
2024-05-08,715,715,702,706,705.6,699.25,739.74,"56,417","39,871,874"
2024-05-07,705,714,699,706,704.8,698.4,740.18,"311,487","219,403,868"
2024-05-03,706,709,699,705,702.6,697.05,740.63,"83,748","58,947,803"
2024-05-02,706,709,699,705,700,696.3,741.08,"121,426","85,238,643"
2024-04-30,703,708,702,706,700,695.55,741.66,"85,397","60,133,448"
2024-04-29,695,703,692,702,699,695.15,742.06,"92,990","65,022,358"
2024-04-26,696,699,692,695,698.4,695.05,742.38,"84,680","58,876,477"
2024-04-25,704,707,691,692,701.2,695.3,742.63,"130,666","90,919,968"
2024-04-24,702,708,701,705,705,695.7,742.99,"56,700","39,899,560"
2024-04-23,703,706,695,701,700.6,695.45,743.23,"112,879","79,232,443"
2024-04-22,700,707,693,699,697.4,695.35,743.51,"178,280","124,752,250"
2024-04-19,708,711,686,709,695.8,695.2,743.83,"241,251","169,190,798"
2024-04-18,688,723,685,711,695.2,694.2,744.26,"641,450","454,879,682"
2024-04-17,680,693,680,683,694,693.2,744.69,"53,680","36,893,007"
2024-04-16,691,695,679,685,695.2,693.6,745.24,"149,333","102,443,519"
2024-04-15,705,705,687,691,695,694.35,745.93,"161,841","112,262,930"
2024-04-12,707,709,699,706,694.6,693.75,746.72,"115,969","81,635,285"
2024-04-11,688,705,681,705,689.2,692.45,747.52,"206,240","143,545,975"
2024-04-09,680,689,679,689,686.2,691,748.41,"159,980","109,173,753"
2024-04-08,689,692,680,684,686.4,690.1,749.23,"106,316","72,659,716"
2024-04-05,679,708,676,689,689.2,689.85,750.18,"287,839","199,210,127"
2024-04-04,690,692,679,679,691.4,690.15,751.07,"209,006","142,968,748"
2024-04-03,680,697,680,690,695.6,691.05,752.02,"119,166","82,021,204"
2024-04-02,695,698,690,690,697.6,691.7,752.83,"126,224","87,528,926"
2024-04-01,704,704,695,698,699.6,691.45,753.73,"96,357","67,444,315"
2024-03-29,695,701,695,700,699.8,691.55,754.53,"75,974","53,119,632"
2024-03-28,700,704,697,700,699,692.2,755.38,"188,629","131,972,060"
2024-03-27,700,704,698,700,696.8,693.3,756.41,"84,763","59,351,754"
2024-03-26,693,705,693,700,695,694.8,757.29,"217,826","152,386,938"
2024-03-25,697,704,688,699,693.2,696.65,758.25,"165,734","115,360,740"
2024-03-22,689,704,686,696,693.4,698.95,759.48,"170,574","118,244,313"
2024-03-21,693,697,689,689,690,701.4,760.7,"138,038","95,473,638"
2024-03-20,692,693,686,691,688.2,704.3,762.17,"85,618","58,823,275"
2024-03-19,701,701,684,691,685.2,707.45,763.64,"154,204","106,251,006"
2024-03-18,679,700,679,700,681.2,710.3,765.18,"192,782","132,943,547"
2024-03-15,686,686,674,679,677,712.75,766.73,"152,469","103,314,935"
2024-03-14,680,684,673,680,680.2,716.25,768.41,"137,864","93,457,369"
2024-03-13,697,697,673,676,683.6,719.4,770.08,"220,686","149,785,226"
2024-03-12,679,679,670,671,689,722.7,771.82,"169,327","114,055,641"
2024-03-11,697,699,660,679,691.8,725.9,773.66,"367,157","249,498,039"
2024-03-08,702,702,680,695,696,728.8,775.38,"161,284","111,507,422"
2024-03-07,699,706,690,697,699.6,731,776.95,"114,206","79,464,343"
2024-03-06,678,705,678,703,704.6,733.4,778.58,"333,258","231,854,805"
2024-03-05,707,707,678,685,710,735.9,780.13,"382,489","263,020,716"
2024-03-04,728,728,699,700,720.4,739.1,781.88,"319,054","224,528,245"
2024-02-29,709,722,705,713,729.4,741.55,783.55,"303,225","215,447,988"
2024-02-28,728,733,683,722,735.8,743.7,785.12,"338,326","242,625,505"
2024-02-27,739,741,727,730,740.8,744.85,786.66,"158,148","115,742,082"
2024-02-26,736,745,735,737,745.6,745.65,788.15,"133,755","98,632,606"
2024-02-23,745,749,739,745,747.8,746.05,789.53,"124,988","92,778,795"
